,Map,Shield,Grid,coll_train,acc_0_train,inter_0_train,acc_1_train,inter_1_train
6400,SUNY,1,0,0.0,-1057.6,98.4,-1076.4,82.6
6401,SUNY,1,0,0.0,-1495.3,73.6,-1378.0,109.7
6402,SUNY,1,0,0.0,-769.8,132.1,-1169.4,51.2
6403,SUNY,1,0,0.0,-1264.9,71.6,-1028.1,126.6
6404,SUNY,1,0,0.0,-625.0,187.1,-1270.0,44.7
6405,SUNY,1,0,0.0,-1300.3,52.4,-1155.0,96.1
6406,SUNY,1,0,0.0,-1123.9,133.3,-1478.6,60.7
6407,SUNY,1,0,0.0,-1180.6,83.4,-1074.0,116.3
6408,SUNY,1,0,0.0,-1272.8,29.7,-1093.1,70.7
6409,SUNY,1,0,0.0,-1198.3,76.4,-1304.4,66.2
6410,SUNY,1,0,0.0,-1246.1,76.3,-1339.0,69.5
6411,SUNY,1,0,0.0,-1361.4,44.9,-1078.6,112.4
6412,SUNY,1,0,0.0,-1250.7,77.5,-1026.7,130.8
6413,SUNY,1,0,0.0,-961.9,106.8,-1433.3,33.1
6414,SUNY,1,0,0.0,-1032.7,98.4,-1405.2,34.3
6415,SUNY,1,0,0.0,-1639.4,1.2,-1112.6,113.9
6416,SUNY,1,0,0.0,-1114.2,100.1,-1404.4,57.2
6417,SUNY,1,0,0.0,-692.2,85.4,-913.6,43.6
6418,SUNY,1,0,0.0,-884.4,39.9,-818.0,55.6
6419,SUNY,1,0,0.0,-1165.8,37.7,-779.8,114.8
6420,SUNY,1,0,0.0,-1151.3,54.9,-1491.3,11.9
6421,SUNY,1,0,0.0,-670.0,181.5,-1546.2,8.2
6422,SUNY,1,0,0.0,-1085.1,64.6,-1172.4,63.0
6423,SUNY,1,0,0.0,-931.9,121.0,-1537.0,18.9
6424,SUNY,1,0,0.0,-881.5,74.2,-920.8,75.7
6425,SUNY,1,0,0.0,-755.3,119.1,-1244.4,30.1
6426,SUNY,1,0,0.0,-885.1,92.1,-1194.6,45.6
6427,SUNY,1,0,0.0,-1451.6,71.2,-1191.4,118.4
6428,SUNY,1,0,0.0,-1445.3,45.1,-1489.5,53.6
6429,SUNY,1,0,0.0,-620.8,159.6,-1086.4,56.1
6430,SUNY,1,0,0.0,-1451.3,32.4,-1249.8,86.8
6431,SUNY,1,0,0.0,-991.2,69.1,-861.7,100.1
6432,SUNY,1,0,0.0,-1272.6,49.0,-1213.4,53.2
6433,SUNY,1,0,0.0,-1305.4,80.8,-1335.3,84.2
6434,SUNY,1,0,0.0,-1285.2,37.0,-891.0,120.9
6435,SUNY,1,0,0.0,-629.5,111.7,-1050.2,26.7
6436,SUNY,1,0,0.0,-856.5,129.3,-1004.8,76.6
6437,SUNY,1,0,0.0,-854.9,102.7,-1168.9,46.0
6438,SUNY,1,0,0.0,-1012.5,87.7,-910.7,98.7
6439,SUNY,1,0,0.0,-1058.1,76.5,-887.2,127.6
6440,SUNY,1,0,0.0,-492.1,133.6,-933.2,44.9
6441,SUNY,1,0,0.0,-1108.3,50.4,-1002.7,74.5
6442,SUNY,1,0,0.0,-905.3,99.9,-1317.0,35.6
6443,SUNY,1,0,0.0,-708.3,118.1,-1218.8,26.2
6444,SUNY,1,0,0.0,-1076.3,61.0,-1046.5,74.1
6445,SUNY,1,0,0.0,-755.2,68.2,-853.8,55.6
6446,SUNY,1,0,0.0,-1154.3,98.8,-1118.9,115.8
6447,SUNY,1,0,0.0,-1109.7,39.3,-761.7,100.2
6448,SUNY,1,0,0.0,-1203.2,47.1,-743.6,134.2
6449,SUNY,1,0,0.0,-772.7,77.4,-923.5,43.4
6450,SUNY,1,0,0.0,-1036.2,109.3,-1455.8,43.3
6451,SUNY,1,0,0.0,-948.0,67.2,-806.3,95.3
6452,SUNY,1,0,0.0,-619.0,86.0,-949.1,17.6
6453,SUNY,1,0,0.0,-775.4,81.1,-898.5,55.0
6454,SUNY,1,0,0.0,-449.8,57.7,-514.6,48.8
6455,SUNY,1,0,0.0,-888.5,74.3,-801.8,101.4
6456,SUNY,1,0,0.0,-735.3,89.0,-740.6,103.5
6457,SUNY,1,0,0.0,-1100.6,28.1,-734.4,106.6
6458,SUNY,1,0,0.0,-901.1,97.6,-1079.1,69.3
6459,SUNY,1,0,0.0,-711.2,76.9,-823.4,56.7
6460,SUNY,1,0,0.0,-712.2,103.1,-826.1,81.5
6461,SUNY,1,0,0.0,-736.6,38.6,-484.9,83.7
6462,SUNY,1,0,0.0,-814.3,109.2,-989.1,63.4
6463,SUNY,1,0,0.0,-1454.1,44.7,-933.1,143.6
6464,SUNY,1,0,0.0,-651.9,14.7,-495.1,54.8
6465,SUNY,1,0,0.0,-592.7,61.4,-730.3,29.6
6466,SUNY,1,0,0.0,-1036.6,75.5,-779.5,123.7
6467,SUNY,1,0,0.0,-888.5,63.4,-954.9,46.6
6468,SUNY,1,0,0.0,-1058.6,100.2,-1166.0,63.1
6469,SUNY,1,0,0.0,-615.9,49.3,-475.9,78.1
6470,SUNY,1,0,0.0,-800.7,102.1,-905.8,86.4
6471,SUNY,1,0,0.0,-683.1,115.5,-1032.9,53.6
6472,SUNY,1,0,0.0,-950.2,82.1,-1059.8,61.4
6473,SUNY,1,0,0.0,-816.3,135.8,-1369.2,43.1
6474,SUNY,1,0,0.0,-807.8,57.3,-870.4,49.6
6475,SUNY,1,0,0.0,-981.6,62.8,-814.6,81.0
6476,SUNY,1,0,0.0,-1208.0,18.7,-662.7,135.8
6477,SUNY,1,0,0.0,-558.8,73.2,-692.3,51.4
6478,SUNY,1,0,0.0,-728.6,46.8,-556.5,98.2
6479,SUNY,1,0,0.0,-742.3,52.4,-815.0,31.2
6480,SUNY,1,0,0.0,-1021.0,20.1,-691.0,94.6
6481,SUNY,1,0,0.0,-742.1,130.6,-1021.5,67.3
6482,SUNY,1,0,0.0,-595.5,85.4,-788.0,48.6
6483,SUNY,1,0,0.0,-999.9,97.0,-1266.3,64.3
6484,SUNY,1,0,0.0,-794.1,49.2,-715.2,79.6
6485,SUNY,1,0,0.0,-583.6,88.6,-918.3,24.1
6486,SUNY,1,0,0.0,-633.2,64.8,-614.4,76.4
6487,SUNY,1,0,0.0,-783.5,29.5,-495.4,94.5
6488,SUNY,1,0,0.0,-854.9,3.9,-514.4,98.3
6489,SUNY,1,0,0.0,-823.1,38.0,-655.8,73.8
6490,SUNY,1,0,0.0,-671.8,61.5,-626.3,72.7
6491,SUNY,1,0,0.0,-755.3,38.9,-940.7,21.9
6492,SUNY,1,0,0.0,-644.8,111.0,-733.3,95.1
6493,SUNY,1,0,0.0,-525.4,95.7,-795.4,48.1
6494,SUNY,1,0,0.0,-888.5,71.1,-667.9,98.2
6495,SUNY,1,0,0.0,-731.1,46.0,-434.1,108.8
6496,SUNY,1,0,0.0,-646.1,35.7,-652.1,43.6
6497,SUNY,1,0,0.0,-1064.5,7.4,-348.7,152.0
6498,SUNY,1,0,0.0,-538.4,63.2,-631.6,48.8
6499,SUNY,1,0,0.0,-504.7,81.8,-613.8,64.6
6500,SUNY,1,0,0.0,-603.9,39.2,-587.1,48.0
6501,SUNY,1,0,0.0,-669.4,92.9,-792.4,83.2
6502,SUNY,1,0,0.0,-1131.4,39.4,-720.1,108.4
6503,SUNY,1,0,0.0,-539.0,32.8,-417.6,53.0
6504,SUNY,1,0,0.0,-1004.5,62.0,-751.3,106.8
6505,SUNY,1,0,0.0,-609.6,115.6,-1063.2,45.5
6506,SUNY,1,0,0.0,-640.8,72.6,-725.4,50.8
6507,SUNY,1,0,0.0,-588.2,1.7,-184.8,87.7
6508,SUNY,1,0,0.0,-456.2,63.3,-569.2,44.2
6509,SUNY,1,0,0.0,-451.2,43.7,-444.5,55.9
6510,SUNY,1,0,0.0,-492.2,112.2,-843.1,37.8
6511,SUNY,1,0,0.0,-543.8,65.4,-577.1,60.8
6512,SUNY,1,0,0.0,-509.5,91.3,-890.4,25.8
6513,SUNY,1,0,0.0,-641.0,49.2,-642.4,58.1
6514,SUNY,1,0,0.0,-216.8,35.0,-341.3,10.8
6515,SUNY,1,0,0.0,-546.2,53.1,-655.1,26.9
6516,SUNY,1,0,0.0,-540.3,45.8,-581.2,59.4
6517,SUNY,1,0,0.0,-426.9,29.6,-468.5,25.1
6518,SUNY,1,0,0.0,-135.7,134.1,-781.2,8.5
6519,SUNY,1,0,0.0,-636.2,51.9,-542.2,62.4
6520,SUNY,1,0,0.0,-548.2,19.4,-375.8,62.7
6521,SUNY,1,0,0.0,-287.3,69.0,-486.5,20.8
6522,SUNY,1,0,0.0,-200.7,107.5,-607.9,5.4
6523,SUNY,1,0,0.0,-644.1,17.9,-401.9,69.7
6524,SUNY,1,0,0.0,-798.8,13.5,-366.6,105.4
6525,SUNY,1,0,0.0,-288.6,86.3,-614.7,22.1
6526,SUNY,1,0,0.0,-859.4,36.3,-653.5,84.2
6527,SUNY,1,0,0.0,-488.3,80.0,-595.5,66.2
6528,SUNY,1,0,0.0,-418.9,42.9,-460.2,35.9
6529,SUNY,1,0,0.0,-521.6,60.2,-418.9,72.1
6530,SUNY,1,0,0.0,-559.3,65.6,-613.1,55.3
6531,SUNY,1,0,0.0,-779.7,40.0,-503.8,100.2
6532,SUNY,1,0,0.0,-300.5,37.4,-354.2,28.5
