,Map,Shield,Grid,coll_train,acc_0_train,inter_0_train,acc_1_train,inter_1_train
3200,Pentagon,1,0,0.0,-838.1,89.9,-907.2,100.4
3201,Pentagon,1,0,0.0,-687.8,148.9,-1289.0,52.7
3202,Pentagon,1,0,0.0,-1439.8,58.9,-720.4,206.2
3203,Pentagon,1,0,0.0,-985.3,111.2,-1186.5,97.0
3204,Pentagon,1,0,0.0,-1306.5,64.0,-1035.0,129.6
3205,Pentagon,1,0,0.0,-1085.0,57.2,-884.3,118.3
3206,Pentagon,1,0,0.0,-1467.6,66.3,-911.9,174.5
3207,Pentagon,1,0,0.0,-1355.2,23.7,-727.0,159.8
3208,Pentagon,1,0,0.0,-896.1,153.1,-1358.6,73.8
3209,Pentagon,1,0,0.0,-947.6,125.8,-1139.8,93.1
3210,Pentagon,1,0,0.0,-847.4,55.9,-933.5,47.7
3211,Pentagon,1,0,0.0,-1193.1,78.9,-991.7,125.6
3212,Pentagon,1,0,0.0,-994.1,25.5,-469.1,122.2
3213,Pentagon,1,0,0.0,-991.0,42.6,-879.7,76.0
3214,Pentagon,1,0,0.0,-1356.9,9.9,-487.3,177.9
3215,Pentagon,1,0,0.0,-1227.3,46.1,-920.6,119.4
3216,Pentagon,1,0,0.0,-620.4,105.1,-843.9,69.0
3217,Pentagon,1,0,0.0,-1204.8,8.5,-440.9,145.7
3218,Pentagon,1,0,0.0,-1289.3,26.6,-405.3,195.8
3219,Pentagon,1,0,0.0,-803.5,45.8,-520.4,112.0
3220,Pentagon,1,0,0.0,-1231.3,41.8,-1073.7,84.6
3221,Pentagon,1,0,0.0,-954.2,116.5,-964.2,125.7
3222,Pentagon,1,0,0.0,-667.7,39.2,-683.7,48.3
3223,Pentagon,1,0,0.0,-1177.4,34.3,-899.8,98.1
3224,Pentagon,1,0,0.0,-1229.4,38.1,-922.0,110.1
3225,Pentagon,1,0,0.0,-346.9,136.5,-768.2,52.2
3226,Pentagon,1,0,0.0,-1222.5,47.5,-563.7,168.1
3227,Pentagon,1,0,0.0,-1114.4,6.3,-542.7,130.7
3228,Pentagon,1,0,0.0,-545.2,109.7,-801.2,71.7
3229,Pentagon,1,0,0.0,-1329.5,28.9,-714.0,156.8
3230,Pentagon,1,0,0.0,-847.9,58.7,-598.3,112.2
3231,Pentagon,1,0,0.0,-1123.7,38.4,-912.1,97.3
3232,Pentagon,1,0,0.0,-1078.0,74.1,-1205.1,58.8
3233,Pentagon,1,0,0.0,-1170.8,43.7,-801.8,116.1
3234,Pentagon,1,0,0.0,-1021.6,110.4,-813.1,146.2
3235,Pentagon,1,0,0.0,-1137.4,30.8,-753.5,118.9
3236,Pentagon,1,0,0.0,-693.5,44.6,-479.2,90.5
3237,Pentagon,1,0,0.0,-288.5,161.8,-1049.6,34.2
3238,Pentagon,1,0,0.0,-1061.9,71.9,-893.4,115.8
3239,Pentagon,1,0,0.0,-973.7,52.7,-721.4,95.8
3240,Pentagon,1,0,0.0,-805.6,27.8,-514.6,85.4
3241,Pentagon,1,0,0.0,-653.8,72.7,-660.4,85.0
3242,Pentagon,1,0,0.0,-1015.2,55.0,-841.0,106.1
3243,Pentagon,1,0,0.0,-985.4,96.2,-1195.7,74.4
3244,Pentagon,1,0,0.0,-699.9,16.1,-350.9,96.5
3245,Pentagon,1,0,0.0,-738.4,86.6,-824.3,85.7
3246,Pentagon,1,0,0.0,-1146.8,13.6,-440.1,150.6
3247,Pentagon,1,0,0.0,-992.3,34.4,-567.9,116.9
3248,Pentagon,1,0,0.0,-733.1,56.5,-505.7,105.6
3249,Pentagon,1,0,0.0,-832.4,39.2,-526.6,108.8
3250,Pentagon,1,0,0.0,-946.4,30.0,-342.1,138.3
3251,Pentagon,1,0,0.0,-885.7,70.9,-745.0,104.1
3252,Pentagon,1,0,0.0,-249.5,138.0,-857.5,33.2
3253,Pentagon,1,0,0.0,-653.4,73.6,-798.7,62.3
3254,Pentagon,1,0,0.0,-438.0,94.9,-635.5,61.6
3255,Pentagon,1,0,0.0,-458.0,31.5,-258.4,74.3
3256,Pentagon,1,0,0.0,-898.1,93.5,-820.3,123.7
3257,Pentagon,1,0,0.0,-698.5,47.6,-423.4,97.4
3258,Pentagon,1,0,0.0,-650.3,44.9,-561.1,78.7
3259,Pentagon,1,0,0.0,-943.7,52.9,-719.5,112.2
3260,Pentagon,1,0,0.0,-776.2,96.9,-897.9,75.7
3261,Pentagon,1,0,0.0,-811.3,64.7,-479.8,130.6
3262,Pentagon,1,0,0.0,-528.8,21.8,-250.2,80.9
3263,Pentagon,1,0,0.0,-704.5,43.9,-363.6,115.2
3264,Pentagon,1,0,0.0,-204.9,116.8,-812.1,8.8
3265,Pentagon,1,0,0.0,-1163.9,28.6,-538.5,155.2
3266,Pentagon,1,0,0.0,-619.7,38.3,-335.7,93.0
3267,Pentagon,1,0,0.0,-1420.9,2.4,-500.9,176.9
3268,Pentagon,1,0,0.0,-849.3,47.8,-456.2,133.3
3269,Pentagon,1,0,0.0,-778.6,52.9,-678.1,92.8
3270,Pentagon,1,0,0.0,-674.3,11.7,-306.2,106.9
3271,Pentagon,1,0,0.0,-474.1,61.6,-651.3,42.4
3272,Pentagon,1,0,0.0,-863.9,40.0,-401.6,142.6
