,Map,Shield,Grid,coll_train,acc_0_train,inter_0_train,acc_1_train,inter_1_train
0,example,1,0,0.0,-261.5,34.0,-407.8,16.4
1,example,1,0,0.0,-351.5,56.3,-681.3,11.7
2,example,1,0,0.0,-207.3,17.8,-227.5,17.2
3,example,1,0,0.0,-492.6,46.0,-720.4,18.9
4,example,1,0,0.0,-521.1,38.3,-623.0,24.0
5,example,1,0,0.0,-433.0,34.5,-587.6,14.5
6,example,1,0,0.0,-155.6,35.7,-373.9,6.3
7,example,1,0,0.0,-414.9,19.8,-422.0,29.2
8,example,1,0,0.0,-381.2,30.0,-544.0,9.6
9,example,1,0,0.0,-165.8,34.7,-411.3,10.4
10,example,1,0,0.0,-315.9,46.5,-541.0,11.6
11,example,1,0,0.0,-138.0,44.9,-402.9,8.9
12,example,1,0,0.0,-443.8,23.5,-507.4,25.2
13,example,1,0,0.0,-336.4,32.5,-474.2,11.7
14,example,1,0,0.0,-438.3,49.8,-754.9,17.7
15,example,1,0,0.0,-439.9,21.1,-585.0,9.0
16,example,1,0,0.0,-300.8,36.0,-527.4,16.2
17,example,1,0,0.0,-270.9,59.7,-611.1,15.2
18,example,1,0,0.0,-139.0,31.1,-347.1,4.4
19,example,1,0,0.0,-183.9,53.5,-495.7,10.0
20,example,1,0,0.0,-255.8,30.9,-424.1,11.7
21,example,1,0,0.0,-495.2,33.7,-569.7,29.4
22,example,1,0,0.0,-300.8,60.4,-611.3,16.9
23,example,1,0,0.0,-475.1,26.9,-529.9,25.2
24,example,1,0,0.0,-83.7,62.9,-490.5,6.3
25,example,1,0,0.0,-285.4,33.2,-475.5,8.0
26,example,1,0,0.0,-395.1,27.3,-502.0,16.7
27,example,1,0,0.0,-163.2,24.5,-299.3,6.4
28,example,1,0,0.0,-276.8,15.5,-355.9,8.2
29,example,1,0,0.0,-357.4,23.6,-450.0,22.2
30,example,1,0,0.0,-238.8,42.7,-490.0,6.7
31,example,1,0,0.0,-637.6,44.5,-913.1,17.2
32,example,1,0,0.0,-331.7,34.1,-484.7,14.4
33,example,1,0,0.0,-369.0,23.2,-495.7,16.6
34,example,1,0,0.0,-319.7,11.0,-276.7,27.0
35,example,1,0,0.0,-93.6,26.4,-256.9,6.4
36,example,1,0,0.0,-177.5,29.2,-329.3,7.6
37,example,1,0,0.0,-325.1,33.4,-545.4,7.1
38,example,1,0,0.0,-249.9,46.6,-545.2,13.8
