,Map,Shield,Grid,coll_train,acc_0_train,inter_0_train,acc_1_train,inter_1_train
1600,ISR,1,0,0.0,-850.9,130.4,-1372.6,36.8
1601,ISR,1,0,0.0,-465.1,134.7,-1078.5,38.1
1602,ISR,1,0,0.0,-1253.5,84.7,-1268.6,81.0
1603,ISR,1,0,0.0,-596.5,151.5,-1332.5,27.2
1604,ISR,1,0,0.0,-686.7,93.1,-1084.0,19.8
1605,ISR,1,0,0.0,-1360.2,60.5,-1443.7,37.4
1606,ISR,1,0,0.0,-755.3,162.4,-1414.9,61.5
1607,ISR,1,0,0.0,-1090.9,83.3,-1184.4,78.1
1608,ISR,1,0,0.0,-612.3,109.5,-961.2,59.6
1609,ISR,1,0,0.0,-940.1,152.1,-1625.9,34.7
1610,ISR,1,0,0.0,-741.0,90.1,-845.0,73.5
1611,ISR,1,0,0.0,-840.1,174.8,-1618.6,43.9
1612,ISR,1,0,0.0,-1049.2,115.2,-1285.1,79.0
1613,ISR,1,0,0.0,-643.5,140.2,-979.8,73.5
1614,ISR,1,0,0.0,-988.9,133.4,-1666.9,14.0
1615,ISR,1,0,0.0,-314.5,126.1,-967.2,33.1
1616,ISR,1,0,0.0,-919.9,59.3,-708.5,93.1
1617,ISR,1,0,0.0,-605.8,181.9,-1240.2,69.3
1618,ISR,1,0,0.0,-733.3,113.4,-884.7,85.1
1619,ISR,1,0,0.0,-566.9,55.2,-535.9,43.3
1620,ISR,1,0,0.0,-899.9,124.8,-1237.9,59.0
1621,ISR,1,0,0.0,-603.9,99.0,-876.4,49.8
1622,ISR,1,0,0.0,-641.8,83.3,-764.0,51.7
1623,ISR,1,0,0.0,-1175.3,121.5,-1087.5,142.6
1624,ISR,1,0,0.0,-554.2,99.3,-754.9,54.8
1625,ISR,1,0,0.0,-793.3,143.6,-1127.5,80.8
1626,ISR,1,0,0.0,-766.4,81.7,-813.5,75.5
1627,ISR,1,0,0.0,-412.4,93.2,-741.6,45.6
1628,ISR,1,0,0.0,-1256.0,93.3,-1415.3,68.9
1629,ISR,1,0,0.0,-268.5,132.7,-1007.0,5.3
1630,ISR,1,0,0.0,-861.0,86.5,-1080.4,49.5
1631,ISR,1,0,0.0,-1325.3,48.2,-1020.0,90.0
1632,ISR,1,0,0.0,-980.1,117.2,-994.9,117.4
1633,ISR,1,0,0.0,-1112.4,54.9,-705.4,119.5
1634,ISR,1,0,0.0,-557.8,73.5,-627.2,55.9
1635,ISR,1,0,0.0,-408.2,105.4,-738.5,46.2
1636,ISR,1,0,0.0,-326.7,181.6,-1158.2,39.1
1637,ISR,1,0,0.0,-523.3,43.3,-468.6,54.4
1638,ISR,1,0,0.0,-945.7,8.1,-510.5,75.5
1639,ISR,1,0,0.0,-342.6,114.1,-797.2,31.0
1640,ISR,1,0,0.0,-995.3,76.1,-708.1,113.3
1641,ISR,1,0,0.0,-738.7,157.5,-1207.8,76.2
1642,ISR,1,0,0.0,-670.6,104.0,-888.2,68.8
1643,ISR,1,0,0.0,-233.1,163.5,-1091.1,18.9
1644,ISR,1,0,0.0,-368.2,86.3,-734.0,14.4
1645,ISR,1,0,0.0,-688.1,74.2,-621.8,89.6
1646,ISR,1,0,0.0,-1295.0,75.5,-962.8,120.3
1647,ISR,1,0,0.0,-1015.3,14.5,-308.7,143.6
1648,ISR,1,0,0.0,-1192.6,39.4,-739.3,124.5
1649,ISR,1,0,0.0,-952.6,109.7,-1328.6,41.7
1650,ISR,1,0,0.0,-242.8,57.2,-371.9,32.6
1651,ISR,1,0,0.0,-425.6,58.1,-386.3,64.1
1652,ISR,1,0,0.0,-589.1,80.6,-701.6,57.7
1653,ISR,1,0,0.0,-236.6,68.0,-542.9,9.2
1654,ISR,1,0,0.0,-377.2,124.6,-841.9,31.1
1655,ISR,1,0,0.0,-280.0,39.7,-394.2,18.8
1656,ISR,1,0,0.0,-378.1,104.2,-629.4,55.2
1657,ISR,1,0,0.0,-249.1,86.3,-582.4,19.7
1658,ISR,1,0,0.0,-514.8,17.3,-511.3,26.5
1659,ISR,1,0,0.0,-626.1,64.1,-593.0,49.2
1660,ISR,1,0,0.0,-637.6,17.1,-316.7,71.8
1661,ISR,1,0,0.0,-377.3,55.5,-589.8,11.1
1662,ISR,1,0,0.0,-794.0,51.0,-511.9,97.6
1663,ISR,1,0,0.0,-778.6,75.5,-670.4,85.5
1664,ISR,1,0,0.0,-699.8,91.7,-737.2,82.0
1665,ISR,1,0,0.0,-460.6,45.6,-543.8,41.5
1666,ISR,1,0,0.0,-318.7,24.2,-428.2,8.6
1667,ISR,1,0,0.0,-694.7,18.6,-200.0,93.8
1668,ISR,1,0,0.0,-261.7,86.5,-615.6,19.1
1669,ISR,1,0,0.0,-358.2,95.7,-644.6,30.5
1670,ISR,1,0,0.0,-229.4,141.6,-914.4,21.9
1671,ISR,1,0,0.0,-145.3,52.0,-369.6,19.6
1672,ISR,1,0,0.0,-521.4,95.7,-800.8,55.4
1673,ISR,1,0,0.0,-654.9,110.5,-1145.0,24.5
1674,ISR,1,0,0.0,-620.3,62.8,-353.2,102.7
1675,ISR,1,0,0.0,-648.6,52.9,-656.4,41.5
1676,ISR,1,0,0.0,-335.9,113.8,-751.9,31.1
1677,ISR,1,0,0.0,-589.3,68.2,-543.6,77.3
1678,ISR,1,0,0.0,-493.6,30.2,-298.9,69.9
1679,ISR,1,0,0.0,-593.2,135.6,-1157.4,44.0
1680,ISR,1,0,0.0,-759.8,70.9,-1095.0,12.2
1681,ISR,1,0,0.0,-811.6,39.9,-442.9,110.3
1682,ISR,1,0,0.0,-253.6,154.8,-955.6,25.0
1683,ISR,1,0,0.0,-317.2,51.3,-473.1,21.0
1684,ISR,1,0,0.0,-281.8,66.3,-611.4,9.6
1685,ISR,1,0,0.0,-610.6,56.7,-526.3,67.7
1686,ISR,1,0,0.0,-333.1,33.5,-343.8,30.1
1687,ISR,1,0,0.0,-592.0,37.0,-386.1,74.8
1688,ISR,1,0,0.0,-491.2,32.7,-493.9,28.0
1689,ISR,1,0,0.0,-276.5,67.9,-509.9,32.7
1690,ISR,1,0,0.0,-389.9,79.5,-698.4,27.8
1691,ISR,1,0,0.0,-254.7,79.8,-561.8,23.9
1692,ISR,1,0,0.0,-234.8,70.3,-481.4,21.8
1693,ISR,1,0,0.0,-617.5,64.3,-480.9,76.3
1694,ISR,1,0,0.0,-540.1,50.5,-381.4,71.5
1695,ISR,1,0,0.0,-333.6,38.3,-239.3,44.0
1696,ISR,1,0,0.0,-131.8,60.6,-377.1,12.7
1697,ISR,1,0,0.0,-358.2,26.8,-247.4,51.3
1698,ISR,1,0,0.0,-743.4,39.9,-334.0,111.4
1699,ISR,1,0,0.0,-650.0,16.6,-303.6,89.7
1700,ISR,1,0,0.0,-455.2,87.1,-668.5,44.7
1701,ISR,1,0,0.0,-438.3,24.3,-296.0,39.4
1702,ISR,1,0,0.0,-489.8,71.0,-558.3,58.1
1703,ISR,1,0,0.0,-66.0,80.3,-438.9,9.3
1704,ISR,1,0,0.0,-661.3,20.8,-341.8,76.6
1705,ISR,1,0,0.0,-227.0,47.9,-392.2,12.5
1706,ISR,1,0,0.0,-342.3,33.0,-403.1,16.3
1707,ISR,1,0,0.0,-291.7,64.9,-444.7,24.7
1708,ISR,1,0,0.0,-221.2,71.8,-475.7,9.4
1709,ISR,1,0,0.0,-356.8,74.2,-657.4,27.8
1710,ISR,1,0,0.0,-327.3,38.9,-338.7,38.3
1711,ISR,1,0,0.0,-242.3,53.2,-309.0,44.7
1712,ISR,1,0,0.0,-247.7,81.0,-564.6,24.5
1713,ISR,1,0,0.0,-430.1,22.0,-125.7,72.7
1714,ISR,1,0,0.0,-474.6,85.1,-699.8,41.7
1715,ISR,1,0,0.0,-197.4,53.6,-367.7,17.3
1716,ISR,1,0,0.0,-260.0,27.4,-266.8,23.0
1717,ISR,1,0,0.0,-370.8,9.5,-215.5,34.7
1718,ISR,1,0,0.0,-149.9,58.5,-352.7,15.2
1719,ISR,1,0,0.0,-175.1,14.0,-126.1,17.8
1720,ISR,1,0,0.0,-154.7,73.9,-452.1,14.3
1721,ISR,1,0,0.0,-411.6,61.3,-514.1,49.2
1722,ISR,1,0,0.0,-242.2,7.8,-73.2,38.2
1723,ISR,1,0,0.0,-327.5,14.2,-191.9,41.5
1724,ISR,1,0,0.0,-241.7,58.9,-470.7,20.2
1725,ISR,1,0,0.0,-196.6,76.3,-506.1,24.8
1726,ISR,1,0,0.0,-190.4,42.6,-276.1,24.8
1727,ISR,1,0,0.0,-271.9,59.7,-461.1,32.1
1728,ISR,1,0,0.0,-148.9,16.2,-165.6,12.3
1729,ISR,1,0,0.0,-434.8,16.1,-358.7,28.8
1730,ISR,1,0,0.0,-221.1,45.6,-290.4,33.7
1731,ISR,1,0,0.0,-249.2,23.1,-208.0,27.2
1732,ISR,1,0,0.0,-447.4,56.3,-369.9,65.3
1733,ISR,1,0,0.0,-382.9,61.5,-537.2,23.9
1734,ISR,1,0,0.0,-252.5,22.3,-148.2,41.1
1735,ISR,1,0,0.0,-131.7,28.8,-200.3,11.7
1736,ISR,1,0,0.0,-254.5,20.6,-229.6,29.1
1737,ISR,1,0,0.0,-102.8,44.6,-282.4,15.4
1738,ISR,1,0,0.0,-101.2,41.3,-211.2,17.3
1739,ISR,1,0,0.0,-255.4,45.2,-243.2,42.9
1740,ISR,1,0,0.0,-174.6,22.5,-187.7,17.7
1741,ISR,1,0,0.0,-153.2,21.6,-126.4,23.4
1742,ISR,1,0,0.0,-96.0,68.0,-383.8,18.2
1743,ISR,1,0,0.0,-115.7,16.5,-127.1,13.5
1744,ISR,1,0,0.0,-253.5,25.3,-217.2,30.6
1745,ISR,1,0,0.0,-61.3,40.0,-213.5,6.3
1746,ISR,1,0,0.0,-153.8,47.7,-303.9,16.6
1747,ISR,1,0,0.0,-372.8,32.4,-217.2,64.6
1748,ISR,1,0,0.0,-195.2,32.6,-238.0,22.1
1749,ISR,1,0,0.0,-186.9,28.2,-149.4,36.7
1750,ISR,1,0,0.0,-274.1,26.8,-264.0,28.1
1751,ISR,1,0,0.0,-187.6,18.2,-187.5,21.1
1752,ISR,1,0,0.0,-60.9,48.4,-246.6,11.2
1753,ISR,1,0,0.0,-189.7,53.2,-359.1,12.7
1754,ISR,1,0,0.0,-182.1,25.8,-168.7,29.4
1755,ISR,1,0,0.0,-93.9,30.4,-116.0,24.3
1756,ISR,1,0,0.0,-324.3,14.5,-215.0,37.5
1757,ISR,1,0,0.0,-192.5,37.7,-253.4,30.3
1758,ISR,1,0,0.0,-295.2,84.5,-467.5,51.3
1759,ISR,1,0,0.0,-263.6,46.9,-227.6,49.8
