,Map,Shield,Grid,coll_train,acc_0_train,inter_0_train,acc_1_train,inter_1_train
4800,MIT,1,0,0.0,-2136.4,15.0,-2157.8,13.2
4801,MIT,1,0,0.0,-2106.9,12.5,-2183.0,3.1
4802,MIT,1,0,0.0,-2014.8,30.7,-2187.5,6.6
4803,MIT,1,0,0.0,-2153.5,2.1,-2206.4,3.0
4804,MIT,1,0,0.0,-1728.2,60.1,-2034.7,19.4
4805,MIT,1,0,0.0,-2025.7,13.4,-2092.7,22.5
4806,MIT,1,0,0.0,-2118.6,1.7,-2116.0,21.0
4807,MIT,1,0,0.0,-2145.3,12.7,-2180.3,3.5
4808,MIT,1,0,0.0,-2093.1,21.6,-2129.9,3.1
4809,MIT,1,0,0.0,-2165.9,0.2,-2129.0,12.9
4810,MIT,1,0,0.0,-2041.2,23.0,-2183.9,2.9
4811,MIT,1,0,0.0,-1993.4,20.9,-2150.7,3.7
4812,MIT,1,0,0.0,-2079.8,15.5,-2039.8,22.8
4813,MIT,1,0,0.0,-2084.8,3.2,-2090.5,13.5
4814,MIT,1,0,0.0,-2070.5,24.3,-2144.8,14.6
4815,MIT,1,0,0.0,-1941.4,28.5,-2198.1,0.9
4816,MIT,1,0,0.0,-1974.0,37.2,-1894.5,44.0
4817,MIT,1,0,0.0,-1983.3,18.3,-2006.4,21.1
4818,MIT,1,0,0.0,-2113.4,5.7,-2038.9,24.9
4819,MIT,1,0,0.0,-1870.7,40.8,-1955.5,36.2
4820,MIT,1,0,0.0,-2002.1,27.4,-2060.6,31.7
4821,MIT,1,0,0.0,-1785.9,46.5,-2036.6,9.5
4822,MIT,1,0,0.0,-1958.9,21.7,-1823.0,40.8
4823,MIT,1,0,0.0,-1859.0,33.9,-1952.5,19.0
4824,MIT,1,0,0.0,-2020.4,33.3,-1827.9,51.5
4825,MIT,1,0,0.0,-2063.1,24.1,-1977.2,34.9
4826,MIT,1,0,0.0,-1942.6,32.0,-2237.0,3.5
4827,MIT,1,0,0.0,-1946.0,18.6,-2069.6,3.8
4828,MIT,1,0,0.0,-2041.4,12.5,-2073.6,21.6
4829,MIT,1,0,0.0,-2184.8,0.2,-1694.6,89.0
4830,MIT,1,0,0.0,-1890.6,27.0,-1946.9,30.8
4831,MIT,1,0,0.0,-2015.3,25.5,-2139.3,5.6
4832,MIT,1,0,0.0,-1880.8,41.2,-2095.3,18.7
4833,MIT,1,0,0.0,-1784.6,53.0,-1954.6,8.2
4834,MIT,1,0,0.0,-1763.2,50.1,-1837.3,54.7
4835,MIT,1,0,0.0,-1571.0,99.4,-2125.2,11.8
4836,MIT,1,0,0.0,-2076.8,3.5,-2059.5,26.6
4837,MIT,1,0,0.0,-1823.4,51.7,-1743.2,68.8
4838,MIT,1,0,0.0,-1586.3,95.0,-2124.7,6.1
4839,MIT,1,0,0.0,-1649.2,74.9,-2081.7,6.4
4840,MIT,1,0,0.0,-1915.7,12.1,-2001.1,12.5
4841,MIT,1,0,0.0,-1747.6,47.7,-1926.4,33.9
4842,MIT,1,0,0.0,-1670.5,69.0,-1825.4,48.4
4843,MIT,1,0,0.0,-1944.1,18.2,-1713.8,61.6
4844,MIT,1,0,0.0,-1944.2,26.8,-2009.8,27.3
4845,MIT,1,0,0.0,-2177.6,0.0,-1958.7,33.6
4846,MIT,1,0,0.0,-1786.5,47.5,-1969.1,25.5
4847,MIT,1,0,0.0,-2001.7,17.3,-2089.7,16.2
4848,MIT,1,0,0.0,-1786.9,55.8,-2063.1,15.1
4849,MIT,1,0,0.0,-1764.9,57.3,-1954.4,31.3
4850,MIT,1,0,0.0,-1932.3,16.6,-1674.6,81.5
4851,MIT,1,0,0.0,-2055.2,1.3,-1777.4,50.6
4852,MIT,1,0,0.0,-1894.3,12.7,-1576.1,64.9
4853,MIT,1,0,0.0,-1917.8,15.0,-1800.7,50.0
4854,MIT,1,0,0.0,-1373.7,81.9,-1797.5,7.2
4855,MIT,1,0,0.0,-1688.2,56.0,-1911.2,20.6
4856,MIT,1,0,0.0,-1778.6,54.2,-1890.4,29.8
4857,MIT,1,0,0.0,-1494.0,75.4,-1793.6,36.9
4858,MIT,1,0,0.0,-1756.5,49.7,-1926.0,21.0
4859,MIT,1,0,0.0,-1915.3,12.7,-2059.9,9.1
4860,MIT,1,0,0.0,-1966.3,13.9,-1896.4,28.8
4861,MIT,1,0,0.0,-1790.3,37.0,-1706.4,58.1
4862,MIT,1,0,0.0,-1918.4,34.1,-1821.4,42.0
4863,MIT,1,0,0.0,-1583.9,70.5,-1845.6,27.5
4864,MIT,1,0,0.0,-1447.9,88.1,-1989.3,5.4
4865,MIT,1,0,0.0,-1681.5,19.0,-1582.1,58.2
4866,MIT,1,0,0.0,-1614.2,44.2,-1802.0,16.7
4867,MIT,1,0,0.0,-1829.5,29.5,-1776.3,34.8
4868,MIT,1,0,0.0,-1431.5,78.3,-1891.1,5.5
4869,MIT,1,0,0.0,-1512.1,51.7,-1435.4,73.9
4870,MIT,1,0,0.0,-1712.0,24.4,-1614.1,49.0
4871,MIT,1,0,0.0,-1467.5,68.2,-1682.3,48.9
4872,MIT,1,0,0.0,-1622.1,64.8,-1781.5,46.3
4873,MIT,1,0,0.0,-1085.4,89.0,-1502.7,27.3
4874,MIT,1,0,0.0,-1731.7,23.2,-1450.7,72.8
4875,MIT,1,0,0.0,-1469.8,76.0,-1707.8,31.9
4876,MIT,1,0,0.0,-1526.0,56.8,-1653.1,37.4
4877,MIT,1,0,0.0,-1611.0,35.1,-1606.5,45.2
4878,MIT,1,0,0.0,-1639.9,51.5,-1729.9,36.6
4879,MIT,1,0,0.0,-1676.5,28.4,-1658.0,58.0
4880,MIT,1,0,0.0,-1715.3,44.5,-1824.7,54.4
4881,MIT,1,0,0.0,-1539.3,66.8,-1571.6,59.2
4882,MIT,1,0,0.0,-1688.0,42.7,-1697.4,69.6
4883,MIT,1,0,0.0,-1508.1,45.5,-1649.4,26.8
4884,MIT,1,0,0.0,-1798.0,32.0,-1600.7,76.0
4885,MIT,1,0,0.0,-1632.3,30.6,-1195.8,119.7
4886,MIT,1,0,0.0,-1724.7,46.1,-1580.8,77.4
4887,MIT,1,0,0.0,-1409.8,90.8,-1478.3,78.2
4888,MIT,1,0,0.0,-1432.2,74.9,-1651.5,42.2
4889,MIT,1,0,0.0,-1667.8,42.9,-1800.6,26.5
4890,MIT,1,0,0.0,-978.9,75.9,-1290.7,21.0
4891,MIT,1,0,0.0,-1640.2,51.2,-1753.8,35.5
4892,MIT,1,0,0.0,-1187.1,89.9,-1698.9,7.5
4893,MIT,1,0,0.0,-1285.1,96.6,-1641.4,36.9
4894,MIT,1,0,0.0,-1594.6,54.3,-1584.3,60.8
4895,MIT,1,0,0.0,-1490.4,34.2,-1492.1,29.0
4896,MIT,1,0,0.0,-1627.8,46.7,-1682.5,54.1
4897,MIT,1,0,0.0,-1499.2,14.3,-1120.5,78.6
4898,MIT,1,0,0.0,-1522.6,42.2,-1501.7,66.8
4899,MIT,1,0,0.0,-1131.4,86.9,-1515.4,25.2
4900,MIT,1,0,0.0,-1350.8,88.4,-1805.7,16.9
4901,MIT,1,0,0.0,-1445.4,67.3,-1347.6,75.9
4902,MIT,1,0,0.0,-1279.6,78.7,-1470.7,56.0
4903,MIT,1,0,0.0,-1368.2,52.0,-1455.6,49.2
4904,MIT,1,0,0.0,-1583.4,27.5,-1343.9,69.2
4905,MIT,1,0,0.0,-1142.3,89.1,-1356.6,52.7
4906,MIT,1,0,0.0,-1193.0,91.0,-1484.1,44.8
4907,MIT,1,0,0.0,-1313.0,82.9,-1503.8,54.5
4908,MIT,1,0,0.0,-1473.2,42.0,-1178.3,102.0
4909,MIT,1,0,0.0,-1300.6,41.8,-1108.8,84.0
4910,MIT,1,0,0.0,-1379.6,102.3,-1657.1,40.6
4911,MIT,1,0,0.0,-1240.9,81.2,-1550.9,23.9
4912,MIT,1,0,0.0,-1278.3,82.9,-1349.1,60.0
4913,MIT,1,0,0.0,-1373.7,55.3,-1519.4,42.6
4914,MIT,1,0,0.0,-1643.7,25.2,-1261.9,100.4
4915,MIT,1,0,0.0,-1225.6,62.9,-1169.7,69.3
4916,MIT,1,0,0.0,-1568.7,35.0,-1595.1,42.8
4917,MIT,1,0,0.0,-1368.0,62.1,-1397.2,64.2
4918,MIT,1,0,0.0,-1389.1,66.4,-1250.2,91.7
4919,MIT,1,0,0.0,-1140.9,93.3,-1312.4,58.7
4920,MIT,1,0,0.0,-1278.3,75.3,-1541.5,23.7
4921,MIT,1,0,0.0,-1372.3,40.9,-1132.7,88.0
4922,MIT,1,0,0.0,-1150.2,32.3,-1012.1,53.0
4923,MIT,1,0,0.0,-834.1,122.6,-1395.7,10.9
4924,MIT,1,0,0.0,-1296.3,65.2,-1557.4,28.7
4925,MIT,1,0,0.0,-1049.2,61.9,-1259.9,42.1
4926,MIT,1,0,0.0,-1211.6,65.8,-1057.0,95.7
4927,MIT,1,0,0.0,-1029.8,93.5,-1129.1,70.3
4928,MIT,1,0,0.0,-1268.1,24.4,-1208.6,38.9
4929,MIT,1,0,0.0,-1214.0,80.3,-1578.8,29.1
4930,MIT,1,0,0.0,-1259.8,64.6,-1216.8,60.2
4931,MIT,1,0,0.0,-922.4,98.4,-1270.0,33.9
4932,MIT,1,0,0.0,-1117.6,71.5,-1344.8,35.8
4933,MIT,1,0,0.0,-1066.6,104.4,-1306.7,58.2
4934,MIT,1,0,0.0,-1314.1,33.6,-883.3,108.8
4935,MIT,1,0,0.0,-1113.0,98.6,-1248.2,76.6
4936,MIT,1,0,0.0,-1187.4,71.0,-1192.2,66.1
4937,MIT,1,0,0.0,-849.2,34.0,-875.8,35.9
4938,MIT,1,0,0.0,-764.8,117.8,-1453.7,3.1
4939,MIT,1,0,0.0,-1027.9,65.4,-1087.7,57.6
4940,MIT,1,0,0.0,-1147.0,72.4,-1082.2,87.6
4941,MIT,1,0,0.0,-1284.4,40.2,-968.2,104.6
4942,MIT,1,0,0.0,-1183.3,57.0,-1097.1,66.1
4943,MIT,1,0,0.0,-972.2,60.5,-1175.8,26.9
4944,MIT,1,0,0.0,-1038.1,114.7,-1656.3,7.8
4945,MIT,1,0,0.0,-1290.8,15.8,-1107.2,64.7
4946,MIT,1,0,0.0,-1329.2,49.8,-1324.8,52.9
4947,MIT,1,0,0.0,-1292.5,32.6,-1264.6,40.7
4948,MIT,1,0,0.0,-941.7,31.8,-1022.8,22.5
4949,MIT,1,0,0.0,-1146.1,79.8,-1267.4,72.3
