,Map,Shield,Grid,coll_train,acc_0_train,inter_0_train,acc_1_train,inter_1_train
4800,MIT,1,0,0.0,-2097.1,14.1,-1918.3,37.1
4801,MIT,1,0,0.0,-2152.3,11.5,-2316.2,2.1
4802,MIT,1,0,0.0,-2024.8,14.8,-2098.5,18.1
4803,MIT,1,0,0.0,-2215.2,3.7,-2268.5,4.2
4804,MIT,1,0,0.0,-2218.1,0.4,-2085.7,28.7
4805,MIT,1,0,0.0,-2124.3,5.2,-2077.0,22.0
4806,MIT,1,0,0.0,-2181.2,0.0,-2240.3,3.7
4807,MIT,1,0,0.0,-2003.5,32.9,-2061.4,20.8
4808,MIT,1,0,0.0,-2080.3,16.2,-2079.8,25.6
4809,MIT,1,0,0.0,-1835.3,58.0,-2016.5,29.4
4810,MIT,1,0,0.0,-2039.8,17.3,-2276.7,6.1
4811,MIT,1,0,0.0,-1907.7,50.0,-2086.7,28.9
4812,MIT,1,0,0.0,-2192.9,0.0,-2043.3,34.3
4813,MIT,1,0,0.0,-2024.7,7.7,-1914.3,29.0
4814,MIT,1,0,0.0,-2075.8,17.2,-2202.8,2.9
4815,MIT,1,0,0.0,-2162.0,9.6,-2231.6,3.4
4816,MIT,1,0,0.0,-2085.9,16.7,-2175.8,1.7
4817,MIT,1,0,0.0,-1955.7,32.1,-2065.8,23.7
4818,MIT,1,0,0.0,-2138.4,1.0,-2028.4,27.3
4819,MIT,1,0,0.0,-2163.2,0.0,-2127.4,3.6
4820,MIT,1,0,0.0,-2006.8,24.9,-1933.3,55.1
4821,MIT,1,0,0.0,-2056.1,19.8,-2074.2,17.5
4822,MIT,1,0,0.0,-1901.4,34.5,-1899.3,39.0
4823,MIT,1,0,0.0,-2037.7,32.8,-1912.7,44.8
4824,MIT,1,0,0.0,-1921.7,27.6,-2169.6,11.0
4825,MIT,1,0,0.0,-1928.8,43.3,-2109.2,4.8
4826,MIT,1,0,0.0,-1705.0,67.1,-1980.1,38.6
4827,MIT,1,0,0.0,-1878.4,39.5,-2154.2,7.4
4828,MIT,1,0,0.0,-2105.6,1.3,-1953.8,45.4
4829,MIT,1,0,0.0,-2057.8,10.2,-2067.4,23.8
4830,MIT,1,0,0.0,-1784.3,59.2,-2113.5,18.1
4831,MIT,1,0,0.0,-2124.3,12.5,-2123.6,2.9
4832,MIT,1,0,0.0,-2043.9,12.4,-2000.7,35.3
4833,MIT,1,0,0.0,-2042.3,11.6,-1819.6,60.6
4834,MIT,1,0,0.0,-1896.7,37.8,-2039.6,14.3
4835,MIT,1,0,0.0,-1899.6,39.0,-1787.9,63.8
4836,MIT,1,0,0.0,-1626.8,44.2,-1653.7,37.1
4837,MIT,1,0,0.0,-2021.6,17.5,-2008.6,26.6
4838,MIT,1,0,0.0,-1690.6,67.7,-1879.7,41.7
4839,MIT,1,0,0.0,-1550.2,74.2,-1999.6,2.4
4840,MIT,1,0,0.0,-2145.6,1.4,-1996.8,42.2
4841,MIT,1,0,0.0,-1538.4,86.6,-2134.4,3.8
4842,MIT,1,0,0.0,-1897.1,29.0,-2060.6,5.3
4843,MIT,1,0,0.0,-1713.0,58.4,-1811.4,51.4
4844,MIT,1,0,0.0,-1323.6,115.7,-1924.6,25.7
4845,MIT,1,0,0.0,-1890.2,15.9,-1895.8,27.0
4846,MIT,1,0,0.0,-1957.8,31.4,-1863.2,49.7
4847,MIT,1,0,0.0,-1843.4,39.7,-1932.0,35.8
4848,MIT,1,0,0.0,-1924.1,30.5,-1815.5,41.0
4849,MIT,1,0,0.0,-1794.6,52.4,-1986.1,11.3
4850,MIT,1,0,0.0,-1865.9,31.6,-1875.3,36.4
4851,MIT,1,0,0.0,-1641.7,64.0,-1672.9,50.5
4852,MIT,1,0,0.0,-1481.9,67.2,-1814.2,19.1
4853,MIT,1,0,0.0,-1978.6,26.4,-2130.2,5.8
4854,MIT,1,0,0.0,-1808.5,44.2,-1948.3,24.3
4855,MIT,1,0,0.0,-1659.3,53.1,-1741.0,37.1
4856,MIT,1,0,0.0,-1761.3,66.2,-1857.6,45.0
4857,MIT,1,0,0.0,-1892.2,34.9,-1954.2,30.0
4858,MIT,1,0,0.0,-1707.7,42.8,-1584.7,75.1
4859,MIT,1,0,0.0,-1563.5,69.7,-1875.1,22.1
4860,MIT,1,0,0.0,-1653.3,52.5,-1794.9,34.3
4861,MIT,1,0,0.0,-1805.1,43.6,-1976.6,14.1
4862,MIT,1,0,0.0,-1960.4,33.9,-2109.7,13.3
4863,MIT,1,0,0.0,-1579.4,63.6,-1986.0,5.0
4864,MIT,1,0,0.0,-1629.3,70.5,-1851.0,34.2
4865,MIT,1,0,0.0,-1997.6,11.2,-1613.9,72.9
4866,MIT,1,0,0.0,-1798.7,55.8,-1910.6,40.4
4867,MIT,1,0,0.0,-1417.5,87.4,-1708.1,21.5
4868,MIT,1,0,0.0,-1605.0,27.1,-1642.0,30.7
4869,MIT,1,0,0.0,-1673.2,36.1,-1791.1,33.1
4870,MIT,1,0,0.0,-1719.6,29.3,-1305.5,101.7
4871,MIT,1,0,0.0,-1896.5,18.3,-1801.7,38.0
4872,MIT,1,0,0.0,-1394.9,104.1,-1840.5,26.8
4873,MIT,1,0,0.0,-1700.7,27.1,-1469.2,74.7
4874,MIT,1,0,0.0,-1239.8,101.6,-1706.2,31.7
4875,MIT,1,0,0.0,-1761.1,36.4,-1602.9,66.0
4876,MIT,1,0,0.0,-1475.5,50.2,-1735.6,15.8
4877,MIT,1,0,0.0,-1658.9,67.3,-1930.9,29.8
4878,MIT,1,0,0.0,-1658.1,42.2,-1674.5,41.1
4879,MIT,1,0,0.0,-1781.3,35.7,-1544.1,74.7
4880,MIT,1,0,0.0,-1489.6,62.3,-1643.2,34.2
4881,MIT,1,0,0.0,-1438.9,47.1,-1195.0,84.9
4882,MIT,1,0,0.0,-1432.9,50.0,-1585.6,24.1
4883,MIT,1,0,0.0,-1858.0,16.1,-1772.6,41.9
4884,MIT,1,0,0.0,-1673.2,49.6,-1726.3,42.6
4885,MIT,1,0,0.0,-1054.2,156.1,-1841.6,17.8
4886,MIT,1,0,0.0,-1501.6,74.3,-1815.5,19.3
4887,MIT,1,0,0.0,-1283.2,53.5,-1291.6,48.2
4888,MIT,1,0,0.0,-1724.7,31.7,-1595.5,56.7
4889,MIT,1,0,0.0,-1302.9,100.3,-1806.6,11.6
4890,MIT,1,0,0.0,-1720.3,28.4,-1568.7,50.4
4891,MIT,1,0,0.0,-1573.4,11.8,-1316.0,59.9
4892,MIT,1,0,0.0,-1378.3,40.9,-1209.2,82.2
4893,MIT,1,0,0.0,-1341.4,76.3,-1547.4,47.7
4894,MIT,1,0,0.0,-1408.2,55.0,-1552.7,26.3
4895,MIT,1,0,0.0,-1740.3,33.4,-1670.2,62.4
4896,MIT,1,0,0.0,-1641.1,46.0,-1785.4,34.0
4897,MIT,1,0,0.0,-1661.9,55.2,-1683.0,42.2
4898,MIT,1,0,0.0,-1479.1,59.4,-1508.4,68.0
4899,MIT,1,0,0.0,-1585.4,26.2,-1267.8,88.6
4900,MIT,1,0,0.0,-1524.6,32.9,-1389.1,70.2
4901,MIT,1,0,0.0,-1686.7,54.7,-1453.3,87.3
4902,MIT,1,0,0.0,-1172.9,23.0,-1017.4,63.9
4903,MIT,1,0,0.0,-1187.1,99.7,-1631.4,16.9
4904,MIT,1,0,0.0,-1158.6,79.1,-1414.0,60.0
4905,MIT,1,0,0.0,-1009.7,106.5,-1443.6,28.5
4906,MIT,1,0,0.0,-1652.8,55.7,-1778.1,36.1
4907,MIT,1,0,0.0,-1165.1,83.2,-1484.9,40.2
4908,MIT,1,0,0.0,-1338.6,67.1,-1312.0,85.0
4909,MIT,1,0,0.0,-1067.7,125.9,-1620.9,36.8
4910,MIT,1,0,0.0,-1343.1,84.9,-1365.9,70.9
4911,MIT,1,0,0.0,-1155.5,22.1,-946.6,68.2
4912,MIT,1,0,0.0,-1446.5,39.2,-1427.4,51.6
4913,MIT,1,0,0.0,-1073.9,83.6,-1261.6,52.4
4914,MIT,1,0,0.0,-1417.5,20.6,-1109.0,91.6
4915,MIT,1,0,0.0,-1449.5,34.8,-1098.0,110.2
4916,MIT,1,0,0.0,-1303.3,41.5,-1238.7,56.4
4917,MIT,1,0,0.0,-1520.4,55.6,-1706.0,35.7
4918,MIT,1,0,0.0,-1463.5,33.8,-1376.5,68.3
4919,MIT,1,0,0.0,-1146.8,50.7,-1301.4,20.1
4920,MIT,1,0,0.0,-1068.4,80.8,-1181.5,60.8
4921,MIT,1,0,0.0,-1146.9,80.1,-1463.0,34.9
4922,MIT,1,0,0.0,-1322.9,41.1,-1112.3,80.8
