,Map,Shield,Grid,coll_train,acc_0_train,inter_0_train,acc_1_train,inter_1_train
3200,Pentagon,1,0,0.0,-1528.4,65.4,-1136.6,140.2
3201,Pentagon,1,0,0.0,-1010.0,27.4,-745.4,80.1
3202,Pentagon,1,0,0.0,-1081.2,61.9,-870.3,119.6
3203,Pentagon,1,0,0.0,-1163.4,39.4,-541.1,174.4
3204,Pentagon,1,0,0.0,-1269.3,73.3,-958.7,142.5
3205,Pentagon,1,0,0.0,-1130.6,72.0,-932.5,125.5
3206,Pentagon,1,0,0.0,-1369.9,44.1,-785.1,157.9
3207,Pentagon,1,0,0.0,-1464.1,16.0,-982.4,107.9
3208,Pentagon,1,0,0.0,-1254.8,111.3,-1251.8,129.0
3209,Pentagon,1,0,0.0,-777.7,111.5,-889.4,100.7
3210,Pentagon,1,0,0.0,-1158.4,13.4,-327.1,176.8
3211,Pentagon,1,0,0.0,-1064.4,83.1,-811.5,134.8
3212,Pentagon,1,0,0.0,-1391.0,67.3,-884.6,175.4
3213,Pentagon,1,0,0.0,-1355.2,33.6,-1081.0,98.7
3214,Pentagon,1,0,0.0,-914.7,143.1,-1125.0,120.5
3215,Pentagon,1,0,0.0,-1395.7,20.0,-1035.7,106.8
3216,Pentagon,1,0,0.0,-1428.1,1.7,-585.7,167.9
3217,Pentagon,1,0,0.0,-1251.1,5.5,-448.3,171.2
3218,Pentagon,1,0,0.0,-817.5,104.3,-808.3,111.8
3219,Pentagon,1,0,0.0,-1245.8,57.8,-762.4,158.3
3220,Pentagon,1,0,0.0,-1279.7,44.9,-855.7,132.4
3221,Pentagon,1,0,0.0,-633.2,76.6,-663.6,78.8
3222,Pentagon,1,0,0.0,-1227.4,21.3,-652.7,138.8
3223,Pentagon,1,0,0.0,-1139.5,39.7,-490.9,169.7
3224,Pentagon,1,0,0.0,-873.2,4.6,-368.6,103.2
3225,Pentagon,1,0,0.0,-936.8,86.5,-935.7,102.2
3226,Pentagon,1,0,0.0,-1160.6,41.3,-654.8,142.8
3227,Pentagon,1,0,0.0,-1275.4,29.2,-641.2,154.8
3228,Pentagon,1,0,0.0,-1311.6,17.4,-703.0,140.5
3229,Pentagon,1,0,0.0,-638.4,95.3,-1037.1,34.7
3230,Pentagon,1,0,0.0,-745.0,33.2,-524.3,83.6
3231,Pentagon,1,0,0.0,-977.8,56.1,-660.7,128.8
3232,Pentagon,1,0,0.0,-1604.2,7.0,-443.5,219.0
3233,Pentagon,1,0,0.0,-862.9,42.1,-789.6,80.7
3234,Pentagon,1,0,0.0,-931.8,34.7,-587.3,113.7
3235,Pentagon,1,0,0.0,-1010.5,31.0,-560.6,118.9
3236,Pentagon,1,0,0.0,-1087.4,32.4,-661.3,128.8
3237,Pentagon,1,0,0.0,-1084.8,23.2,-334.0,163.9
3238,Pentagon,1,0,0.0,-1220.3,23.7,-806.6,105.5
3239,Pentagon,1,0,0.0,-1242.7,6.0,-363.1,184.9
3240,Pentagon,1,0,0.0,-1023.8,7.5,-242.5,163.5
3241,Pentagon,1,0,0.0,-974.8,9.5,-287.4,135.9
3242,Pentagon,1,0,0.0,-725.1,45.2,-527.9,90.4
3243,Pentagon,1,0,0.0,-733.8,35.8,-349.7,129.5
3244,Pentagon,1,0,0.0,-646.6,98.0,-830.8,78.5
