,Map,Shield,Grid,coll_train,acc_0_train,inter_0_train,acc_1_train,inter_1_train
0,example,1,0,0.0,-556.5,22.2,-689.5,16.7
1,example,1,0,0.0,-328.9,35.1,-481.9,15.0
2,example,1,0,0.0,-525.6,21.8,-643.1,16.7
3,example,1,0,0.0,-368.9,15.5,-393.7,20.8
4,example,1,0,0.0,-456.7,39.4,-623.3,22.2
5,example,1,0,0.0,-273.5,62.5,-587.2,12.0
6,example,1,0,0.0,-338.0,38.1,-558.5,12.6
7,example,1,0,0.0,-408.4,8.5,-300.4,23.9
8,example,1,0,0.0,-305.1,61.3,-686.3,12.5
9,example,1,0,0.0,-368.6,27.6,-399.9,21.6
10,example,1,0,0.0,-181.6,47.1,-428.7,6.4
11,example,1,0,0.0,-348.7,58.4,-636.6,18.3
12,example,1,0,0.0,-196.5,27.8,-317.6,17.5
13,example,1,0,0.0,-411.1,51.8,-766.8,13.4
14,example,1,0,0.0,-409.0,29.0,-538.9,15.8
15,example,1,0,0.0,-247.2,22.6,-278.9,18.0
16,example,1,0,0.0,-436.9,39.2,-676.4,12.7
17,example,1,0,0.0,-311.7,40.4,-517.7,18.0
18,example,1,0,0.0,-287.8,35.7,-502.1,11.9
19,example,1,0,0.0,-315.4,48.5,-644.9,8.5
20,example,1,0,0.0,-163.1,41.4,-444.0,6.1
21,example,1,0,0.0,-293.2,27.1,-439.5,12.2
22,example,1,0,0.0,-151.6,30.7,-354.7,10.6
23,example,1,0,0.0,-244.7,22.1,-322.2,13.8
24,example,1,0,0.0,-551.2,43.5,-704.6,29.0
25,example,1,0,0.0,-283.5,38.3,-457.9,16.6
26,example,1,0,0.0,-298.1,50.3,-599.7,12.1
27,example,1,0,0.0,-215.5,29.1,-412.5,10.7
28,example,1,0,0.0,-159.2,30.7,-375.1,4.1
29,example,1,0,0.0,-176.1,51.4,-466.1,10.0
30,example,1,0,0.0,-211.6,48.6,-508.9,9.7
31,example,1,0,0.0,-334.1,21.6,-347.7,17.7
32,example,1,0,0.0,-22.0,42.5,-325.5,4.4
33,example,1,0,0.0,-230.9,38.7,-462.7,8.1
34,example,1,0,0.0,-234.7,18.8,-289.4,13.2
35,example,1,0,0.0,-101.0,19.5,-217.4,5.1
36,example,1,0,0.0,-159.4,35.0,-410.4,8.3
37,example,1,0,0.0,-339.8,55.2,-628.7,25.0
38,example,1,0,0.0,-239.9,23.8,-350.8,10.6
39,example,1,0,0.0,-231.9,23.3,-326.6,13.1
40,example,1,0,0.0,-325.0,23.3,-492.9,11.3
41,example,1,0,0.0,-303.8,37.4,-509.6,14.0
42,example,1,0,0.0,-374.8,12.6,-330.1,31.1
43,example,1,0,0.0,-155.0,35.0,-379.6,4.3
44,example,1,0,0.0,-181.9,28.5,-313.9,8.7
45,example,1,0,0.0,-218.4,18.2,-341.0,10.8
46,example,1,0,0.0,-297.6,27.5,-405.0,13.4
47,example,1,0,0.0,-406.6,22.4,-509.3,11.4
48,example,1,0,0.0,-177.9,42.9,-427.3,10.9
49,example,1,0,0.0,-230.5,34.1,-431.7,9.7
50,example,1,0,0.0,-241.0,18.3,-299.3,17.1
