,Map,Shield,Grid,coll_train,acc_0_train,inter_0_train,acc_1_train,inter_1_train
1600,ISR,1,0,0.0,-1131.6,91.1,-1187.7,81.4
1601,ISR,1,0,0.0,-1097.2,115.5,-1481.3,55.7
1602,ISR,1,0,0.0,-1265.4,75.2,-1322.4,66.1
1603,ISR,1,0,0.0,-976.2,81.6,-1028.2,71.8
1604,ISR,1,0,0.0,-923.1,63.3,-995.1,42.0
1605,ISR,1,0,0.0,-1480.9,64.2,-818.4,162.0
1606,ISR,1,0,0.0,-1178.0,145.0,-1035.2,160.8
1607,ISR,1,0,0.0,-836.2,56.7,-458.2,123.4
1608,ISR,1,0,0.0,-980.1,95.6,-1248.5,50.6
1609,ISR,1,0,0.0,-567.5,111.8,-684.9,71.5
1610,ISR,1,0,0.0,-1460.9,63.0,-1159.1,119.8
1611,ISR,1,0,0.0,-1286.9,74.8,-1198.0,74.0
1612,ISR,1,0,0.0,-1136.3,63.2,-826.4,111.5
1613,ISR,1,0,0.0,-608.5,96.3,-1092.6,18.2
1614,ISR,1,0,0.0,-1112.8,141.4,-1326.3,116.4
1615,ISR,1,0,0.0,-1395.0,4.8,-515.1,146.1
1616,ISR,1,0,0.0,-1592.4,88.5,-1653.3,65.8
1617,ISR,1,0,0.0,-761.6,162.7,-1524.0,26.4
1618,ISR,1,0,0.0,-648.6,84.1,-904.3,26.8
1619,ISR,1,0,0.0,-581.9,114.3,-1092.6,31.6
1620,ISR,1,0,0.0,-740.5,127.4,-1177.6,49.2
1621,ISR,1,0,0.0,-381.2,138.4,-1119.8,8.3
1622,ISR,1,0,0.0,-921.7,18.1,-531.3,86.7
1623,ISR,1,0,0.0,-1062.3,52.0,-1002.7,43.1
1624,ISR,1,0,0.0,-970.6,87.9,-1047.2,77.6
1625,ISR,1,0,0.0,-541.1,198.3,-1464.3,39.8
1626,ISR,1,0,0.0,-811.0,79.7,-607.3,115.7
1627,ISR,1,0,0.0,-795.1,30.5,-448.7,88.6
1628,ISR,1,0,0.0,-428.5,208.7,-1314.9,39.9
1629,ISR,1,0,0.0,-1032.7,29.5,-681.1,81.1
1630,ISR,1,0,0.0,-773.7,64.3,-717.4,88.8
1631,ISR,1,0,0.0,-738.3,84.0,-752.5,73.3
1632,ISR,1,0,0.0,-1024.9,55.5,-783.5,98.9
1633,ISR,1,0,0.0,-879.9,87.6,-657.4,118.5
1634,ISR,1,0,0.0,-987.8,45.7,-864.0,76.9
1635,ISR,1,0,0.0,-727.6,53.5,-457.1,94.2
1636,ISR,1,0,0.0,-1025.2,63.3,-671.2,121.0
1637,ISR,1,0,0.0,-640.9,50.1,-463.4,69.1
1638,ISR,1,0,0.0,-416.2,65.6,-446.1,61.6
1639,ISR,1,0,0.0,-546.3,168.2,-1362.7,36.9
1640,ISR,1,0,0.0,-252.0,137.8,-892.8,18.9
1641,ISR,1,0,0.0,-501.0,75.8,-474.7,72.9
1642,ISR,1,0,0.0,-672.4,40.6,-552.3,62.4
1643,ISR,1,0,0.0,-904.4,27.4,-597.3,81.4
1644,ISR,1,0,0.0,-946.7,63.0,-785.1,95.2
1645,ISR,1,0,0.0,-768.2,43.6,-477.6,75.8
1646,ISR,1,0,0.0,-340.9,132.6,-1023.6,16.6
1647,ISR,1,0,0.0,-833.6,23.5,-313.0,114.8
1648,ISR,1,0,0.0,-795.2,99.7,-1177.4,41.2
1649,ISR,1,0,0.0,-944.7,59.9,-806.7,76.5
1650,ISR,1,0,0.0,-664.8,82.8,-715.2,74.0
1651,ISR,1,0,0.0,-259.1,135.1,-647.1,45.5
1652,ISR,1,0,0.0,-389.1,67.0,-391.5,59.8
1653,ISR,1,0,0.0,-675.0,24.6,-250.9,96.3
1654,ISR,1,0,0.0,-948.2,39.3,-653.2,78.7
1655,ISR,1,0,0.0,-377.3,73.2,-485.4,43.9
1656,ISR,1,0,0.0,-675.6,70.2,-743.7,53.6
1657,ISR,1,0,0.0,-251.4,151.6,-983.2,18.3
1658,ISR,1,0,0.0,-565.8,153.4,-1090.9,58.3
1659,ISR,1,0,0.0,-747.3,132.0,-1166.6,44.9
1660,ISR,1,0,0.0,-533.2,15.5,-162.0,80.9
1661,ISR,1,0,0.0,-628.5,78.3,-727.5,57.4
1662,ISR,1,0,0.0,-411.0,65.5,-485.3,45.3
1663,ISR,1,0,0.0,-636.3,115.8,-1090.0,47.1
1664,ISR,1,0,0.0,-400.0,45.7,-519.8,16.0
1665,ISR,1,0,0.0,-375.1,135.8,-1088.6,6.9
1666,ISR,1,0,0.0,-596.4,47.1,-465.4,72.1
1667,ISR,1,0,0.0,-603.2,51.7,-502.3,68.4
1668,ISR,1,0,0.0,-521.9,60.9,-629.9,38.9
1669,ISR,1,0,0.0,-151.9,100.4,-572.0,8.7
1670,ISR,1,0,0.0,-422.9,91.8,-596.0,62.6
1671,ISR,1,0,0.0,-775.3,46.3,-574.0,74.9
1672,ISR,1,0,0.0,-333.6,83.1,-577.2,38.3
1673,ISR,1,0,0.0,-206.2,126.2,-834.2,12.1
1674,ISR,1,0,0.0,-474.7,47.5,-612.4,15.3
1675,ISR,1,0,0.0,-440.9,93.0,-686.9,36.1
1676,ISR,1,0,0.0,-482.3,72.6,-648.7,43.6
1677,ISR,1,0,0.0,-490.4,116.4,-968.8,29.0
1678,ISR,1,0,0.0,-253.0,37.8,-357.0,19.8
1679,ISR,1,0,0.0,-645.1,55.0,-360.1,105.9
1680,ISR,1,0,0.0,-374.7,84.4,-567.6,53.0
1681,ISR,1,0,0.0,-343.4,61.1,-556.4,22.7
1682,ISR,1,0,0.0,-280.2,68.3,-489.0,23.5
1683,ISR,1,0,0.0,-275.2,43.5,-278.0,37.5
1684,ISR,1,0,0.0,-838.5,25.6,-529.5,78.9
1685,ISR,1,0,0.0,-387.9,109.4,-808.8,25.3
1686,ISR,1,0,0.0,-325.7,55.3,-373.0,43.5
1687,ISR,1,0,0.0,-244.0,104.4,-648.0,28.2
1688,ISR,1,0,0.0,-389.8,39.3,-326.6,53.0
1689,ISR,1,0,0.0,-248.9,57.2,-438.7,15.4
1690,ISR,1,0,0.0,-436.3,55.7,-561.9,20.0
1691,ISR,1,0,0.0,-533.9,19.8,-271.6,57.8
1692,ISR,1,0,0.0,-432.7,27.4,-396.9,32.5
1693,ISR,1,0,0.0,-202.8,77.9,-507.8,20.1
1694,ISR,1,0,0.0,-203.0,56.0,-359.3,24.9
1695,ISR,1,0,0.0,-300.9,134.5,-888.8,10.8
1696,ISR,1,0,0.0,-363.6,53.8,-562.3,19.7
1697,ISR,1,0,0.0,-347.7,64.5,-470.8,41.9
1698,ISR,1,0,0.0,-988.8,105.9,-1000.9,105.7
1699,ISR,1,0,0.0,-332.2,120.2,-848.4,17.2
1700,ISR,1,0,0.0,-99.3,104.2,-560.6,8.8
1701,ISR,1,0,0.0,-313.1,60.8,-565.0,8.5
1702,ISR,1,0,0.0,-253.7,41.3,-348.1,26.2
1703,ISR,1,0,0.0,-424.3,73.8,-576.0,45.2
1704,ISR,1,0,0.0,-145.6,91.8,-603.2,5.5
1705,ISR,1,0,0.0,-86.4,51.4,-208.7,17.6
1706,ISR,1,0,0.0,-142.8,59.8,-382.9,10.5
1707,ISR,1,0,0.0,-569.5,12.8,-320.8,69.1
1708,ISR,1,0,0.0,-337.5,76.6,-523.0,33.8
1709,ISR,1,0,0.0,14.9,63.7,-278.8,6.4
1710,ISR,1,0,0.0,-388.1,44.6,-325.6,54.0
1711,ISR,1,0,0.0,-274.3,72.1,-506.7,35.4
1712,ISR,1,0,0.0,-399.5,45.3,-327.5,50.9
1713,ISR,1,0,0.0,-489.7,13.6,-228.4,67.6
1714,ISR,1,0,0.0,-301.7,53.1,-343.9,56.0
1715,ISR,1,0,0.0,-282.1,98.4,-627.9,25.9
1716,ISR,1,0,0.0,-314.5,31.0,-261.9,44.2
1717,ISR,1,0,0.0,-243.6,100.6,-550.2,30.7
1718,ISR,1,0,0.0,-239.7,62.1,-357.2,33.7
1719,ISR,1,0,0.0,-80.3,59.4,-323.1,9.3
1720,ISR,1,0,0.0,-546.4,18.6,-186.4,85.7
1721,ISR,1,0,0.0,-236.4,64.3,-390.0,34.2
1722,ISR,1,0,0.0,-216.8,31.8,-202.6,30.7
1723,ISR,1,0,0.0,-274.4,66.1,-537.2,22.0
1724,ISR,1,0,0.0,-134.5,33.5,-164.0,23.5
1725,ISR,1,0,0.0,-234.8,70.0,-501.4,14.8
1726,ISR,1,0,0.0,-72.0,78.5,-443.6,8.7
1727,ISR,1,0,0.0,-187.4,35.5,-238.5,19.4
1728,ISR,1,0,0.0,-149.7,48.4,-278.4,16.1
1729,ISR,1,0,0.0,-228.7,22.1,-263.3,20.0
1730,ISR,1,0,0.0,-7.6,39.0,-181.9,10.5
1731,ISR,1,0,0.0,-244.3,41.5,-345.6,27.1
1732,ISR,1,0,0.0,-183.3,46.0,-322.8,16.3
1733,ISR,1,0,0.0,-282.8,39.9,-303.2,34.2
1734,ISR,1,0,0.0,-359.0,38.0,-341.0,39.4
1735,ISR,1,0,0.0,-228.9,22.4,-215.7,27.2
1736,ISR,1,0,0.0,-278.3,47.0,-302.0,44.6
1737,ISR,1,0,0.0,-196.7,23.3,-311.3,11.3
1738,ISR,1,0,0.0,-196.4,46.4,-252.0,37.0
1739,ISR,1,0,0.0,-151.7,47.2,-267.2,24.1
1740,ISR,1,0,0.0,-222.4,80.8,-632.7,11.7
1741,ISR,1,0,0.0,-426.8,42.1,-416.8,47.0
1742,ISR,1,0,0.0,-132.8,61.2,-361.2,16.9
1743,ISR,1,0,0.0,-231.9,14.0,-173.7,19.0
1744,ISR,1,0,0.0,-183.7,21.7,-139.6,33.2
1745,ISR,1,0,0.0,-313.9,43.9,-270.2,47.1
1746,ISR,1,0,0.0,-59.5,104.4,-505.0,16.1
1747,ISR,1,0,0.0,-139.0,45.2,-262.9,15.7
1748,ISR,1,0,0.0,-185.2,35.6,-228.8,20.6
1749,ISR,1,0,0.0,-285.2,23.7,-108.8,55.5
1750,ISR,1,0,0.0,-192.1,32.8,-233.0,28.1
1751,ISR,1,0,0.0,-315.1,52.6,-316.0,50.8
1752,ISR,1,0,0.0,-78.0,13.5,-113.7,7.8
1753,ISR,1,0,0.0,-126.1,41.4,-273.6,10.9
1754,ISR,1,0,0.0,-184.7,37.7,-285.9,15.6
1755,ISR,1,0,0.0,-141.0,21.1,-101.9,21.2
1756,ISR,1,0,0.0,-81.6,27.9,-116.6,14.9
1757,ISR,1,0,0.0,-343.1,48.2,-212.0,57.2
1758,ISR,1,0,0.0,-142.4,25.0,-133.7,27.9
1759,ISR,1,0,0.0,-166.9,23.1,-172.6,22.6
1760,ISR,1,0,0.0,-133.1,71.6,-482.8,12.0
1761,ISR,1,0,0.0,-171.3,26.8,-173.4,21.7
1762,ISR,1,0,0.0,-67.0,21.4,-161.5,7.3
1763,ISR,1,0,0.0,-78.2,21.7,-113.4,13.9
1764,ISR,1,0,0.0,-148.9,42.4,-295.5,15.9
1765,ISR,1,0,0.0,-227.9,26.3,-160.9,34.8
1766,ISR,1,0,0.0,-44.4,21.3,-104.2,8.7
1767,ISR,1,0,0.0,-153.6,40.1,-163.1,40.2
1768,ISR,1,0,0.0,-113.2,21.5,-93.2,15.5
1769,ISR,1,0,0.0,-52.4,20.5,-126.0,10.4
1770,ISR,1,0,0.0,-184.4,24.6,-110.7,42.7
1771,ISR,1,0,0.0,-47.2,54.8,-265.7,4.9
1772,ISR,1,0,0.0,-165.2,22.7,-112.7,32.1
1773,ISR,1,0,0.0,-25.5,20.0,-138.9,2.3
1774,ISR,1,0,0.0,-14.3,53.3,-226.5,10.1
1775,ISR,1,0,0.0,-237.1,33.9,-227.6,35.4
1776,ISR,1,0,0.0,-265.8,14.1,-124.5,43.8
1777,ISR,1,0,0.0,-79.9,59.4,-357.6,5.6
1778,ISR,1,0,0.0,-113.4,19.0,-109.9,24.4
1779,ISR,1,0,0.0,-101.3,64.8,-382.1,16.4
1780,ISR,1,0,0.0,-257.5,13.6,-123.9,42.3
1781,ISR,1,0,0.0,-198.0,18.6,-173.3,23.6
1782,ISR,1,0,0.0,-295.5,24.4,-203.9,31.9
1783,ISR,1,0,0.0,-60.6,30.9,-164.2,9.6
1784,ISR,1,0,0.0,-173.7,39.2,-231.9,21.2
1785,ISR,1,0,0.0,-76.2,13.0,-64.5,22.2
1786,ISR,1,0,0.0,-20.7,63.9,-284.1,3.6
1787,ISR,1,0,0.0,-54.0,12.1,-88.0,12.4
1788,ISR,1,0,0.0,-86.6,55.4,-258.3,13.2
1789,ISR,1,0,0.0,-23.5,18.7,-58.4,10.5
1790,ISR,1,0,0.0,-38.9,23.3,-70.4,15.6
1791,ISR,1,0,0.0,-147.8,16.1,-132.7,22.9
1792,ISR,1,0,0.0,-191.9,16.5,-117.2,35.1
1793,ISR,1,0,0.0,-53.2,65.5,-274.6,18.3
1794,ISR,1,0,0.0,-145.8,37.5,-267.5,21.8
1795,ISR,1,0,0.0,-246.9,31.1,-277.2,31.5
1796,ISR,1,0,0.0,-85.2,20.2,-94.1,20.2
1797,ISR,1,0,0.0,-211.6,39.4,-275.1,21.6
1798,ISR,1,0,0.0,-14.8,47.8,-195.4,4.4
1799,ISR,1,0,0.0,-70.1,38.0,-162.1,17.1
1800,ISR,1,0,0.0,-67.2,24.0,-132.6,10.3
1801,ISR,1,0,0.0,-59.0,18.2,-76.9,13.2
1802,ISR,1,0,0.0,-114.0,35.9,-200.7,14.7
1803,ISR,1,0,0.0,2.1,58.3,-224.5,6.9
1804,ISR,1,0,0.0,-87.5,20.0,-127.4,16.1
1805,ISR,1,0,0.0,-149.3,14.0,-91.4,31.1
1806,ISR,1,0,0.0,4.8,12.7,-33.7,7.0
1807,ISR,1,0,0.0,-36.9,31.5,-197.2,4.8
1808,ISR,1,0,0.0,-69.1,51.1,-255.5,9.7
1809,ISR,1,0,0.0,-61.5,27.4,-144.5,10.9
1810,ISR,1,0,0.0,-91.7,21.3,-104.3,11.4
1811,ISR,1,0,0.0,23.0,42.1,-151.7,3.2
1812,ISR,1,0,0.0,-42.1,38.8,-168.3,10.3
1813,ISR,1,0,0.0,-91.4,44.3,-281.5,12.4
1814,ISR,1,0,0.0,-56.0,25.5,-144.9,9.8
1815,ISR,1,0,0.0,-14.9,39.0,-139.8,11.3
1816,ISR,1,0,0.0,-178.4,65.3,-373.0,19.1
1817,ISR,1,0,0.0,-58.1,51.2,-215.9,9.0
1818,ISR,1,0,0.0,13.0,27.9,-102.6,3.8
1819,ISR,1,0,0.0,-95.8,23.3,-104.8,19.4
1820,ISR,1,0,0.0,-87.1,14.2,-78.6,17.7
1821,ISR,1,0,0.0,-118.8,29.4,-141.4,24.1
1822,ISR,1,0,0.0,16.1,53.9,-197.9,3.6
1823,ISR,1,0,0.0,-143.4,31.9,-215.3,18.7
1824,ISR,1,0,0.0,1.3,76.0,-348.9,3.5
1825,ISR,1,0,0.0,-161.4,14.6,-91.0,30.8
1826,ISR,1,0,0.0,-21.7,9.3,-26.5,7.6
1827,ISR,1,0,0.0,-51.4,15.4,-91.8,11.1
1828,ISR,1,0,0.0,-101.1,33.6,-138.8,10.7
1829,ISR,1,0,0.0,-36.1,26.8,-144.7,9.0
1830,ISR,1,0,0.0,-110.2,16.4,-84.6,22.7
1831,ISR,1,0,0.0,-78.8,25.4,-92.7,14.0
1832,ISR,1,0,0.0,-201.5,7.4,-61.2,39.7
1833,ISR,1,0,0.0,-67.0,37.5,-178.7,8.9
1834,ISR,1,0,0.0,-65.6,33.1,-154.0,19.4
1835,ISR,1,0,0.0,-149.6,14.0,-165.4,10.7
1836,ISR,1,0,0.0,-45.0,40.6,-173.2,4.0
1837,ISR,1,0,0.0,13.1,46.0,-184.5,3.8
1838,ISR,1,0,0.0,-46.7,17.2,-96.4,4.0
1839,ISR,1,0,0.0,-159.9,18.8,-146.3,29.4
1840,ISR,1,0,0.0,-54.6,10.1,-55.4,12.2
1841,ISR,1,0,0.0,-25.5,22.1,-85.9,7.9
1842,ISR,1,0,0.0,-37.4,34.1,-137.7,21.5
1843,ISR,1,0,0.0,-25.1,33.8,-130.2,4.1
1844,ISR,1,0,0.0,-11.4,31.9,-145.2,4.2
1845,ISR,1,0,0.0,-51.1,45.8,-198.9,10.2
1846,ISR,1,0,0.0,-6.8,30.6,-103.9,4.9
1847,ISR,1,0,0.0,-95.5,36.2,-192.0,16.5
1848,ISR,1,0,0.0,-91.2,15.9,-83.5,15.5
1849,ISR,1,0,0.0,-10.3,23.2,-72.4,5.7
1850,ISR,1,0,0.0,-100.6,22.5,-82.9,24.1
1851,ISR,1,0,0.0,4.0,25.3,-59.5,7.5
1852,ISR,1,0,0.0,-8.6,46.0,-183.9,9.2
1853,ISR,1,0,0.0,-33.8,20.6,-53.5,12.3
1854,ISR,1,0,0.0,-49.9,12.1,-16.2,20.0
1855,ISR,1,0,0.0,-121.4,47.4,-242.5,18.2
1856,ISR,1,0,0.0,-22.1,25.2,-77.9,8.3
1857,ISR,1,0,0.0,32.7,19.0,-44.9,1.1
1858,ISR,1,0,0.0,-46.5,12.8,-82.9,7.9
1859,ISR,1,0,0.0,-22.2,18.4,-52.8,8.5
1860,ISR,1,0,0.0,7.3,35.8,-130.8,9.4
1861,ISR,1,0,0.0,-34.4,20.9,-145.0,7.3
