,Map,Shield,Grid,coll_train,acc_0_train,inter_0_train,acc_1_train,inter_1_train
6400,SUNY,1,0,0.0,-983.4,67.8,-1282.3,21.2
6401,SUNY,1,0,0.0,-1350.4,32.8,-1378.9,39.1
6402,SUNY,1,0,0.0,-1110.8,31.2,-1094.6,62.4
6403,SUNY,1,0,0.0,-1352.0,66.9,-1212.7,103.7
6404,SUNY,1,0,0.0,-1095.6,113.7,-1298.7,94.0
6405,SUNY,1,0,0.0,-1061.3,119.2,-1370.3,57.4
6406,SUNY,1,0,0.0,-1296.0,52.8,-970.2,111.1
6407,SUNY,1,0,0.0,-1216.0,59.4,-1257.0,46.9
6408,SUNY,1,0,0.0,-1219.0,107.4,-1687.8,15.7
6409,SUNY,1,0,0.0,-1168.4,41.4,-806.6,113.3
6410,SUNY,1,0,0.0,-1040.7,105.6,-1419.1,39.6
6411,SUNY,1,0,0.0,-1367.9,53.4,-1140.2,85.5
6412,SUNY,1,0,0.0,-1450.5,55.3,-843.0,172.2
6413,SUNY,1,0,0.0,-920.0,116.1,-1229.9,45.5
6414,SUNY,1,0,0.0,-1309.8,89.4,-1387.7,51.9
6415,SUNY,1,0,0.0,-1183.6,113.5,-1491.8,45.8
6416,SUNY,1,0,0.0,-1485.1,32.1,-815.1,143.1
6417,SUNY,1,0,0.0,-937.6,87.0,-1160.1,58.3
6418,SUNY,1,0,0.0,-987.0,83.5,-792.0,110.8
6419,SUNY,1,0,0.0,-850.2,63.6,-1002.0,30.8
6420,SUNY,1,0,0.0,-1166.5,55.1,-1044.1,93.5
6421,SUNY,1,0,0.0,-1146.9,58.5,-1066.8,104.5
6422,SUNY,1,0,0.0,-1400.4,77.4,-1277.0,107.8
6423,SUNY,1,0,0.0,-827.2,90.0,-1081.5,62.9
6424,SUNY,1,0,0.0,-898.7,84.1,-1272.4,20.9
6425,SUNY,1,0,0.0,-1264.5,45.1,-758.8,138.5
6426,SUNY,1,0,0.0,-1133.4,81.9,-1344.2,53.3
6427,SUNY,1,0,0.0,-1059.4,64.2,-1234.1,26.6
6428,SUNY,1,0,0.0,-1047.9,49.7,-841.0,98.3
6429,SUNY,1,0,0.0,-1277.0,92.6,-1381.7,94.6
6430,SUNY,1,0,0.0,-969.8,113.1,-1012.1,105.8
6431,SUNY,1,0,0.0,-1126.5,131.0,-1503.0,54.0
6432,SUNY,1,0,0.0,-887.6,36.8,-640.0,81.8
6433,SUNY,1,0,0.0,-1088.1,105.9,-1167.7,89.7
6434,SUNY,1,0,0.0,-1327.6,18.8,-758.3,130.8
6435,SUNY,1,0,0.0,-838.3,53.8,-779.1,71.2
6436,SUNY,1,0,0.0,-749.3,96.1,-1204.3,15.0
6437,SUNY,1,0,0.0,-1198.9,46.5,-1029.1,86.2
6438,SUNY,1,0,0.0,-897.3,139.1,-1421.6,58.4
