,Map,Shield,Grid,coll_train,acc_0_train,inter_0_train,acc_1_train,inter_1_train
4500,MIT,1,0,0.0,-2183.0,0.5,-2154.4,13.6
4501,MIT,1,0,0.0,-2160.5,0.2,-1998.1,32.9
4502,MIT,1,0,0.0,-2022.9,22.0,-2120.9,19.8
4503,MIT,1,0,0.0,-1801.7,52.5,-2227.1,5.4
4504,MIT,1,0,0.0,-2122.1,8.4,-2158.4,7.8
4505,MIT,1,0,0.0,-2019.6,34.8,-2233.4,4.2
4506,MIT,1,0,0.0,-2155.0,5.9,-2048.1,28.4
4507,MIT,1,0,0.0,-2098.3,8.1,-2005.6,16.4
4508,MIT,1,0,0.0,-2184.8,4.8,-2084.2,13.1
4509,MIT,1,0,0.0,-2253.1,3.7,-2180.5,7.0
4510,MIT,1,0,0.0,-1989.2,17.2,-2075.7,9.0
4511,MIT,1,0,0.0,-2148.6,1.9,-1993.0,15.8
4512,MIT,1,0,0.0,-1922.0,42.8,-2104.2,23.4
4513,MIT,1,0,0.0,-2155.1,0.0,-2095.4,24.3
4514,MIT,1,0,0.0,-2175.8,0.3,-2058.3,35.8
4515,MIT,1,0,0.0,-2170.2,2.9,-2258.6,2.4
4516,MIT,1,0,0.0,-1777.2,56.8,-2104.8,13.8
4517,MIT,1,0,0.0,-1837.5,34.4,-1870.2,35.2
4518,MIT,1,0,0.0,-1922.2,36.6,-1993.8,21.0
4519,MIT,1,0,0.0,-1884.2,39.3,-2054.2,20.0
4520,MIT,1,0,0.0,-1873.9,38.3,-2191.1,6.1
4521,MIT,1,0,0.0,-1603.1,67.7,-1863.4,43.1
4522,MIT,1,0,0.0,-1944.0,32.7,-2174.5,3.3
4523,MIT,1,0,0.0,-2009.9,10.2,-1951.4,23.7
4524,MIT,1,0,0.0,-2013.8,27.5,-1875.1,52.4
4525,MIT,1,0,0.0,-1836.2,48.2,-1960.1,31.9
4526,MIT,1,0,0.0,-2020.7,16.5,-2038.2,34.3
4527,MIT,1,0,0.0,-2111.1,0.2,-1821.9,63.9
4528,MIT,1,0,0.0,-2177.6,0.0,-2091.1,25.1
4529,MIT,1,0,0.0,-2045.8,11.7,-2018.1,29.1
4530,MIT,1,0,0.0,-1864.3,35.7,-2140.7,2.8
4531,MIT,1,0,0.0,-1855.5,25.6,-2044.8,12.1
4532,MIT,1,0,0.0,-1901.1,23.1,-1687.0,66.7
4533,MIT,1,0,0.0,-2023.0,15.8,-2084.3,16.9
4534,MIT,1,0,0.0,-1738.5,63.2,-2122.1,11.0
4535,MIT,1,0,0.0,-2049.0,13.6,-1922.1,41.9
4536,MIT,1,0,0.0,-1857.7,36.3,-2145.2,5.0
4537,MIT,1,0,0.0,-1536.3,80.6,-1903.0,8.4
4538,MIT,1,0,0.0,-1906.0,29.6,-1973.2,25.6
4539,MIT,1,0,0.0,-1953.6,26.8,-1893.2,37.6
4540,MIT,1,0,0.0,-1419.8,116.3,-1919.9,45.8
4541,MIT,1,0,0.0,-1734.9,47.6,-2024.5,3.7
4542,MIT,1,0,0.0,-1929.9,36.7,-2076.9,17.1
4543,MIT,1,0,0.0,-2049.8,11.1,-2117.1,20.7
4544,MIT,1,0,0.0,-1848.9,20.4,-1848.8,34.2
4545,MIT,1,0,0.0,-1803.2,57.5,-1924.2,44.8
4546,MIT,1,0,0.0,-1714.0,78.0,-1955.0,31.0
4547,MIT,1,0,0.0,-1873.3,39.6,-2000.2,25.7
4548,MIT,1,0,0.0,-1897.4,7.9,-1463.1,96.8
4549,MIT,1,0,0.0,-1786.3,32.3,-1776.8,47.4
4550,MIT,1,0,0.0,-1829.8,57.1,-2133.9,17.6
4551,MIT,1,0,0.0,-1607.1,65.9,-1838.3,33.9
4552,MIT,1,0,0.0,-1795.5,8.8,-1563.0,56.8
4553,MIT,1,0,0.0,-1653.0,54.5,-1856.0,21.3
4554,MIT,1,0,0.0,-1824.2,37.0,-1922.8,29.6
4555,MIT,1,0,0.0,-1574.7,81.4,-1935.7,7.0
4556,MIT,1,0,0.0,-1967.6,9.9,-1881.9,37.5
4557,MIT,1,0,0.0,-1592.2,64.4,-1984.8,4.0
4558,MIT,1,0,0.0,-1684.8,52.4,-2068.4,3.2
4559,MIT,1,0,0.0,-2089.0,3.7,-1699.1,75.3
4560,MIT,1,0,0.0,-1741.7,29.0,-1689.5,30.9
4561,MIT,1,0,0.0,-1611.9,30.1,-1530.5,53.7
4562,MIT,1,0,0.0,-1915.6,28.0,-1962.0,10.8
4563,MIT,1,0,0.0,-1683.7,49.2,-1996.6,2.7
4564,MIT,1,0,0.0,-1711.3,40.7,-1676.7,52.3
4565,MIT,1,0,0.0,-1601.8,70.0,-1848.9,42.0
4566,MIT,1,0,0.0,-1681.5,43.1,-1632.9,50.3
4567,MIT,1,0,0.0,-1296.5,75.5,-1494.4,54.8
4568,MIT,1,0,0.0,-1675.2,44.7,-1691.9,53.1
4569,MIT,1,0,0.0,-1990.4,15.3,-1419.0,118.3
4570,MIT,1,0,0.0,-1347.2,74.2,-1575.3,27.7
4571,MIT,1,0,0.0,-1391.6,77.6,-1748.7,30.1
4572,MIT,1,0,0.0,-1626.0,82.6,-1790.0,56.6
4573,MIT,1,0,0.0,-1939.6,7.8,-1686.3,56.9
4574,MIT,1,0,0.0,-1559.9,71.2,-1979.8,19.9
4575,MIT,1,0,0.0,-1705.1,50.2,-1848.4,39.6
4576,MIT,1,0,0.0,-1636.7,73.2,-1990.4,17.6
4577,MIT,1,0,0.0,-1451.7,45.1,-1629.8,17.5
4578,MIT,1,0,0.0,-1751.6,35.6,-1683.9,41.2
4579,MIT,1,0,0.0,-1857.9,19.4,-1521.9,82.9
4580,MIT,1,0,0.0,-1754.2,36.5,-1755.1,40.1
4581,MIT,1,0,0.0,-1435.4,55.9,-1577.8,37.0
4582,MIT,1,0,0.0,-1366.2,41.4,-1359.9,47.0
4583,MIT,1,0,0.0,-1223.9,59.9,-1542.3,7.1
4584,MIT,1,0,0.0,-1493.9,35.4,-1230.4,73.6
4585,MIT,1,0,0.0,-1309.8,121.0,-1761.3,30.4
4586,MIT,1,0,0.0,-1762.8,22.6,-1723.5,27.5
4587,MIT,1,0,0.0,-1503.5,50.1,-1467.0,57.7
4588,MIT,1,0,0.0,-1442.7,59.5,-1463.9,58.0
4589,MIT,1,0,0.0,-1356.4,83.0,-1679.6,33.3
4590,MIT,1,0,0.0,-1295.8,106.4,-1501.2,63.2
4591,MIT,1,0,0.0,-1492.5,62.8,-1601.4,48.7
4592,MIT,1,0,0.0,-1582.6,21.8,-1243.4,99.8
4593,MIT,1,0,0.0,-1291.7,46.1,-1406.0,22.4
4594,MIT,1,0,0.0,-1463.8,75.0,-1677.5,38.6
4595,MIT,1,0,0.0,-1399.4,25.0,-1304.6,48.5
4596,MIT,1,0,0.0,-1100.1,82.4,-1459.9,15.8
4597,MIT,1,0,0.0,-1184.7,74.2,-1399.9,30.8
4598,MIT,1,0,0.0,-1366.8,72.4,-1663.3,19.2
4599,MIT,1,0,0.0,-1177.2,48.3,-1296.6,24.3
4600,MIT,1,0,0.0,-1066.9,115.8,-1595.6,27.1
4601,MIT,1,0,0.0,-1215.9,99.1,-1384.5,66.7
4602,MIT,1,0,0.0,-1277.3,58.4,-1204.1,78.1
4603,MIT,1,0,0.0,-1336.8,49.9,-1382.5,42.2
4604,MIT,1,0,0.0,-1645.7,15.4,-1318.6,86.2
4605,MIT,1,0,0.0,-1052.6,80.2,-1282.0,36.4
4606,MIT,1,0,0.0,-1242.5,86.1,-1477.3,45.3
4607,MIT,1,0,0.0,-1311.6,64.0,-1531.5,36.2
4608,MIT,1,0,0.0,-1144.9,68.4,-1405.0,23.0
4609,MIT,1,0,0.0,-1245.4,64.3,-1405.9,34.8
4610,MIT,1,0,0.0,-1788.5,11.8,-1325.5,88.3
4611,MIT,1,0,0.0,-1256.2,36.1,-1106.1,69.9
4612,MIT,1,0,0.0,-1233.0,80.2,-1420.3,43.3
4613,MIT,1,0,0.0,-1350.3,28.3,-1322.1,38.4
4614,MIT,1,0,0.0,-1281.4,96.0,-1588.1,52.4
4615,MIT,1,0,0.0,-1076.7,77.9,-1290.9,41.4
4616,MIT,1,0,0.0,-1127.3,53.0,-1203.2,41.1
4617,MIT,1,0,0.0,-1527.2,33.3,-1450.7,43.6
4618,MIT,1,0,0.0,-1028.4,89.3,-1204.8,66.9
4619,MIT,1,0,0.0,-1076.6,98.8,-1449.0,43.6
4620,MIT,1,0,0.0,-1049.9,59.0,-1156.5,48.6
4621,MIT,1,0,0.0,-1177.9,75.6,-1246.9,50.1
4622,MIT,1,0,0.0,-1806.9,17.4,-1252.8,108.5
4623,MIT,1,0,0.0,-1481.8,41.9,-1235.7,87.0
4624,MIT,1,0,0.0,-901.7,81.4,-1206.6,22.9
4625,MIT,1,0,0.0,-1110.4,87.1,-1437.5,28.9
4626,MIT,1,0,0.0,-1416.0,16.6,-1274.2,48.4
4627,MIT,1,0,0.0,-1095.3,45.5,-978.6,68.4
4628,MIT,1,0,0.0,-957.7,91.1,-1349.8,25.1
4629,MIT,1,0,0.0,-1341.1,26.3,-1111.1,72.0
4630,MIT,1,0,0.0,-1009.3,41.9,-929.8,60.2
4631,MIT,1,0,0.0,-908.8,96.5,-1120.4,58.0
4632,MIT,1,0,0.0,-1128.3,53.0,-1131.7,51.4
4633,MIT,1,0,0.0,-935.6,124.8,-1540.0,21.6
4634,MIT,1,0,0.0,-1195.0,60.5,-1232.3,59.0
4635,MIT,1,0,0.0,-1232.8,44.1,-1113.9,65.3
4636,MIT,1,0,0.0,-1009.1,42.9,-1212.1,23.5
4637,MIT,1,0,0.0,-1096.1,80.8,-1252.3,51.2
4638,MIT,1,0,0.0,-956.0,44.3,-1063.0,32.4
4639,MIT,1,0,0.0,-1140.5,60.0,-1121.8,66.9
4640,MIT,1,0,0.0,-985.1,64.8,-1095.1,38.3
4641,MIT,1,0,0.0,-996.7,115.6,-1399.6,64.6
4642,MIT,1,0,0.0,-1309.1,65.5,-1349.3,53.0
4643,MIT,1,0,0.0,-1009.7,60.7,-1084.7,54.8
4644,MIT,1,0,0.0,-822.3,98.2,-1249.4,31.2
4645,MIT,1,0,0.0,-654.2,118.6,-1223.9,19.1
4646,MIT,1,0,0.0,-819.1,111.9,-1178.1,41.7
4647,MIT,1,0,0.0,-962.2,51.2,-983.1,48.5
4648,MIT,1,0,0.0,-844.2,95.6,-1162.4,38.9
4649,MIT,1,0,0.0,-892.1,95.3,-1251.6,13.0
4650,MIT,1,0,0.0,-1032.6,88.9,-1250.3,34.4
4651,MIT,1,0,0.0,-1041.1,61.4,-1028.2,56.1
4652,MIT,1,0,0.0,-896.1,43.7,-969.1,30.3
4653,MIT,1,0,0.0,-1000.2,36.9,-846.5,83.5
4654,MIT,1,0,0.0,-953.0,97.8,-1042.0,76.5
4655,MIT,1,0,0.0,-823.1,92.7,-1076.0,41.0
4656,MIT,1,0,0.0,-730.5,85.7,-962.4,50.5
4657,MIT,1,0,0.0,-848.5,103.7,-1355.9,18.1
4658,MIT,1,0,0.0,-726.8,45.7,-792.3,40.0
4659,MIT,1,0,0.0,-596.2,78.8,-920.7,26.4
4660,MIT,1,0,0.0,-988.2,51.0,-954.6,63.0
4661,MIT,1,0,0.0,-832.9,46.2,-785.5,62.7
4662,MIT,1,0,0.0,-893.1,73.1,-921.7,76.4
4663,MIT,1,0,0.0,-938.4,90.2,-1181.3,49.4
4664,MIT,1,0,0.0,-1182.6,38.0,-975.8,76.4
4665,MIT,1,0,0.0,-1022.7,55.9,-967.5,76.3
4666,MIT,1,0,0.0,-899.1,76.3,-890.0,65.2
4667,MIT,1,0,0.0,-780.8,86.4,-958.5,47.0
4668,MIT,1,0,0.0,-718.3,62.8,-951.6,12.9
4669,MIT,1,0,0.0,-807.8,56.1,-767.2,57.9
4670,MIT,1,0,0.0,-624.1,81.0,-1016.4,11.0
4671,MIT,1,0,0.0,-800.0,46.3,-774.0,51.2
4672,MIT,1,0,0.0,-966.3,67.3,-1184.4,23.6
4673,MIT,1,0,0.0,-910.8,38.5,-788.7,75.7
4674,MIT,1,0,0.0,-887.2,35.2,-871.6,31.8
4675,MIT,1,0,0.0,-749.0,78.9,-992.5,29.4
4676,MIT,1,0,0.0,-1014.6,55.2,-1060.4,54.7
4677,MIT,1,0,0.0,-985.0,26.6,-848.8,56.0
4678,MIT,1,0,0.0,-752.6,56.5,-994.7,16.5
4679,MIT,1,0,0.0,-675.3,48.6,-692.8,54.3
4680,MIT,1,0,0.0,-840.5,67.8,-933.7,45.2
4681,MIT,1,0,0.0,-704.7,67.7,-824.9,41.4
4682,MIT,1,0,0.0,-767.1,43.3,-630.9,80.6
4683,MIT,1,0,0.0,-804.6,92.9,-1177.7,12.5
4684,MIT,1,0,0.0,-771.2,33.4,-795.2,37.0
4685,MIT,1,0,0.0,-832.0,26.9,-755.5,40.7
4686,MIT,1,0,0.0,-799.0,41.2,-803.4,35.7
4687,MIT,1,0,0.0,-928.0,19.6,-756.2,63.3
4688,MIT,1,0,0.0,-799.5,69.9,-983.6,36.4
4689,MIT,1,0,0.0,-758.4,79.6,-949.8,41.6
4690,MIT,1,0,0.0,-750.3,41.1,-764.9,36.8
4691,MIT,1,0,0.0,-637.0,55.6,-816.7,22.6
4692,MIT,1,0,0.0,-780.5,33.0,-748.6,55.3
4693,MIT,1,0,0.0,-631.0,50.2,-823.6,19.2
4694,MIT,1,0,0.0,-924.6,18.4,-849.2,49.6
4695,MIT,1,0,0.0,-693.6,47.3,-733.7,37.4
4696,MIT,1,0,0.0,-824.5,38.2,-784.9,52.8
4697,MIT,1,0,0.0,-844.1,26.0,-649.7,60.7
4698,MIT,1,0,0.0,-796.6,54.3,-860.5,39.2
4699,MIT,1,0,0.0,-678.5,56.7,-766.1,56.2
4700,MIT,1,0,0.0,-825.5,72.3,-983.7,48.4
4701,MIT,1,0,0.0,-955.3,15.4,-801.6,45.7
4702,MIT,1,0,0.0,-725.3,43.9,-823.1,36.0
4703,MIT,1,0,0.0,-570.6,16.8,-580.8,23.8
4704,MIT,1,0,0.0,-638.7,35.8,-623.4,33.7
4705,MIT,1,0,0.0,-802.2,44.0,-805.2,53.4
4706,MIT,1,0,0.0,-803.0,49.7,-780.4,52.2
4707,MIT,1,0,0.0,-528.6,62.4,-738.9,29.1
4708,MIT,1,0,0.0,-515.4,13.9,-484.4,21.1
4709,MIT,1,0,0.0,-595.1,69.0,-763.8,31.7
4710,MIT,1,0,0.0,-571.6,34.5,-542.9,43.3
4711,MIT,1,0,0.0,-607.0,47.9,-737.5,35.6
4712,MIT,1,0,0.0,-439.8,52.6,-589.1,19.5
4713,MIT,1,0,0.0,-784.4,23.2,-573.0,71.8
