,Map,Shield,Grid,coll_train,acc_0_train,inter_0_train,acc_1_train,inter_1_train
6000,SUNY,1,0,0.0,-1098.8,50.6,-906.7,66.4
6001,SUNY,1,0,0.0,-1136.1,76.6,-1297.5,66.2
6002,SUNY,1,0,0.0,-1313.3,75.7,-1337.5,68.9
6003,SUNY,1,0,0.0,-1341.8,81.8,-1155.5,124.4
6004,SUNY,1,0,0.0,-1690.8,27.3,-1108.0,137.0
6005,SUNY,1,0,0.0,-1163.9,120.3,-1265.9,94.1
6006,SUNY,1,0,0.0,-1349.1,59.1,-1418.4,45.6
6007,SUNY,1,0,0.0,-1109.6,21.0,-959.0,74.2
6008,SUNY,1,0,0.0,-1637.0,41.9,-1158.5,119.1
6009,SUNY,1,0,0.0,-1140.9,82.0,-1156.6,70.9
6010,SUNY,1,0,0.0,-1651.1,30.7,-1614.5,61.6
6011,SUNY,1,0,0.0,-1190.2,85.5,-1239.0,73.3
6012,SUNY,1,0,0.0,-1182.5,95.7,-1328.1,59.7
6013,SUNY,1,0,0.0,-1183.7,100.3,-1223.3,100.6
6014,SUNY,1,0,0.0,-1148.4,72.6,-1245.3,50.3
6015,SUNY,1,0,0.0,-1420.1,22.8,-538.5,177.4
6016,SUNY,1,0,0.0,-889.1,43.0,-883.3,57.8
6017,SUNY,1,0,0.0,-735.7,110.4,-920.5,81.1
6018,SUNY,1,0,0.0,-1112.2,94.9,-900.3,139.7
6019,SUNY,1,0,0.0,-919.4,117.7,-843.3,156.8
6020,SUNY,1,0,0.0,-1075.2,89.3,-1106.4,74.0
6021,SUNY,1,0,0.0,-1085.0,72.9,-1242.1,56.0
6022,SUNY,1,0,0.0,-1105.8,47.1,-841.3,86.6
6023,SUNY,1,0,0.0,-815.3,124.7,-1499.2,16.1
6024,SUNY,1,0,0.0,-976.5,118.6,-1411.5,31.7
6025,SUNY,1,0,0.0,-1159.8,83.4,-1411.5,43.0
6026,SUNY,1,0,0.0,-947.0,126.2,-1147.5,86.6
6027,SUNY,1,0,0.0,-1016.9,58.7,-969.0,49.5
6028,SUNY,1,0,0.0,-1249.5,58.7,-990.9,105.0
6029,SUNY,1,0,0.0,-1182.5,67.6,-1322.0,67.6
6030,SUNY,1,0,0.0,-1105.9,40.4,-782.6,92.8
6031,SUNY,1,0,0.0,-1437.8,44.8,-923.6,137.6
6032,SUNY,1,0,0.0,-1150.5,51.1,-1037.5,86.2
6033,SUNY,1,0,0.0,-923.1,67.0,-1027.8,49.3
6034,SUNY,1,0,0.0,-1167.0,17.0,-740.5,107.6
6035,SUNY,1,0,0.0,-1376.4,27.2,-934.0,105.5
6036,SUNY,1,0,0.0,-953.4,80.4,-1187.7,45.5
6037,SUNY,1,0,0.0,-1286.0,56.2,-936.2,127.0
6038,SUNY,1,0,0.0,-1197.4,27.9,-734.0,118.7
6039,SUNY,1,0,0.0,-1183.7,98.6,-1282.2,70.7
6040,SUNY,1,0,0.0,-864.5,101.4,-1034.2,49.8
6041,SUNY,1,0,0.0,-891.1,73.6,-938.3,57.7
6042,SUNY,1,0,0.0,-1020.6,64.6,-783.4,107.3
6043,SUNY,1,0,0.0,-1346.5,41.0,-973.7,124.9
6044,SUNY,1,0,0.0,-820.0,148.3,-1434.0,48.0
6045,SUNY,1,0,0.0,-1352.6,62.6,-894.6,144.0
6046,SUNY,1,0,0.0,-1101.3,80.6,-1326.6,66.5
6047,SUNY,1,0,0.0,-898.4,105.6,-1023.0,84.7
6048,SUNY,1,0,0.0,-749.7,99.1,-831.6,74.9
6049,SUNY,1,0,0.0,-465.1,107.9,-1013.4,20.1
6050,SUNY,1,0,0.0,-752.2,52.7,-602.7,91.5
6051,SUNY,1,0,0.0,-880.6,56.2,-856.9,68.3
6052,SUNY,1,0,0.0,-1460.5,2.1,-963.8,107.5
6053,SUNY,1,0,0.0,-936.0,27.7,-662.7,84.1
6054,SUNY,1,0,0.0,-1048.1,42.4,-711.0,106.1
6055,SUNY,1,0,0.0,-885.0,53.6,-643.2,104.5
6056,SUNY,1,0,0.0,-1143.5,81.5,-805.9,131.4
6057,SUNY,1,0,0.0,-1004.7,70.7,-1059.5,58.6
6058,SUNY,1,0,0.0,-949.3,58.3,-784.8,107.7
6059,SUNY,1,0,0.0,-812.6,48.2,-767.7,64.8
6060,SUNY,1,0,0.0,-838.2,84.6,-1124.6,14.5
6061,SUNY,1,0,0.0,-933.1,61.9,-813.1,77.3
6062,SUNY,1,0,0.0,-748.2,69.8,-787.9,84.2
6063,SUNY,1,0,0.0,-856.1,39.7,-600.4,89.0
6064,SUNY,1,0,0.0,-658.3,71.9,-842.6,35.0
6065,SUNY,1,0,0.0,-573.2,91.5,-784.9,39.1
6066,SUNY,1,0,0.0,-530.1,91.3,-881.7,21.7
6067,SUNY,1,0,0.0,-572.6,95.1,-810.1,39.6
6068,SUNY,1,0,0.0,-760.8,38.8,-709.9,57.6
6069,SUNY,1,0,0.0,-791.9,65.4,-980.0,51.0
6070,SUNY,1,0,0.0,-858.9,30.7,-489.6,110.3
6071,SUNY,1,0,0.0,-771.1,41.3,-650.6,71.1
6072,SUNY,1,0,0.0,-837.2,70.3,-702.4,103.8
6073,SUNY,1,0,0.0,-663.7,114.9,-960.2,55.9
6074,SUNY,1,0,0.0,-848.5,28.6,-660.3,105.4
6075,SUNY,1,0,0.0,-1171.3,39.8,-844.4,97.4
6076,SUNY,1,0,0.0,-952.6,90.4,-944.1,100.5
6077,SUNY,1,0,0.0,-781.9,88.2,-1032.6,49.3
6078,SUNY,1,0,0.0,-1046.0,31.8,-571.1,101.9
6079,SUNY,1,0,0.0,-871.1,12.8,-496.4,90.8
6080,SUNY,1,0,0.0,-818.7,35.1,-520.1,88.4
6081,SUNY,1,0,0.0,-551.6,41.8,-482.0,51.0
6082,SUNY,1,0,0.0,-556.3,60.0,-534.0,54.5
6083,SUNY,1,0,0.0,-623.5,73.4,-737.6,71.8
6084,SUNY,1,0,0.0,-586.3,77.1,-651.5,69.7
6085,SUNY,1,0,0.0,-609.3,129.3,-1025.7,44.5
6086,SUNY,1,0,0.0,-643.8,47.5,-618.6,61.7
6087,SUNY,1,0,0.0,-476.2,87.9,-719.6,51.1
6088,SUNY,1,0,0.0,-328.3,82.3,-579.6,31.0
6089,SUNY,1,0,0.0,-535.9,66.7,-591.3,61.7
6090,SUNY,1,0,0.0,-546.4,39.5,-533.4,48.8
6091,SUNY,1,0,0.0,-639.2,24.6,-340.7,95.2
6092,SUNY,1,0,0.0,-441.2,106.9,-890.0,15.9
6093,SUNY,1,0,0.0,-617.5,97.9,-908.0,45.1
6094,SUNY,1,0,0.0,-552.2,61.9,-538.7,61.0
6095,SUNY,1,0,0.0,-933.1,76.0,-812.0,102.4
6096,SUNY,1,0,0.0,-554.2,48.2,-678.4,26.5
6097,SUNY,1,0,0.0,-624.5,46.0,-736.5,37.1
6098,SUNY,1,0,0.0,-540.3,111.8,-811.3,71.0
6099,SUNY,1,0,0.0,-673.4,34.3,-425.0,92.2
6100,SUNY,1,0,0.0,-539.7,71.4,-757.4,17.5
6101,SUNY,1,0,0.0,-658.4,51.7,-590.9,75.3
6102,SUNY,1,0,0.0,-383.2,37.3,-414.8,36.5
6103,SUNY,1,0,0.0,-591.4,81.7,-709.0,53.0
6104,SUNY,1,0,0.0,-570.4,69.7,-496.8,76.4
6105,SUNY,1,0,0.0,-692.4,73.0,-746.3,62.2
6106,SUNY,1,0,0.0,-332.9,78.6,-607.4,30.1
6107,SUNY,1,0,0.0,-397.9,44.2,-507.3,24.7
6108,SUNY,1,0,0.0,-338.0,56.9,-567.1,21.8
6109,SUNY,1,0,0.0,-346.4,66.1,-590.8,16.0
6110,SUNY,1,0,0.0,-262.8,33.9,-346.2,26.9
6111,SUNY,1,0,0.0,-475.3,61.7,-531.4,45.5
6112,SUNY,1,0,0.0,-335.5,96.4,-677.4,26.6
6113,SUNY,1,0,0.0,-658.9,21.2,-297.9,107.6
6114,SUNY,1,0,0.0,-569.0,54.8,-467.7,81.4
6115,SUNY,1,0,0.0,-444.8,15.7,-323.2,39.7
6116,SUNY,1,0,0.0,-321.5,34.9,-342.8,29.9
6117,SUNY,1,0,0.0,-450.5,41.3,-342.0,53.9
6118,SUNY,1,0,0.0,-648.9,26.8,-464.0,57.5
6119,SUNY,1,0,0.0,-609.1,26.4,-328.8,85.1
6120,SUNY,1,0,0.0,-625.9,32.4,-437.5,62.9
6121,SUNY,1,0,0.0,-638.4,19.8,-388.1,69.5
6122,SUNY,1,0,0.0,-498.7,112.4,-872.0,43.8
6123,SUNY,1,0,0.0,-623.1,51.0,-545.4,48.9
6124,SUNY,1,0,0.0,-438.9,22.0,-365.3,55.8
6125,SUNY,1,0,0.0,-328.9,95.9,-724.5,20.8
6126,SUNY,1,0,0.0,-421.7,26.3,-378.7,37.0
6127,SUNY,1,0,0.0,-402.8,90.3,-748.1,21.7
6128,SUNY,1,0,0.0,-280.9,36.1,-360.0,21.2
6129,SUNY,1,0,0.0,-443.3,29.0,-270.5,69.3
6130,SUNY,1,0,0.0,-477.3,95.9,-776.4,60.5
6131,SUNY,1,0,0.0,-390.1,64.0,-384.0,70.1
6132,SUNY,1,0,0.0,-479.9,73.9,-554.7,58.8
6133,SUNY,1,0,0.0,-366.4,43.7,-313.1,53.7
6134,SUNY,1,0,0.0,-249.3,62.2,-490.5,8.2
6135,SUNY,1,0,0.0,-295.1,62.1,-414.5,40.3
6136,SUNY,1,0,0.0,-473.1,37.3,-335.9,76.4
6137,SUNY,1,0,0.0,-907.9,28.5,-381.8,143.9
6138,SUNY,1,0,0.0,-515.8,26.9,-347.1,74.1
6139,SUNY,1,0,0.0,-427.8,44.8,-376.5,59.4
6140,SUNY,1,0,0.0,-307.5,51.6,-419.7,29.8
6141,SUNY,1,0,0.0,-407.0,61.9,-508.2,44.4
6142,SUNY,1,0,0.0,-426.6,20.5,-259.3,63.9
6143,SUNY,1,0,0.0,-334.7,41.8,-355.9,35.7
6144,SUNY,1,0,0.0,-440.6,32.0,-337.6,47.0
6145,SUNY,1,0,0.0,-368.9,50.6,-403.3,37.3
6146,SUNY,1,0,0.0,-264.5,33.8,-267.2,32.6
6147,SUNY,1,0,0.0,-761.1,23.3,-320.3,109.7
6148,SUNY,1,0,0.0,-488.9,14.9,-391.5,48.9
6149,SUNY,1,0,0.0,-469.6,42.5,-314.6,74.7
6150,SUNY,1,0,0.0,-571.8,32.3,-372.7,85.2
6151,SUNY,1,0,0.0,-263.5,40.3,-318.6,31.8
6152,SUNY,1,0,0.0,-320.8,10.8,-229.7,36.2
