,Map,Shield,Grid,coll_train,acc_0_train,inter_0_train,acc_1_train,inter_1_train
0,example,1,0,0.0,-182.4,27.0,-321.6,13.0
1,example,1,0,0.0,-405.1,22.6,-570.7,8.6
2,example,1,0,0.0,-209.1,67.9,-637.6,9.0
3,example,1,0,0.0,-377.6,36.2,-570.9,18.2
4,example,1,0,0.0,-332.3,22.5,-436.7,16.3
5,example,1,0,0.0,-416.0,25.3,-570.3,15.5
6,example,1,0,0.0,-396.7,41.8,-717.2,7.7
7,example,1,0,0.0,-241.9,43.9,-459.1,17.4
8,example,1,0,0.0,-565.4,37.4,-815.1,12.3
9,example,1,0,0.0,-397.1,36.7,-534.8,18.6
10,example,1,0,0.0,-408.1,34.7,-584.9,15.7
11,example,1,0,0.0,-87.8,49.6,-398.5,8.7
12,example,1,0,0.0,-521.9,22.5,-634.3,14.9
13,example,1,0,0.0,-390.2,34.6,-581.7,11.8
14,example,1,0,0.0,-300.3,47.0,-601.9,12.2
15,example,1,0,0.0,-412.2,33.0,-559.6,15.8
16,example,1,0,0.0,-267.9,32.8,-414.6,10.2
17,example,1,0,0.0,-540.9,35.5,-714.5,21.8
18,example,1,0,0.0,-243.4,39.0,-523.4,10.7
19,example,1,0,0.0,-146.0,30.3,-322.0,6.0
20,example,1,0,0.0,-256.6,34.7,-416.2,11.0
21,example,1,0,0.0,-407.5,28.9,-505.0,19.9
22,example,1,0,0.0,-245.9,32.3,-494.9,6.1
23,example,1,0,0.0,-346.3,47.6,-561.2,16.7
24,example,1,0,0.0,-232.0,26.5,-350.6,12.0
25,example,1,0,0.0,-193.2,53.6,-497.7,11.0
26,example,1,0,0.0,-296.1,57.4,-662.1,12.5
27,example,1,0,0.0,-630.0,30.1,-711.1,31.3
28,example,1,0,0.0,-183.8,44.4,-507.3,5.4
29,example,1,0,0.0,-187.8,49.9,-471.6,9.2
30,example,1,0,0.0,-225.4,50.7,-530.7,9.1
31,example,1,0,0.0,-222.4,26.2,-345.4,14.2
32,example,1,0,0.0,-107.1,24.2,-238.2,6.2
33,example,1,0,0.0,-238.9,9.6,-236.6,14.0
34,example,1,0,0.0,-284.2,25.9,-381.7,24.4
35,example,1,0,0.0,-177.0,36.3,-385.0,6.8
36,example,1,0,0.0,-330.1,29.9,-486.9,12.5
37,example,1,0,0.0,-99.9,31.8,-290.0,6.4
38,example,1,0,0.0,-390.5,19.4,-407.4,19.8
39,example,1,0,0.0,-321.3,41.0,-559.2,9.7
40,example,1,0,0.0,-200.2,18.5,-232.7,13.5
41,example,1,0,0.0,-152.3,17.8,-219.8,6.9
42,example,1,0,0.0,-182.3,26.2,-356.9,7.8
43,example,1,0,0.0,-91.6,33.0,-239.5,4.9
44,example,1,0,0.0,-163.6,38.3,-415.6,5.4
45,example,1,0,0.0,-264.6,31.0,-346.4,21.0
46,example,1,0,0.0,-274.7,30.3,-403.5,16.3
47,example,1,0,0.0,-423.3,39.2,-659.4,10.3
48,example,1,0,0.0,-170.7,24.0,-299.0,8.9
49,example,1,0,0.0,-130.1,25.3,-235.4,4.9
50,example,1,0,0.0,-247.0,39.9,-465.7,13.8
51,example,1,0,0.0,-139.4,48.3,-414.8,7.5
52,example,1,0,0.0,-499.7,23.4,-536.5,25.1
53,example,1,0,0.0,-99.5,44.5,-407.9,5.0
54,example,1,0,0.0,-205.8,19.9,-289.1,9.0
55,example,1,0,0.0,-435.9,19.6,-517.6,19.9
56,example,1,0,0.0,-192.6,17.9,-205.1,18.5
57,example,1,0,0.0,-135.1,26.1,-282.2,8.5
58,example,1,0,0.0,-260.9,38.7,-519.6,11.1
59,example,1,0,0.0,-168.0,14.1,-257.9,8.3
60,example,1,0,0.0,-284.7,23.2,-374.0,16.5
61,example,1,0,0.0,-102.2,36.3,-323.4,5.7
62,example,1,0,0.0,-114.2,33.3,-314.0,9.4
63,example,1,0,0.0,-296.6,20.1,-289.7,23.1
64,example,1,0,0.0,-44.6,17.1,-138.1,6.9
65,example,1,0,0.0,-228.8,33.2,-380.3,16.8
66,example,1,0,0.0,-56.2,25.9,-259.4,4.6
67,example,1,0,0.0,-105.4,15.0,-162.2,11.4
68,example,1,0,0.0,-203.8,26.5,-370.1,13.6
69,example,1,0,0.0,-422.0,23.5,-597.0,11.6
70,example,1,0,0.0,-73.7,39.3,-325.7,4.7
71,example,1,0,0.0,-141.4,24.2,-287.9,11.1
72,example,1,0,0.0,-258.0,21.7,-423.0,11.7
73,example,1,0,0.0,-325.2,19.7,-381.0,20.5
74,example,1,0,0.0,-268.5,20.9,-313.4,20.8
75,example,1,0,0.0,-376.4,24.6,-471.8,18.1
76,example,1,0,0.0,-145.8,24.4,-279.2,10.7
77,example,1,0,0.0,-122.7,30.9,-263.7,9.2
78,example,1,0,0.0,-317.8,38.4,-543.3,16.8
