,Map,Shield,Grid,coll_train,acc_0_train,inter_0_train,acc_1_train,inter_1_train
1500,ISR,1,0,0.0,-638.6,139.7,-1196.3,40.7
1501,ISR,1,0,0.0,-1004.0,126.3,-1381.0,44.2
1502,ISR,1,0,0.0,-731.2,96.6,-858.3,71.5
1503,ISR,1,0,0.0,-1146.0,72.3,-868.6,119.2
1504,ISR,1,0,0.0,-1334.1,25.6,-674.4,134.8
1505,ISR,1,0,0.0,-816.6,63.8,-747.3,75.4
1506,ISR,1,0,0.0,-1223.0,103.2,-979.8,131.7
1507,ISR,1,0,0.0,-1060.2,122.7,-1454.7,52.8
1508,ISR,1,0,0.0,-415.9,155.8,-1161.0,18.2
1509,ISR,1,0,0.0,-628.2,102.5,-867.9,60.0
1510,ISR,1,0,0.0,-1132.3,90.6,-1142.8,85.1
1511,ISR,1,0,0.0,-1019.9,111.5,-1158.4,75.5
1512,ISR,1,0,0.0,-1586.2,45.6,-578.1,205.3
1513,ISR,1,0,0.0,-1025.6,64.9,-1025.3,69.3
1514,ISR,1,0,0.0,-1072.2,58.8,-967.2,78.9
1515,ISR,1,0,0.0,-1223.3,62.7,-1188.3,66.4
1516,ISR,1,0,0.0,-636.4,187.1,-1226.8,70.4
1517,ISR,1,0,0.0,-906.5,131.3,-1263.6,63.3
1518,ISR,1,0,0.0,-816.9,50.3,-803.1,58.0
1519,ISR,1,0,0.0,-716.6,145.1,-1066.0,70.4
1520,ISR,1,0,0.0,-1345.1,21.4,-885.5,107.7
1521,ISR,1,0,0.0,-427.7,220.2,-1641.9,17.0
1522,ISR,1,0,0.0,-864.3,154.5,-1428.3,52.8
1523,ISR,1,0,0.0,-750.9,73.8,-637.3,99.1
1524,ISR,1,0,0.0,-605.8,63.6,-494.0,81.0
1525,ISR,1,0,0.0,-658.8,103.3,-848.6,71.9
1526,ISR,1,0,0.0,-882.1,43.1,-513.8,108.2
1527,ISR,1,0,0.0,-1137.2,67.1,-953.2,92.7
1528,ISR,1,0,0.0,-544.5,187.9,-1296.0,59.7
1529,ISR,1,0,0.0,-1092.8,47.5,-809.6,88.2
1530,ISR,1,0,0.0,-634.1,56.9,-733.2,48.4
1531,ISR,1,0,0.0,-688.2,141.7,-1436.7,7.6
1532,ISR,1,0,0.0,-868.8,112.5,-1074.6,78.8
1533,ISR,1,0,0.0,-506.6,158.0,-1135.5,50.2
1534,ISR,1,0,0.0,-683.5,149.2,-983.3,88.5
1535,ISR,1,0,0.0,-820.6,100.2,-661.5,135.4
1536,ISR,1,0,0.0,-775.5,144.1,-1431.0,26.2
1537,ISR,1,0,0.0,-675.8,88.0,-766.0,68.7
1538,ISR,1,0,0.0,-918.0,35.3,-637.4,72.7
1539,ISR,1,0,0.0,-1102.9,88.6,-969.9,97.6
1540,ISR,1,0,0.0,-703.2,49.9,-607.4,59.1
1541,ISR,1,0,0.0,-263.5,123.2,-918.1,8.9
1542,ISR,1,0,0.0,-323.8,98.1,-674.1,41.2
1543,ISR,1,0,0.0,-877.8,45.2,-798.6,60.3
1544,ISR,1,0,0.0,-390.1,134.1,-983.8,12.3
1545,ISR,1,0,0.0,-447.0,68.4,-625.3,47.7
1546,ISR,1,0,0.0,-604.2,86.3,-743.1,64.4
1547,ISR,1,0,0.0,-543.6,101.2,-833.3,42.8
1548,ISR,1,0,0.0,-535.8,51.5,-538.1,40.0
1549,ISR,1,0,0.0,-386.8,44.0,-403.6,42.1
1550,ISR,1,0,0.0,-307.1,64.7,-408.1,38.8
1551,ISR,1,0,0.0,-696.1,20.9,-495.6,55.8
1552,ISR,1,0,0.0,-702.9,91.8,-671.6,92.2
1553,ISR,1,0,0.0,-442.9,134.1,-953.9,57.9
1554,ISR,1,0,0.0,-478.7,99.5,-624.1,77.2
1555,ISR,1,0,0.0,-655.5,54.4,-495.1,83.0
1556,ISR,1,0,0.0,-557.2,127.5,-829.7,84.5
1557,ISR,1,0,0.0,-491.3,119.6,-933.9,47.9
1558,ISR,1,0,0.0,-441.8,57.7,-641.7,16.4
1559,ISR,1,0,0.0,-774.5,30.3,-367.9,103.3
1560,ISR,1,0,0.0,-572.6,61.5,-508.8,74.2
1561,ISR,1,0,0.0,-424.6,91.6,-562.8,56.5
1562,ISR,1,0,0.0,-931.0,45.2,-477.8,118.1
1563,ISR,1,0,0.0,-126.1,80.8,-524.0,15.4
1564,ISR,1,0,0.0,-494.5,81.4,-573.8,64.1
1565,ISR,1,0,0.0,-555.7,21.8,-178.2,77.1
1566,ISR,1,0,0.0,-479.9,45.9,-370.4,65.3
1567,ISR,1,0,0.0,-371.1,50.3,-367.9,45.6
1568,ISR,1,0,0.0,-286.5,59.5,-446.5,24.7
1569,ISR,1,0,0.0,-545.0,96.3,-735.3,69.1
1570,ISR,1,0,0.0,-1044.6,65.5,-479.7,153.4
1571,ISR,1,0,0.0,-665.5,20.5,-350.9,75.3
1572,ISR,1,0,0.0,-538.3,40.8,-338.8,68.9
1573,ISR,1,0,0.0,-710.4,35.4,-436.1,75.5
1574,ISR,1,0,0.0,-191.6,27.4,-165.9,20.4
1575,ISR,1,0,0.0,-206.9,116.8,-653.4,29.9
1576,ISR,1,0,0.0,-146.7,110.2,-728.5,16.1
1577,ISR,1,0,0.0,-399.0,78.3,-530.9,47.7
1578,ISR,1,0,0.0,-392.1,123.3,-739.0,49.1
1579,ISR,1,0,0.0,-302.8,147.7,-843.6,42.8
1580,ISR,1,0,0.0,-311.3,64.4,-518.1,29.5
1581,ISR,1,0,0.0,-284.9,84.0,-470.1,41.2
1582,ISR,1,0,0.0,-232.0,102.4,-599.2,35.4
1583,ISR,1,0,0.0,-441.5,54.4,-476.8,30.4
1584,ISR,1,0,0.0,-442.1,63.8,-523.3,38.0
1585,ISR,1,0,0.0,-913.6,14.8,-262.3,132.6
1586,ISR,1,0,0.0,-217.2,43.6,-236.3,41.4
1587,ISR,1,0,0.0,-136.3,115.3,-721.8,10.3
1588,ISR,1,0,0.0,-251.2,49.1,-464.0,11.2
1589,ISR,1,0,0.0,-255.5,38.6,-258.6,30.8
1590,ISR,1,0,0.0,-668.9,101.1,-736.9,82.0
1591,ISR,1,0,0.0,-493.1,126.3,-1003.3,32.2
1592,ISR,1,0,0.0,-562.9,42.1,-446.3,54.1
1593,ISR,1,0,0.0,-450.4,51.9,-417.1,55.3
1594,ISR,1,0,0.0,-295.9,66.3,-482.4,27.4
1595,ISR,1,0,0.0,-398.7,89.6,-466.9,60.7
1596,ISR,1,0,0.0,-367.7,100.7,-654.6,43.9
1597,ISR,1,0,0.0,-17.6,52.4,-289.3,5.5
1598,ISR,1,0,0.0,-127.6,127.8,-795.1,15.9
1599,ISR,1,0,0.0,-392.6,74.0,-491.0,46.5
1600,ISR,1,0,0.0,-90.6,88.0,-433.6,19.4
1601,ISR,1,0,0.0,-92.7,53.5,-294.1,16.6
1602,ISR,1,0,0.0,-171.0,74.3,-446.0,27.6
1603,ISR,1,0,0.0,-475.4,70.5,-556.9,56.0
1604,ISR,1,0,0.0,-362.4,65.9,-447.1,42.6
1605,ISR,1,0,0.0,-160.4,32.4,-205.6,25.0
1606,ISR,1,0,0.0,-600.9,22.7,-272.6,75.2
1607,ISR,1,0,0.0,-236.7,45.4,-256.9,38.4
1608,ISR,1,0,0.0,-280.8,56.1,-483.1,23.0
1609,ISR,1,0,0.0,-398.1,54.9,-474.8,29.4
1610,ISR,1,0,0.0,-89.6,158.8,-848.6,6.6
1611,ISR,1,0,0.0,-225.8,45.6,-351.4,28.3
1612,ISR,1,0,0.0,-72.5,63.6,-360.3,6.0
1613,ISR,1,0,0.0,-475.9,42.4,-255.0,73.1
1614,ISR,1,0,0.0,-112.3,50.1,-249.5,28.4
1615,ISR,1,0,0.0,-183.2,36.0,-256.0,20.2
1616,ISR,1,0,0.0,-292.3,42.9,-264.6,46.3
1617,ISR,1,0,0.0,-324.6,55.3,-338.3,58.2
1618,ISR,1,0,0.0,-394.3,84.0,-548.1,64.2
1619,ISR,1,0,0.0,-196.7,69.1,-422.8,24.9
1620,ISR,1,0,0.0,-196.4,98.6,-631.2,17.6
1621,ISR,1,0,0.0,-222.5,86.8,-524.3,36.0
1622,ISR,1,0,0.0,-612.8,20.9,-264.3,91.9
1623,ISR,1,0,0.0,-442.7,38.1,-513.5,38.2
1624,ISR,1,0,0.0,-155.8,50.3,-352.8,13.8
1625,ISR,1,0,0.0,-407.9,47.8,-358.4,50.6
1626,ISR,1,0,0.0,-315.4,41.6,-291.8,43.7
1627,ISR,1,0,0.0,-166.9,50.4,-355.4,12.9
1628,ISR,1,0,0.0,-192.5,77.0,-523.9,10.4
1629,ISR,1,0,0.0,-222.1,40.4,-268.5,29.4
1630,ISR,1,0,0.0,-288.3,39.1,-410.0,17.8
1631,ISR,1,0,0.0,-318.8,62.0,-350.5,64.8
1632,ISR,1,0,0.0,-456.7,42.1,-275.4,76.1
1633,ISR,1,0,0.0,-174.2,26.8,-173.9,28.4
1634,ISR,1,0,0.0,-87.2,36.8,-224.6,12.4
1635,ISR,1,0,0.0,-87.2,36.1,-213.3,9.2
1636,ISR,1,0,0.0,-45.6,67.7,-324.4,8.2
1637,ISR,1,0,0.0,-229.4,51.4,-324.0,34.2
1638,ISR,1,0,0.0,-265.5,77.9,-456.6,35.0
1639,ISR,1,0,0.0,-216.7,25.0,-176.7,37.1
1640,ISR,1,0,0.0,-0.9,50.1,-242.7,6.9
1641,ISR,1,0,0.0,-141.8,82.6,-493.0,13.2
1642,ISR,1,0,0.0,-189.3,26.6,-139.3,37.7
1643,ISR,1,0,0.0,-68.8,45.3,-217.2,8.8
1644,ISR,1,0,0.0,-182.1,24.1,-166.6,36.9
1645,ISR,1,0,0.0,-200.3,57.7,-312.1,25.6
1646,ISR,1,0,0.0,-201.4,38.3,-166.2,35.7
1647,ISR,1,0,0.0,-219.3,47.7,-362.1,27.4
1648,ISR,1,0,0.0,-243.6,25.1,-180.1,39.8
1649,ISR,1,0,0.0,-295.5,25.6,-185.2,43.9
1650,ISR,1,0,0.0,-80.1,58.3,-321.6,8.7
1651,ISR,1,0,0.0,-124.1,26.6,-210.2,9.0
1652,ISR,1,0,0.0,-103.4,26.7,-144.6,15.6
1653,ISR,1,0,0.0,-64.5,77.7,-390.9,13.7
1654,ISR,1,0,0.0,-177.2,45.9,-242.7,29.2
1655,ISR,1,0,0.0,-289.1,56.2,-538.7,15.2
1656,ISR,1,0,0.0,-301.1,9.9,-252.4,23.3
1657,ISR,1,0,0.0,-394.0,16.0,-99.5,64.9
1658,ISR,1,0,0.0,-159.2,74.7,-381.1,19.4
1659,ISR,1,0,0.0,-150.9,55.1,-384.7,7.3
1660,ISR,1,0,0.0,-32.9,15.5,-48.9,19.7
