,Map,Shield,Grid,coll_train,acc_0_train,inter_0_train,acc_1_train,inter_1_train
3000,Pentagon,1,0,0.0,-915.7,41.3,-862.8,56.7
3001,Pentagon,1,0,0.0,-1561.4,29.5,-994.6,133.0
3002,Pentagon,1,0,0.0,-938.1,55.6,-889.6,68.2
3003,Pentagon,1,0,0.0,-650.7,132.4,-960.4,95.0
3004,Pentagon,1,0,0.0,-1121.7,20.3,-612.3,114.5
3005,Pentagon,1,0,0.0,-1042.3,40.0,-571.8,142.3
3006,Pentagon,1,0,0.0,-1463.9,30.8,-536.0,210.7
3007,Pentagon,1,0,0.0,-1017.9,72.0,-796.4,126.8
3008,Pentagon,1,0,0.0,-1093.2,47.5,-1113.6,60.9
3009,Pentagon,1,0,0.0,-1225.1,72.9,-969.7,122.1
3010,Pentagon,1,0,0.0,-1419.7,60.4,-1188.4,117.0
3011,Pentagon,1,0,0.0,-782.9,99.7,-850.1,89.0
3012,Pentagon,1,0,0.0,-1318.8,43.3,-978.8,112.6
3013,Pentagon,1,0,0.0,-684.0,98.0,-1057.3,42.6
3014,Pentagon,1,0,0.0,-1337.5,71.8,-962.3,151.3
3015,Pentagon,1,0,0.0,-919.1,94.8,-995.0,81.5
3016,Pentagon,1,0,0.0,-873.4,15.5,-674.4,69.6
3017,Pentagon,1,0,0.0,-1063.7,70.0,-949.7,106.6
3018,Pentagon,1,0,0.0,-1046.2,28.6,-675.4,106.1
3019,Pentagon,1,0,0.0,-1246.9,92.8,-1082.4,145.1
3020,Pentagon,1,0,0.0,-659.1,106.9,-829.3,86.3
3021,Pentagon,1,0,0.0,-1082.1,50.9,-618.9,126.6
3022,Pentagon,1,0,0.0,-1289.2,40.6,-756.2,152.3
3023,Pentagon,1,0,0.0,-1028.6,50.4,-815.3,97.0
3024,Pentagon,1,0,0.0,-1131.4,60.8,-817.1,121.1
3025,Pentagon,1,0,0.0,-1336.1,43.4,-665.9,178.1
3026,Pentagon,1,0,0.0,-1221.2,20.8,-555.2,152.0
3027,Pentagon,1,0,0.0,-1056.1,42.1,-667.3,131.1
3028,Pentagon,1,0,0.0,-1492.3,14.7,-416.4,209.1
3029,Pentagon,1,0,0.0,-943.5,113.1,-1099.7,83.7
3030,Pentagon,1,0,0.0,-726.9,43.2,-508.4,92.5
3031,Pentagon,1,0,0.0,-1257.7,38.2,-837.6,125.2
3032,Pentagon,1,0,0.0,-1404.5,3.8,-588.0,159.8
3033,Pentagon,1,0,0.0,-883.8,34.2,-260.1,148.9
3034,Pentagon,1,0,0.0,-1071.4,36.9,-807.9,92.7
3035,Pentagon,1,0,0.0,-992.3,74.7,-781.5,140.3
3036,Pentagon,1,0,0.0,-1008.0,29.7,-482.0,136.7
3037,Pentagon,1,0,0.0,-834.4,79.7,-876.4,74.3
3038,Pentagon,1,0,0.0,-931.2,63.4,-577.4,147.0
3039,Pentagon,1,0,0.0,-958.2,85.2,-1193.8,48.5
3040,Pentagon,1,0,0.0,-719.7,72.0,-647.8,89.8
3041,Pentagon,1,0,0.0,-861.9,61.5,-618.6,119.7
3042,Pentagon,1,0,0.0,-825.0,45.7,-505.5,112.7
3043,Pentagon,1,0,0.0,-667.3,33.8,-583.9,60.2
3044,Pentagon,1,0,0.0,-1069.6,97.5,-809.8,160.3
3045,Pentagon,1,0,0.0,-1116.2,55.7,-840.4,130.5
3046,Pentagon,1,0,0.0,-745.3,94.5,-961.6,61.5
3047,Pentagon,1,0,0.0,-1049.0,37.4,-612.2,132.1
3048,Pentagon,1,0,0.0,-858.3,44.3,-613.6,98.9
3049,Pentagon,1,0,0.0,-810.7,52.0,-679.0,83.0
3050,Pentagon,1,0,0.0,-679.5,89.9,-886.8,56.3
3051,Pentagon,1,0,0.0,-597.7,55.3,-684.6,47.9
3052,Pentagon,1,0,0.0,-855.3,17.2,-380.2,117.6
3053,Pentagon,1,0,0.0,-641.6,63.6,-739.9,47.2
3054,Pentagon,1,0,0.0,-953.9,17.4,-363.0,126.9
3055,Pentagon,1,0,0.0,-498.6,141.4,-855.7,80.8
3056,Pentagon,1,0,0.0,-364.2,102.4,-924.0,23.0
3057,Pentagon,1,0,0.0,-411.9,88.1,-611.1,57.7
3058,Pentagon,1,0,0.0,-1071.5,55.3,-784.8,125.2
3059,Pentagon,1,0,0.0,-721.9,34.7,-462.9,91.8
3060,Pentagon,1,0,0.0,-906.6,38.9,-324.0,144.2
3061,Pentagon,1,0,0.0,-808.2,58.1,-734.4,86.2
3062,Pentagon,1,0,0.0,-1193.1,18.6,-571.1,151.7
3063,Pentagon,1,0,0.0,-817.6,30.2,-514.9,101.2
3064,Pentagon,1,0,0.0,-322.7,42.1,-306.6,46.9
3065,Pentagon,1,0,0.0,-842.2,70.2,-785.9,90.3
3066,Pentagon,1,0,0.0,-675.4,34.8,-436.7,88.7
3067,Pentagon,1,0,0.0,-786.3,65.4,-505.0,118.7
3068,Pentagon,1,0,0.0,-793.9,46.6,-424.2,119.4
3069,Pentagon,1,0,0.0,-385.3,37.2,-260.2,70.3
3070,Pentagon,1,0,0.0,-1131.8,12.7,-337.0,167.2
3071,Pentagon,1,0,0.0,-503.2,32.8,-401.5,56.0
3072,Pentagon,1,0,0.0,-513.4,45.2,-350.7,82.7
3073,Pentagon,1,0,0.0,-870.5,70.7,-836.2,92.2
3074,Pentagon,1,0,0.0,-805.3,131.3,-980.1,110.8
3075,Pentagon,1,0,0.0,-371.6,50.1,-522.7,40.2
3076,Pentagon,1,0,0.0,-585.7,20.1,-190.2,102.9
3077,Pentagon,1,0,0.0,-1089.3,51.1,-753.5,129.1
3078,Pentagon,1,0,0.0,-741.8,14.5,-259.2,115.4
3079,Pentagon,1,0,0.0,-761.9,8.6,-297.6,110.4
3080,Pentagon,1,0,0.0,-542.7,39.7,-303.8,98.7
3081,Pentagon,1,0,0.0,-369.0,24.5,-220.4,67.8
3082,Pentagon,1,0,0.0,-602.3,84.9,-705.4,78.2
3083,Pentagon,1,0,0.0,-548.5,78.6,-532.1,85.5
3084,Pentagon,1,0,0.0,-404.3,50.8,-287.0,76.7
3085,Pentagon,1,0,0.0,-664.2,20.6,-454.1,69.8
3086,Pentagon,1,0,0.0,-460.1,33.0,-425.4,49.6
3087,Pentagon,1,0,0.0,-402.9,49.4,-451.0,52.2
3088,Pentagon,1,0,0.0,-822.0,42.0,-589.2,77.5
3089,Pentagon,1,0,0.0,-924.8,17.1,-277.0,137.3
3090,Pentagon,1,0,0.0,-614.7,61.2,-544.8,89.2
