,Map,Shield,Grid,coll_train,acc_0_train,inter_0_train,acc_1_train,inter_1_train
4800,MIT,1,0,0.0,-2080.8,9.6,-2106.1,14.2
4801,MIT,1,0,0.0,-2120.9,1.7,-2089.4,13.7
4802,MIT,1,0,0.0,-2110.3,12.3,-2145.4,2.1
4803,MIT,1,0,0.0,-2105.2,16.3,-2163.6,5.8
4804,MIT,1,0,0.0,-1837.4,39.5,-2174.2,5.5
4805,MIT,1,0,0.0,-1897.9,45.5,-2132.8,10.6
4806,MIT,1,0,0.0,-2103.7,3.8,-2263.1,1.2
4807,MIT,1,0,0.0,-2245.1,0.0,-2070.8,26.7
4808,MIT,1,0,0.0,-1966.6,28.4,-2203.7,2.6
4809,MIT,1,0,0.0,-1977.5,31.3,-2256.8,5.4
4810,MIT,1,0,0.0,-2031.5,6.3,-2026.9,16.2
4811,MIT,1,0,0.0,-2047.7,20.3,-1991.3,31.3
4812,MIT,1,0,0.0,-1965.7,29.7,-1959.1,44.4
4813,MIT,1,0,0.0,-2237.0,0.1,-2059.7,13.7
4814,MIT,1,0,0.0,-2145.3,10.0,-2193.8,3.7
4815,MIT,1,0,0.0,-1986.8,18.6,-2007.7,11.8
4816,MIT,1,0,0.0,-1945.5,24.4,-2126.3,3.7
4817,MIT,1,0,0.0,-1960.3,33.1,-2013.3,22.1
4818,MIT,1,0,0.0,-1855.5,52.1,-2134.6,8.1
4819,MIT,1,0,0.0,-2148.6,10.5,-1929.6,35.9
4820,MIT,1,0,0.0,-1959.7,36.4,-1868.3,51.1
4821,MIT,1,0,0.0,-1860.1,35.7,-1940.2,27.7
4822,MIT,1,0,0.0,-2144.1,5.9,-2007.7,16.7
4823,MIT,1,0,0.0,-1617.9,91.7,-2125.7,5.4
4824,MIT,1,0,0.0,-2176.7,8.0,-1978.3,36.5
4825,MIT,1,0,0.0,-1850.6,42.2,-2095.1,2.9
4826,MIT,1,0,0.0,-1884.3,47.4,-2167.7,2.3
4827,MIT,1,0,0.0,-1800.8,69.8,-2104.6,4.2
4828,MIT,1,0,0.0,-2102.7,0.3,-1985.1,35.3
4829,MIT,1,0,0.0,-1906.0,34.2,-2008.0,42.8
4830,MIT,1,0,0.0,-1966.5,37.6,-2058.2,8.6
4831,MIT,1,0,0.0,-1799.1,38.7,-1941.8,37.3
4832,MIT,1,0,0.0,-2136.3,18.8,-2129.0,5.8
4833,MIT,1,0,0.0,-1937.0,21.9,-2156.0,2.8
4834,MIT,1,0,0.0,-1807.3,43.2,-2041.4,13.0
4835,MIT,1,0,0.0,-1603.9,77.7,-2048.0,11.6
4836,MIT,1,0,0.0,-2062.5,21.4,-2003.8,19.4
4837,MIT,1,0,0.0,-2034.3,9.4,-2068.3,8.6
4838,MIT,1,0,0.0,-1760.5,46.3,-2073.1,2.6
4839,MIT,1,0,0.0,-1722.7,34.5,-1613.9,48.5
4840,MIT,1,0,0.0,-1973.5,39.6,-1978.6,37.4
4841,MIT,1,0,0.0,-2082.4,0.2,-1977.5,32.7
4842,MIT,1,0,0.0,-1954.8,17.8,-2022.9,15.4
4843,MIT,1,0,0.0,-1858.7,24.7,-1760.7,57.5
4844,MIT,1,0,0.0,-1636.7,65.3,-1939.8,23.5
4845,MIT,1,0,0.0,-1867.2,39.0,-2019.5,11.5
4846,MIT,1,0,0.0,-1570.7,96.6,-2182.1,4.2
4847,MIT,1,0,0.0,-1655.0,59.2,-1853.6,28.9
4848,MIT,1,0,0.0,-1836.3,35.8,-1900.7,19.9
4849,MIT,1,0,0.0,-1817.1,44.0,-1928.4,37.5
4850,MIT,1,0,0.0,-2151.7,0.3,-2016.4,37.3
4851,MIT,1,0,0.0,-1915.5,20.1,-1898.4,38.5
4852,MIT,1,0,0.0,-1658.5,53.5,-1948.7,8.3
4853,MIT,1,0,0.0,-1587.3,93.6,-2077.0,12.9
4854,MIT,1,0,0.0,-1946.4,27.8,-1855.8,60.0
4855,MIT,1,0,0.0,-2016.0,12.1,-1664.2,47.7
4856,MIT,1,0,0.0,-1750.4,47.4,-1941.0,32.0
4857,MIT,1,0,0.0,-1520.7,70.3,-1765.8,31.4
4858,MIT,1,0,0.0,-1793.8,51.1,-1989.0,5.6
4859,MIT,1,0,0.0,-1617.7,38.1,-1740.1,24.2
4860,MIT,1,0,0.0,-1688.9,50.7,-1716.9,40.5
4861,MIT,1,0,0.0,-1583.6,59.9,-1804.6,32.0
4862,MIT,1,0,0.0,-1887.0,48.0,-1605.4,76.8
4863,MIT,1,0,0.0,-1647.0,61.0,-1934.5,23.2
4864,MIT,1,0,0.0,-1855.6,31.1,-2029.3,14.3
4865,MIT,1,0,0.0,-1501.2,91.1,-1851.0,28.5
4866,MIT,1,0,0.0,-1789.6,39.4,-1632.0,74.9
4867,MIT,1,0,0.0,-1678.1,51.1,-1765.3,40.9
4868,MIT,1,0,0.0,-1593.5,25.4,-1490.4,56.0
4869,MIT,1,0,0.0,-1611.8,38.7,-1443.2,82.3
4870,MIT,1,0,0.0,-1682.4,42.3,-1889.6,5.1
4871,MIT,1,0,0.0,-1589.0,46.6,-1692.7,40.2
4872,MIT,1,0,0.0,-1368.1,34.7,-1375.6,41.5
4873,MIT,1,0,0.0,-1544.1,29.4,-1648.0,26.7
4874,MIT,1,0,0.0,-1344.2,61.3,-1515.2,31.9
4875,MIT,1,0,0.0,-1329.6,104.8,-1764.6,12.5
4876,MIT,1,0,0.0,-1703.1,48.8,-1781.8,40.8
4877,MIT,1,0,0.0,-1741.3,39.8,-1663.7,58.9
4878,MIT,1,0,0.0,-1823.7,3.9,-1335.1,100.2
4879,MIT,1,0,0.0,-1725.7,39.8,-1415.8,73.9
4880,MIT,1,0,0.0,-1507.3,57.2,-1459.8,59.9
4881,MIT,1,0,0.0,-1798.0,14.6,-1872.9,17.2
4882,MIT,1,0,0.0,-1423.3,57.1,-1471.2,45.7
4883,MIT,1,0,0.0,-1238.8,124.2,-1792.5,29.3
4884,MIT,1,0,0.0,-1709.0,20.3,-1532.1,64.3
4885,MIT,1,0,0.0,-1086.9,118.4,-1575.8,29.2
4886,MIT,1,0,0.0,-1359.8,122.7,-1982.6,20.5
4887,MIT,1,0,0.0,-1327.9,85.8,-1596.8,39.5
4888,MIT,1,0,0.0,-1453.7,51.3,-1359.0,71.1
4889,MIT,1,0,0.0,-1763.6,46.8,-1892.8,26.7
4890,MIT,1,0,0.0,-1315.2,80.3,-1428.2,64.5
4891,MIT,1,0,0.0,-1572.9,43.8,-1520.9,62.2
4892,MIT,1,0,0.0,-1783.4,20.5,-1418.0,93.6
4893,MIT,1,0,0.0,-1795.5,28.6,-1524.6,89.0
4894,MIT,1,0,0.0,-1507.5,45.8,-1710.0,26.5
4895,MIT,1,0,0.0,-1539.2,58.9,-1546.1,67.9
4896,MIT,1,0,0.0,-1755.5,16.4,-1440.0,61.6
4897,MIT,1,0,0.0,-1535.0,32.6,-1552.8,31.9
4898,MIT,1,0,0.0,-1635.8,49.8,-1771.2,32.7
4899,MIT,1,0,0.0,-1273.1,49.1,-1392.3,32.1
4900,MIT,1,0,0.0,-1621.1,55.7,-1906.0,14.9
4901,MIT,1,0,0.0,-1662.6,38.5,-1694.9,27.7
4902,MIT,1,0,0.0,-1159.9,96.4,-1600.9,32.3
4903,MIT,1,0,0.0,-1291.9,36.6,-1135.9,74.5
4904,MIT,1,0,0.0,-1113.9,71.9,-1264.7,49.0
4905,MIT,1,0,0.0,-1371.5,49.4,-1396.2,51.3
4906,MIT,1,0,0.0,-1442.7,61.7,-1365.5,71.3
4907,MIT,1,0,0.0,-1499.2,47.1,-1636.7,26.4
4908,MIT,1,0,0.0,-973.9,45.3,-1055.5,22.6
4909,MIT,1,0,0.0,-1186.6,81.9,-1406.0,44.4
4910,MIT,1,0,0.0,-1099.2,106.2,-1434.2,49.6
4911,MIT,1,0,0.0,-1010.2,70.7,-1308.9,31.9
4912,MIT,1,0,0.0,-1467.9,50.3,-1403.9,63.9
4913,MIT,1,0,0.0,-1349.4,62.9,-1111.9,109.6
4914,MIT,1,0,0.0,-1302.9,55.3,-1273.7,57.3
4915,MIT,1,0,0.0,-1160.9,78.2,-1402.3,34.2
4916,MIT,1,0,0.0,-1391.0,72.3,-1727.9,25.1
4917,MIT,1,0,0.0,-1271.0,49.9,-1393.3,43.9
4918,MIT,1,0,0.0,-972.5,86.6,-1275.5,39.7
4919,MIT,1,0,0.0,-1238.3,83.7,-1297.8,57.6
4920,MIT,1,0,0.0,-1349.5,68.8,-1431.6,58.8
4921,MIT,1,0,0.0,-951.1,132.2,-1584.5,16.5
4922,MIT,1,0,0.0,-1242.3,18.1,-1111.8,36.7
4923,MIT,1,0,0.0,-1126.2,45.2,-1196.9,38.6
4924,MIT,1,0,0.0,-1323.9,55.4,-1239.7,69.7
4925,MIT,1,0,0.0,-1044.6,78.9,-1275.2,25.8
4926,MIT,1,0,0.0,-1319.7,89.4,-1375.6,69.6
4927,MIT,1,0,0.0,-1053.5,62.9,-1099.2,63.0
4928,MIT,1,0,0.0,-1190.5,91.3,-1575.3,23.4
4929,MIT,1,0,0.0,-1175.7,56.0,-1360.9,29.6
4930,MIT,1,0,0.0,-1200.4,39.1,-1176.6,53.5
4931,MIT,1,0,0.0,-1208.2,38.0,-1205.7,38.7
4932,MIT,1,0,0.0,-1066.4,81.2,-1251.8,49.8
4933,MIT,1,0,0.0,-1119.5,29.3,-976.4,71.2
4934,MIT,1,0,0.0,-952.6,74.7,-1133.6,52.3
4935,MIT,1,0,0.0,-933.2,101.3,-1344.0,28.3
4936,MIT,1,0,0.0,-685.5,130.3,-1348.3,7.4
4937,MIT,1,0,0.0,-1286.5,59.8,-1225.0,71.5
4938,MIT,1,0,0.0,-918.3,78.6,-1213.6,27.9
4939,MIT,1,0,0.0,-1129.6,93.5,-1428.6,53.7
4940,MIT,1,0,0.0,-878.0,79.2,-1239.6,28.3
4941,MIT,1,0,0.0,-960.2,101.2,-1293.3,25.3
4942,MIT,1,0,0.0,-902.0,71.1,-1137.0,33.3
4943,MIT,1,0,0.0,-906.6,65.8,-997.4,47.3
4944,MIT,1,0,0.0,-1173.1,47.8,-1220.9,44.8
4945,MIT,1,0,0.0,-1295.3,36.1,-1310.8,46.7
4946,MIT,1,0,0.0,-1123.6,42.7,-1004.5,63.2
4947,MIT,1,0,0.0,-1147.3,61.3,-1104.4,72.5
4948,MIT,1,0,0.0,-888.8,70.0,-1058.5,44.4
4949,MIT,1,0,0.0,-887.7,49.9,-916.4,47.3
4950,MIT,1,0,0.0,-1098.3,60.3,-1026.4,69.8
4951,MIT,1,0,0.0,-1087.0,64.7,-1077.8,58.8
4952,MIT,1,0,0.0,-793.0,89.1,-1050.4,23.6
4953,MIT,1,0,0.0,-899.1,80.0,-969.3,66.1
4954,MIT,1,0,0.0,-853.1,77.1,-1034.8,35.4
4955,MIT,1,0,0.0,-905.6,113.3,-1323.6,43.5
4956,MIT,1,0,0.0,-971.1,58.9,-1100.2,35.4
4957,MIT,1,0,0.0,-904.1,57.2,-861.3,61.8
4958,MIT,1,0,0.0,-861.8,68.3,-975.1,48.1
4959,MIT,1,0,0.0,-974.3,29.4,-877.8,57.1
4960,MIT,1,0,0.0,-1249.1,4.7,-795.2,96.2
4961,MIT,1,0,0.0,-1001.7,29.6,-806.4,78.9
4962,MIT,1,0,0.0,-833.1,35.4,-799.1,45.7
4963,MIT,1,0,0.0,-1029.4,34.4,-823.0,70.3
4964,MIT,1,0,0.0,-824.2,49.9,-784.1,58.3
4965,MIT,1,0,0.0,-968.8,55.7,-971.5,58.9
4966,MIT,1,0,0.0,-1169.2,30.2,-1027.7,66.2
4967,MIT,1,0,0.0,-1089.7,43.3,-1158.5,45.9
4968,MIT,1,0,0.0,-1040.2,61.3,-975.0,86.8
4969,MIT,1,0,0.0,-1116.5,20.0,-796.4,83.3
4970,MIT,1,0,0.0,-1120.6,47.3,-1223.3,47.0
4971,MIT,1,0,0.0,-795.6,32.5,-765.5,49.2
4972,MIT,1,0,0.0,-877.0,65.0,-1099.1,9.2
4973,MIT,1,0,0.0,-944.3,67.9,-967.6,65.1
4974,MIT,1,0,0.0,-835.0,59.1,-982.6,36.3
4975,MIT,1,0,0.0,-712.0,88.2,-1072.0,16.6
4976,MIT,1,0,0.0,-633.5,49.6,-810.9,11.7
4977,MIT,1,0,0.0,-823.0,41.8,-776.4,45.2
4978,MIT,1,0,0.0,-866.8,57.1,-936.9,46.8
4979,MIT,1,0,0.0,-650.3,31.1,-648.3,22.5
4980,MIT,1,0,0.0,-835.2,45.2,-810.9,35.0
4981,MIT,1,0,0.0,-585.6,65.8,-919.1,10.2
4982,MIT,1,0,0.0,-539.8,99.6,-965.9,12.5
4983,MIT,1,0,0.0,-887.1,96.1,-1152.7,39.0
4984,MIT,1,0,0.0,-849.0,30.7,-617.6,80.3
4985,MIT,1,0,0.0,-567.8,66.3,-859.1,17.2
4986,MIT,1,0,0.0,-803.0,85.1,-1102.4,30.9
4987,MIT,1,0,0.0,-859.4,51.7,-899.2,42.7
4988,MIT,1,0,0.0,-708.3,30.3,-693.7,37.7
4989,MIT,1,0,0.0,-922.9,20.0,-660.8,65.9
4990,MIT,1,0,0.0,-657.1,58.5,-776.0,30.7
4991,MIT,1,0,0.0,-738.2,65.1,-786.8,55.8
4992,MIT,1,0,0.0,-692.1,56.4,-781.3,37.8
4993,MIT,1,0,0.0,-786.7,44.3,-863.3,30.0
4994,MIT,1,0,0.0,-759.9,19.1,-597.2,47.3
4995,MIT,1,0,0.0,-725.6,15.5,-553.3,50.5
4996,MIT,1,0,0.0,-853.4,21.7,-601.0,67.4
4997,MIT,1,0,0.0,-647.0,59.9,-937.1,5.5
4998,MIT,1,0,0.0,-688.3,57.1,-726.3,48.9
4999,MIT,1,0,0.0,-850.4,43.8,-858.4,52.5
5000,MIT,1,0,0.0,-870.3,34.5,-722.4,64.9
5001,MIT,1,0,0.0,-591.6,31.6,-643.9,19.2
5002,MIT,1,0,0.0,-665.2,64.4,-852.2,28.1
5003,MIT,1,0,0.0,-754.6,12.9,-629.6,33.2
5004,MIT,1,0,0.0,-665.5,40.9,-758.2,33.5
5005,MIT,1,0,0.0,-494.2,53.1,-749.8,15.9
5006,MIT,1,0,0.0,-601.7,34.3,-730.6,12.5
5007,MIT,1,0,0.0,-774.8,26.9,-566.3,74.9
5008,MIT,1,0,0.0,-679.3,104.9,-974.2,38.8
5009,MIT,1,0,0.0,-706.3,40.2,-644.5,50.5
5010,MIT,1,0,0.0,-672.0,63.5,-803.9,33.8
5011,MIT,1,0,0.0,-599.8,47.3,-790.9,13.8
5012,MIT,1,0,0.0,-783.6,20.1,-590.8,77.7
5013,MIT,1,0,0.0,-587.2,50.5,-721.2,23.6
