,Map,Shield,Grid,coll_train,acc_0_train,inter_0_train,acc_1_train,inter_1_train
6400,SUNY,1,0,0.0,-1343.4,70.0,-1043.8,128.7
6401,SUNY,1,0,0.0,-1050.7,84.9,-1095.8,75.2
6402,SUNY,1,0,0.0,-838.7,56.6,-912.7,53.3
6403,SUNY,1,0,0.0,-1434.7,39.9,-1265.7,54.7
6404,SUNY,1,0,0.0,-1355.7,89.0,-961.9,157.9
6405,SUNY,1,0,0.0,-1049.5,92.3,-1392.1,45.9
6406,SUNY,1,0,0.0,-712.1,128.5,-1407.6,10.0
6407,SUNY,1,0,0.0,-1217.3,6.6,-738.5,94.6
6408,SUNY,1,0,0.0,-1361.6,81.2,-1341.0,64.8
6409,SUNY,1,0,0.0,-1424.6,72.5,-1271.8,93.0
6410,SUNY,1,0,0.0,-1315.6,90.7,-1731.0,21.1
6411,SUNY,1,0,0.0,-1172.1,63.9,-1109.6,90.7
6412,SUNY,1,0,0.0,-1181.5,89.4,-1467.5,41.2
6413,SUNY,1,0,0.0,-1056.7,82.7,-1000.7,85.8
6414,SUNY,1,0,0.0,-1209.3,131.8,-1773.5,25.7
6415,SUNY,1,0,0.0,-1492.8,35.5,-968.0,117.5
6416,SUNY,1,0,0.0,-1033.3,62.9,-1074.4,45.2
6417,SUNY,1,0,0.0,-1146.0,65.1,-983.8,96.9
6418,SUNY,1,0,0.0,-1052.2,59.6,-965.6,77.4
6419,SUNY,1,0,0.0,-816.2,120.0,-1185.2,44.2
6420,SUNY,1,0,0.0,-1081.5,88.3,-1302.7,36.7
6421,SUNY,1,0,0.0,-1175.4,81.5,-1189.6,67.2
6422,SUNY,1,0,0.0,-882.5,96.7,-1174.4,60.6
6423,SUNY,1,0,0.0,-1377.0,35.0,-827.0,156.5
6424,SUNY,1,0,0.0,-1136.0,60.7,-1007.8,104.9
6425,SUNY,1,0,0.0,-966.4,127.3,-1574.9,17.7
6426,SUNY,1,0,0.0,-1058.1,84.9,-1086.1,72.7
6427,SUNY,1,0,0.0,-1168.6,27.5,-760.6,113.9
6428,SUNY,1,0,0.0,-1243.6,84.2,-1205.8,76.8
6429,SUNY,1,0,0.0,-1031.9,103.0,-1094.5,100.5
6430,SUNY,1,0,0.0,-1486.9,57.6,-1363.3,75.2
6431,SUNY,1,0,0.0,-1153.2,65.4,-1125.1,80.6
6432,SUNY,1,0,0.0,-999.8,127.1,-1339.2,69.2
6433,SUNY,1,0,0.0,-1135.9,62.2,-1329.1,13.6
6434,SUNY,1,0,0.0,-671.5,105.4,-1092.5,23.1
6435,SUNY,1,0,0.0,-961.6,77.9,-1068.9,72.6
6436,SUNY,1,0,0.0,-897.3,70.5,-1059.1,29.3
6437,SUNY,1,0,0.0,-635.2,88.1,-757.3,78.2
6438,SUNY,1,0,0.0,-1060.4,62.1,-757.6,108.3
6439,SUNY,1,0,0.0,-958.6,64.4,-755.4,110.0
6440,SUNY,1,0,0.0,-1249.8,107.6,-1212.1,106.9
6441,SUNY,1,0,0.0,-1149.6,32.5,-1110.3,59.5
6442,SUNY,1,0,0.0,-1215.1,46.4,-600.0,154.8
6443,SUNY,1,0,0.0,-1257.4,12.7,-705.5,113.8
6444,SUNY,1,0,0.0,-793.8,143.5,-1441.0,46.5
6445,SUNY,1,0,0.0,-942.1,60.4,-895.5,76.5
6446,SUNY,1,0,0.0,-946.8,125.1,-1432.3,47.0
6447,SUNY,1,0,0.0,-702.8,107.1,-981.4,57.4
6448,SUNY,1,0,0.0,-902.7,41.4,-712.1,90.3
6449,SUNY,1,0,0.0,-1078.0,103.2,-1221.8,94.3
6450,SUNY,1,0,0.0,-700.4,137.0,-1047.2,72.3
6451,SUNY,1,0,0.0,-1043.5,50.3,-733.6,114.7
6452,SUNY,1,0,0.0,-744.1,22.8,-664.3,49.8
6453,SUNY,1,0,0.0,-914.3,98.7,-1201.3,59.1
6454,SUNY,1,0,0.0,-1188.9,35.0,-855.0,102.6
6455,SUNY,1,0,0.0,-1280.9,25.3,-924.2,95.7
