,Map,Shield,Grid,coll_train,acc_0_train,inter_0_train,acc_1_train,inter_1_train
1600,ISR,1,0,0.0,-1186.4,122.2,-1049.6,142.3
1601,ISR,1,0,0.0,-810.0,103.7,-1014.9,63.0
1602,ISR,1,0,0.0,-1522.3,69.0,-1059.3,134.7
1603,ISR,1,0,0.0,-971.5,86.5,-1120.0,59.4
1604,ISR,1,0,0.0,-1279.8,97.2,-1211.0,99.0
1605,ISR,1,0,0.0,-818.8,146.3,-1089.7,90.2
1606,ISR,1,0,0.0,-906.5,117.7,-955.5,119.6
1607,ISR,1,0,0.0,-1125.7,68.2,-1058.1,78.2
1608,ISR,1,0,0.0,-750.5,132.4,-1243.6,54.4
1609,ISR,1,0,0.0,-781.9,83.6,-730.7,83.2
1610,ISR,1,0,0.0,-1433.7,58.7,-984.0,141.2
1611,ISR,1,0,0.0,-920.7,107.5,-1227.4,48.7
1612,ISR,1,0,0.0,-532.1,109.0,-1063.4,30.0
1613,ISR,1,0,0.0,-557.9,154.0,-1432.1,6.5
1614,ISR,1,0,0.0,-873.0,43.9,-898.9,43.1
1615,ISR,1,0,0.0,-977.0,75.0,-890.8,85.0
1616,ISR,1,0,0.0,-971.4,85.0,-1014.3,59.7
1617,ISR,1,0,0.0,-718.2,62.0,-621.1,74.1
1618,ISR,1,0,0.0,-1053.4,49.1,-588.7,118.2
1619,ISR,1,0,0.0,-653.9,115.3,-1024.8,47.7
1620,ISR,1,0,0.0,-571.5,86.5,-807.4,50.6
1621,ISR,1,0,0.0,-681.6,85.6,-910.6,26.4
1622,ISR,1,0,0.0,-466.7,84.6,-621.4,61.4
1623,ISR,1,0,0.0,-697.2,98.5,-716.2,81.6
1624,ISR,1,0,0.0,-454.5,187.6,-1230.3,36.8
1625,ISR,1,0,0.0,-428.7,156.6,-1330.2,1.9
1626,ISR,1,0,0.0,-565.1,88.8,-792.3,37.9
1627,ISR,1,0,0.0,-453.1,47.6,-603.8,18.7
1628,ISR,1,0,0.0,-1187.4,128.7,-1698.9,41.4
1629,ISR,1,0,0.0,-677.8,135.4,-1090.4,55.6
1630,ISR,1,0,0.0,-1096.9,61.6,-892.4,95.2
1631,ISR,1,0,0.0,-1021.6,107.2,-1368.0,58.5
1632,ISR,1,0,0.0,-1187.3,31.8,-679.8,110.3
1633,ISR,1,0,0.0,-1172.1,75.5,-549.4,179.1
1634,ISR,1,0,0.0,-317.8,52.2,-373.8,29.4
1635,ISR,1,0,0.0,-231.4,157.7,-952.6,18.4
1636,ISR,1,0,0.0,-740.3,93.4,-846.2,80.5
1637,ISR,1,0,0.0,-267.2,98.2,-601.6,29.7
1638,ISR,1,0,0.0,-578.6,62.8,-875.0,23.3
1639,ISR,1,0,0.0,-455.1,133.1,-938.2,48.8
1640,ISR,1,0,0.0,-730.7,33.0,-433.7,86.1
1641,ISR,1,0,0.0,-572.1,88.1,-704.4,63.4
1642,ISR,1,0,0.0,-752.1,56.8,-591.3,86.4
1643,ISR,1,0,0.0,-590.2,68.3,-473.5,76.7
1644,ISR,1,0,0.0,-975.8,39.7,-608.6,99.6
1645,ISR,1,0,0.0,-683.7,131.1,-1169.3,45.6
1646,ISR,1,0,0.0,-469.3,93.8,-820.7,29.6
1647,ISR,1,0,0.0,-548.6,112.5,-711.5,78.6
1648,ISR,1,0,0.0,-311.8,70.8,-431.0,38.3
1649,ISR,1,0,0.0,-1034.7,153.4,-1285.6,102.4
1650,ISR,1,0,0.0,-733.9,32.3,-453.7,77.2
1651,ISR,1,0,0.0,-319.4,64.6,-556.0,26.5
1652,ISR,1,0,0.0,-1054.2,52.7,-765.0,95.9
1653,ISR,1,0,0.0,-649.9,104.9,-831.0,75.1
1654,ISR,1,0,0.0,-822.0,62.4,-703.7,85.2
1655,ISR,1,0,0.0,-376.0,42.3,-258.3,54.1
1656,ISR,1,0,0.0,-1137.3,87.5,-1046.0,97.8
