,Map,Shield,Grid,coll_train,acc_0_train,inter_0_train,acc_1_train,inter_1_train
3200,Pentagon,1,0,0.0,-966.5,114.0,-1115.0,99.7
3201,Pentagon,1,0,0.0,-1283.3,38.4,-852.6,128.5
3202,Pentagon,1,0,0.0,-602.5,162.1,-1044.1,82.3
3203,Pentagon,1,0,0.0,-535.7,161.3,-1237.4,50.5
3204,Pentagon,1,0,0.0,-1382.7,51.2,-1166.2,110.9
3205,Pentagon,1,0,0.0,-1413.4,68.3,-910.6,163.8
3206,Pentagon,1,0,0.0,-838.3,73.1,-686.0,114.6
3207,Pentagon,1,0,0.0,-802.9,44.4,-661.6,79.6
3208,Pentagon,1,0,0.0,-925.8,32.0,-680.0,79.3
3209,Pentagon,1,0,0.0,-1397.6,33.5,-656.8,179.8
3210,Pentagon,1,0,0.0,-875.2,56.7,-691.6,109.5
3211,Pentagon,1,0,0.0,-1030.9,73.0,-984.4,104.3
3212,Pentagon,1,0,0.0,-1350.4,82.6,-909.0,172.4
3213,Pentagon,1,0,0.0,-1516.4,56.5,-1205.7,136.7
3214,Pentagon,1,0,0.0,-1230.8,42.3,-919.6,109.8
3215,Pentagon,1,0,0.0,-1321.3,25.0,-1086.4,77.5
3216,Pentagon,1,0,0.0,-1084.0,112.7,-1258.5,94.3
3217,Pentagon,1,0,0.0,-466.2,80.1,-614.8,64.3
3218,Pentagon,1,0,0.0,-865.8,12.6,-674.8,56.1
3219,Pentagon,1,0,0.0,-1249.1,73.5,-1102.1,112.7
3220,Pentagon,1,0,0.0,-728.6,103.5,-898.6,81.8
3221,Pentagon,1,0,0.0,-870.3,55.5,-610.2,113.6
3222,Pentagon,1,0,0.0,-919.9,78.6,-1028.4,61.5
3223,Pentagon,1,0,0.0,-1130.5,63.0,-936.6,104.5
3224,Pentagon,1,0,0.0,-982.9,80.9,-731.7,129.1
3225,Pentagon,1,0,0.0,-897.6,110.9,-829.0,121.1
3226,Pentagon,1,0,0.0,-963.5,66.9,-758.3,112.7
3227,Pentagon,1,0,0.0,-1360.0,40.0,-915.1,136.5
