,Map,Shield,Grid,coll_train,acc_0_train,inter_0_train,acc_1_train,inter_1_train
0,example,1,0,0.0,-280.9,62.2,-676.2,14.4
1,example,1,0,0.0,-358.8,69.6,-782.3,12.3
2,example,1,0,0.0,-224.3,43.0,-464.0,7.0
3,example,1,0,0.0,-882.1,16.5,-705.8,53.7
4,example,1,0,0.0,-208.1,31.6,-373.7,18.4
5,example,1,0,0.0,-560.4,44.3,-845.7,15.8
6,example,1,0,0.0,-422.5,26.7,-416.4,29.1
7,example,1,0,0.0,-77.7,42.2,-331.5,3.1
8,example,1,0,0.0,-450.0,33.1,-557.6,22.0
9,example,1,0,0.0,-252.9,36.7,-464.5,7.4
10,example,1,0,0.0,-272.9,43.8,-458.4,22.3
11,example,1,0,0.0,-492.4,50.6,-831.3,10.7
12,example,1,0,0.0,-286.9,24.3,-443.0,13.1
13,example,1,0,0.0,-751.1,23.3,-777.4,29.8
14,example,1,0,0.0,-368.7,37.2,-466.4,23.3
15,example,1,0,0.0,-554.7,45.0,-851.6,18.3
16,example,1,0,0.0,-453.5,41.5,-561.9,28.7
17,example,1,0,0.0,-503.0,35.5,-603.6,27.4
18,example,1,0,0.0,-245.2,37.1,-536.0,10.5
19,example,1,0,0.0,-317.6,16.1,-420.0,9.5
20,example,1,0,0.0,-301.2,23.0,-423.3,11.9
21,example,1,0,0.0,-410.4,32.0,-578.5,18.0
22,example,1,0,0.0,-501.8,27.5,-557.2,22.7
23,example,1,0,0.0,-334.4,40.8,-598.9,7.3
24,example,1,0,0.0,-59.3,35.8,-280.6,6.4
25,example,1,0,0.0,-238.7,19.8,-395.6,4.9
26,example,1,0,0.0,-341.1,28.3,-450.3,18.2
27,example,1,0,0.0,-277.3,39.1,-537.0,13.0
28,example,1,0,0.0,-272.0,12.5,-278.6,16.2
29,example,1,0,0.0,-270.3,20.0,-314.3,20.6
30,example,1,0,0.0,-428.0,30.9,-583.3,15.8
31,example,1,0,0.0,-245.9,35.0,-469.7,17.6
32,example,1,0,0.0,-135.1,40.2,-432.1,5.3
33,example,1,0,0.0,-469.5,21.5,-565.5,16.2
34,example,1,0,0.0,-260.5,24.4,-383.6,9.9
35,example,1,0,0.0,-263.5,24.1,-266.1,28.7
36,example,1,0,0.0,-80.9,23.6,-170.4,14.6
37,example,1,0,0.0,-346.2,34.6,-488.5,12.4
38,example,1,0,0.0,-238.1,43.3,-468.9,11.6
39,example,1,0,0.0,-377.2,21.2,-477.9,14.7
40,example,1,0,0.0,-171.7,23.0,-302.4,6.4
41,example,1,0,0.0,-144.2,33.1,-289.5,13.7
42,example,1,0,0.0,-349.6,41.8,-628.6,7.5
43,example,1,0,0.0,-135.5,20.3,-262.4,8.2
44,example,1,0,0.0,-325.4,21.4,-378.4,16.9
45,example,1,0,0.0,-406.4,34.7,-629.8,11.8
46,example,1,0,0.0,-278.8,23.9,-379.7,9.0
