,Map,Shield,Grid,coll_train,acc_0_train,inter_0_train,acc_1_train,inter_1_train
1600,ISR,1,0,0.0,-1448.4,41.5,-728.3,165.5
1601,ISR,1,0,0.0,-874.6,107.5,-1052.6,63.9
1602,ISR,1,0,0.0,-1175.1,87.7,-978.5,107.9
1603,ISR,1,0,0.0,-1316.5,92.6,-1005.6,135.4
1604,ISR,1,0,0.0,-954.3,130.5,-1184.0,83.6
1605,ISR,1,0,0.0,-645.7,100.7,-905.7,44.4
1606,ISR,1,0,0.0,-811.6,113.1,-1202.3,50.9
1607,ISR,1,0,0.0,-499.4,131.9,-1057.2,40.2
1608,ISR,1,0,0.0,-999.6,45.0,-782.4,73.8
1609,ISR,1,0,0.0,-554.1,150.0,-946.6,79.6
1610,ISR,1,0,0.0,-1072.7,50.8,-865.2,74.1
1611,ISR,1,0,0.0,-786.1,105.6,-808.8,99.3
1612,ISR,1,0,0.0,-1164.5,98.2,-792.3,157.8
1613,ISR,1,0,0.0,-823.6,121.9,-1431.8,26.3
1614,ISR,1,0,0.0,-1070.1,89.6,-1085.2,83.9
1615,ISR,1,0,0.0,-1115.1,98.9,-1380.9,57.5
1616,ISR,1,0,0.0,-1099.8,82.2,-797.6,121.9
1617,ISR,1,0,0.0,-1194.2,36.0,-719.4,108.8
1618,ISR,1,0,0.0,-974.7,111.0,-1265.2,58.1
1619,ISR,1,0,0.0,-1171.1,109.3,-1328.6,71.7
1620,ISR,1,0,0.0,-1024.7,55.1,-732.4,107.7
1621,ISR,1,0,0.0,-1034.2,20.1,-706.4,83.3
1622,ISR,1,0,0.0,-763.3,122.7,-1181.2,49.9
1623,ISR,1,0,0.0,-401.3,190.1,-1464.0,10.4
1624,ISR,1,0,0.0,-382.5,73.2,-626.6,22.3
1625,ISR,1,0,0.0,-734.4,123.7,-868.9,108.2
1626,ISR,1,0,0.0,-506.6,88.8,-722.7,55.5
1627,ISR,1,0,0.0,-673.7,74.0,-686.9,76.8
1628,ISR,1,0,0.0,-555.8,129.1,-890.9,62.6
1629,ISR,1,0,0.0,-962.8,25.2,-428.7,114.0
1630,ISR,1,0,0.0,-867.5,114.1,-883.1,109.0
1631,ISR,1,0,0.0,-594.8,115.2,-1128.7,26.3
1632,ISR,1,0,0.0,-1107.0,45.5,-894.7,73.6
1633,ISR,1,0,0.0,-871.6,69.9,-520.1,125.9
1634,ISR,1,0,0.0,-704.2,82.6,-645.9,85.1
1635,ISR,1,0,0.0,-677.4,92.0,-639.4,99.4
1636,ISR,1,0,0.0,-591.7,125.6,-1017.3,34.7
1637,ISR,1,0,0.0,-1073.6,58.3,-800.1,102.9
1638,ISR,1,0,0.0,-823.2,48.4,-624.9,88.6
1639,ISR,1,0,0.0,-531.7,44.6,-331.9,80.3
1640,ISR,1,0,0.0,-688.5,138.6,-1122.3,72.9
1641,ISR,1,0,0.0,-741.7,96.6,-769.0,90.5
1642,ISR,1,0,0.0,-609.2,122.4,-885.4,50.0
1643,ISR,1,0,0.0,-505.2,69.3,-570.6,62.3
1644,ISR,1,0,0.0,-346.6,184.9,-1238.7,34.2
