,Map,Shield,Grid,coll_train,acc_0_train,inter_0_train,acc_1_train,inter_1_train
4800,MIT,1,0,0.0,-2100.2,7.0,-2142.3,17.3
4801,MIT,1,0,0.0,-2095.3,8.4,-2168.6,7.8
4802,MIT,1,0,0.0,-2158.6,12.4,-2185.7,1.9
4803,MIT,1,0,0.0,-2140.9,11.1,-1940.8,46.9
4804,MIT,1,0,0.0,-2192.0,0.2,-2077.2,19.5
4805,MIT,1,0,0.0,-2068.0,19.0,-2199.1,13.0
4806,MIT,1,0,0.0,-2002.8,31.9,-2204.6,2.2
4807,MIT,1,0,0.0,-1957.9,30.2,-2105.5,22.9
4808,MIT,1,0,0.0,-2095.3,12.4,-2260.4,3.5
4809,MIT,1,0,0.0,-2183.0,4.7,-2092.1,19.4
4810,MIT,1,0,0.0,-1928.7,40.3,-2046.4,32.8
4811,MIT,1,0,0.0,-2057.1,11.4,-2132.6,6.0
4812,MIT,1,0,0.0,-2164.1,0.1,-2007.8,27.9
4813,MIT,1,0,0.0,-1936.6,32.4,-2200.3,13.1
4814,MIT,1,0,0.0,-2124.4,11.0,-2190.2,2.2
4815,MIT,1,0,0.0,-2211.8,0.3,-2210.0,3.9
4816,MIT,1,0,0.0,-2151.4,4.7,-2284.7,1.4
4817,MIT,1,0,0.0,-1773.4,61.0,-2023.7,27.7
4818,MIT,1,0,0.0,-1920.0,20.0,-1964.8,19.9
4819,MIT,1,0,0.0,-2144.3,0.3,-2100.8,24.4
4820,MIT,1,0,0.0,-1971.5,7.1,-1737.4,56.7
4821,MIT,1,0,0.0,-1808.5,34.7,-1978.7,14.6
4822,MIT,1,0,0.0,-2049.7,16.6,-1970.6,34.7
4823,MIT,1,0,0.0,-1934.2,9.8,-2059.5,5.7
4824,MIT,1,0,0.0,-1755.1,66.1,-2021.0,23.0
4825,MIT,1,0,0.0,-1972.6,28.3,-2083.0,12.2
4826,MIT,1,0,0.0,-2123.9,0.0,-1940.8,30.8
4827,MIT,1,0,0.0,-1933.6,43.0,-2042.0,22.8
4828,MIT,1,0,0.0,-1796.1,41.3,-1890.9,26.0
4829,MIT,1,0,0.0,-2042.7,19.3,-2165.0,3.1
4830,MIT,1,0,0.0,-1868.4,44.6,-2192.6,5.5
4831,MIT,1,0,0.0,-1758.8,32.0,-1920.9,24.1
4832,MIT,1,0,0.0,-2090.0,7.3,-2095.3,14.5
4833,MIT,1,0,0.0,-2167.0,2.8,-2174.9,3.2
4834,MIT,1,0,0.0,-1873.7,53.5,-1944.2,35.6
4835,MIT,1,0,0.0,-1495.3,88.1,-1764.2,49.9
4836,MIT,1,0,0.0,-1748.9,38.4,-1932.4,7.0
4837,MIT,1,0,0.0,-1855.7,28.2,-2142.5,4.9
4838,MIT,1,0,0.0,-2020.5,9.2,-2033.0,8.2
4839,MIT,1,0,0.0,-1722.8,19.7,-1865.6,4.8
4840,MIT,1,0,0.0,-2017.3,21.7,-1762.2,51.5
4841,MIT,1,0,0.0,-1913.4,20.7,-2027.0,14.7
4842,MIT,1,0,0.0,-2047.8,16.6,-2040.5,23.4
4843,MIT,1,0,0.0,-1944.6,36.0,-1976.8,34.3
4844,MIT,1,0,0.0,-1979.0,9.5,-2090.1,4.4
4845,MIT,1,0,0.0,-2037.2,9.4,-2097.0,7.4
4846,MIT,1,0,0.0,-1904.3,27.9,-2068.5,19.1
4847,MIT,1,0,0.0,-1716.4,23.9,-1596.3,37.3
4848,MIT,1,0,0.0,-1816.7,38.4,-2026.2,3.9
4849,MIT,1,0,0.0,-1740.1,45.2,-1931.8,12.7
4850,MIT,1,0,0.0,-1702.1,60.0,-1962.8,34.9
4851,MIT,1,0,0.0,-1998.4,15.2,-1719.2,64.2
4852,MIT,1,0,0.0,-1755.0,35.5,-1690.8,60.1
4853,MIT,1,0,0.0,-1824.5,40.1,-1839.7,60.5
4854,MIT,1,0,0.0,-1402.6,89.6,-1679.8,58.0
4855,MIT,1,0,0.0,-1749.1,52.6,-2081.8,4.0
4856,MIT,1,0,0.0,-1816.8,46.8,-1971.5,13.0
4857,MIT,1,0,0.0,-2095.4,7.5,-1852.0,36.6
4858,MIT,1,0,0.0,-1543.6,52.7,-1852.6,5.5
4859,MIT,1,0,0.0,-1449.1,98.8,-2013.9,4.3
4860,MIT,1,0,0.0,-1919.4,26.1,-1991.1,21.4
4861,MIT,1,0,0.0,-1671.4,54.1,-1720.2,48.2
4862,MIT,1,0,0.0,-1744.4,49.9,-1902.4,28.9
4863,MIT,1,0,0.0,-1546.3,90.4,-1912.3,28.6
4864,MIT,1,0,0.0,-1808.8,21.7,-1872.9,27.4
4865,MIT,1,0,0.0,-1682.7,45.8,-1817.3,31.2
4866,MIT,1,0,0.0,-1916.6,44.1,-1935.2,39.1
4867,MIT,1,0,0.0,-1796.7,47.3,-1824.1,39.2
4868,MIT,1,0,0.0,-1644.2,44.5,-1749.5,50.2
4869,MIT,1,0,0.0,-1735.1,21.5,-1614.6,55.7
4870,MIT,1,0,0.0,-1747.0,35.8,-1720.1,49.9
4871,MIT,1,0,0.0,-1286.2,85.2,-1485.8,45.5
4872,MIT,1,0,0.0,-1479.3,83.1,-1889.2,10.5
4873,MIT,1,0,0.0,-1499.3,55.2,-1690.7,27.4
4874,MIT,1,0,0.0,-1591.8,47.6,-1604.7,69.7
4875,MIT,1,0,0.0,-1758.8,36.8,-1657.5,71.4
4876,MIT,1,0,0.0,-1555.0,57.9,-1692.8,35.8
4877,MIT,1,0,0.0,-1841.3,26.7,-1711.2,58.6
