,Map,Shield,Grid,coll_train,acc_0_train,inter_0_train,acc_1_train,inter_1_train
3200,Pentagon,1,0,0.0,-1120.3,41.5,-1167.5,43.9
3201,Pentagon,1,0,0.0,-897.8,101.7,-1030.0,93.4
3202,Pentagon,1,0,0.0,-1520.5,55.2,-938.2,156.9
3203,Pentagon,1,0,0.0,-1159.2,74.8,-901.7,125.4
3204,Pentagon,1,0,0.0,-850.0,155.8,-1428.5,67.1
3205,Pentagon,1,0,0.0,-950.0,62.4,-779.3,104.9
3206,Pentagon,1,0,0.0,-1142.4,38.3,-911.7,97.9
3207,Pentagon,1,0,0.0,-941.6,93.8,-931.5,115.1
3208,Pentagon,1,0,0.0,-1355.3,8.5,-862.7,109.2
3209,Pentagon,1,0,0.0,-1200.7,39.8,-907.0,121.5
3210,Pentagon,1,0,0.0,-1168.7,38.6,-627.2,142.8
3211,Pentagon,1,0,0.0,-865.0,23.5,-601.0,83.4
3212,Pentagon,1,0,0.0,-1084.3,53.8,-712.0,121.0
3213,Pentagon,1,0,0.0,-949.3,57.9,-811.2,91.6
3214,Pentagon,1,0,0.0,-1549.8,27.4,-782.0,185.3
3215,Pentagon,1,0,0.0,-1509.8,58.2,-958.5,178.4
3216,Pentagon,1,0,0.0,-668.8,130.7,-1243.5,35.6
3217,Pentagon,1,0,0.0,-837.7,43.4,-436.4,116.6
3218,Pentagon,1,0,0.0,-1159.0,93.9,-1162.7,118.8
3219,Pentagon,1,0,0.0,-1368.1,5.6,-788.2,129.3
3220,Pentagon,1,0,0.0,-880.1,65.0,-773.2,103.5
3221,Pentagon,1,0,0.0,-1008.5,57.3,-1102.9,48.8
3222,Pentagon,1,0,0.0,-1030.0,71.4,-730.8,136.3
3223,Pentagon,1,0,0.0,-1482.5,31.7,-576.2,205.1
3224,Pentagon,1,0,0.0,-709.8,149.5,-1077.4,94.6
3225,Pentagon,1,0,0.0,-569.2,151.3,-1133.0,53.9
3226,Pentagon,1,0,0.0,-1468.3,9.4,-505.6,180.0
3227,Pentagon,1,0,0.0,-1189.5,31.7,-514.8,158.8
3228,Pentagon,1,0,0.0,-1127.8,58.9,-884.5,101.2
3229,Pentagon,1,0,0.0,-1148.9,40.4,-763.6,131.8
3230,Pentagon,1,0,0.0,-1570.2,7.1,-545.5,209.8
3231,Pentagon,1,0,0.0,-763.8,78.2,-876.6,69.0
3232,Pentagon,1,0,0.0,-798.1,74.2,-658.3,108.3
3233,Pentagon,1,0,0.0,-503.6,106.0,-871.4,48.4
3234,Pentagon,1,0,0.0,-818.9,117.9,-992.0,97.2
3235,Pentagon,1,0,0.0,-1324.1,71.7,-965.3,151.0
3236,Pentagon,1,0,0.0,-1113.0,32.9,-521.8,140.0
3237,Pentagon,1,0,0.0,-743.1,72.1,-940.7,53.5
3238,Pentagon,1,0,0.0,-796.4,114.8,-1029.8,86.9
3239,Pentagon,1,0,0.0,-833.9,21.5,-397.4,111.1
