,Map,Shield,Grid,coll_train,acc_0_train,inter_0_train,acc_1_train,inter_1_train
6400,SUNY,1,0,0.0,-1278.2,56.2,-1096.4,107.4
6401,SUNY,1,0,0.0,-1220.1,48.5,-896.9,108.7
6402,SUNY,1,0,0.0,-1475.3,42.5,-1123.1,108.6
6403,SUNY,1,0,0.0,-1482.7,15.3,-838.1,160.3
6404,SUNY,1,0,0.0,-1017.7,107.2,-1479.7,32.3
6405,SUNY,1,0,0.0,-1088.8,55.8,-884.6,87.3
6406,SUNY,1,0,0.0,-1308.2,45.4,-719.6,145.9
6407,SUNY,1,0,0.0,-1082.4,30.2,-897.4,75.3
6408,SUNY,1,0,0.0,-1169.7,88.8,-1222.2,76.6
6409,SUNY,1,0,0.0,-1242.3,110.0,-1670.5,31.2
6410,SUNY,1,0,0.0,-1356.0,75.3,-1188.4,114.1
6411,SUNY,1,0,0.0,-1167.6,107.0,-1376.5,51.1
6412,SUNY,1,0,0.0,-1655.4,36.1,-1047.8,139.6
6413,SUNY,1,0,0.0,-1501.8,25.0,-1383.1,57.3
6414,SUNY,1,0,0.0,-1321.7,74.2,-1321.8,92.0
6415,SUNY,1,0,0.0,-855.6,136.4,-1363.3,62.9
6416,SUNY,1,0,0.0,-1067.4,85.1,-1234.6,69.7
6417,SUNY,1,0,0.0,-992.9,52.3,-647.8,125.0
6418,SUNY,1,0,0.0,-1294.6,53.2,-1183.2,89.8
6419,SUNY,1,0,0.0,-1228.8,80.0,-1231.5,77.7
6420,SUNY,1,0,0.0,-1258.7,47.1,-988.3,113.0
6421,SUNY,1,0,0.0,-1225.9,81.5,-1002.7,111.4
6422,SUNY,1,0,0.0,-1326.2,41.4,-1074.6,86.2
6423,SUNY,1,0,0.0,-1100.5,48.9,-773.5,121.4
6424,SUNY,1,0,0.0,-984.8,72.8,-1153.4,52.2
6425,SUNY,1,0,0.0,-1488.6,54.8,-1140.9,112.7
6426,SUNY,1,0,0.0,-954.4,57.9,-978.0,58.0
6427,SUNY,1,0,0.0,-1350.5,66.0,-1345.3,74.1
