,Map,Shield,Grid,coll_train,acc_0_train,inter_0_train,acc_1_train,inter_1_train
0,example,1,0,0.0,-438.4,45.9,-628.4,19.7
1,example,1,0,0.0,-413.3,55.0,-709.3,17.7
2,example,1,0,0.0,-289.2,21.3,-312.8,13.9
3,example,1,0,0.0,-221.4,37.8,-459.2,5.3
4,example,1,0,0.0,-689.4,17.4,-700.5,29.8
5,example,1,0,0.0,-269.5,62.5,-630.6,11.1
6,example,1,0,0.0,-386.4,37.0,-507.9,20.6
7,example,1,0,0.0,-358.2,21.4,-306.6,32.0
8,example,1,0,0.0,-181.9,62.4,-555.8,6.5
9,example,1,0,0.0,-591.8,36.1,-738.6,22.7
10,example,1,0,0.0,-396.4,37.0,-661.7,13.3
11,example,1,0,0.0,-269.5,34.0,-464.7,8.1
12,example,1,0,0.0,-213.1,38.0,-417.9,10.2
13,example,1,0,0.0,-342.0,63.4,-737.3,10.3
14,example,1,0,0.0,-463.7,34.5,-536.6,33.5
15,example,1,0,0.0,-214.8,26.5,-378.9,10.2
16,example,1,0,0.0,-277.9,20.4,-338.4,18.3
17,example,1,0,0.0,-215.4,39.5,-478.5,7.9
18,example,1,0,0.0,-348.0,34.0,-556.0,9.7
19,example,1,0,0.0,-787.0,29.6,-874.0,32.9
20,example,1,0,0.0,-360.5,32.6,-459.1,20.4
21,example,1,0,0.0,-319.3,38.3,-395.0,29.9
22,example,1,0,0.0,-389.2,42.5,-567.2,22.7
23,example,1,0,0.0,-251.6,38.5,-478.7,7.6
24,example,1,0,0.0,-111.2,68.3,-545.8,7.8
25,example,1,0,0.0,-129.4,31.4,-321.6,7.4
26,example,1,0,0.0,-446.5,38.7,-659.7,21.0
27,example,1,0,0.0,-185.7,34.7,-420.9,7.8
28,example,1,0,0.0,-295.9,30.6,-419.7,15.0
29,example,1,0,0.0,-295.0,46.5,-555.8,20.0
30,example,1,0,0.0,-202.4,14.0,-230.9,13.1
31,example,1,0,0.0,-197.4,22.9,-277.5,17.0
32,example,1,0,0.0,-288.6,31.1,-476.7,14.8
33,example,1,0,0.0,-207.8,37.2,-436.8,8.1
34,example,1,0,0.0,-165.1,41.1,-376.5,5.6
35,example,1,0,0.0,-299.9,41.7,-475.5,19.5
36,example,1,0,0.0,-379.6,32.8,-579.6,12.1
37,example,1,0,0.0,-227.8,12.5,-234.0,16.1
38,example,1,0,0.0,-344.3,21.1,-418.9,19.1
39,example,1,0,0.0,-301.7,28.4,-524.6,10.0
40,example,1,0,0.0,-328.0,40.8,-492.1,19.0
41,example,1,0,0.0,-129.7,32.2,-299.6,13.2
42,example,1,0,0.0,-124.1,30.7,-277.2,8.2
43,example,1,0,0.0,-196.0,42.7,-432.4,6.5
44,example,1,0,0.0,-223.4,14.4,-181.8,21.1
45,example,1,0,0.0,-264.5,20.3,-354.2,14.7
46,example,1,0,0.0,-296.8,17.4,-395.1,13.9
47,example,1,0,0.0,-132.1,50.1,-417.5,7.5
48,example,1,0,0.0,-308.0,54.1,-588.2,17.0
49,example,1,0,0.0,-248.2,26.9,-328.1,13.5
50,example,1,0,0.0,-530.6,18.6,-624.9,15.4
51,example,1,0,0.0,-343.6,27.1,-458.2,20.6
52,example,1,0,0.0,-389.0,23.5,-491.8,22.3
53,example,1,0,0.0,-159.0,44.9,-433.7,10.9
54,example,1,0,0.0,-57.3,21.4,-183.5,2.7
55,example,1,0,0.0,-332.6,31.5,-488.6,19.6
56,example,1,0,0.0,-48.2,39.5,-297.3,4.5
57,example,1,0,0.0,-74.5,33.7,-269.6,4.7
