,Map,Shield,Grid,coll_train,acc_0_train,inter_0_train,acc_1_train,inter_1_train
1600,ISR,1,0,0.0,-688.2,128.9,-1156.3,30.1
1601,ISR,1,0,0.0,-640.1,97.2,-1129.4,11.9
1602,ISR,1,0,0.0,-1143.1,120.5,-1501.8,46.7
1603,ISR,1,0,0.0,-915.6,76.7,-1016.0,62.9
1604,ISR,1,0,0.0,-873.4,82.8,-936.5,79.5
1605,ISR,1,0,0.0,-1311.3,67.6,-872.8,132.5
1606,ISR,1,0,0.0,-895.5,113.1,-1180.5,69.6
1607,ISR,1,0,0.0,-902.2,72.5,-953.8,47.4
1608,ISR,1,0,0.0,-893.4,81.5,-696.5,119.3
1609,ISR,1,0,0.0,-583.8,179.9,-1429.3,43.1
1610,ISR,1,0,0.0,-680.1,132.7,-938.7,79.0
1611,ISR,1,0,0.0,-607.7,113.3,-1032.5,55.1
1612,ISR,1,0,0.0,-814.1,122.9,-1241.8,31.1
1613,ISR,1,0,0.0,-1130.7,175.2,-2012.8,23.7
1614,ISR,1,0,0.0,-917.2,112.3,-946.1,103.4
1615,ISR,1,0,0.0,-1079.6,74.9,-954.2,89.5
1616,ISR,1,0,0.0,-582.0,162.9,-1193.8,50.0
1617,ISR,1,0,0.0,-1076.0,22.5,-635.9,88.9
1618,ISR,1,0,0.0,-796.1,115.3,-1235.5,41.3
1619,ISR,1,0,0.0,-543.8,120.8,-1173.8,11.2
1620,ISR,1,0,0.0,-683.2,91.9,-948.2,36.2
1621,ISR,1,0,0.0,-901.8,135.7,-1193.2,90.9
1622,ISR,1,0,0.0,-801.2,96.1,-1095.7,45.9
1623,ISR,1,0,0.0,-577.6,106.1,-858.7,39.4
1624,ISR,1,0,0.0,-421.8,109.7,-895.3,26.8
1625,ISR,1,0,0.0,-1098.1,23.4,-698.5,102.7
1626,ISR,1,0,0.0,-1246.5,88.8,-969.7,138.1
1627,ISR,1,0,0.0,-599.6,136.7,-1033.7,55.5
1628,ISR,1,0,0.0,-501.7,69.0,-773.8,20.5
1629,ISR,1,0,0.0,-695.7,96.3,-876.5,51.4
1630,ISR,1,0,0.0,-1295.9,86.5,-1071.6,130.9
1631,ISR,1,0,0.0,-1280.1,79.8,-1064.8,116.4
1632,ISR,1,0,0.0,-480.1,99.2,-880.1,13.8
1633,ISR,1,0,0.0,-297.7,72.2,-557.6,23.7
1634,ISR,1,0,0.0,-1477.4,46.5,-641.8,167.4
1635,ISR,1,0,0.0,-596.6,125.8,-854.7,84.1
1636,ISR,1,0,0.0,-813.2,80.9,-849.1,72.0
1637,ISR,1,0,0.0,-633.8,99.5,-827.1,78.2
1638,ISR,1,0,0.0,-974.2,65.6,-621.9,112.3
1639,ISR,1,0,0.0,-338.5,43.9,-463.0,30.0
1640,ISR,1,0,0.0,-821.3,80.2,-595.4,101.5
1641,ISR,1,0,0.0,-819.5,56.8,-635.7,85.1
1642,ISR,1,0,0.0,-621.4,120.5,-1164.6,20.7
1643,ISR,1,0,0.0,-851.8,58.3,-671.6,76.6
1644,ISR,1,0,0.0,-889.8,112.5,-968.7,99.7
1645,ISR,1,0,0.0,-503.5,75.4,-634.8,59.2
1646,ISR,1,0,0.0,-666.9,50.0,-671.6,42.1
1647,ISR,1,0,0.0,-680.0,41.5,-464.7,80.2
1648,ISR,1,0,0.0,-680.9,45.3,-591.9,47.7
1649,ISR,1,0,0.0,-544.5,94.7,-774.3,60.2
1650,ISR,1,0,0.0,-1005.3,38.3,-667.6,104.5
1651,ISR,1,0,0.0,-326.5,110.2,-767.6,31.0
1652,ISR,1,0,0.0,-295.6,109.7,-746.6,26.0
1653,ISR,1,0,0.0,-599.9,63.7,-647.4,47.3
1654,ISR,1,0,0.0,-552.7,79.9,-639.3,57.6
1655,ISR,1,0,0.0,-774.2,77.9,-794.7,64.7
1656,ISR,1,0,0.0,-275.4,139.6,-855.1,30.7
1657,ISR,1,0,0.0,-155.2,119.3,-679.5,23.4
1658,ISR,1,0,0.0,-773.8,23.5,-603.8,49.5
1659,ISR,1,0,0.0,-517.0,48.5,-482.0,40.2
1660,ISR,1,0,0.0,-465.0,199.3,-1512.2,12.2
1661,ISR,1,0,0.0,-437.7,108.1,-879.1,19.6
1662,ISR,1,0,0.0,-609.9,63.8,-721.9,41.1
1663,ISR,1,0,0.0,-729.0,81.8,-606.9,100.1
1664,ISR,1,0,0.0,-617.0,56.8,-579.3,54.7
1665,ISR,1,0,0.0,-576.8,46.9,-403.3,74.7
1666,ISR,1,0,0.0,-977.8,43.0,-593.9,109.4
1667,ISR,1,0,0.0,-630.0,39.3,-446.7,67.6
1668,ISR,1,0,0.0,-514.0,90.6,-641.1,62.0
1669,ISR,1,0,0.0,-331.5,88.7,-692.1,19.4
1670,ISR,1,0,0.0,-561.7,106.4,-785.5,51.5
1671,ISR,1,0,0.0,-336.8,10.2,-177.7,35.8
1672,ISR,1,0,0.0,-773.1,26.5,-400.5,89.9
1673,ISR,1,0,0.0,-418.4,112.7,-838.3,50.2
1674,ISR,1,0,0.0,-163.4,96.5,-500.1,27.7
1675,ISR,1,0,0.0,-835.0,46.4,-456.6,110.5
1676,ISR,1,0,0.0,-357.1,155.3,-950.4,34.4
1677,ISR,1,0,0.0,-299.6,83.1,-508.2,40.5
1678,ISR,1,0,0.0,-515.3,121.3,-898.5,52.3
1679,ISR,1,0,0.0,-438.3,60.5,-478.4,52.3
1680,ISR,1,0,0.0,-119.2,127.4,-730.8,10.9
1681,ISR,1,0,0.0,-630.9,89.7,-795.7,47.2
1682,ISR,1,0,0.0,-471.1,66.2,-465.6,59.6
1683,ISR,1,0,0.0,-423.1,111.5,-727.3,57.0
1684,ISR,1,0,0.0,-516.1,61.2,-602.0,32.9
1685,ISR,1,0,0.0,-193.7,74.4,-457.8,22.4
1686,ISR,1,0,0.0,-551.9,83.8,-750.1,47.3
1687,ISR,1,0,0.0,-702.7,62.2,-631.9,68.7
1688,ISR,1,0,0.0,-551.4,57.2,-432.5,63.7
1689,ISR,1,0,0.0,-505.5,115.0,-938.8,43.5
1690,ISR,1,0,0.0,-254.1,90.8,-680.6,18.3
1691,ISR,1,0,0.0,-312.0,129.8,-811.6,21.2
1692,ISR,1,0,0.0,-363.1,59.0,-595.4,16.7
1693,ISR,1,0,0.0,-166.0,54.3,-360.4,11.4
1694,ISR,1,0,0.0,-492.9,65.8,-505.2,69.3
1695,ISR,1,0,0.0,-269.2,111.3,-772.7,10.7
1696,ISR,1,0,0.0,-267.5,127.8,-666.3,37.4
1697,ISR,1,0,0.0,-1177.3,35.8,-537.0,143.4
1698,ISR,1,0,0.0,-428.6,77.0,-595.3,34.0
1699,ISR,1,0,0.0,-360.6,60.8,-453.0,33.6
1700,ISR,1,0,0.0,-259.9,49.2,-296.6,37.9
1701,ISR,1,0,0.0,-121.9,52.1,-405.0,2.5
1702,ISR,1,0,0.0,-281.4,65.0,-570.2,12.0
1703,ISR,1,0,0.0,-481.1,28.8,-193.3,81.0
1704,ISR,1,0,0.0,-685.0,32.8,-422.4,66.3
1705,ISR,1,0,0.0,-569.1,14.4,-207.3,91.5
1706,ISR,1,0,0.0,-304.3,36.8,-326.6,30.2
1707,ISR,1,0,0.0,-630.5,25.6,-219.6,96.1
1708,ISR,1,0,0.0,-155.8,42.4,-395.9,6.9
1709,ISR,1,0,0.0,-344.7,34.5,-271.1,47.6
1710,ISR,1,0,0.0,-324.0,50.9,-447.6,34.8
1711,ISR,1,0,0.0,-396.7,32.0,-206.3,64.5
1712,ISR,1,0,0.0,-130.8,48.9,-243.4,20.5
1713,ISR,1,0,0.0,-387.0,33.3,-362.0,36.0
1714,ISR,1,0,0.0,-258.4,72.1,-442.5,39.9
1715,ISR,1,0,0.0,-784.0,18.3,-321.0,98.4
1716,ISR,1,0,0.0,-233.0,119.5,-745.8,19.2
1717,ISR,1,0,0.0,-287.5,92.0,-641.0,25.4
1718,ISR,1,0,0.0,-221.7,42.2,-345.6,28.6
1719,ISR,1,0,0.0,-255.2,60.9,-510.3,20.2
1720,ISR,1,0,0.0,-202.4,49.4,-249.5,40.1
1721,ISR,1,0,0.0,-394.2,35.4,-333.1,44.2
1722,ISR,1,0,0.0,-114.2,113.8,-676.7,6.1
1723,ISR,1,0,0.0,-315.4,49.7,-413.4,34.3
1724,ISR,1,0,0.0,-141.5,49.5,-454.6,4.1
1725,ISR,1,0,0.0,-136.8,69.9,-419.0,15.2
1726,ISR,1,0,0.0,-305.7,55.2,-577.5,11.4
1727,ISR,1,0,0.0,-228.6,62.4,-388.6,26.4
