,Map,Shield,Grid,coll_train,acc_0_train,inter_0_train,acc_1_train,inter_1_train
4800,MIT,1,0,0.0,-2186.6,0.5,-2219.0,3.7
4801,MIT,1,0,0.0,-2140.7,0.2,-2222.2,4.5
4802,MIT,1,0,0.0,-2089.6,14.5,-2189.6,6.2
4803,MIT,1,0,0.0,-2025.8,20.6,-2075.5,4.4
4804,MIT,1,0,0.0,-2233.4,1.0,-2213.2,7.2
4805,MIT,1,0,0.0,-2201.0,0.0,-2225.7,11.1
4806,MIT,1,0,0.0,-2166.8,0.1,-1850.8,59.6
4807,MIT,1,0,0.0,-2121.2,9.9,-2250.5,7.5
4808,MIT,1,0,0.0,-1850.0,48.3,-2040.0,27.8
4809,MIT,1,0,0.0,-2117.8,10.4,-2184.5,6.2
4810,MIT,1,0,0.0,-2188.4,0.0,-2194.7,4.8
4811,MIT,1,0,0.0,-2104.6,21.1,-2117.7,10.7
4812,MIT,1,0,0.0,-2026.6,24.8,-2073.7,30.8
4813,MIT,1,0,0.0,-2243.3,1.2,-1823.7,55.4
4814,MIT,1,0,0.0,-2119.9,4.4,-2124.8,23.0
4815,MIT,1,0,0.0,-1971.5,17.0,-2095.6,11.0
4816,MIT,1,0,0.0,-2135.7,7.6,-2190.2,3.3
4817,MIT,1,0,0.0,-2023.9,0.2,-1693.4,65.4
4818,MIT,1,0,0.0,-2111.9,7.5,-2174.0,1.5
4819,MIT,1,0,0.0,-2065.0,14.0,-1996.2,24.7
4820,MIT,1,0,0.0,-1898.6,49.0,-2052.0,19.9
4821,MIT,1,0,0.0,-2113.7,0.9,-2026.1,34.0
4822,MIT,1,0,0.0,-2023.9,4.3,-2130.0,3.9
4823,MIT,1,0,0.0,-1988.3,29.2,-2123.6,6.5
4824,MIT,1,0,0.0,-1893.4,35.5,-2131.0,2.4
4825,MIT,1,0,0.0,-1720.0,55.4,-1951.9,17.7
4826,MIT,1,0,0.0,-1850.0,45.5,-1831.7,57.7
4827,MIT,1,0,0.0,-2011.1,19.7,-2155.7,13.0
4828,MIT,1,0,0.0,-2060.6,13.8,-1933.5,29.9
4829,MIT,1,0,0.0,-1978.1,22.1,-2200.1,3.6
4830,MIT,1,0,0.0,-1707.4,76.9,-2119.9,12.8
4831,MIT,1,0,0.0,-1593.1,90.1,-2090.6,14.1
4832,MIT,1,0,0.0,-2098.0,9.7,-2018.5,31.3
4833,MIT,1,0,0.0,-1921.6,36.6,-1951.5,37.5
4834,MIT,1,0,0.0,-1716.3,44.9,-1935.2,15.0
4835,MIT,1,0,0.0,-1841.7,34.5,-2028.2,19.4
4836,MIT,1,0,0.0,-2046.9,5.8,-2085.1,6.8
4837,MIT,1,0,0.0,-1999.3,5.2,-1971.5,19.5
4838,MIT,1,0,0.0,-1969.3,28.7,-2219.9,2.9
4839,MIT,1,0,0.0,-1867.6,4.7,-1779.9,40.8
4840,MIT,1,0,0.0,-1933.2,16.9,-1888.7,30.2
4841,MIT,1,0,0.0,-1706.3,54.7,-1812.5,43.6
4842,MIT,1,0,0.0,-1876.0,37.8,-2017.3,24.6
4843,MIT,1,0,0.0,-1866.5,34.7,-1905.2,34.5
4844,MIT,1,0,0.0,-2011.0,15.7,-2043.5,27.0
4845,MIT,1,0,0.0,-1842.5,43.4,-2144.3,5.0
4846,MIT,1,0,0.0,-1648.5,54.1,-1922.8,10.8
4847,MIT,1,0,0.0,-1794.8,41.9,-1828.5,36.4
4848,MIT,1,0,0.0,-1696.6,76.7,-1990.3,25.4
4849,MIT,1,0,0.0,-1987.7,15.9,-2076.3,11.8
4850,MIT,1,0,0.0,-1863.0,41.8,-1993.5,24.0
4851,MIT,1,0,0.0,-1864.1,12.4,-1616.5,50.4
4852,MIT,1,0,0.0,-1721.5,41.3,-1858.2,26.2
4853,MIT,1,0,0.0,-1714.7,63.1,-2017.1,13.1
4854,MIT,1,0,0.0,-1964.3,17.4,-1888.0,39.4
4855,MIT,1,0,0.0,-2002.7,0.1,-1551.6,62.0
4856,MIT,1,0,0.0,-1777.1,28.2,-1662.8,41.2
4857,MIT,1,0,0.0,-1788.8,44.5,-1723.6,75.4
4858,MIT,1,0,0.0,-1658.5,45.1,-1771.4,27.7
4859,MIT,1,0,0.0,-2098.4,1.4,-1949.7,34.1
4860,MIT,1,0,0.0,-1834.8,22.9,-1592.1,68.7
4861,MIT,1,0,0.0,-1655.4,69.0,-1781.1,42.0
4862,MIT,1,0,0.0,-1722.0,29.0,-1776.6,24.4
4863,MIT,1,0,0.0,-2060.6,1.3,-1804.8,61.1
4864,MIT,1,0,0.0,-1901.8,35.3,-1583.6,68.9
4865,MIT,1,0,0.0,-2093.0,2.1,-1712.9,59.6
4866,MIT,1,0,0.0,-1805.4,31.1,-1969.1,20.6
4867,MIT,1,0,0.0,-1678.3,65.3,-1861.6,48.3
4868,MIT,1,0,0.0,-1430.4,67.0,-1642.2,45.3
4869,MIT,1,0,0.0,-1659.2,14.8,-1526.5,38.7
4870,MIT,1,0,0.0,-1602.0,33.5,-1579.8,43.0
4871,MIT,1,0,0.0,-1528.8,66.7,-1576.3,57.6
4872,MIT,1,0,0.0,-1762.1,36.1,-1743.3,49.7
4873,MIT,1,0,0.0,-1696.6,50.3,-1556.5,87.6
4874,MIT,1,0,0.0,-1727.6,13.0,-1483.2,67.6
4875,MIT,1,0,0.0,-1739.8,52.4,-1849.3,30.8
4876,MIT,1,0,0.0,-1371.6,54.1,-1549.2,39.0
4877,MIT,1,0,0.0,-1520.3,73.2,-1630.6,54.3
4878,MIT,1,0,0.0,-1517.9,63.7,-1674.8,36.6
4879,MIT,1,0,0.0,-1704.0,54.3,-1817.3,44.4
4880,MIT,1,0,0.0,-1729.5,43.9,-1829.3,37.7
4881,MIT,1,0,0.0,-1356.5,69.9,-1716.9,19.2
4882,MIT,1,0,0.0,-1559.5,19.1,-1432.5,66.2
4883,MIT,1,0,0.0,-1491.1,72.0,-1628.3,53.5
4884,MIT,1,0,0.0,-1787.7,52.1,-1831.4,44.7
4885,MIT,1,0,0.0,-1140.8,133.7,-1863.5,8.8
4886,MIT,1,0,0.0,-1582.6,22.3,-1496.7,48.5
4887,MIT,1,0,0.0,-1730.7,26.5,-1471.1,75.2
4888,MIT,1,0,0.0,-1664.5,52.5,-1658.7,61.6
4889,MIT,1,0,0.0,-1773.6,39.1,-1796.5,36.6
4890,MIT,1,0,0.0,-1497.6,69.7,-1654.2,40.3
4891,MIT,1,0,0.0,-1426.0,78.4,-1675.2,56.5
4892,MIT,1,0,0.0,-1624.4,33.7,-1537.1,42.7
4893,MIT,1,0,0.0,-1664.1,68.1,-1895.9,34.5
4894,MIT,1,0,0.0,-1538.2,45.8,-1583.6,33.1
4895,MIT,1,0,0.0,-1380.7,61.2,-1614.8,30.3
4896,MIT,1,0,0.0,-1445.0,61.1,-1587.1,39.0
4897,MIT,1,0,0.0,-1589.6,32.5,-1780.9,13.2
4898,MIT,1,0,0.0,-1535.2,46.9,-1328.0,83.3
4899,MIT,1,0,0.0,-1439.8,53.9,-1545.8,39.1
4900,MIT,1,0,0.0,-1473.1,51.1,-1338.1,77.5
4901,MIT,1,0,0.0,-1472.0,26.9,-980.5,106.1
4902,MIT,1,0,0.0,-1583.1,28.0,-1436.9,44.5
4903,MIT,1,0,0.0,-1054.6,112.7,-1580.1,18.3
4904,MIT,1,0,0.0,-1302.6,51.7,-1348.4,53.4
4905,MIT,1,0,0.0,-1212.3,85.4,-1177.3,79.1
4906,MIT,1,0,0.0,-1483.3,48.1,-1352.2,71.5
4907,MIT,1,0,0.0,-1421.3,86.9,-1664.2,36.7
4908,MIT,1,0,0.0,-1562.3,53.8,-1374.2,85.2
4909,MIT,1,0,0.0,-1662.3,10.7,-1245.1,96.6
4910,MIT,1,0,0.0,-1414.8,19.3,-1044.1,96.4
4911,MIT,1,0,0.0,-1454.3,64.4,-1685.2,27.6
4912,MIT,1,0,0.0,-1561.0,50.8,-1521.9,62.8
4913,MIT,1,0,0.0,-1387.4,79.0,-1691.2,41.7
4914,MIT,1,0,0.0,-1462.5,45.5,-1384.9,61.4
4915,MIT,1,0,0.0,-1488.8,51.4,-1399.3,57.2
4916,MIT,1,0,0.0,-1300.3,81.2,-1552.6,30.9
4917,MIT,1,0,0.0,-1430.4,44.4,-1421.1,43.5
4918,MIT,1,0,0.0,-1131.8,52.7,-1043.4,66.0
4919,MIT,1,0,0.0,-1225.1,49.4,-1248.0,48.2
4920,MIT,1,0,0.0,-965.2,78.5,-1214.7,36.8
4921,MIT,1,0,0.0,-1251.3,70.6,-1255.7,61.6
4922,MIT,1,0,0.0,-1440.8,27.5,-1311.4,57.2
4923,MIT,1,0,0.0,-1208.1,41.0,-1130.6,59.7
4924,MIT,1,0,0.0,-1248.9,51.0,-1391.1,23.6
4925,MIT,1,0,0.0,-1116.4,111.3,-1402.9,47.8
4926,MIT,1,0,0.0,-921.3,131.2,-1521.8,28.8
4927,MIT,1,0,0.0,-1098.7,84.8,-1400.3,30.1
4928,MIT,1,0,0.0,-1167.7,95.2,-1242.2,84.8
4929,MIT,1,0,0.0,-1096.4,72.2,-1319.1,47.1
4930,MIT,1,0,0.0,-1140.5,77.1,-1490.9,19.4
4931,MIT,1,0,0.0,-950.0,129.1,-1568.3,12.1
4932,MIT,1,0,0.0,-1188.2,33.3,-1217.4,35.8
4933,MIT,1,0,0.0,-1318.0,12.7,-956.3,102.9
4934,MIT,1,0,0.0,-1322.6,38.9,-1344.0,34.0
4935,MIT,1,0,0.0,-968.0,124.4,-1325.9,55.6
4936,MIT,1,0,0.0,-1178.6,62.1,-1034.2,92.0
4937,MIT,1,0,0.0,-1185.5,32.2,-1122.7,53.3
4938,MIT,1,0,0.0,-928.3,48.8,-776.8,76.2
4939,MIT,1,0,0.0,-671.5,102.3,-1133.1,28.6
4940,MIT,1,0,0.0,-1065.4,75.9,-1219.2,51.4
4941,MIT,1,0,0.0,-1312.0,22.2,-1130.8,64.2
4942,MIT,1,0,0.0,-1147.2,65.6,-1233.0,55.8
4943,MIT,1,0,0.0,-645.7,113.2,-1039.6,36.3
4944,MIT,1,0,0.0,-859.2,63.4,-1045.6,16.4
4945,MIT,1,0,0.0,-1159.3,18.9,-777.9,83.6
4946,MIT,1,0,0.0,-925.4,81.4,-1036.1,56.0
4947,MIT,1,0,0.0,-1019.9,17.4,-881.2,47.7
4948,MIT,1,0,0.0,-1066.9,33.4,-1085.6,43.2
4949,MIT,1,0,0.0,-1007.9,64.3,-1115.0,53.8
4950,MIT,1,0,0.0,-1025.8,103.4,-1316.2,41.9
4951,MIT,1,0,0.0,-1014.3,53.0,-1088.6,47.1
4952,MIT,1,0,0.0,-900.0,61.0,-1030.7,38.0
4953,MIT,1,0,0.0,-898.5,39.8,-870.8,47.7
4954,MIT,1,0,0.0,-739.0,115.5,-1103.0,37.7
4955,MIT,1,0,0.0,-828.5,104.1,-1214.6,32.3
4956,MIT,1,0,0.0,-977.6,100.2,-1431.8,19.0
4957,MIT,1,0,0.0,-1048.7,65.4,-1016.7,70.2
4958,MIT,1,0,0.0,-731.7,93.3,-1102.1,14.8
4959,MIT,1,0,0.0,-1069.6,88.7,-1293.6,30.0
4960,MIT,1,0,0.0,-1026.9,40.1,-843.3,80.6
4961,MIT,1,0,0.0,-1250.4,17.0,-771.1,108.0
4962,MIT,1,0,0.0,-1106.3,68.2,-1132.6,67.9
4963,MIT,1,0,0.0,-812.7,71.8,-1161.6,4.4
4964,MIT,1,0,0.0,-918.7,46.2,-958.4,58.2
4965,MIT,1,0,0.0,-960.0,47.7,-869.9,58.7
4966,MIT,1,0,0.0,-898.2,111.8,-1282.7,39.3
4967,MIT,1,0,0.0,-733.2,53.7,-880.0,22.5
4968,MIT,1,0,0.0,-803.1,73.1,-920.6,44.1
4969,MIT,1,0,0.0,-757.5,69.6,-913.4,41.3
4970,MIT,1,0,0.0,-710.6,82.8,-936.8,36.8
4971,MIT,1,0,0.0,-841.4,30.7,-889.9,23.8
4972,MIT,1,0,0.0,-908.5,47.1,-868.6,58.9
4973,MIT,1,0,0.0,-1078.9,67.3,-1060.4,78.2
4974,MIT,1,0,0.0,-743.4,72.5,-969.1,22.9
4975,MIT,1,0,0.0,-847.8,53.7,-911.1,44.9
4976,MIT,1,0,0.0,-563.3,92.8,-951.1,23.6
4977,MIT,1,0,0.0,-718.2,65.6,-1008.6,4.3
4978,MIT,1,0,0.0,-758.3,66.2,-965.2,37.2
4979,MIT,1,0,0.0,-955.1,13.0,-610.4,77.1
4980,MIT,1,0,0.0,-643.7,66.2,-889.8,28.7
4981,MIT,1,0,0.0,-1072.2,13.4,-872.9,51.8
4982,MIT,1,0,0.0,-668.1,90.0,-1065.1,12.8
4983,MIT,1,0,0.0,-921.0,31.3,-766.2,54.5
4984,MIT,1,0,0.0,-1025.7,39.9,-1003.8,36.5
4985,MIT,1,0,0.0,-828.6,71.2,-985.6,50.8
4986,MIT,1,0,0.0,-951.4,9.1,-617.1,77.9
4987,MIT,1,0,0.0,-810.5,42.1,-866.9,32.7
4988,MIT,1,0,0.0,-689.4,35.3,-716.2,34.1
4989,MIT,1,0,0.0,-780.1,63.8,-754.7,60.7
4990,MIT,1,0,0.0,-505.6,66.0,-707.1,22.3
4991,MIT,1,0,0.0,-675.8,49.2,-753.1,36.9
4992,MIT,1,0,0.0,-1092.2,17.9,-806.0,79.9
4993,MIT,1,0,0.0,-686.8,58.5,-938.2,14.9
4994,MIT,1,0,0.0,-903.7,30.2,-849.0,51.8
4995,MIT,1,0,0.0,-748.8,51.0,-898.6,25.5
4996,MIT,1,0,0.0,-832.0,68.6,-894.1,54.2
4997,MIT,1,0,0.0,-609.4,66.9,-698.6,46.2
4998,MIT,1,0,0.0,-701.0,46.5,-678.0,49.2
4999,MIT,1,0,0.0,-752.6,42.6,-743.6,36.2
5000,MIT,1,0,0.0,-654.9,50.0,-719.2,33.6
5001,MIT,1,0,0.0,-799.0,34.8,-819.8,44.8
5002,MIT,1,0,0.0,-789.4,40.8,-866.3,36.5
5003,MIT,1,0,0.0,-650.2,35.3,-745.2,10.5
5004,MIT,1,0,0.0,-698.7,28.6,-738.1,22.0
5005,MIT,1,0,0.0,-519.3,54.6,-617.1,31.6
5006,MIT,1,0,0.0,-640.5,23.7,-599.8,34.6
5007,MIT,1,0,0.0,-749.8,25.9,-637.2,50.6
5008,MIT,1,0,0.0,-491.4,71.4,-771.5,22.7
5009,MIT,1,0,0.0,-680.3,71.3,-813.3,44.5
5010,MIT,1,0,0.0,-704.6,30.7,-654.5,45.4
5011,MIT,1,0,0.0,-808.5,54.9,-905.2,49.6
5012,MIT,1,0,0.0,-533.5,50.1,-686.2,23.2
5013,MIT,1,0,0.0,-725.6,47.1,-661.6,52.1
5014,MIT,1,0,0.0,-597.5,55.3,-825.6,18.0
5015,MIT,1,0,0.0,-739.7,62.6,-855.9,34.5
5016,MIT,1,0,0.0,-605.4,65.0,-804.0,29.9
5017,MIT,1,0,0.0,-787.1,51.0,-676.9,63.5
5018,MIT,1,0,0.0,-548.7,51.4,-644.5,32.0
5019,MIT,1,0,0.0,-626.6,31.6,-578.9,35.3
5020,MIT,1,0,0.0,-523.1,35.1,-595.1,15.0
5021,MIT,1,0,0.0,-741.4,19.4,-705.0,27.4
5022,MIT,1,0,0.0,-740.9,28.9,-696.1,46.7
5023,MIT,1,0,0.0,-682.8,48.9,-787.2,40.6
5024,MIT,1,0,0.0,-520.3,61.1,-711.4,19.9
5025,MIT,1,0,0.0,-809.3,24.0,-722.4,58.1
5026,MIT,1,0,0.0,-623.8,45.8,-736.4,28.9
5027,MIT,1,0,0.0,-623.6,92.9,-971.9,26.3
5028,MIT,1,0,0.0,-650.7,43.3,-718.2,29.8
5029,MIT,1,0,0.0,-634.9,63.5,-794.9,30.7
5030,MIT,1,0,0.0,-454.2,82.8,-761.6,24.1
5031,MIT,1,0,0.0,-541.6,94.9,-860.0,28.9
5032,MIT,1,0,0.0,-473.0,56.2,-623.8,35.2
5033,MIT,1,0,0.0,-692.1,40.9,-589.8,51.2
5034,MIT,1,0,0.0,-631.2,72.0,-797.1,34.9
5035,MIT,1,0,0.0,-531.8,46.3,-638.8,16.0
5036,MIT,1,0,0.0,-406.7,34.6,-477.0,19.2
5037,MIT,1,0,0.0,-574.5,45.1,-580.7,43.2
5038,MIT,1,0,0.0,-624.1,47.7,-677.0,39.1
5039,MIT,1,0,0.0,-574.2,59.7,-745.5,25.5
5040,MIT,1,0,0.0,-428.0,56.5,-556.9,22.4
5041,MIT,1,0,0.0,-577.3,41.3,-620.1,39.6
5042,MIT,1,0,0.0,-419.7,78.9,-773.3,10.8
5043,MIT,1,0,0.0,-586.4,16.1,-519.9,31.6
5044,MIT,1,0,0.0,-527.0,23.0,-559.0,31.7
5045,MIT,1,0,0.0,-640.7,28.6,-548.7,38.8
5046,MIT,1,0,0.0,-554.7,52.0,-731.8,21.2
5047,MIT,1,0,0.0,-652.0,44.2,-613.4,49.1
5048,MIT,1,0,0.0,-527.4,44.8,-641.0,24.6
5049,MIT,1,0,0.0,-612.2,35.7,-586.3,39.8
5050,MIT,1,0,0.0,-509.5,18.2,-518.1,20.9
5051,MIT,1,0,0.0,-757.3,34.0,-644.1,48.5
5052,MIT,1,0,0.0,-556.5,42.0,-520.8,46.6
5053,MIT,1,0,0.0,-419.8,36.0,-534.0,6.2
5054,MIT,1,0,0.0,-592.0,27.1,-488.8,49.2
5055,MIT,1,0,0.0,-411.8,68.6,-638.4,27.9
5056,MIT,1,0,0.0,-581.4,44.7,-680.7,38.6
5057,MIT,1,0,0.0,-566.0,12.6,-509.3,34.0
5058,MIT,1,0,0.0,-388.4,33.1,-490.1,9.0
5059,MIT,1,0,0.0,-405.3,62.7,-666.3,15.7
5060,MIT,1,0,0.0,-529.3,34.9,-488.7,42.0
5061,MIT,1,0,0.0,-476.6,33.8,-512.1,25.6
5062,MIT,1,0,0.0,-487.4,29.7,-532.5,27.2
5063,MIT,1,0,0.0,-415.9,23.6,-466.1,19.7
5064,MIT,1,0,0.0,-478.5,44.4,-628.8,17.9
5065,MIT,1,0,0.0,-417.4,13.7,-373.7,29.9
5066,MIT,1,0,0.0,-457.4,84.4,-716.9,31.1
5067,MIT,1,0,0.0,-493.1,25.5,-382.3,43.6
5068,MIT,1,0,0.0,-584.1,10.1,-401.5,51.7
