,Map,Shield,Grid,coll_train,acc_0_train,inter_0_train,acc_1_train,inter_1_train
3200,Pentagon,1,0,0.0,-923.6,60.1,-793.9,99.2
3201,Pentagon,1,0,0.0,-1247.8,44.8,-1106.9,71.9
3202,Pentagon,1,0,0.0,-1199.9,39.5,-980.5,86.0
3203,Pentagon,1,0,0.0,-1034.4,43.4,-686.8,120.7
3204,Pentagon,1,0,0.0,-1104.3,70.0,-975.9,104.3
3205,Pentagon,1,0,0.0,-1266.0,72.7,-923.8,166.4
3206,Pentagon,1,0,0.0,-1222.8,63.7,-1270.9,91.1
3207,Pentagon,1,0,0.0,-994.3,33.2,-459.0,131.5
3208,Pentagon,1,0,0.0,-1254.3,4.0,-540.0,129.2
3209,Pentagon,1,0,0.0,-987.4,42.1,-844.0,74.5
3210,Pentagon,1,0,0.0,-1436.7,5.7,-483.2,186.0
3211,Pentagon,1,0,0.0,-1410.7,14.0,-539.6,178.6
3212,Pentagon,1,0,0.0,-1184.8,84.3,-1168.9,101.4
3213,Pentagon,1,0,0.0,-775.2,103.2,-761.6,119.1
3214,Pentagon,1,0,0.0,-1512.0,33.5,-769.2,183.9
3215,Pentagon,1,0,0.0,-1626.1,44.2,-946.0,181.7
3216,Pentagon,1,0,0.0,-770.0,101.3,-985.8,79.2
3217,Pentagon,1,0,0.0,-971.7,50.8,-1004.5,49.7
3218,Pentagon,1,0,0.0,-942.4,81.9,-1295.7,34.0
3219,Pentagon,1,0,0.0,-929.9,122.8,-1169.7,78.8
3220,Pentagon,1,0,0.0,-741.9,52.3,-736.7,57.4
3221,Pentagon,1,0,0.0,-876.5,47.2,-976.1,37.5
3222,Pentagon,1,0,0.0,-772.7,41.9,-500.3,98.2
3223,Pentagon,1,0,0.0,-859.4,87.6,-858.8,101.9
3224,Pentagon,1,0,0.0,-1444.1,18.2,-878.3,142.7
3225,Pentagon,1,0,0.0,-666.2,52.5,-572.6,83.4
3226,Pentagon,1,0,0.0,-715.1,36.4,-385.5,92.9
3227,Pentagon,1,0,0.0,-1011.8,103.5,-1312.6,57.6
3228,Pentagon,1,0,0.0,-927.7,69.2,-520.3,145.1
3229,Pentagon,1,0,0.0,-789.2,90.3,-933.9,77.1
3230,Pentagon,1,0,0.0,-723.0,58.5,-610.7,86.1
3231,Pentagon,1,0,0.0,-1182.4,6.4,-413.6,155.1
3232,Pentagon,1,0,0.0,-889.2,15.1,-291.3,134.4
3233,Pentagon,1,0,0.0,-975.9,83.4,-587.3,156.6
3234,Pentagon,1,0,0.0,-1040.8,85.1,-754.0,140.5
3235,Pentagon,1,0,0.0,-1273.8,26.6,-636.6,166.1
3236,Pentagon,1,0,0.0,-1124.2,43.2,-1013.6,81.3
3237,Pentagon,1,0,0.0,-869.8,143.6,-1248.6,90.1
3238,Pentagon,1,0,0.0,-572.2,61.7,-584.1,57.9
3239,Pentagon,1,0,0.0,-699.0,55.2,-531.6,94.4
3240,Pentagon,1,0,0.0,-589.8,26.1,-358.3,82.5
3241,Pentagon,1,0,0.0,-1306.9,36.0,-578.9,190.5
3242,Pentagon,1,0,0.0,-865.8,59.4,-474.6,131.2
3243,Pentagon,1,0,0.0,-971.0,30.1,-535.5,122.3
3244,Pentagon,1,0,0.0,-427.5,87.2,-497.8,75.1
3245,Pentagon,1,0,0.0,-746.9,65.1,-640.3,87.2
3246,Pentagon,1,0,0.0,-789.5,44.0,-284.0,141.6
3247,Pentagon,1,0,0.0,-982.5,94.3,-910.3,109.6
3248,Pentagon,1,0,0.0,-511.2,63.2,-591.1,56.4
3249,Pentagon,1,0,0.0,-825.5,86.2,-966.2,87.4
3250,Pentagon,1,0,0.0,-1014.7,16.9,-182.7,175.2
3251,Pentagon,1,0,0.0,-656.9,47.8,-572.8,68.6
3252,Pentagon,1,0,0.0,-687.9,32.3,-368.9,99.3
3253,Pentagon,1,0,0.0,-791.7,58.7,-556.0,110.0
3254,Pentagon,1,0,0.0,-883.3,51.3,-638.8,97.8
3255,Pentagon,1,0,0.0,-971.4,42.9,-488.1,143.8
3256,Pentagon,1,0,0.0,-846.4,9.7,-384.1,98.9
3257,Pentagon,1,0,0.0,-951.5,13.0,-721.0,60.5
3258,Pentagon,1,0,0.0,-313.1,48.1,-376.7,38.0
3259,Pentagon,1,0,0.0,-712.5,54.3,-555.9,90.3
3260,Pentagon,1,0,0.0,-842.9,18.0,-129.4,156.9
3261,Pentagon,1,0,0.0,-639.9,78.4,-753.5,69.8
3262,Pentagon,1,0,0.0,-796.3,23.5,-311.9,117.8
3263,Pentagon,1,0,0.0,-892.2,24.9,-552.4,99.3
3264,Pentagon,1,0,0.0,-359.6,67.1,-582.0,34.3
3265,Pentagon,1,0,0.0,-801.7,18.7,-327.0,110.5
3266,Pentagon,1,0,0.0,-449.6,67.5,-602.7,41.7
3267,Pentagon,1,0,0.0,-957.8,42.9,-533.7,132.1
3268,Pentagon,1,0,0.0,-433.7,22.7,-393.5,46.3
3269,Pentagon,1,0,0.0,-426.1,107.0,-762.4,46.4
3270,Pentagon,1,0,0.0,-578.8,55.7,-464.1,93.9
3271,Pentagon,1,0,0.0,-822.1,57.6,-545.7,112.9
3272,Pentagon,1,0,0.0,-239.6,108.0,-691.6,28.5
3273,Pentagon,1,0,0.0,-673.1,20.6,-410.6,79.7
3274,Pentagon,1,0,0.0,-867.2,61.7,-599.7,121.8
3275,Pentagon,1,0,0.0,-602.4,39.6,-329.8,111.8
3276,Pentagon,1,0,0.0,-838.8,19.8,-360.4,121.3
3277,Pentagon,1,0,0.0,-402.2,58.4,-471.6,50.9
3278,Pentagon,1,0,0.0,-630.2,60.6,-547.1,83.8
3279,Pentagon,1,0,0.0,-623.3,38.6,-511.2,70.6
3280,Pentagon,1,0,0.0,-516.0,48.8,-406.3,75.5
3281,Pentagon,1,0,0.0,-625.8,11.8,-258.8,93.9
3282,Pentagon,1,0,0.0,-855.2,9.7,-597.0,81.5
3283,Pentagon,1,0,0.0,-565.0,64.0,-451.2,87.7
3284,Pentagon,1,0,0.0,-294.2,48.8,-433.5,31.5
3285,Pentagon,1,0,0.0,-414.0,49.0,-310.1,75.3
3286,Pentagon,1,0,0.0,-317.8,70.2,-474.3,50.3
3287,Pentagon,1,0,0.0,-283.7,48.3,-469.3,27.1
3288,Pentagon,1,0,0.0,-272.4,78.4,-553.1,25.9
3289,Pentagon,1,0,0.0,-662.9,3.3,-152.0,119.2
3290,Pentagon,1,0,0.0,-358.5,45.6,-362.3,53.3
3291,Pentagon,1,0,0.0,-330.1,48.2,-351.0,49.3
3292,Pentagon,1,0,0.0,-740.7,67.1,-534.0,111.0
3293,Pentagon,1,0,0.0,-658.7,40.3,-739.9,46.2
3294,Pentagon,1,0,0.0,-364.6,52.1,-410.8,51.4
3295,Pentagon,1,0,0.0,-454.3,42.0,-455.5,47.6
3296,Pentagon,1,0,0.0,-509.6,35.6,-573.8,37.6
3297,Pentagon,1,0,0.0,-526.9,53.0,-463.2,72.7
3298,Pentagon,1,0,0.0,-349.7,39.8,-414.5,33.8
3299,Pentagon,1,0,0.0,-567.1,49.6,-527.8,72.6
3300,Pentagon,1,0,0.0,-548.6,43.8,-392.4,79.0
3301,Pentagon,1,0,0.0,-509.8,31.5,-309.3,75.7
3302,Pentagon,1,0,0.0,-324.5,62.6,-434.6,57.7
3303,Pentagon,1,0,0.0,-531.7,19.9,-409.9,51.9
3304,Pentagon,1,0,0.0,-224.5,53.0,-372.3,33.0
3305,Pentagon,1,0,0.0,-536.3,25.3,-367.9,68.9
3306,Pentagon,1,0,0.0,-262.9,48.5,-353.8,40.7
3307,Pentagon,1,0,0.0,-399.7,20.6,-191.4,68.2
3308,Pentagon,1,0,0.0,-500.3,46.1,-391.9,73.9
3309,Pentagon,1,0,0.0,-305.5,87.2,-637.7,37.9
3310,Pentagon,1,0,0.0,-97.2,75.8,-474.9,13.4
3311,Pentagon,1,0,0.0,-382.3,76.8,-512.2,57.6
3312,Pentagon,1,0,0.0,-324.4,21.5,-180.3,59.5
3313,Pentagon,1,0,0.0,-449.9,36.1,-414.0,53.2
3314,Pentagon,1,0,0.0,-851.5,14.9,-348.3,137.0
3315,Pentagon,1,0,0.0,-298.1,77.8,-542.1,47.3
3316,Pentagon,1,0,0.0,-249.6,41.4,-368.2,34.7
3317,Pentagon,1,0,0.0,-684.6,24.4,-416.5,99.1
3318,Pentagon,1,0,0.0,-471.4,50.3,-279.7,93.3
3319,Pentagon,1,0,0.0,-199.6,42.8,-290.8,35.6
3320,Pentagon,1,0,0.0,-768.2,25.6,-406.7,107.7
3321,Pentagon,1,0,0.0,-349.2,29.5,-323.9,49.1
3322,Pentagon,1,0,0.0,-570.3,21.3,-320.2,80.4
3323,Pentagon,1,0,0.0,-460.4,47.0,-364.2,78.3
3324,Pentagon,1,0,0.0,-318.9,50.5,-444.9,30.8
3325,Pentagon,1,0,0.0,-246.8,71.1,-525.2,36.3
