,Map,Shield,Grid,coll_train,acc_0_train,inter_0_train,acc_1_train,inter_1_train
0,example,1,0,0.0,-376.7,56.6,-653.6,16.8
1,example,1,0,0.0,-532.2,25.5,-665.9,19.1
2,example,1,0,0.0,-61.0,32.5,-283.0,2.7
3,example,1,0,0.0,-348.0,28.5,-396.1,25.9
4,example,1,0,0.0,-401.0,17.4,-494.5,16.9
5,example,1,0,0.0,-314.7,39.9,-625.8,10.7
6,example,1,0,0.0,-332.5,38.9,-457.6,31.8
7,example,1,0,0.0,-345.3,24.6,-373.7,23.6
8,example,1,0,0.0,-349.5,47.6,-665.3,9.8
9,example,1,0,0.0,-299.1,52.9,-641.0,16.2
10,example,1,0,0.0,-360.1,34.0,-531.3,11.3
11,example,1,0,0.0,-360.5,21.6,-468.3,9.8
12,example,1,0,0.0,-256.0,22.9,-340.4,18.9
13,example,1,0,0.0,-315.3,31.3,-441.5,10.6
14,example,1,0,0.0,-576.9,36.9,-706.6,25.8
15,example,1,0,0.0,-283.4,37.1,-454.6,13.9
16,example,1,0,0.0,-356.5,33.9,-561.4,12.1
17,example,1,0,0.0,-312.4,44.5,-491.9,22.7
18,example,1,0,0.0,-183.2,18.3,-237.2,13.8
19,example,1,0,0.0,-190.2,28.6,-378.9,7.8
20,example,1,0,0.0,-187.1,46.9,-493.6,8.6
21,example,1,0,0.0,-433.5,18.0,-482.0,20.2
22,example,1,0,0.0,-149.4,15.5,-269.7,5.4
23,example,1,0,0.0,-297.2,40.6,-527.9,13.1
24,example,1,0,0.0,-327.3,33.7,-499.8,17.0
25,example,1,0,0.0,-316.9,28.4,-473.9,16.9
26,example,1,0,0.0,-196.4,52.1,-493.9,12.0
27,example,1,0,0.0,-142.5,19.9,-199.7,11.5
28,example,1,0,0.0,-236.4,21.4,-397.7,9.0
29,example,1,0,0.0,-254.1,25.7,-389.3,9.5
30,example,1,0,0.0,-576.1,30.5,-677.2,26.2
31,example,1,0,0.0,-414.6,22.6,-537.7,14.3
