,Map,Shield,Grid,coll_train,acc_0_train,inter_0_train,acc_1_train,inter_1_train
6400,SUNY,1,0,0.0,-1182.3,71.4,-1356.7,46.8
6401,SUNY,1,0,0.0,-932.4,68.2,-1323.6,13.1
6402,SUNY,1,0,0.0,-899.2,125.7,-1443.2,33.4
6403,SUNY,1,0,0.0,-1192.0,55.9,-891.7,95.9
6404,SUNY,1,0,0.0,-854.7,112.2,-1477.5,3.6
6405,SUNY,1,0,0.0,-1248.7,80.3,-1146.5,111.3
6406,SUNY,1,0,0.0,-1402.3,73.1,-1380.4,73.0
6407,SUNY,1,0,0.0,-1140.1,61.0,-1136.7,59.6
6408,SUNY,1,0,0.0,-1436.6,59.2,-1288.1,104.5
6409,SUNY,1,0,0.0,-1459.0,17.3,-915.7,92.0
6410,SUNY,1,0,0.0,-1252.8,97.7,-1111.8,106.3
6411,SUNY,1,0,0.0,-1043.9,117.4,-1414.7,41.1
6412,SUNY,1,0,0.0,-847.3,94.4,-1209.0,32.6
6413,SUNY,1,0,0.0,-1175.8,57.2,-1188.8,82.3
6414,SUNY,1,0,0.0,-1108.2,75.5,-1318.7,32.1
6415,SUNY,1,0,0.0,-1005.9,43.7,-957.9,51.9
6416,SUNY,1,0,0.0,-1208.4,110.9,-1355.3,72.0
6417,SUNY,1,0,0.0,-1152.7,15.1,-1101.7,14.5
6418,SUNY,1,0,0.0,-730.9,98.9,-1092.1,16.4
6419,SUNY,1,0,0.0,-964.3,69.6,-1068.3,28.5
6420,SUNY,1,0,0.0,-1427.2,81.3,-980.4,150.5
6421,SUNY,1,0,0.0,-1195.5,85.1,-1121.8,83.2
6422,SUNY,1,0,0.0,-1666.8,5.8,-1043.6,118.0
6423,SUNY,1,0,0.0,-915.1,117.3,-1368.8,32.3
6424,SUNY,1,0,0.0,-1056.1,69.0,-888.5,88.0
6425,SUNY,1,0,0.0,-1174.7,70.0,-1140.9,64.1
6426,SUNY,1,0,0.0,-1286.5,34.2,-1078.7,80.8
6427,SUNY,1,0,0.0,-1260.5,87.5,-1489.7,69.7
6428,SUNY,1,0,0.0,-1193.2,46.1,-846.7,104.4
6429,SUNY,1,0,0.0,-1051.9,67.9,-1157.1,56.7
6430,SUNY,1,0,0.0,-947.3,139.3,-1221.5,101.4
6431,SUNY,1,0,0.0,-1077.1,50.7,-756.5,113.0
6432,SUNY,1,0,0.0,-1177.9,77.2,-1194.6,84.9
6433,SUNY,1,0,0.0,-793.5,154.1,-1267.7,62.8
6434,SUNY,1,0,0.0,-953.8,8.3,-651.6,91.7
6435,SUNY,1,0,0.0,-746.5,96.0,-996.8,55.5
6436,SUNY,1,0,0.0,-1145.8,98.2,-1194.3,78.7
6437,SUNY,1,0,0.0,-1199.3,89.2,-1022.3,124.2
6438,SUNY,1,0,0.0,-733.8,36.8,-847.6,24.9
6439,SUNY,1,0,0.0,-1077.4,15.1,-1022.6,26.0
6440,SUNY,1,0,0.0,-883.2,98.9,-947.6,85.3
6441,SUNY,1,0,0.0,-757.0,125.6,-1135.3,53.9
6442,SUNY,1,0,0.0,-607.7,80.9,-767.5,53.3
6443,SUNY,1,0,0.0,-1026.1,112.7,-1193.4,86.2
6444,SUNY,1,0,0.0,-683.8,157.3,-1110.5,66.8
6445,SUNY,1,0,0.0,-407.0,224.1,-1393.6,19.9
6446,SUNY,1,0,0.0,-1025.2,25.0,-774.1,97.0
6447,SUNY,1,0,0.0,-1134.2,72.7,-1073.9,93.5
6448,SUNY,1,0,0.0,-896.9,98.0,-841.2,97.9
6449,SUNY,1,0,0.0,-640.7,144.8,-1286.1,11.3
6450,SUNY,1,0,0.0,-745.4,91.4,-1005.8,61.0
6451,SUNY,1,0,0.0,-889.3,76.9,-737.7,99.8
6452,SUNY,1,0,0.0,-735.1,83.9,-944.9,51.0
6453,SUNY,1,0,0.0,-1135.1,85.4,-1044.7,83.0
6454,SUNY,1,0,0.0,-1142.0,63.9,-957.5,92.7
6455,SUNY,1,0,0.0,-1228.0,45.9,-1128.0,93.9
6456,SUNY,1,0,0.0,-825.4,64.5,-719.1,89.1
6457,SUNY,1,0,0.0,-673.3,68.4,-801.9,60.7
6458,SUNY,1,0,0.0,-827.0,39.9,-613.7,80.5
6459,SUNY,1,0,0.0,-1191.8,45.6,-838.1,108.8
6460,SUNY,1,0,0.0,-609.7,78.6,-873.6,35.8
6461,SUNY,1,0,0.0,-492.6,106.2,-899.2,26.8
6462,SUNY,1,0,0.0,-921.7,59.2,-560.9,123.2
6463,SUNY,1,0,0.0,-811.0,52.1,-899.6,38.1
6464,SUNY,1,0,0.0,-715.4,120.6,-962.1,56.5
6465,SUNY,1,0,0.0,-709.0,92.3,-759.2,74.4
6466,SUNY,1,0,0.0,-1066.6,61.2,-969.8,92.5
6467,SUNY,1,0,0.0,-1167.2,77.1,-1088.8,88.7
6468,SUNY,1,0,0.0,-821.8,79.2,-852.5,77.5
6469,SUNY,1,0,0.0,-833.0,49.9,-763.9,55.5
6470,SUNY,1,0,0.0,-802.6,70.7,-932.5,41.7
6471,SUNY,1,0,0.0,-561.5,72.6,-727.8,46.8
6472,SUNY,1,0,0.0,-625.0,45.9,-649.5,37.1
6473,SUNY,1,0,0.0,-614.5,109.2,-904.6,44.6
6474,SUNY,1,0,0.0,-737.7,71.5,-644.4,93.7
6475,SUNY,1,0,0.0,-720.5,144.1,-1014.0,79.4
6476,SUNY,1,0,0.0,-1115.3,41.5,-673.0,133.7
6477,SUNY,1,0,0.0,-846.1,71.9,-914.6,56.0
6478,SUNY,1,0,0.0,-537.6,71.4,-628.4,60.7
6479,SUNY,1,0,0.0,-934.4,98.6,-1149.9,46.1
6480,SUNY,1,0,0.0,-646.0,78.4,-820.2,50.8
6481,SUNY,1,0,0.0,-744.2,39.1,-702.7,51.9
6482,SUNY,1,0,0.0,-850.0,43.9,-539.7,101.6
6483,SUNY,1,0,0.0,-1057.0,48.7,-722.9,114.7
6484,SUNY,1,0,0.0,-914.0,49.5,-623.3,106.0
6485,SUNY,1,0,0.0,-528.6,52.2,-597.8,51.5
6486,SUNY,1,0,0.0,-818.1,68.0,-672.9,96.3
6487,SUNY,1,0,0.0,-737.7,27.0,-525.2,84.0
6488,SUNY,1,0,0.0,-626.8,25.8,-484.5,60.0
6489,SUNY,1,0,0.0,-986.9,14.9,-483.2,128.3
6490,SUNY,1,0,0.0,-539.3,84.8,-668.1,55.6
6491,SUNY,1,0,0.0,-630.0,37.2,-495.9,68.3
6492,SUNY,1,0,0.0,-636.3,28.3,-388.4,73.2
6493,SUNY,1,0,0.0,-848.4,18.1,-581.7,78.8
6494,SUNY,1,0,0.0,-622.9,42.8,-587.0,62.4
6495,SUNY,1,0,0.0,-1075.4,16.0,-445.2,141.1
6496,SUNY,1,0,0.0,-732.2,45.4,-506.8,88.9
6497,SUNY,1,0,0.0,-312.8,148.0,-915.2,8.9
6498,SUNY,1,0,0.0,-328.6,129.7,-813.0,32.5
6499,SUNY,1,0,0.0,-460.0,66.1,-508.8,49.3
6500,SUNY,1,0,0.0,-494.1,80.6,-723.6,29.8
6501,SUNY,1,0,0.0,-448.7,89.3,-745.3,32.2
6502,SUNY,1,0,0.0,-855.8,36.0,-402.8,130.3
6503,SUNY,1,0,0.0,-366.1,75.0,-593.7,20.1
6504,SUNY,1,0,0.0,-431.4,69.5,-451.7,72.5
6505,SUNY,1,0,0.0,-376.3,57.1,-536.3,31.5
6506,SUNY,1,0,0.0,-559.8,57.1,-519.3,57.0
6507,SUNY,1,0,0.0,-362.4,86.3,-658.1,27.8
6508,SUNY,1,0,0.0,-480.2,28.5,-378.1,51.3
6509,SUNY,1,0,0.0,-732.6,26.3,-597.9,45.2
6510,SUNY,1,0,0.0,-534.1,91.5,-663.0,61.8
6511,SUNY,1,0,0.0,-581.3,70.4,-577.5,86.2
6512,SUNY,1,0,0.0,-483.4,29.3,-471.9,40.9
6513,SUNY,1,0,0.0,-694.3,21.8,-451.6,83.1
6514,SUNY,1,0,0.0,-766.7,39.0,-430.4,103.1
6515,SUNY,1,0,0.0,-305.7,53.4,-397.1,34.6
6516,SUNY,1,0,0.0,-392.8,42.7,-403.6,57.0
6517,SUNY,1,0,0.0,-279.6,123.2,-769.2,14.7
6518,SUNY,1,0,0.0,-751.8,6.4,-238.6,110.7
6519,SUNY,1,0,0.0,-432.8,54.0,-446.1,44.2
6520,SUNY,1,0,0.0,-502.7,31.7,-336.2,70.1
6521,SUNY,1,0,0.0,-480.5,56.2,-606.8,33.3
6522,SUNY,1,0,0.0,-603.2,70.9,-421.9,93.0
6523,SUNY,1,0,0.0,-602.9,41.9,-434.6,83.8
6524,SUNY,1,0,0.0,-518.4,67.1,-406.1,84.6
6525,SUNY,1,0,0.0,-759.2,34.7,-437.5,80.0
6526,SUNY,1,0,0.0,-430.0,79.1,-737.4,36.0
6527,SUNY,1,0,0.0,-388.3,93.9,-689.9,27.8
6528,SUNY,1,0,0.0,-356.2,26.9,-474.2,16.8
6529,SUNY,1,0,0.0,-278.2,42.9,-414.1,13.3
6530,SUNY,1,0,0.0,-298.5,115.5,-726.2,20.3
6531,SUNY,1,0,0.0,-795.6,40.8,-675.9,78.2
6532,SUNY,1,0,0.0,-539.3,70.4,-590.6,84.2
6533,SUNY,1,0,0.0,-276.6,60.4,-506.3,19.5
6534,SUNY,1,0,0.0,-622.5,39.9,-681.3,32.1
6535,SUNY,1,0,0.0,-639.0,30.5,-320.8,102.2
6536,SUNY,1,0,0.0,-409.4,57.8,-426.4,58.2
6537,SUNY,1,0,0.0,-510.6,33.8,-472.1,52.3
6538,SUNY,1,0,0.0,-412.8,52.2,-493.5,39.3
6539,SUNY,1,0,0.0,-437.8,51.0,-521.0,32.9
6540,SUNY,1,0,0.0,-531.5,24.9,-435.6,53.9
6541,SUNY,1,0,0.0,-270.9,51.0,-398.1,27.0
6542,SUNY,1,0,0.0,-392.3,26.8,-378.9,30.2
6543,SUNY,1,0,0.0,-634.2,14.0,-222.4,122.1
6544,SUNY,1,0,0.0,-462.7,63.8,-516.1,48.9
6545,SUNY,1,0,0.0,-253.4,51.5,-407.8,17.9
6546,SUNY,1,0,0.0,-367.4,22.1,-358.0,33.3
6547,SUNY,1,0,0.0,-431.0,48.5,-359.5,55.2
6548,SUNY,1,0,0.0,-525.6,68.8,-599.9,59.7
6549,SUNY,1,0,0.0,-431.3,17.3,-322.6,42.4
6550,SUNY,1,0,0.0,-529.3,10.9,-345.0,55.9
6551,SUNY,1,0,0.0,-465.7,23.8,-435.9,30.4
6552,SUNY,1,0,0.0,-310.3,69.8,-514.4,35.5
6553,SUNY,1,0,0.0,-273.1,32.5,-357.4,20.1
6554,SUNY,1,0,0.0,-432.7,50.2,-523.0,32.7
6555,SUNY,1,0,0.0,-272.2,56.3,-459.0,18.0
6556,SUNY,1,0,0.0,-464.7,93.4,-646.8,45.7
6557,SUNY,1,0,0.0,-451.0,21.2,-276.9,65.8
6558,SUNY,1,0,0.0,-513.7,65.7,-541.0,73.3
6559,SUNY,1,0,0.0,-315.1,44.9,-403.8,25.5
6560,SUNY,1,0,0.0,-338.8,32.4,-330.2,39.3
6561,SUNY,1,0,0.0,-222.2,46.9,-366.8,13.2
6562,SUNY,1,0,0.0,-447.2,16.9,-305.0,51.5
6563,SUNY,1,0,0.0,-277.8,63.5,-526.0,6.2
6564,SUNY,1,0,0.0,-199.4,96.4,-553.7,13.4
6565,SUNY,1,0,0.0,-400.3,16.2,-310.1,37.0
6566,SUNY,1,0,0.0,-238.1,18.0,-155.2,34.7
6567,SUNY,1,0,0.0,-280.9,33.5,-369.9,15.4
6568,SUNY,1,0,0.0,-263.5,43.6,-323.4,22.7
6569,SUNY,1,0,0.0,-321.2,23.0,-298.6,20.6
6570,SUNY,1,0,0.0,-347.4,35.3,-284.3,51.3
6571,SUNY,1,0,0.0,-285.2,19.9,-275.5,22.5
6572,SUNY,1,0,0.0,-267.7,36.5,-305.3,29.4
6573,SUNY,1,0,0.0,-411.8,47.7,-349.3,64.2
6574,SUNY,1,0,0.0,-306.1,44.7,-366.2,29.1
6575,SUNY,1,0,0.0,-199.7,36.3,-327.3,8.8
6576,SUNY,1,0,0.0,-395.9,23.5,-357.1,42.8
6577,SUNY,1,0,0.0,-314.4,10.9,-151.7,45.0
6578,SUNY,1,0,0.0,-179.4,45.9,-328.6,10.8
6579,SUNY,1,0,0.0,-461.5,37.5,-342.9,58.0
