,Map,Shield,Grid,coll_train,acc_0_train,inter_0_train,acc_1_train,inter_1_train
3000,MIT,1,0,0.0,-2835.6,27.5,-2984.1,15.5
3001,MIT,1,0,0.0,-2920.4,26.5,-2982.3,12.6
3002,MIT,1,0,0.0,-3048.8,0.0,-3055.3,9.9
3003,MIT,1,0,0.0,-2984.6,17.2,-2914.1,34.1
3004,MIT,1,0,0.0,-2725.1,38.3,-2930.6,26.1
3005,MIT,1,0,0.0,-2937.3,19.6,-2960.8,7.6
3006,MIT,1,0,0.0,-2956.7,13.0,-3021.0,5.2
3007,MIT,1,0,0.0,-2882.9,27.1,-2940.0,27.8
3008,MIT,1,0,0.0,-2669.6,51.8,-2908.5,27.5
3009,MIT,1,0,0.0,-2931.7,1.3,-2958.1,15.1
3010,MIT,1,0,0.0,-2741.3,26.7,-2934.4,17.4
3011,MIT,1,0,0.0,-2630.1,48.3,-2933.2,23.1
3012,MIT,1,0,0.0,-2820.1,24.4,-2651.5,52.0
3013,MIT,1,0,0.0,-2877.8,17.6,-2874.7,32.3
3014,MIT,1,0,0.0,-2655.6,24.7,-2679.1,33.9
3015,MIT,1,0,0.0,-2533.0,51.5,-2981.2,16.5
3016,MIT,1,0,0.0,-2791.1,31.3,-3065.9,2.0
3017,MIT,1,0,0.0,-2659.1,44.9,-2717.2,52.6
3018,MIT,1,0,0.0,-3036.7,4.4,-3081.2,3.7
3019,MIT,1,0,0.0,-2919.2,13.3,-2942.6,30.0
3020,MIT,1,0,0.0,-2902.8,28.3,-2850.9,35.6
3021,MIT,1,0,0.0,-2939.3,11.6,-2954.6,16.4
3022,MIT,1,0,0.0,-2814.1,13.0,-2599.9,33.1
3023,MIT,1,0,0.0,-2752.4,18.2,-2648.9,39.8
3024,MIT,1,0,0.0,-2723.1,19.2,-2456.8,60.3
3025,MIT,1,0,0.0,-2836.6,13.3,-2820.3,22.7
3026,MIT,1,0,0.0,-2812.0,18.3,-2868.9,16.7
3027,MIT,1,0,0.0,-3002.5,0.5,-2862.7,21.1
3028,MIT,1,0,0.0,-2290.1,76.2,-2759.5,28.4
3029,MIT,1,0,0.0,-2351.6,58.5,-2664.2,26.8
3030,MIT,1,0,0.0,-2698.2,24.3,-2767.3,18.5
3031,MIT,1,0,0.0,-2826.9,28.7,-2581.9,50.4
3032,MIT,1,0,0.0,-2219.7,80.1,-2469.0,42.0
3033,MIT,1,0,0.0,-2681.8,29.9,-2411.4,57.3
3034,MIT,1,0,0.0,-2775.1,34.9,-2664.9,44.6
3035,MIT,1,0,0.0,-2525.1,38.9,-2423.9,65.5
3036,MIT,1,0,0.0,-2452.2,59.5,-2634.8,50.9
3037,MIT,1,0,0.0,-2519.3,33.6,-2324.9,64.5
3038,MIT,1,0,0.0,-2393.0,66.2,-2743.6,28.5
3039,MIT,1,0,0.0,-2141.1,81.1,-2381.8,60.0
3040,MIT,1,0,0.0,-2496.6,32.4,-2768.3,11.3
3041,MIT,1,0,0.0,-2416.8,40.8,-2423.3,44.3
3042,MIT,1,0,0.0,-2310.1,80.4,-2431.8,68.0
3043,MIT,1,0,0.0,-2012.9,70.6,-2279.6,50.9
3044,MIT,1,0,0.0,-2494.5,51.0,-2731.5,32.9
3045,MIT,1,0,0.0,-2223.8,51.2,-2380.9,49.7
3046,MIT,1,0,0.0,-2306.7,69.6,-2336.1,76.2
3047,MIT,1,0,0.0,-2516.0,22.4,-2377.9,41.8
3048,MIT,1,0,0.0,-2313.7,21.8,-2338.5,26.4
3049,MIT,1,0,0.0,-2355.5,39.8,-2239.2,60.2
3050,MIT,1,0,0.0,-2238.7,41.5,-2406.3,29.6
3051,MIT,1,0,0.0,-2061.9,57.1,-2356.1,35.5
3052,MIT,1,0,0.0,-2181.0,65.2,-2223.3,67.7
3053,MIT,1,0,0.0,-1589.2,102.9,-2369.7,12.4
3054,MIT,1,0,0.0,-2292.5,37.5,-2111.8,67.0
3055,MIT,1,0,0.0,-2502.7,30.2,-2404.6,43.5
3056,MIT,1,0,0.0,-1679.2,133.4,-2569.0,29.2
3057,MIT,1,0,0.0,-2554.4,27.1,-2370.6,59.6
3058,MIT,1,0,0.0,-2220.1,52.8,-2218.0,73.7
3059,MIT,1,0,0.0,-1833.7,81.9,-2106.0,51.7
3060,MIT,1,0,0.0,-1868.2,88.9,-2147.1,56.9
3061,MIT,1,0,0.0,-1761.3,104.3,-2441.3,24.0
3062,MIT,1,0,0.0,-1967.7,72.2,-2330.6,40.9
3063,MIT,1,0,0.0,-2343.8,28.9,-2245.3,45.7
3064,MIT,1,0,0.0,-1532.4,108.9,-2392.4,3.4
3065,MIT,1,0,0.0,-1736.2,64.2,-2255.5,5.9
3066,MIT,1,0,0.0,-1841.8,57.1,-2098.9,38.6
3067,MIT,1,0,0.0,-2158.5,42.9,-2050.3,60.2
3068,MIT,1,0,0.0,-1918.1,74.6,-2217.3,39.9
3069,MIT,1,0,0.0,-2026.0,37.7,-1601.5,93.8
3070,MIT,1,0,0.0,-2425.8,3.6,-1919.6,81.4
3071,MIT,1,0,0.0,-1850.1,82.1,-2165.3,52.8
