,Map,Shield,Grid,coll_train,acc_0_train,inter_0_train,acc_1_train,inter_1_train
2000,Pentagon,1,0,0.0,-2361.4,26.6,-1064.4,203.4
2001,Pentagon,1,0,0.0,-2070.4,61.3,-1217.4,181.9
2002,Pentagon,1,0,0.0,-2187.5,41.4,-1216.1,184.4
2003,Pentagon,1,0,0.0,-2187.2,24.9,-1612.0,105.4
2004,Pentagon,1,0,0.0,-2001.6,47.9,-1088.9,173.6
2005,Pentagon,1,0,0.0,-2239.3,40.3,-1367.9,148.9
2006,Pentagon,1,0,0.0,-1577.9,31.4,-582.6,163.0
2007,Pentagon,1,0,0.0,-1406.5,66.8,-1205.8,94.4
2008,Pentagon,1,0,0.0,-1897.0,49.6,-1175.0,146.7
2009,Pentagon,1,0,0.0,-1756.3,15.1,-789.7,148.4
2010,Pentagon,1,0,0.0,-2472.1,7.5,-1643.9,116.6
2011,Pentagon,1,0,0.0,-1771.4,31.9,-812.6,163.0
2012,Pentagon,1,0,0.0,-1677.5,63.8,-1239.5,132.4
2013,Pentagon,1,0,0.0,-1654.9,70.1,-1587.9,89.5
2014,Pentagon,1,0,0.0,-1466.3,40.2,-975.2,119.0
2015,Pentagon,1,0,0.0,-1251.2,94.7,-1164.3,109.9
2016,Pentagon,1,0,0.0,-2462.4,40.6,-1180.4,214.9
2017,Pentagon,1,0,0.0,-1202.1,95.4,-960.6,124.9
2018,Pentagon,1,0,0.0,-2101.3,46.5,-1317.2,156.4
2019,Pentagon,1,0,0.0,-1106.8,85.8,-1216.5,75.4
2020,Pentagon,1,0,0.0,-1523.7,66.3,-1035.7,135.2
2021,Pentagon,1,0,0.0,-2196.2,20.1,-876.0,194.6
2022,Pentagon,1,0,0.0,-1332.8,29.9,-747.4,114.3
2023,Pentagon,1,0,0.0,-1322.7,43.2,-636.0,144.3
2024,Pentagon,1,0,0.0,-933.3,45.9,-897.2,50.8
2025,Pentagon,1,0,0.0,-806.0,124.9,-1248.7,71.3
2026,Pentagon,1,0,0.0,-1153.0,29.4,-793.2,84.9
2027,Pentagon,1,0,0.0,-1454.2,28.5,-703.1,136.4
2028,Pentagon,1,0,0.0,-935.4,86.4,-1339.2,41.6
2029,Pentagon,1,0,0.0,-1130.9,71.6,-1071.6,93.5
2030,Pentagon,1,0,0.0,-1277.4,66.4,-835.5,136.3
2031,Pentagon,1,0,0.0,-1791.4,45.5,-1002.4,159.0
2032,Pentagon,1,0,0.0,-875.0,46.2,-643.8,88.6
2033,Pentagon,1,0,0.0,-1073.1,71.7,-1112.5,70.6
2034,Pentagon,1,0,0.0,-1185.5,62.8,-1000.8,98.6
2035,Pentagon,1,0,0.0,-1445.4,63.8,-935.8,144.9
2036,Pentagon,1,0,0.0,-1211.0,38.4,-791.6,101.3
2037,Pentagon,1,0,0.0,-1153.0,94.2,-1130.4,103.6
2038,Pentagon,1,0,0.0,-639.2,38.1,-415.6,70.6
2039,Pentagon,1,0,0.0,-1647.4,23.8,-980.4,109.6
2040,Pentagon,1,0,0.0,-1258.8,29.6,-784.4,104.1
2041,Pentagon,1,0,0.0,-1069.1,63.7,-966.4,86.8
2042,Pentagon,1,0,0.0,-1109.7,46.6,-1069.8,59.3
2043,Pentagon,1,0,0.0,-1646.5,20.2,-842.2,131.4
2044,Pentagon,1,0,0.0,-1070.4,56.6,-740.6,109.5
2045,Pentagon,1,0,0.0,-808.6,45.0,-572.2,85.0
2046,Pentagon,1,0,0.0,-714.0,70.8,-851.5,63.5
2047,Pentagon,1,0,0.0,-779.7,36.2,-537.6,79.7
2048,Pentagon,1,0,0.0,-854.1,4.4,-298.2,85.2
2049,Pentagon,1,0,0.0,-1207.7,18.5,-693.7,90.7
2050,Pentagon,1,0,0.0,-679.5,67.7,-687.8,68.7
2051,Pentagon,1,0,0.0,-846.3,64.8,-825.2,76.3
2052,Pentagon,1,0,0.0,-588.6,70.2,-858.2,34.2
2053,Pentagon,1,0,0.0,-1181.4,25.9,-378.8,140.7
2054,Pentagon,1,0,0.0,-520.8,53.5,-738.0,32.2
2055,Pentagon,1,0,0.0,-298.8,105.6,-1089.2,6.7
2056,Pentagon,1,0,0.0,-680.4,78.0,-755.8,75.1
2057,Pentagon,1,0,0.0,-800.6,47.4,-869.6,51.8
2058,Pentagon,1,0,0.0,-657.0,55.0,-811.6,43.0
2059,Pentagon,1,0,0.0,-640.2,5.3,-436.0,38.1
2060,Pentagon,1,0,0.0,-410.0,60.0,-590.6,38.1
2061,Pentagon,1,0,0.0,-1043.0,30.1,-537.2,102.5
2062,Pentagon,1,0,0.0,-554.0,62.8,-690.8,51.6
2063,Pentagon,1,0,0.0,-610.8,45.6,-553.4,56.1
2064,Pentagon,1,0,0.0,-487.6,28.6,-414.8,44.2
2065,Pentagon,1,0,0.0,-643.9,43.3,-677.4,42.3
2066,Pentagon,1,0,0.0,-988.0,60.6,-937.6,75.4
2067,Pentagon,1,0,0.0,-711.2,48.0,-808.6,38.4
2068,Pentagon,1,0,0.0,-1547.4,7.1,-482.6,151.8
2069,Pentagon,1,0,0.0,-488.6,50.6,-695.6,30.7
2070,Pentagon,1,0,0.0,-602.2,27.1,-427.4,59.8
2071,Pentagon,1,0,0.0,-657.3,32.9,-424.0,68.4
2072,Pentagon,1,0,0.0,-774.8,38.5,-715.6,57.0
2073,Pentagon,1,0,0.0,-322.4,86.6,-762.2,32.2
2074,Pentagon,1,0,0.0,-514.2,28.6,-396.8,46.2
2075,Pentagon,1,0,0.0,-602.2,19.3,-593.2,34.3
2076,Pentagon,1,0,0.0,-385.0,50.5,-641.8,21.4
2077,Pentagon,1,0,0.0,-292.6,66.6,-627.4,26.5
2078,Pentagon,1,0,0.0,-392.4,47.0,-608.0,25.2
2079,Pentagon,1,0,0.0,-451.2,49.0,-529.4,38.7
2080,Pentagon,1,0,0.0,-485.6,36.7,-352.0,57.9
2081,Pentagon,1,0,0.0,-295.6,35.3,-328.6,33.1
2082,Pentagon,1,0,0.0,-604.4,21.6,-441.2,53.7
2083,Pentagon,1,0,0.0,-673.2,10.0,-331.6,64.1
2084,Pentagon,1,0,0.0,-437.8,50.4,-617.2,37.0
2085,Pentagon,1,0,0.0,-404.8,45.4,-454.6,47.6
2086,Pentagon,1,0,0.0,-361.8,48.5,-667.4,17.2
2087,Pentagon,1,0,0.0,-378.2,41.9,-447.6,39.8
2088,Pentagon,1,0,0.0,-419.6,62.6,-652.5,36.4
2089,Pentagon,1,0,0.0,-384.6,28.6,-331.6,36.6
2090,Pentagon,1,0,0.0,-184.0,49.4,-493.4,10.9
2091,Pentagon,1,0,0.0,-549.4,11.9,-304.0,53.9
2092,Pentagon,1,0,0.0,-629.0,48.9,-600.4,58.3
2093,Pentagon,1,0,0.0,-223.2,76.8,-663.8,27.1
2094,Pentagon,1,0,0.0,-426.1,37.7,-346.8,51.0
2095,Pentagon,1,0,0.0,-603.2,19.6,-368.8,60.7
2096,Pentagon,1,0,0.0,-585.0,8.4,-248.0,54.5
2097,Pentagon,1,0,0.0,-333.2,9.4,-265.2,25.8
2098,Pentagon,1,0,0.0,-306.0,12.3,-239.8,27.2
2099,Pentagon,1,0,0.0,-389.6,47.5,-445.0,49.0
2100,Pentagon,1,0,0.0,-236.6,23.5,-271.6,19.6
2101,Pentagon,1,0,0.0,-230.8,35.3,-372.4,18.5
2102,Pentagon,1,0,0.0,-575.2,27.2,-518.4,45.1
2103,Pentagon,1,0,0.0,-404.6,45.0,-515.8,32.6
2104,Pentagon,1,0,0.0,-323.8,40.2,-463.2,23.4
2105,Pentagon,1,0,0.0,-431.2,22.4,-335.0,36.8
2106,Pentagon,1,0,0.0,-172.4,35.2,-369.4,10.9
2107,Pentagon,1,0,0.0,-303.2,20.3,-339.0,17.4
2108,Pentagon,1,0,0.0,-344.8,20.2,-250.2,40.5
2109,Pentagon,1,0,0.0,-262.4,31.8,-331.2,26.4
2110,Pentagon,1,0,0.0,-448.2,24.6,-325.8,51.1
2111,Pentagon,1,0,0.0,-400.8,15.4,-213.0,45.2
2112,Pentagon,1,0,0.0,-568.4,38.9,-357.6,70.8
2113,Pentagon,1,0,0.0,-326.6,13.8,-260.2,29.9
2114,Pentagon,1,0,0.0,-356.6,47.0,-535.6,28.5
2115,Pentagon,1,0,0.0,-173.8,29.3,-344.2,10.9
2116,Pentagon,1,0,0.0,-84.8,23.4,-252.6,8.5
2117,Pentagon,1,0,0.0,-292.4,42.6,-533.2,14.1
2118,Pentagon,1,0,0.0,-292.8,11.4,-190.6,28.2
2119,Pentagon,1,0,0.0,-295.0,44.4,-504.8,18.9
2120,Pentagon,1,0,0.0,-232.8,24.6,-286.2,20.8
2121,Pentagon,1,0,0.0,-283.4,46.0,-488.2,20.9
2122,Pentagon,1,0,0.0,-505.4,28.9,-406.4,50.7
2123,Pentagon,1,0,0.0,-260.6,36.4,-454.6,16.1
2124,Pentagon,1,0,0.0,-283.6,17.7,-245.4,30.9
2125,Pentagon,1,0,0.0,-257.0,22.6,-314.0,20.4
2126,Pentagon,1,0,0.0,-156.4,21.6,-228.2,19.8
2127,Pentagon,1,0,0.0,-264.2,24.7,-281.0,27.9
2128,Pentagon,1,0,0.0,-284.2,13.9,-105.6,38.0
2129,Pentagon,1,0,0.0,-191.8,26.2,-221.8,24.0
2130,Pentagon,1,0,0.0,-122.4,39.0,-424.4,6.8
2131,Pentagon,1,0,0.0,-160.2,28.5,-331.0,9.2
2132,Pentagon,1,0,0.0,-253.6,26.2,-219.6,29.6
2133,Pentagon,1,0,0.0,-126.2,41.5,-385.6,11.4
2134,Pentagon,1,0,0.0,-130.4,29.9,-246.6,11.8
2135,Pentagon,1,0,0.0,-412.6,15.7,-316.6,39.7
2136,Pentagon,1,0,0.0,-208.8,40.4,-445.0,14.0
2137,Pentagon,1,0,0.0,-138.4,13.6,-88.2,23.7
2138,Pentagon,1,0,0.0,-207.8,23.0,-265.2,18.0
2139,Pentagon,1,0,0.0,-200.0,11.7,-250.4,9.0
2140,Pentagon,1,0,0.0,-159.6,34.1,-382.4,13.3
