,Map,Shield,Grid,coll_train,acc_0_train,inter_0_train,acc_1_train,inter_1_train
0,example,1,0,0.0,-961.8,35.0,-1200.6,26.2
1,example,1,0,0.0,-248.6,40.4,-593.2,7.8
2,example,1,0,0.0,-910.8,13.3,-772.2,41.0
3,example,1,0,0.0,-405.4,45.9,-769.8,12.7
4,example,1,0,0.0,-516.6,56.3,-978.8,6.8
5,example,1,0,0.0,-388.8,46.8,-798.6,9.0
6,example,1,0,0.0,-702.6,30.4,-877.4,19.9
7,example,1,0,0.0,-358.0,38.8,-692.8,8.7
8,example,1,0,0.0,-290.4,30.0,-452.8,14.5
9,example,1,0,0.0,-779.2,38.4,-1163.8,14.0
10,example,1,0,0.0,-737.2,28.7,-866.4,23.3
11,example,1,0,0.0,-578.0,18.1,-737.6,13.5
12,example,1,0,0.0,-220.4,35.5,-526.0,7.5
13,example,1,0,0.0,-185.6,43.0,-560.6,3.0
14,example,1,0,0.0,-393.8,17.8,-522.4,10.1
15,example,1,0,0.0,-324.2,23.8,-539.8,11.8
16,example,1,0,0.0,-217.4,47.4,-669.2,7.0
17,example,1,0,0.0,-479.8,46.0,-772.8,19.1
18,example,1,0,0.0,-560.0,27.0,-732.6,17.5
19,example,1,0,0.0,-559.4,43.8,-925.6,15.1
20,example,1,0,0.0,-587.8,32.8,-841.6,13.7
21,example,1,0,0.0,-338.6,39.3,-728.8,6.3
22,example,1,0,0.0,-490.6,13.1,-526.0,18.1
23,example,1,0,0.0,-193.8,32.3,-488.6,5.8
24,example,1,0,0.0,-647.0,29.7,-837.6,22.6
25,example,1,0,0.0,-533.2,24.5,-658.2,17.2
26,example,1,0,0.0,-557.6,35.5,-775.6,20.8
27,example,1,0,0.0,-359.6,27.7,-615.4,6.1
28,example,1,0,0.0,-350.4,32.9,-671.8,9.6
29,example,1,0,0.0,-353.8,11.1,-369.8,13.8
30,example,1,0,0.0,-163.6,29.3,-420.6,5.2
31,example,1,0,0.0,-251.2,42.2,-623.4,4.2
32,example,1,0,0.0,-110.0,27.5,-396.8,3.9
33,example,1,0,0.0,-327.2,22.6,-383.2,19.1
34,example,1,0,0.0,-535.2,24.3,-742.6,14.4
35,example,1,0,0.0,-284.0,27.6,-496.6,9.6
36,example,1,0,0.0,-380.8,16.3,-488.4,9.5
37,example,1,0,0.0,-424.0,71.9,-1060.0,11.9
38,example,1,0,0.0,-305.8,30.7,-611.0,10.5
39,example,1,0,0.0,-335.4,22.5,-477.6,14.3
40,example,1,0,0.0,-254.2,32.9,-515.6,9.0
41,example,1,0,0.0,-401.2,50.8,-784.0,10.6
42,example,1,0,0.0,-284.4,15.3,-348.8,12.8
43,example,1,0,0.0,-385.8,23.4,-499.2,16.9
44,example,1,0,0.0,-529.8,26.9,-772.4,13.1
45,example,1,0,0.0,-87.0,33.0,-344.2,3.7
46,example,1,0,0.0,-212.0,56.8,-694.0,5.5
47,example,1,0,0.0,-299.0,35.1,-585.8,8.4
48,example,1,0,0.0,-488.8,33.1,-785.8,9.9
49,example,1,0,0.0,-309.2,20.3,-372.0,17.2
50,example,1,0,0.0,-388.8,24.1,-489.6,21.7
51,example,1,0,0.0,-543.6,15.2,-559.8,25.3
52,example,1,0,0.0,-522.4,31.9,-658.2,16.7
53,example,1,0,0.0,-158.8,34.1,-477.6,3.3
54,example,1,0,0.0,-311.6,29.8,-508.0,12.5
55,example,1,0,0.0,-235.2,16.3,-238.4,17.2
56,example,1,0,0.0,-656.8,29.8,-814.6,20.1
57,example,1,0,0.0,-561.4,12.5,-666.0,14.9
58,example,1,0,0.0,-427.2,14.3,-525.6,13.1
59,example,1,0,0.0,-325.0,30.0,-531.4,13.4
60,example,1,0,0.0,-375.4,17.5,-505.2,10.4
61,example,1,0,0.0,-197.0,11.3,-270.2,6.8
62,example,1,0,0.0,-110.0,42.1,-485.2,6.8
63,example,1,0,0.0,-295.0,23.1,-521.0,6.7
64,example,1,0,0.0,-310.4,18.1,-418.8,7.8
65,example,1,0,0.0,-122.0,34.9,-415.6,3.0
66,example,1,0,0.0,-324.4,15.5,-358.4,18.2
67,example,1,0,0.0,-154.8,25.5,-393.0,7.5
68,example,1,0,0.0,-83.4,40.2,-417.2,4.8
69,example,1,0,0.0,-134.2,29.1,-386.8,5.7
70,example,1,0,0.0,-298.2,13.1,-352.2,12.9
71,example,1,0,0.0,-378.4,17.0,-532.4,9.6
72,example,1,0,0.0,-352.8,23.4,-523.4,10.2
73,example,1,0,0.0,-278.0,21.7,-441.2,11.7
74,example,1,0,0.0,-309.2,30.3,-594.6,10.2
75,example,1,0,0.0,-251.4,22.6,-368.0,11.8
76,example,1,0,0.0,-293.6,22.8,-476.8,12.3
77,example,1,0,0.0,-257.8,15.8,-423.6,6.4
78,example,1,0,0.0,-414.2,27.9,-552.6,18.1
79,example,1,0,0.0,-228.8,28.3,-457.6,5.9
80,example,1,0,0.0,-186.0,13.5,-249.6,9.9
81,example,1,0,0.0,-105.8,11.6,-211.0,5.1
82,example,1,0,0.0,-314.2,11.3,-335.6,14.4
83,example,1,0,0.0,-539.6,20.9,-692.0,13.9
84,example,1,0,0.0,-266.0,20.3,-389.4,11.7
85,example,1,0,0.0,-196.0,19.6,-341.2,5.6
86,example,1,0,0.0,-128.4,19.1,-316.8,4.7
87,example,1,0,0.0,-387.6,18.4,-451.8,17.5
