,Map,Shield,Grid,coll_train,acc_0_train,inter_0_train,acc_1_train,inter_1_train
1000,ISR,1,0,0.0,-2189.7,24.3,-1604.8,108.2
1001,ISR,1,0,0.0,-1620.9,112.7,-1433.9,134.8
1002,ISR,1,0,0.0,-1344.7,106.1,-1726.6,55.8
1003,ISR,1,0,0.0,-775.2,144.7,-1469.0,54.1
1004,ISR,1,0,0.0,-1548.7,33.4,-929.5,106.4
1005,ISR,1,0,0.0,-848.4,154.7,-1627.4,60.7
1006,ISR,1,0,0.0,-1129.2,95.6,-1644.4,30.5
1007,ISR,1,0,0.0,-842.9,126.2,-1571.3,37.3
1008,ISR,1,0,0.0,-1640.6,107.5,-1582.6,114.7
1009,ISR,1,0,0.0,-1304.7,126.0,-1356.9,122.2
1010,ISR,1,0,0.0,-1560.4,90.2,-1605.8,80.8
1011,ISR,1,0,0.0,-661.5,45.2,-463.6,66.6
1012,ISR,1,0,0.0,-1328.6,75.0,-1397.0,70.7
1013,ISR,1,0,0.0,-770.4,122.4,-1545.4,34.2
1014,ISR,1,0,0.0,-612.8,98.4,-1080.8,36.4
1015,ISR,1,0,0.0,-1271.7,72.8,-1089.6,96.3
1016,ISR,1,0,0.0,-1449.6,95.4,-1575.0,81.6
1017,ISR,1,0,0.0,-845.8,112.7,-1334.5,47.9
1018,ISR,1,0,0.0,-1188.0,54.9,-952.8,89.5
1019,ISR,1,0,0.0,-694.5,126.2,-1590.1,8.1
1020,ISR,1,0,0.0,-900.2,172.2,-1827.2,60.7
1021,ISR,1,0,0.0,-1374.2,89.1,-1005.1,130.3
1022,ISR,1,0,0.0,-647.0,94.5,-965.8,52.4
1023,ISR,1,0,0.0,-1083.7,66.7,-971.3,86.0
1024,ISR,1,0,0.0,-584.0,78.6,-900.6,38.9
1025,ISR,1,0,0.0,-1141.9,24.3,-518.6,95.8
1026,ISR,1,0,0.0,-790.8,118.9,-1639.8,5.6
1027,ISR,1,0,0.0,-1471.8,50.6,-1111.2,89.7
1028,ISR,1,0,0.0,-1482.4,110.1,-1635.7,90.9
1029,ISR,1,0,0.0,-986.9,106.9,-1145.3,79.7
1030,ISR,1,0,0.0,-1660.1,79.3,-1543.9,99.7
1031,ISR,1,0,0.0,-815.0,80.1,-750.0,88.2
1032,ISR,1,0,0.0,-1062.9,33.9,-569.1,92.4
1033,ISR,1,0,0.0,-654.7,75.6,-1062.1,25.5
1034,ISR,1,0,0.0,-1276.4,65.9,-1102.7,83.8
1035,ISR,1,0,0.0,-657.5,80.1,-810.7,63.8
1036,ISR,1,0,0.0,-579.6,94.6,-1214.8,27.5
1037,ISR,1,0,0.0,-622.3,78.6,-853.2,49.2
1038,ISR,1,0,0.0,-788.6,90.8,-1313.6,26.0
1039,ISR,1,0,0.0,-1034.1,94.8,-1077.2,82.5
1040,ISR,1,0,0.0,-956.8,87.6,-1437.0,23.5
1041,ISR,1,0,0.0,-930.2,72.8,-1003.9,62.2
1042,ISR,1,0,0.0,-534.8,59.9,-625.4,44.3
1043,ISR,1,0,0.0,-1080.0,50.0,-1276.3,36.9
1044,ISR,1,0,0.0,-538.2,68.7,-722.0,44.8
1045,ISR,1,0,0.0,-443.0,72.9,-862.0,18.7
1046,ISR,1,0,0.0,-887.2,86.3,-1092.0,59.0
1047,ISR,1,0,0.0,-605.9,93.0,-943.9,47.9
1048,ISR,1,0,0.0,-356.8,37.7,-543.4,10.7
1049,ISR,1,0,0.0,-463.4,95.6,-968.2,26.5
1050,ISR,1,0,0.0,-1179.1,28.3,-671.9,94.6
1051,ISR,1,0,0.0,-997.6,58.5,-929.2,63.2
1052,ISR,1,0,0.0,-278.8,52.0,-658.4,4.5
1053,ISR,1,0,0.0,-353.6,90.9,-977.8,6.5
1054,ISR,1,0,0.0,-326.2,65.7,-742.1,16.1
1055,ISR,1,0,0.0,-471.8,38.7,-508.8,33.1
1056,ISR,1,0,0.0,-641.8,119.9,-1257.4,44.7
1057,ISR,1,0,0.0,-174.6,71.0,-679.4,5.8
1058,ISR,1,0,0.0,-525.8,55.5,-623.2,46.4
1059,ISR,1,0,0.0,-777.5,83.0,-1120.5,35.1
1060,ISR,1,0,0.0,-549.4,99.3,-946.5,45.3
1061,ISR,1,0,0.0,-625.9,57.7,-697.0,53.0
1062,ISR,1,0,0.0,-576.1,59.6,-659.4,48.8
1063,ISR,1,0,0.0,-362.4,85.1,-799.2,30.6
1064,ISR,1,0,0.0,-492.0,41.7,-510.6,39.3
1065,ISR,1,0,0.0,-396.6,50.1,-504.0,39.0
1066,ISR,1,0,0.0,-615.2,77.5,-955.6,37.7
1067,ISR,1,0,0.0,-331.2,34.9,-406.2,24.6
1068,ISR,1,0,0.0,-662.8,40.4,-602.0,54.3
1069,ISR,1,0,0.0,-260.4,33.9,-356.6,21.6
1070,ISR,1,0,0.0,-171.4,109.8,-970.9,6.1
1071,ISR,1,0,0.0,-351.6,85.6,-844.9,26.6
1072,ISR,1,0,0.0,-464.2,80.1,-670.0,44.6
1073,ISR,1,0,0.0,-292.6,37.6,-420.6,16.7
1074,ISR,1,0,0.0,-162.8,46.9,-485.8,4.7
1075,ISR,1,0,0.0,-545.5,23.7,-326.4,48.0
1076,ISR,1,0,0.0,-349.6,83.2,-753.5,24.8
1077,ISR,1,0,0.0,-370.6,30.7,-251.8,39.4
1078,ISR,1,0,0.0,-885.0,28.2,-457.8,85.1
1079,ISR,1,0,0.0,-719.0,13.0,-300.6,70.3
1080,ISR,1,0,0.0,-608.2,85.4,-1070.1,23.6
1081,ISR,1,0,0.0,-547.5,11.9,-267.2,53.3
1082,ISR,1,0,0.0,-451.6,47.6,-573.2,32.2
1083,ISR,1,0,0.0,-256.0,63.0,-681.8,3.2
1084,ISR,1,0,0.0,-445.4,122.9,-1180.8,30.7
1085,ISR,1,0,0.0,-238.8,66.3,-607.4,14.2
1086,ISR,1,0,0.0,-225.6,81.3,-789.0,6.8
1087,ISR,1,0,0.0,-165.8,83.7,-695.4,8.3
1088,ISR,1,0,0.0,-379.8,17.7,-332.0,28.7
1089,ISR,1,0,0.0,-489.0,40.2,-577.4,33.8
1090,ISR,1,0,0.0,-296.2,56.9,-684.3,8.1
1091,ISR,1,0,0.0,-454.2,20.6,-336.2,45.4
1092,ISR,1,0,0.0,-162.2,62.5,-608.5,5.7
1093,ISR,1,0,0.0,-261.8,23.2,-389.8,7.1
1094,ISR,1,0,0.0,-333.2,21.9,-271.2,26.2
1095,ISR,1,0,0.0,-483.0,29.3,-440.4,34.9
1096,ISR,1,0,0.0,-329.6,53.1,-504.4,30.0
1097,ISR,1,0,0.0,-106.0,44.0,-380.0,4.9
1098,ISR,1,0,0.0,-346.8,20.2,-403.6,13.9
1099,ISR,1,0,0.0,-146.8,35.6,-308.8,18.7
1100,ISR,1,0,0.0,-242.0,53.3,-492.2,12.9
1101,ISR,1,0,0.0,-301.2,62.4,-644.2,14.0
1102,ISR,1,0,0.0,-322.6,62.0,-529.6,29.9
1103,ISR,1,0,0.0,-151.4,54.5,-508.0,9.3
1104,ISR,1,0,0.0,-408.8,90.6,-812.5,30.0
1105,ISR,1,0,0.0,-383.2,53.5,-561.4,32.8
1106,ISR,1,0,0.0,-257.2,22.7,-350.4,13.5
1107,ISR,1,0,0.0,-143.4,92.5,-712.8,11.7
1108,ISR,1,0,0.0,-313.0,27.1,-321.6,28.9
1109,ISR,1,0,0.0,-322.0,24.4,-249.0,34.2
1110,ISR,1,0,0.0,-381.2,66.6,-802.0,8.5
1111,ISR,1,0,0.0,-228.6,40.6,-322.4,25.7
1112,ISR,1,0,0.0,-499.2,19.4,-311.6,46.6
1113,ISR,1,0,0.0,-265.0,22.0,-216.0,30.6
1114,ISR,1,0,0.0,-234.4,19.4,-257.8,18.5
1115,ISR,1,0,0.0,-56.4,44.9,-305.8,9.5
1116,ISR,1,0,0.0,-157.8,12.7,-112.2,23.1
1117,ISR,1,0,0.0,-264.6,18.5,-306.6,17.1
1118,ISR,1,0,0.0,-221.2,53.1,-522.6,15.2
1119,ISR,1,0,0.0,-215.0,42.5,-308.4,30.5
1120,ISR,1,0,0.0,-207.6,41.1,-410.4,13.6
1121,ISR,1,0,0.0,-229.4,63.7,-524.0,20.3
