,Map,Shield,Grid,coll_train,acc_0_train,inter_0_train,acc_1_train,inter_1_train
3000,MIT,1,0,0.0,-2927.4,16.0,-2787.4,40.1
3001,MIT,1,0,0.0,-3189.2,0.3,-3057.3,11.4
3002,MIT,1,0,0.0,-2968.3,16.7,-2926.5,24.7
3003,MIT,1,0,0.0,-2985.5,14.8,-3147.8,0.8
3004,MIT,1,0,0.0,-2864.2,25.4,-3136.1,2.6
3005,MIT,1,0,0.0,-2983.0,0.4,-2677.2,54.4
3006,MIT,1,0,0.0,-3127.1,0.3,-2835.2,29.1
3007,MIT,1,0,0.0,-2875.0,23.7,-3121.0,10.0
3008,MIT,1,0,0.0,-2965.1,18.5,-3009.5,18.0
3009,MIT,1,0,0.0,-2881.0,22.9,-3067.1,11.8
3010,MIT,1,0,0.0,-2891.2,25.0,-2752.9,47.7
3011,MIT,1,0,0.0,-3009.2,0.7,-3009.7,20.2
3012,MIT,1,0,0.0,-2753.7,22.7,-2613.9,64.2
3013,MIT,1,0,0.0,-3074.9,0.4,-3038.9,12.9
3014,MIT,1,0,0.0,-2683.4,34.1,-2830.6,26.8
3015,MIT,1,0,0.0,-2943.7,13.4,-2912.7,24.5
3016,MIT,1,0,0.0,-2717.4,25.7,-2630.1,37.4
3017,MIT,1,0,0.0,-2931.1,17.6,-2827.2,27.5
3018,MIT,1,0,0.0,-2810.0,28.5,-2970.4,24.1
3019,MIT,1,0,0.0,-2635.1,49.5,-2889.6,26.9
3020,MIT,1,0,0.0,-2313.1,67.6,-2762.7,13.6
3021,MIT,1,0,0.0,-2461.0,65.4,-2960.1,16.9
3022,MIT,1,0,0.0,-2593.5,23.0,-2518.9,52.5
3023,MIT,1,0,0.0,-2981.3,13.3,-2810.5,22.9
3024,MIT,1,0,0.0,-3014.6,0.4,-2684.9,44.1
3025,MIT,1,0,0.0,-2638.8,29.4,-2707.8,27.9
3026,MIT,1,0,0.0,-2738.4,0.0,-2281.8,64.0
3027,MIT,1,0,0.0,-2757.4,33.9,-2471.8,69.3
3028,MIT,1,0,0.0,-2838.8,26.6,-2783.7,20.0
3029,MIT,1,0,0.0,-2771.5,27.7,-2839.6,29.2
3030,MIT,1,0,0.0,-2539.3,44.5,-2477.7,46.5
3031,MIT,1,0,0.0,-2496.4,49.3,-2800.8,25.5
3032,MIT,1,0,0.0,-2414.7,42.1,-2321.1,72.3
3033,MIT,1,0,0.0,-2396.5,68.0,-2782.8,31.2
3034,MIT,1,0,0.0,-2659.5,0.4,-2573.2,25.6
3035,MIT,1,0,0.0,-2452.5,49.1,-2632.0,38.8
3036,MIT,1,0,0.0,-2172.6,66.2,-2454.5,44.7
3037,MIT,1,0,0.0,-2531.3,25.4,-2671.4,16.5
3038,MIT,1,0,0.0,-2579.6,30.6,-2696.2,28.7
3039,MIT,1,0,0.0,-2128.0,51.4,-2434.2,20.1
3040,MIT,1,0,0.0,-2604.6,41.0,-2624.5,37.0
3041,MIT,1,0,0.0,-2437.3,21.2,-2161.5,51.4
3042,MIT,1,0,0.0,-2579.2,52.5,-2477.6,65.2
3043,MIT,1,0,0.0,-2073.9,66.3,-1970.3,74.7
3044,MIT,1,0,0.0,-2430.8,57.1,-2001.2,117.1
3045,MIT,1,0,0.0,-2237.4,35.0,-2227.5,49.3
3046,MIT,1,0,0.0,-2404.8,36.5,-2235.7,60.7
