,Map,Shield,Grid,coll_train,acc_0_train,inter_0_train,acc_1_train,inter_1_train
2000,Pentagon,1,0,0.0,-1636.4,39.4,-1183.2,99.6
2001,Pentagon,1,0,0.0,-1985.1,68.8,-1867.2,84.1
2002,Pentagon,1,0,0.0,-1369.4,59.9,-1254.1,81.4
2003,Pentagon,1,0,0.0,-2263.8,49.1,-1773.5,126.6
2004,Pentagon,1,0,0.0,-1746.7,87.7,-1257.4,160.6
2005,Pentagon,1,0,0.0,-2159.0,33.9,-1330.3,146.2
2006,Pentagon,1,0,0.0,-1824.2,5.4,-1141.7,107.7
2007,Pentagon,1,0,0.0,-1864.3,45.1,-1471.0,106.8
2008,Pentagon,1,0,0.0,-2087.7,39.1,-1638.5,106.1
2009,Pentagon,1,0,0.0,-2113.7,38.3,-1150.5,163.8
2010,Pentagon,1,0,0.0,-1670.3,72.9,-1175.4,137.0
2011,Pentagon,1,0,0.0,-1222.6,46.7,-750.2,114.7
2012,Pentagon,1,0,0.0,-1514.7,52.5,-767.8,158.7
2013,Pentagon,1,0,0.0,-1728.3,66.6,-1734.1,77.2
2014,Pentagon,1,0,0.0,-1371.8,52.3,-1153.8,90.3
2015,Pentagon,1,0,0.0,-1795.0,53.7,-1172.2,151.7
2016,Pentagon,1,0,0.0,-1722.4,86.0,-1424.1,136.2
2017,Pentagon,1,0,0.0,-1750.4,16.8,-911.2,130.2
2018,Pentagon,1,0,0.0,-1727.8,88.6,-1390.5,137.5
2019,Pentagon,1,0,0.0,-1408.6,49.2,-611.6,153.6
2020,Pentagon,1,0,0.0,-1674.3,21.9,-888.1,138.1
2021,Pentagon,1,0,0.0,-1484.5,66.5,-1228.6,100.8
2022,Pentagon,1,0,0.0,-686.6,82.7,-1301.9,3.8
2023,Pentagon,1,0,0.0,-1933.2,24.9,-799.0,172.0
2024,Pentagon,1,0,0.0,-1669.9,52.6,-885.0,162.8
2025,Pentagon,1,0,0.0,-1648.3,49.8,-909.2,156.8
2026,Pentagon,1,0,0.0,-939.5,81.2,-1016.8,74.8
2027,Pentagon,1,0,0.0,-1170.4,131.4,-1351.0,114.9
2028,Pentagon,1,0,0.0,-629.2,40.6,-434.2,68.6
2029,Pentagon,1,0,0.0,-1697.2,47.6,-1023.3,146.1
2030,Pentagon,1,0,0.0,-1313.5,17.7,-848.0,82.8
2031,Pentagon,1,0,0.0,-1114.2,37.4,-525.8,113.5
2032,Pentagon,1,0,0.0,-1018.5,74.7,-886.9,105.8
2033,Pentagon,1,0,0.0,-733.6,130.7,-1507.6,43.9
2034,Pentagon,1,0,0.0,-1176.1,77.2,-973.4,114.4
2035,Pentagon,1,0,0.0,-326.8,48.0,-659.4,11.5
2036,Pentagon,1,0,0.0,-1479.1,12.5,-276.0,175.4
2037,Pentagon,1,0,0.0,-838.4,98.1,-1186.5,53.8
2038,Pentagon,1,0,0.0,-1236.1,46.3,-636.2,134.1
2039,Pentagon,1,0,0.0,-1285.4,40.7,-978.4,90.8
2040,Pentagon,1,0,0.0,-747.8,71.6,-744.3,75.6
2041,Pentagon,1,0,0.0,-643.4,62.7,-945.3,32.1
2042,Pentagon,1,0,0.0,-1002.5,11.1,-462.8,92.8
2043,Pentagon,1,0,0.0,-980.8,32.4,-734.8,76.7
2044,Pentagon,1,0,0.0,-792.2,51.4,-653.9,77.2
2045,Pentagon,1,0,0.0,-1398.0,23.8,-658.8,134.8
2046,Pentagon,1,0,0.0,-999.4,38.8,-800.0,73.8
2047,Pentagon,1,0,0.0,-479.6,40.0,-479.2,44.2
2048,Pentagon,1,0,0.0,-760.6,40.4,-813.8,42.3
2049,Pentagon,1,0,0.0,-518.2,46.0,-613.6,44.5
2050,Pentagon,1,0,0.0,-785.5,54.5,-802.2,58.5
2051,Pentagon,1,0,0.0,-811.3,35.5,-623.2,70.1
2052,Pentagon,1,0,0.0,-1134.1,52.8,-922.0,79.4
2053,Pentagon,1,0,0.0,-621.8,87.0,-857.1,67.2
2054,Pentagon,1,0,0.0,-505.3,73.8,-944.0,20.7
2055,Pentagon,1,0,0.0,-483.9,24.0,-460.4,38.2
2056,Pentagon,1,0,0.0,-710.6,41.6,-526.6,64.5
2057,Pentagon,1,0,0.0,-1291.4,29.6,-698.4,123.6
2058,Pentagon,1,0,0.0,-680.4,70.6,-891.9,46.3
2059,Pentagon,1,0,0.0,-572.6,57.0,-606.0,62.2
2060,Pentagon,1,0,0.0,-708.6,46.1,-759.6,45.8
2061,Pentagon,1,0,0.0,-795.3,46.0,-685.0,68.8
2062,Pentagon,1,0,0.0,-640.2,36.7,-480.6,64.3
2063,Pentagon,1,0,0.0,-734.6,57.3,-559.9,86.9
2064,Pentagon,1,0,0.0,-544.0,30.6,-522.8,44.4
2065,Pentagon,1,0,0.0,-449.0,9.6,-167.2,59.8
2066,Pentagon,1,0,0.0,-817.8,12.7,-117.0,115.4
2067,Pentagon,1,0,0.0,-451.0,47.2,-608.0,26.2
2068,Pentagon,1,0,0.0,-583.8,11.7,-249.6,69.4
2069,Pentagon,1,0,0.0,-1281.8,11.6,-489.4,126.2
2070,Pentagon,1,0,0.0,-430.6,62.6,-905.5,14.0
2071,Pentagon,1,0,0.0,-632.7,15.9,-234.8,76.5
2072,Pentagon,1,0,0.0,-1045.8,27.5,-1017.8,54.0
2073,Pentagon,1,0,0.0,-875.8,18.8,-460.4,86.8
2074,Pentagon,1,0,0.0,-645.2,68.4,-714.4,69.3
2075,Pentagon,1,0,0.0,-659.8,42.4,-450.6,78.1
2076,Pentagon,1,0,0.0,-1015.7,13.5,-243.6,119.7
2077,Pentagon,1,0,0.0,-703.6,27.6,-625.6,54.6
2078,Pentagon,1,0,0.0,-606.4,3.2,-84.0,80.7
2079,Pentagon,1,0,0.0,-486.8,63.6,-613.2,57.0
2080,Pentagon,1,0,0.0,-424.6,15.8,-231.2,52.3
