,Map,Shield,Grid,coll_train,acc_0_train,inter_0_train,acc_1_train,inter_1_train
4000,SUNY,1,0,0.0,-1851.6,68.2,-2060.2,52.5
4001,SUNY,1,0,0.0,-1531.8,63.5,-1343.9,89.3
4002,SUNY,1,0,0.0,-1920.8,54.7,-1771.9,64.0
4003,SUNY,1,0,0.0,-2033.8,67.7,-2260.6,45.5
4004,SUNY,1,0,0.0,-2385.7,28.2,-1909.1,86.1
4005,SUNY,1,0,0.0,-2386.7,31.0,-1812.4,112.4
4006,SUNY,1,0,0.0,-2439.8,28.0,-2284.6,66.0
4007,SUNY,1,0,0.0,-2475.3,0.8,-1288.9,159.1
4008,SUNY,1,0,0.0,-1618.7,167.9,-2741.7,10.4
4009,SUNY,1,0,0.0,-1811.5,62.7,-1860.5,68.1
4010,SUNY,1,0,0.0,-1677.9,80.5,-1588.4,84.5
4011,SUNY,1,0,0.0,-1106.4,110.8,-1637.2,42.7
4012,SUNY,1,0,0.0,-1882.1,96.9,-1928.9,100.7
4013,SUNY,1,0,0.0,-2282.3,45.4,-1797.0,118.5
4014,SUNY,1,0,0.0,-1468.6,63.5,-1652.7,39.3
4015,SUNY,1,0,0.0,-1752.8,47.9,-1646.4,60.9
4016,SUNY,1,0,0.0,-1870.0,67.4,-1482.6,138.1
4017,SUNY,1,0,0.0,-2182.1,25.9,-1582.9,126.0
4018,SUNY,1,0,0.0,-1549.3,81.6,-1551.9,85.7
4019,SUNY,1,0,0.0,-1760.6,35.3,-1324.9,105.3
4020,SUNY,1,0,0.0,-2246.5,15.4,-1417.4,128.1
4021,SUNY,1,0,0.0,-1717.1,108.6,-2204.6,49.1
4022,SUNY,1,0,0.0,-1531.0,34.5,-1350.1,67.0
4023,SUNY,1,0,0.0,-1550.2,58.5,-1040.9,128.6
4024,SUNY,1,0,0.0,-1634.0,118.3,-1664.0,111.9
4025,SUNY,1,0,0.0,-1188.2,99.8,-1474.6,55.3
4026,SUNY,1,0,0.0,-1240.3,100.1,-1635.7,43.4
4027,SUNY,1,0,0.0,-1633.3,56.2,-1484.0,77.6
4028,SUNY,1,0,0.0,-1796.8,90.6,-1876.3,83.5
4029,SUNY,1,0,0.0,-1322.1,81.8,-1443.2,59.0
4030,SUNY,1,0,0.0,-1407.0,133.8,-1798.4,63.7
4031,SUNY,1,0,0.0,-1860.6,75.3,-1683.6,94.3
4032,SUNY,1,0,0.0,-1565.6,68.0,-1300.8,102.3
4033,SUNY,1,0,0.0,-1289.2,118.3,-1625.1,74.2
4034,SUNY,1,0,0.0,-1551.8,56.4,-1386.4,71.6
4035,SUNY,1,0,0.0,-1319.7,48.1,-1219.0,49.9
4036,SUNY,1,0,0.0,-1369.1,61.9,-1454.8,59.8
4037,SUNY,1,0,0.0,-993.8,74.8,-1058.1,68.1
4038,SUNY,1,0,0.0,-1215.6,85.1,-1403.6,58.6
4039,SUNY,1,0,0.0,-1698.6,41.1,-1086.7,133.1
4040,SUNY,1,0,0.0,-1491.1,62.3,-1305.3,86.8
4041,SUNY,1,0,0.0,-1117.6,73.4,-984.8,93.5
4042,SUNY,1,0,0.0,-1341.8,66.2,-1205.6,77.8
4043,SUNY,1,0,0.0,-1233.9,73.8,-1439.6,59.7
4044,SUNY,1,0,0.0,-1242.1,61.8,-1053.8,85.7
4045,SUNY,1,0,0.0,-1120.0,71.8,-1313.9,45.0
4046,SUNY,1,0,0.0,-747.0,136.4,-1600.4,16.8
