,Map,Shield,Grid,coll_train,acc_0_train,inter_0_train,acc_1_train,inter_1_train
0,example,1,0,0.0,-466.2,35.2,-671.4,15.5
1,example,1,0,0.0,-407.8,54.7,-977.0,7.3
2,example,1,0,0.0,-450.2,27.9,-611.8,17.1
3,example,1,0,0.0,-433.6,25.7,-550.6,19.8
4,example,1,0,0.0,-518.0,26.6,-702.4,14.0
5,example,1,0,0.0,-622.8,34.4,-830.0,21.1
6,example,1,0,0.0,-271.6,56.8,-805.0,7.9
7,example,1,0,0.0,-628.4,39.6,-1033.0,8.6
8,example,1,0,0.0,-504.0,43.5,-848.8,14.2
9,example,1,0,0.0,-602.2,40.3,-959.0,12.4
10,example,1,0,0.0,-393.6,52.4,-849.4,6.3
11,example,1,0,0.0,-365.4,20.7,-554.0,6.9
12,example,1,0,0.0,-294.0,29.9,-483.2,11.3
13,example,1,0,0.0,-383.0,45.5,-812.4,8.1
14,example,1,0,0.0,-409.6,20.1,-542.6,12.5
15,example,1,0,0.0,-428.6,21.3,-635.2,10.1
16,example,1,0,0.0,-310.2,37.7,-615.6,10.2
17,example,1,0,0.0,-560.2,30.2,-712.0,18.9
18,example,1,0,0.0,-339.8,37.3,-683.0,6.8
19,example,1,0,0.0,-297.4,26.1,-499.2,11.7
20,example,1,0,0.0,-433.4,28.5,-665.4,10.4
21,example,1,0,0.0,-528.8,26.1,-733.6,11.4
22,example,1,0,0.0,-367.4,45.4,-714.6,12.3
23,example,1,0,0.0,-122.4,44.5,-520.4,4.7
24,example,1,0,0.0,-451.8,36.7,-704.0,9.5
25,example,1,0,0.0,-260.6,43.3,-643.4,10.1
26,example,1,0,0.0,-240.2,34.1,-494.8,11.3
27,example,1,0,0.0,-284.2,40.1,-571.4,9.3
28,example,1,0,0.0,-754.6,43.8,-1016.6,29.7
29,example,1,0,0.0,-250.6,33.7,-479.6,15.0
30,example,1,0,0.0,-218.6,36.2,-572.4,8.0
31,example,1,0,0.0,-481.0,22.3,-654.0,8.9
32,example,1,0,0.0,-257.0,23.3,-414.4,10.8
33,example,1,0,0.0,-263.0,17.9,-394.2,9.7
34,example,1,0,0.0,-235.8,21.7,-383.0,10.7
35,example,1,0,0.0,-272.6,39.5,-552.4,9.0
36,example,1,0,0.0,-439.2,19.8,-561.8,11.3
37,example,1,0,0.0,-313.2,28.0,-525.8,9.9
38,example,1,0,0.0,-485.2,23.1,-710.6,12.4
39,example,1,0,0.0,-269.4,30.1,-560.4,3.9
40,example,1,0,0.0,-161.0,29.9,-454.2,3.5
41,example,1,0,0.0,-276.0,36.8,-570.6,7.3
42,example,1,0,0.0,-598.9,18.4,-568.4,25.5
43,example,1,0,0.0,-615.0,30.3,-805.2,19.3
44,example,1,0,0.0,-453.4,20.7,-647.2,10.7
45,example,1,0,0.0,-432.4,17.9,-587.8,11.0
46,example,1,0,0.0,-102.2,23.1,-312.2,3.0
47,example,1,0,0.0,-610.8,23.1,-672.8,25.0
48,example,1,0,0.0,-286.8,26.4,-501.2,7.7
49,example,1,0,0.0,-300.0,42.9,-694.2,5.6
50,example,1,0,0.0,-141.2,30.0,-368.6,4.9
51,example,1,0,0.0,-856.2,28.7,-925.0,31.1
52,example,1,0,0.0,-260.2,23.5,-428.8,9.8
53,example,1,0,0.0,-168.0,30.2,-400.6,7.1
54,example,1,0,0.0,-629.4,27.3,-852.0,17.7
55,example,1,0,0.0,-285.4,21.9,-431.4,11.0
56,example,1,0,0.0,-371.8,22.6,-487.2,14.9
57,example,1,0,0.0,-436.6,22.2,-573.4,13.7
58,example,1,0,0.0,-195.4,16.3,-316.8,6.9
59,example,1,0,0.0,-353.6,28.9,-520.8,15.1
60,example,1,0,0.0,-171.0,21.8,-323.0,8.9
61,example,1,0,0.0,-315.4,18.8,-433.0,12.4
62,example,1,0,0.0,-115.2,17.3,-265.4,4.1
63,example,1,0,0.0,-98.6,23.1,-279.0,4.2
64,example,1,0,0.0,-443.2,15.7,-531.8,13.2
65,example,1,0,0.0,-262.4,12.1,-260.6,14.3
66,example,1,0,0.0,-328.4,23.8,-501.2,10.4
67,example,1,0,0.0,-430.2,26.7,-668.6,11.5
68,example,1,0,0.0,-370.0,41.3,-677.6,12.3
69,example,1,0,0.0,-189.6,25.0,-341.0,10.1
70,example,1,0,0.0,-287.6,21.4,-414.2,12.1
71,example,1,0,0.0,-211.2,20.1,-357.6,6.5
72,example,1,0,0.0,-211.8,22.9,-421.0,5.3
73,example,1,0,0.0,-321.4,20.3,-510.8,8.9
74,example,1,0,0.0,-82.2,24.6,-305.6,3.7
75,example,1,0,0.0,-435.6,16.8,-451.4,22.9
76,example,1,0,0.0,-483.8,14.5,-556.0,16.7
77,example,1,0,0.0,-250.4,29.2,-432.2,11.2
78,example,1,0,0.0,-536.0,27.2,-663.6,25.0
79,example,1,0,0.0,-188.4,14.7,-302.2,8.6
80,example,1,0,0.0,-231.4,20.0,-317.6,12.9
81,example,1,0,0.0,-328.4,26.5,-540.6,8.8
82,example,1,0,0.0,-182.2,15.5,-341.0,5.0
83,example,1,0,0.0,-343.8,25.1,-528.2,11.3
84,example,1,0,0.0,-129.0,26.9,-370.2,4.5
85,example,1,0,0.0,-234.0,26.8,-398.2,14.0
86,example,1,0,0.0,-237.6,20.5,-378.6,9.2
87,example,1,0,0.0,-282.0,14.6,-373.6,11.7
88,example,1,0,0.0,-115.4,10.0,-162.0,6.1
89,example,1,0,0.0,-123.0,14.6,-266.4,5.0
90,example,1,0,0.0,-60.2,23.8,-241.6,3.7
91,example,1,0,0.0,-81.0,23.8,-250.0,4.8
92,example,1,0,0.0,-279.2,10.7,-347.0,8.9
93,example,1,0,0.0,-170.2,22.1,-369.0,6.1
94,example,1,0,0.0,-223.6,32.2,-445.0,11.4
95,example,1,0,0.0,-114.4,24.8,-298.0,5.2
96,example,1,0,0.0,-124.2,21.9,-265.6,6.1
97,example,1,0,0.0,-205.8,23.2,-396.0,8.4
98,example,1,0,0.0,-341.2,17.0,-516.2,8.7
99,example,1,0,0.0,-99.8,12.2,-179.2,4.3
100,example,1,0,0.0,-218.8,23.0,-432.0,9.3
101,example,1,0,0.0,-71.8,20.8,-250.0,2.9
102,example,1,0,0.0,-104.8,23.9,-265.6,8.4
103,example,1,0,0.0,-240.0,25.2,-384.0,12.9
104,example,1,0,0.0,-206.6,10.9,-269.2,8.8
105,example,1,0,0.0,-137.8,15.6,-259.4,9.2
106,example,1,0,0.0,-26.0,13.4,-145.2,3.4
107,example,1,0,0.0,-82.2,29.2,-297.6,4.4
108,example,1,0,0.0,-56.4,20.9,-205.4,6.9
109,example,1,0,0.0,-192.4,19.9,-314.8,7.8
110,example,1,0,0.0,-85.0,12.4,-166.4,7.9
111,example,1,0,0.0,-219.6,14.8,-316.8,7.4
112,example,1,0,0.0,-93.0,15.2,-189.6,5.0
113,example,1,0,0.0,-263.8,19.0,-401.0,11.1
114,example,1,0,0.0,-298.8,14.9,-421.2,7.3
115,example,1,0,0.0,-61.6,18.5,-240.0,4.4
