,Map,Shield,Grid,coll_train,acc_0_train,inter_0_train,acc_1_train,inter_1_train
1200,ISR,1,0,0.0,-3207.0,75.5,-3037.0,91.0
1201,ISR,1,0,0.0,-1790.0,86.1,-2555.0,33.7
1202,ISR,1,0,0.0,-2648.0,101.8,-2690.0,101.5
1203,ISR,1,0,0.0,-2476.0,111.6,-2911.0,77.3
1204,ISR,1,0,0.0,-2533.0,71.4,-2548.0,72.4
1205,ISR,1,0,0.0,-2313.0,132.3,-3427.0,50.4
1206,ISR,1,0,0.0,-2384.0,57.2,-2380.0,59.6
1207,ISR,1,0,0.0,-2257.0,30.4,-1374.0,98.3
1208,ISR,1,0,0.0,-1647.0,149.1,-3110.0,37.3
1209,ISR,1,0,0.0,-2468.0,112.0,-2772.0,91.1
1210,ISR,1,0,0.0,-1796.0,140.8,-3132.0,42.6
1211,ISR,1,0,0.0,-1779.0,90.9,-2463.0,37.9
1212,ISR,1,0,0.0,-2127.0,92.7,-2464.0,68.3
1213,ISR,1,0,0.0,-1295.0,122.5,-2235.0,49.9
1214,ISR,1,0,0.0,-1345.0,162.9,-3014.0,32.8
1215,ISR,1,0,0.0,-788.0,151.7,-2242.0,42.2
1216,ISR,1,0,0.0,-1634.0,71.7,-1566.0,82.9
1217,ISR,1,0,0.0,-1538.0,56.2,-1337.0,75.1
1218,ISR,1,0,0.0,-1622.0,83.6,-2464.0,21.0
1219,ISR,1,0,0.0,-1902.0,55.9,-2024.0,55.1
1220,ISR,1,0,0.0,-3721.0,35.3,-2263.0,156.7
1221,ISR,1,0,0.0,-1476.0,155.1,-2791.0,52.9
1222,ISR,1,0,0.0,-2945.0,72.5,-2979.0,73.5
1223,ISR,1,0,0.0,-2575.0,49.1,-1876.0,106.1
1224,ISR,1,0,0.0,-1636.0,94.4,-1643.0,94.7
1225,ISR,1,0,0.0,-2449.0,92.1,-2506.0,92.0
1226,ISR,1,0,0.0,-1325.0,108.3,-2019.0,57.4
1227,ISR,1,0,0.0,-1014.0,80.6,-1534.0,43.1
1228,ISR,1,0,0.0,-1236.0,88.4,-1842.0,43.7
1229,ISR,1,0,0.0,-1577.0,77.8,-1816.0,64.0
1230,ISR,1,0,0.0,-870.0,73.6,-1696.0,11.2
1231,ISR,1,0,0.0,-1948.0,63.8,-1765.0,81.8
1232,ISR,1,0,0.0,-1774.0,107.9,-2857.0,24.8
1233,ISR,1,0,0.0,-1455.0,47.9,-1516.0,43.9
1234,ISR,1,0,0.0,-1337.0,129.7,-2310.0,56.9
1235,ISR,1,0,0.0,-2485.0,83.6,-2546.0,78.6
1236,ISR,1,0,0.0,-1823.0,37.2,-1766.0,44.1
1237,ISR,1,0,0.0,-689.0,133.3,-1777.0,45.6
1238,ISR,1,0,0.0,-869.0,179.7,-2964.0,17.8
1239,ISR,1,0,0.0,-1497.0,48.3,-1234.0,69.8
1240,ISR,1,0,0.0,-2464.0,69.0,-2274.0,87.5
1241,ISR,1,0,0.0,-1281.0,74.9,-1762.0,37.5
1242,ISR,1,0,0.0,-1091.0,124.0,-2208.0,38.0
1243,ISR,1,0,0.0,-1604.0,154.6,-3302.0,27.8
1244,ISR,1,0,0.0,-1006.0,58.5,-1091.0,51.8
1245,ISR,1,0,0.0,-1135.0,101.6,-2215.0,23.1
1246,ISR,1,0,0.0,-1033.0,101.1,-2026.0,26.0
1247,ISR,1,0,0.0,-1246.0,51.5,-1477.0,33.7
1248,ISR,1,0,0.0,-1588.0,56.6,-1372.0,72.7
1249,ISR,1,0,0.0,-1787.0,63.9,-1481.0,88.8
1250,ISR,1,0,0.0,-1701.0,97.4,-1871.0,86.3
1251,ISR,1,0,0.0,-499.0,100.8,-1667.0,12.5
1252,ISR,1,0,0.0,-1857.0,96.7,-2473.0,49.4
1253,ISR,1,0,0.0,-587.0,81.9,-1629.0,3.5
1254,ISR,1,0,0.0,-447.0,108.1,-1709.0,9.4
1255,ISR,1,0,0.0,-1216.0,71.0,-1269.0,68.5
1256,ISR,1,0,0.0,-1447.0,92.3,-2001.0,52.2
1257,ISR,1,0,0.0,-1001.0,37.3,-1134.0,28.3
1258,ISR,1,0,0.0,-1357.0,115.9,-2081.0,61.3
1259,ISR,1,0,0.0,-1036.0,65.8,-1524.0,32.6
1260,ISR,1,0,0.0,-843.0,68.1,-1434.0,20.1
1261,ISR,1,0,0.0,-1040.0,92.1,-1684.0,44.0
1262,ISR,1,0,0.0,-2735.0,30.8,-1312.0,147.7
1263,ISR,1,0,0.0,-912.0,101.8,-2170.0,5.2
1264,ISR,1,0,0.0,-798.0,65.0,-1417.0,22.1
1265,ISR,1,0,0.0,-988.0,96.9,-1741.0,40.6
1266,ISR,1,0,0.0,-997.0,58.6,-1464.0,24.8
1267,ISR,1,0,0.0,-1044.0,50.6,-1475.0,19.7
1268,ISR,1,0,0.0,-251.0,99.5,-1441.0,5.8
1269,ISR,1,0,0.0,-1116.0,34.4,-1132.0,38.4
