,Map,Shield,Grid,coll_train,acc_0_train,inter_0_train,acc_1_train,inter_1_train
4000,Pentagon,1,0,0.0,-2357.0,92.8,-3219.0,31.9
4001,Pentagon,1,0,0.0,-2504.0,109.3,-2674.0,96.3
4002,Pentagon,1,0,0.0,-3430.0,2.9,-2154.0,102.9
4003,Pentagon,1,0,0.0,-3880.0,13.6,-1561.0,194.5
4004,Pentagon,1,0,0.0,-2126.0,79.2,-2743.0,28.7
4005,Pentagon,1,0,0.0,-3302.0,48.2,-2784.0,91.7
4006,Pentagon,1,0,0.0,-1630.0,96.4,-2026.0,70.1
4007,Pentagon,1,0,0.0,-3646.0,44.6,-2041.0,173.9
4008,Pentagon,1,0,0.0,-3093.0,76.0,-2803.0,100.2
4009,Pentagon,1,0,0.0,-2609.0,22.3,-1664.0,95.5
4010,Pentagon,1,0,0.0,-3105.0,40.6,-2131.0,118.8
4011,Pentagon,1,0,0.0,-3365.0,30.5,-2030.0,137.3
4012,Pentagon,1,0,0.0,-3056.0,99.3,-2765.0,124.1
4013,Pentagon,1,0,0.0,-3265.0,35.7,-2122.0,125.4
4014,Pentagon,1,0,0.0,-2978.0,70.2,-2416.0,115.0
4015,Pentagon,1,0,0.0,-4358.0,15.9,-2042.0,195.4
4016,Pentagon,1,0,0.0,-2409.0,129.7,-2716.0,107.3
4017,Pentagon,1,0,0.0,-3929.0,25.7,-1616.0,205.8
4018,Pentagon,1,0,0.0,-4025.0,27.8,-2026.0,188.0
4019,Pentagon,1,0,0.0,-3204.0,65.1,-2329.0,136.8
4020,Pentagon,1,0,0.0,-2885.0,87.6,-2086.0,148.6
4021,Pentagon,1,0,0.0,-3659.0,11.3,-1035.0,215.9
4022,Pentagon,1,0,0.0,-3479.0,52.1,-1528.0,206.2
4023,Pentagon,1,0,0.0,-1892.0,102.8,-2199.0,81.6
4024,Pentagon,1,0,0.0,-3127.0,69.6,-1747.0,178.0
4025,Pentagon,1,0,0.0,-3056.0,45.0,-1495.0,169.7
4026,Pentagon,1,0,0.0,-1796.0,52.4,-1465.0,80.4
4027,Pentagon,1,0,0.0,-1035.0,57.3,-1357.0,34.8
4028,Pentagon,1,0,0.0,-3023.0,43.0,-1831.0,134.9
4029,Pentagon,1,0,0.0,-3320.0,20.9,-1911.0,129.6
4030,Pentagon,1,0,0.0,-1415.0,66.1,-1406.0,65.5
4031,Pentagon,1,0,0.0,-2509.0,21.9,-1776.0,85.3
4032,Pentagon,1,0,0.0,-3299.0,56.0,-2121.0,149.2
4033,Pentagon,1,0,0.0,-3480.0,42.1,-2435.0,126.2
4034,Pentagon,1,0,0.0,-2139.0,86.1,-1991.0,97.8
4035,Pentagon,1,0,0.0,-2465.0,80.5,-2059.0,114.9
4036,Pentagon,1,0,0.0,-3790.0,16.5,-2043.0,155.2
4037,Pentagon,1,0,0.0,-2767.0,46.2,-1852.0,121.3
