,Map,Shield,Grid,coll_train,acc_0_train,inter_0_train,acc_1_train,inter_1_train
8000,SUNY,1,0,0.0,-3763.0,22.6,-2702.0,105.1
8001,SUNY,1,0,0.0,-3553.0,41.1,-3550.0,44.3
8002,SUNY,1,0,0.0,-4120.0,4.1,-2833.0,103.7
8003,SUNY,1,0,0.0,-2699.0,66.3,-3064.0,40.1
8004,SUNY,1,0,0.0,-2627.0,103.7,-3258.0,56.2
8005,SUNY,1,0,0.0,-2468.0,149.1,-3625.0,63.1
8006,SUNY,1,0,0.0,-3603.0,62.4,-4057.0,32.2
8007,SUNY,1,0,0.0,-2830.0,116.2,-3846.0,41.4
8008,SUNY,1,0,0.0,-3519.0,61.2,-3299.0,80.8
8009,SUNY,1,0,0.0,-2751.0,86.3,-3513.0,28.5
8010,SUNY,1,0,0.0,-3096.0,91.7,-2954.0,103.3
8011,SUNY,1,0,0.0,-3068.0,44.8,-2388.0,98.7
8012,SUNY,1,0,0.0,-2722.0,99.5,-3270.0,55.5
8013,SUNY,1,0,0.0,-2625.0,60.6,-2825.0,51.6
8014,SUNY,1,0,0.0,-3160.0,138.5,-4449.0,38.9
8015,SUNY,1,0,0.0,-4675.0,15.5,-3570.0,105.9
8016,SUNY,1,0,0.0,-2896.0,100.8,-3046.0,99.9
8017,SUNY,1,0,0.0,-2440.0,101.9,-3324.0,35.3
8018,SUNY,1,0,0.0,-3177.0,105.0,-3483.0,86.0
8019,SUNY,1,0,0.0,-3774.0,52.7,-3549.0,70.6
8020,SUNY,1,0,0.0,-2972.0,84.5,-3186.0,70.0
8021,SUNY,1,0,0.0,-3163.0,89.6,-3827.0,42.2
8022,SUNY,1,0,0.0,-2493.0,74.2,-2069.0,106.1
8023,SUNY,1,0,0.0,-3460.0,53.6,-3586.0,50.5
8024,SUNY,1,0,0.0,-3721.0,29.9,-3339.0,65.8
8025,SUNY,1,0,0.0,-3246.0,55.8,-3361.0,49.2
8026,SUNY,1,0,0.0,-3163.0,30.0,-2576.0,81.6
8027,SUNY,1,0,0.0,-3116.0,118.2,-4218.0,41.5
8028,SUNY,1,0,0.0,-3192.0,75.9,-3078.0,87.3
8029,SUNY,1,0,0.0,-2537.0,31.3,-1879.0,86.5
8030,SUNY,1,0,0.0,-2683.0,53.9,-1718.0,128.5
8031,SUNY,1,0,0.0,-3490.0,34.8,-3139.0,66.8
8032,SUNY,1,0,0.0,-3342.0,42.7,-3219.0,56.3
8033,SUNY,1,0,0.0,-3216.0,67.6,-2705.0,107.8
8034,SUNY,1,0,0.0,-3239.0,44.9,-1824.0,156.1
8035,SUNY,1,0,0.0,-3017.0,16.8,-2101.0,90.0
8036,SUNY,1,0,0.0,-3591.0,44.6,-3078.0,86.5
8037,SUNY,1,0,0.0,-2824.0,121.3,-3803.0,45.5
8038,SUNY,1,0,0.0,-2578.0,115.3,-3743.0,31.0
8039,SUNY,1,0,0.0,-3090.0,94.2,-3115.0,94.9
8040,SUNY,1,0,0.0,-4409.0,32.8,-2704.0,169.8
8041,SUNY,1,0,0.0,-3429.0,80.0,-3355.0,88.9
8042,SUNY,1,0,0.0,-2355.0,156.8,-3264.0,88.6
8043,SUNY,1,0,0.0,-2371.0,64.1,-1982.0,98.7
8044,SUNY,1,0,0.0,-2447.0,75.3,-2673.0,62.4
8045,SUNY,1,0,0.0,-3419.0,72.5,-2944.0,108.9
8046,SUNY,1,0,0.0,-3239.0,98.0,-3911.0,46.7
8047,SUNY,1,0,0.0,-3195.0,96.0,-4008.0,34.7
8048,SUNY,1,0,0.0,-3132.0,42.2,-2109.0,123.5
8049,SUNY,1,0,0.0,-3479.0,33.1,-2404.0,112.9
8050,SUNY,1,0,0.0,-3743.0,35.5,-1985.0,175.4
8051,SUNY,1,0,0.0,-2957.0,57.7,-2746.0,79.7
8052,SUNY,1,0,0.0,-2618.0,46.2,-1887.0,107.1
8053,SUNY,1,0,0.0,-2460.0,84.3,-2482.0,86.8
8054,SUNY,1,0,0.0,-3179.0,39.1,-3203.0,43.7
8055,SUNY,1,0,0.0,-4129.0,24.5,-3183.0,101.9
8056,SUNY,1,0,0.0,-3859.0,45.6,-3366.0,83.9
8057,SUNY,1,0,0.0,-2533.0,28.3,-1674.0,98.5
8058,SUNY,1,0,0.0,-3056.0,42.9,-1738.0,146.6
8059,SUNY,1,0,0.0,-3062.0,25.4,-1944.0,114.7
8060,SUNY,1,0,0.0,-3115.0,51.6,-2810.0,79.1
8061,SUNY,1,0,0.0,-3405.0,77.3,-3364.0,83.0
8062,SUNY,1,0,0.0,-2390.0,27.9,-2094.0,54.1
8063,SUNY,1,0,0.0,-2547.0,71.3,-2658.0,69.7
8064,SUNY,1,0,0.0,-2453.0,37.7,-1777.0,95.1
8065,SUNY,1,0,0.0,-2651.0,113.2,-3517.0,47.5
8066,SUNY,1,0,0.0,-1742.0,62.8,-2209.0,29.1
8067,SUNY,1,0,0.0,-1946.0,83.3,-2105.0,70.4
8068,SUNY,1,0,0.0,-3025.0,122.3,-3580.0,78.4
8069,SUNY,1,0,0.0,-2776.0,57.9,-2355.0,95.0
8070,SUNY,1,0,0.0,-2093.0,129.7,-3480.0,25.3
8071,SUNY,1,0,0.0,-2781.0,64.5,-2618.0,80.4
8072,SUNY,1,0,0.0,-2458.0,35.9,-2169.0,59.7
8073,SUNY,1,0,0.0,-3222.0,34.3,-2450.0,97.6
8074,SUNY,1,0,0.0,-2217.0,52.8,-1701.0,95.4
