,Map,Shield,Grid,coll_train,acc_0_train,inter_0_train,acc_1_train,inter_1_train
0,example,1,0,0.0,-781.0,16.5,-835.0,15.1
1,example,1,0,0.0,-440.0,44.2,-947.0,6.2
2,example,1,0,0.0,-964.0,26.2,-1070.0,18.9
3,example,1,0,0.0,-865.0,44.5,-1362.0,12.4
4,example,1,0,0.0,-565.0,40.6,-1031.0,8.5
5,example,1,0,0.0,-696.0,52.1,-1267.0,12.6
6,example,1,0,0.0,-899.0,25.4,-972.0,22.4
7,example,1,0,0.0,-690.0,44.6,-1188.0,11.0
8,example,1,0,0.0,-855.0,59.5,-1374.0,24.1
9,example,1,0,0.0,-983.0,40.0,-1279.0,23.0
10,example,1,0,0.0,-629.0,42.2,-1047.0,13.2
11,example,1,0,0.0,-615.0,49.6,-1189.0,10.8
12,example,1,0,0.0,-726.0,24.1,-901.0,14.0
13,example,1,0,0.0,-1007.0,25.2,-1152.0,18.7
14,example,1,0,0.0,-932.0,44.3,-1340.0,18.3
15,example,1,0,0.0,-587.0,12.5,-658.0,9.3
16,example,1,0,0.0,-533.0,37.0,-882.0,12.9
17,example,1,0,0.0,-819.0,35.2,-1042.0,21.7
18,example,1,0,0.0,-402.0,32.9,-781.0,5.9
19,example,1,0,0.0,-784.0,44.7,-1303.0,6.5
20,example,1,0,0.0,-875.0,32.1,-1074.0,21.4
21,example,1,0,0.0,-419.0,26.1,-706.0,5.2
22,example,1,0,0.0,-529.0,34.3,-846.0,13.9
23,example,1,0,0.0,-950.0,43.5,-1188.0,26.7
24,example,1,0,0.0,-404.0,35.0,-812.0,6.7
25,example,1,0,0.0,-925.0,57.5,-1384.0,25.0
26,example,1,0,0.0,-1449.0,32.3,-1631.0,27.0
27,example,1,0,0.0,-770.0,28.9,-801.0,32.0
28,example,1,0,0.0,-857.0,28.9,-1116.0,14.9
29,example,1,0,0.0,-311.0,62.5,-1052.0,10.7
30,example,1,0,0.0,-941.0,22.1,-921.0,26.0
31,example,1,0,0.0,-727.0,19.0,-903.0,9.7
32,example,1,0,0.0,-837.0,23.9,-1033.0,13.2
33,example,1,0,0.0,-1578.0,18.1,-1387.0,37.0
34,example,1,0,0.0,-290.0,21.1,-528.0,3.2
35,example,1,0,0.0,-877.0,59.1,-1564.0,12.8
36,example,1,0,0.0,-464.0,18.2,-551.0,15.0
37,example,1,0,0.0,-444.0,27.5,-718.0,9.0
38,example,1,0,0.0,-1149.0,34.0,-1424.0,20.1
39,example,1,0,0.0,-459.0,23.3,-606.0,12.9
40,example,1,0,0.0,-515.0,34.4,-852.0,9.2
41,example,1,0,0.0,-353.0,43.2,-868.0,5.3
42,example,1,0,0.0,-2069.0,44.5,-2387.0,31.5
43,example,1,0,0.0,-887.0,42.7,-1263.0,20.9
44,example,1,0,0.0,-414.0,30.6,-772.0,5.0
45,example,1,0,0.0,-425.0,52.8,-889.0,21.5
46,example,1,0,0.0,-553.0,29.0,-887.0,7.2
47,example,1,0,0.0,-1015.0,33.9,-1283.0,20.7
48,example,1,0,0.0,-510.0,32.6,-745.0,14.8
49,example,1,0,0.0,-552.0,23.7,-549.0,23.5
50,example,1,0,0.0,-958.0,20.8,-1152.0,12.2
51,example,1,0,0.0,-712.0,42.5,-1154.0,10.3
52,example,1,0,0.0,-376.0,17.2,-554.0,7.1
53,example,1,0,0.0,-732.0,22.1,-775.0,20.9
54,example,1,0,0.0,-424.0,23.1,-631.0,8.7
55,example,1,0,0.0,-420.0,17.2,-498.0,12.9
56,example,1,0,0.0,-754.0,19.5,-893.0,15.9
57,example,1,0,0.0,-872.0,33.8,-1175.0,16.6
58,example,1,0,0.0,-497.0,11.6,-503.0,16.1
59,example,1,0,0.0,-290.0,22.3,-494.0,8.8
60,example,1,0,0.0,-655.0,32.5,-1027.0,8.6
61,example,1,0,0.0,-602.0,22.2,-849.0,8.2
62,example,1,0,0.0,-946.0,29.6,-1239.0,11.6
63,example,1,0,0.0,-489.0,53.0,-1080.0,9.5
64,example,1,0,0.0,-692.0,35.4,-1046.0,10.7
65,example,1,0,0.0,-313.0,35.0,-715.0,7.0
66,example,1,0,0.0,-500.0,29.4,-780.0,9.6
67,example,1,0,0.0,-498.0,18.0,-664.0,8.1
68,example,1,0,0.0,-403.0,32.1,-762.0,6.2
69,example,1,0,0.0,-652.0,48.4,-1176.0,9.6
70,example,1,0,0.0,-787.0,33.7,-1116.0,11.6
71,example,1,0,0.0,-358.0,20.3,-541.0,9.4
72,example,1,0,0.0,-775.0,27.0,-882.0,20.7
73,example,1,0,0.0,-444.0,27.2,-783.0,4.1
74,example,1,0,0.0,-326.0,40.7,-801.0,7.2
75,example,1,0,0.0,-873.0,35.1,-1053.0,24.3
76,example,1,0,0.0,-740.0,26.4,-917.0,15.5
77,example,1,0,0.0,-309.0,37.0,-729.0,6.1
78,example,1,0,0.0,-392.0,19.4,-588.0,5.0
79,example,1,0,0.0,-528.0,27.2,-860.0,7.0
80,example,1,0,0.0,-317.0,51.0,-888.0,7.9
81,example,1,0,0.0,-944.0,27.4,-1058.0,22.5
82,example,1,0,0.0,-603.0,19.0,-711.0,13.6
83,example,1,0,0.0,-827.0,28.4,-1141.0,9.7
84,example,1,0,0.0,-852.0,25.1,-966.0,20.5
85,example,1,0,0.0,-360.0,20.6,-519.0,10.2
86,example,1,0,0.0,-189.0,30.1,-539.0,3.9
87,example,1,0,0.0,-297.0,26.7,-534.0,10.3
88,example,1,0,0.0,-408.0,30.9,-718.0,9.9
89,example,1,0,0.0,-279.0,24.9,-486.0,11.6
90,example,1,0,0.0,-589.0,18.8,-743.0,9.5
91,example,1,0,0.0,-675.0,27.1,-924.0,11.3
92,example,1,0,0.0,-302.0,28.7,-638.0,5.8
93,example,1,0,0.0,-592.0,24.1,-821.0,9.6
94,example,1,0,0.0,-321.0,23.9,-616.0,4.2
95,example,1,0,0.0,-495.0,30.9,-780.0,12.4
96,example,1,0,0.0,-646.0,27.8,-901.0,13.1
