,Map,Shield,Grid,coll_train,acc_0_train,inter_0_train,acc_1_train,inter_1_train
2400,MIT,1,0,0.0,-4873.0,10.8,-4239.0,63.1
2401,MIT,1,0,0.0,-4808.0,15.4,-4779.0,22.8
2402,MIT,1,0,0.0,-5000.0,0.0,-4915.0,8.4
2403,MIT,1,0,0.0,-4930.0,5.0,-5000.0,4.0
2404,MIT,1,0,0.0,-4316.0,44.1,-4515.0,35.0
2405,MIT,1,0,0.0,-4713.0,22.6,-4470.0,46.1
2406,MIT,1,0,0.0,-4948.0,3.4,-5000.0,3.4
2407,MIT,1,0,0.0,-4312.0,49.3,-4792.0,14.8
2408,MIT,1,0,0.0,-4702.0,22.9,-5000.0,4.2
2409,MIT,1,0,0.0,-4394.0,36.4,-4448.0,38.2
2410,MIT,1,0,0.0,-4216.0,61.1,-5000.0,2.8
2411,MIT,1,0,0.0,-4544.0,33.6,-4856.0,12.4
2412,MIT,1,0,0.0,-4671.0,24.0,-4869.0,12.1
2413,MIT,1,0,0.0,-4147.0,65.1,-5000.0,3.3
2414,MIT,1,0,0.0,-4731.0,2.8,-4682.0,12.1
2415,MIT,1,0,0.0,-4602.0,11.5,-4523.0,19.4
2416,MIT,1,0,0.0,-4547.0,33.3,-4705.0,26.6
2417,MIT,1,0,0.0,-4516.0,35.4,-5000.0,4.2
2418,MIT,1,0,0.0,-4819.0,13.9,-4154.0,70.7
2419,MIT,1,0,0.0,-4259.0,35.3,-4194.0,43.2
2420,MIT,1,0,0.0,-4438.0,14.0,-4391.0,22.0
2421,MIT,1,0,0.0,-4580.0,30.2,-4362.0,51.9
2422,MIT,1,0,0.0,-4256.0,57.0,-4724.0,23.8
2423,MIT,1,0,0.0,-4889.0,7.8,-4399.0,46.7
2424,MIT,1,0,0.0,-4320.0,35.0,-4766.0,3.4
2425,MIT,1,0,0.0,-4685.0,10.8,-4650.0,17.3
2426,MIT,1,0,0.0,-4011.0,49.8,-4653.0,4.4
2427,MIT,1,0,0.0,-3297.0,96.0,-3888.0,53.3
2428,MIT,1,0,0.0,-4681.0,25.2,-4578.0,36.1
2429,MIT,1,0,0.0,-4640.0,26.6,-4731.0,20.9
2430,MIT,1,0,0.0,-4362.0,50.2,-4542.0,40.7
2431,MIT,1,0,0.0,-4575.0,32.0,-4673.0,29.4
2432,MIT,1,0,0.0,-4629.0,28.2,-4443.0,43.3
2433,MIT,1,0,0.0,-4388.0,39.4,-4200.0,58.7
2434,MIT,1,0,0.0,-3306.0,84.8,-4222.0,16.3
2435,MIT,1,0,0.0,-4446.0,23.3,-4155.0,48.1
2436,MIT,1,0,0.0,-2884.0,142.4,-4604.0,13.6
2437,MIT,1,0,0.0,-3968.0,57.1,-4519.0,21.4
2438,MIT,1,0,0.0,-4651.0,21.0,-4187.0,61.0
2439,MIT,1,0,0.0,-3884.0,71.2,-3867.0,72.5
2440,MIT,1,0,0.0,-4527.0,30.5,-4094.0,67.1
2441,MIT,1,0,0.0,-4298.0,41.5,-4388.0,37.8
2442,MIT,1,0,0.0,-4001.0,63.4,-4595.0,21.4
2443,MIT,1,0,0.0,-3206.0,92.8,-3684.0,55.9
2444,MIT,1,0,0.0,-3305.0,104.9,-3887.0,64.4
2445,MIT,1,0,0.0,-3473.0,45.6,-3258.0,66.5
2446,MIT,1,0,0.0,-3809.0,59.4,-3330.0,99.2
2447,MIT,1,0,0.0,-3405.0,103.2,-4023.0,56.6
2448,MIT,1,0,0.0,-3419.0,96.5,-4063.0,48.5
2449,MIT,1,0,0.0,-3799.0,41.8,-3796.0,44.9
2450,MIT,1,0,0.0,-3811.0,58.3,-4224.0,32.7
2451,MIT,1,0,0.0,-3887.0,39.0,-3933.0,38.4
2452,MIT,1,0,0.0,-3551.0,82.5,-4222.0,34.0
2453,MIT,1,0,0.0,-2862.0,60.3,-3322.0,27.2
2454,MIT,1,0,0.0,-3193.0,106.6,-3912.0,49.7
2455,MIT,1,0,0.0,-3213.0,61.8,-3408.0,48.9
2456,MIT,1,0,0.0,-3367.0,53.3,-3270.0,62.8
2457,MIT,1,0,0.0,-3411.0,78.6,-4212.0,21.6
2458,MIT,1,0,0.0,-3887.0,55.3,-4054.0,52.0
2459,MIT,1,0,0.0,-3215.0,39.9,-2925.0,66.4
2460,MIT,1,0,0.0,-3036.0,55.4,-3376.0,29.5
2461,MIT,1,0,0.0,-3942.0,25.1,-3156.0,90.3
2462,MIT,1,0,0.0,-3469.0,49.2,-3864.0,27.2
2463,MIT,1,0,0.0,-3582.0,30.0,-2514.0,115.6
2464,MIT,1,0,0.0,-3478.0,98.3,-3668.0,82.9
2465,MIT,1,0,0.0,-2797.0,49.7,-3105.0,29.9
2466,MIT,1,0,0.0,-2473.0,59.2,-2749.0,39.3
2467,MIT,1,0,0.0,-2949.0,66.1,-3677.0,13.9
2468,MIT,1,0,0.0,-3121.0,32.3,-2932.0,49.3
2469,MIT,1,0,0.0,-3207.0,96.4,-3797.0,49.2
2470,MIT,1,0,0.0,-2596.0,62.0,-3087.0,26.9
2471,MIT,1,0,0.0,-3135.0,24.3,-2668.0,62.5
2472,MIT,1,0,0.0,-2504.0,128.8,-3828.0,27.9
2473,MIT,1,0,0.0,-3148.0,51.0,-3072.0,58.8
2474,MIT,1,0,0.0,-2620.0,22.3,-2256.0,53.5
2475,MIT,1,0,0.0,-2733.0,46.4,-2938.0,35.1
2476,MIT,1,0,0.0,-2689.0,92.4,-3338.0,43.3
2477,MIT,1,0,0.0,-2562.0,130.7,-3487.0,60.5
2478,MIT,1,0,0.0,-2190.0,92.2,-3141.0,22.5
2479,MIT,1,0,0.0,-2375.0,54.5,-2399.0,51.8
2480,MIT,1,0,0.0,-2473.0,26.0,-2416.0,33.3
2481,MIT,1,0,0.0,-2527.0,83.5,-2860.0,60.1
2482,MIT,1,0,0.0,-3279.0,16.0,-2685.0,67.6
2483,MIT,1,0,0.0,-2514.0,51.3,-2603.0,48.9
2484,MIT,1,0,0.0,-2527.0,39.0,-2526.0,42.5
2485,MIT,1,0,0.0,-2182.0,80.0,-2982.0,24.2
2486,MIT,1,0,0.0,-2310.0,58.9,-2536.0,44.1
2487,MIT,1,0,0.0,-2170.0,26.1,-2072.0,35.0
2488,MIT,1,0,0.0,-2115.0,24.5,-1745.0,54.7
2489,MIT,1,0,0.0,-2248.0,49.8,-2462.0,37.6
2490,MIT,1,0,0.0,-2183.0,82.2,-2659.0,44.4
2491,MIT,1,0,0.0,-2638.0,61.6,-3098.0,28.1
2492,MIT,1,0,0.0,-2471.0,82.3,-2703.0,68.4
2493,MIT,1,0,0.0,-1874.0,43.1,-2093.0,28.6
2494,MIT,1,0,0.0,-2450.0,19.7,-2025.0,55.9
2495,MIT,1,0,0.0,-2092.0,34.9,-2236.0,25.2
2496,MIT,1,0,0.0,-2251.0,57.8,-2428.0,43.7
2497,MIT,1,0,0.0,-2785.0,56.5,-2813.0,58.9
2498,MIT,1,0,0.0,-2802.0,61.1,-2997.0,47.7
2499,MIT,1,0,0.0,-2092.0,49.3,-2497.0,20.5
2500,MIT,1,0,0.0,-2239.0,67.6,-2971.0,12.5
2501,MIT,1,0,0.0,-3226.0,18.5,-2386.0,87.9
2502,MIT,1,0,0.0,-1899.0,70.4,-2713.0,8.3
2503,MIT,1,0,0.0,-1831.0,16.1,-1550.0,39.3
2504,MIT,1,0,0.0,-1975.0,16.3,-1890.0,26.8
2505,MIT,1,0,0.0,-2334.0,15.9,-1757.0,61.8
2506,MIT,1,0,0.0,-2156.0,73.4,-3062.0,4.7
2507,MIT,1,0,0.0,-2301.0,41.2,-2202.0,55.7
2508,MIT,1,0,0.0,-1705.0,68.7,-2326.0,24.5
2509,MIT,1,0,0.0,-1732.0,68.4,-2386.0,15.3
2510,MIT,1,0,0.0,-1845.0,38.4,-1867.0,38.7
2511,MIT,1,0,0.0,-1830.0,74.5,-2484.0,29.1
2512,MIT,1,0,0.0,-1925.0,9.0,-1323.0,56.2
2513,MIT,1,0,0.0,-1721.0,68.6,-2227.0,29.7
2514,MIT,1,0,0.0,-1923.0,44.7,-2094.0,34.1
2515,MIT,1,0,0.0,-1675.0,75.8,-2271.0,33.3
2516,MIT,1,0,0.0,-1672.0,73.4,-2403.0,20.1
2517,MIT,1,0,0.0,-1584.0,55.6,-2160.0,12.7
2518,MIT,1,0,0.0,-1778.0,41.7,-1792.0,44.6
2519,MIT,1,0,0.0,-1787.0,51.1,-1944.0,42.4
2520,MIT,1,0,0.0,-2010.0,10.1,-1556.0,49.7
2521,MIT,1,0,0.0,-1694.0,38.0,-1967.0,16.8
2522,MIT,1,0,0.0,-1582.0,47.4,-2025.0,12.9
2523,MIT,1,0,0.0,-1401.0,47.8,-1958.0,4.7
2524,MIT,1,0,0.0,-1564.0,61.9,-2169.0,19.7
2525,MIT,1,0,0.0,-1683.0,75.2,-2581.0,8.2
2526,MIT,1,0,0.0,-1988.0,14.0,-1873.0,27.0
2527,MIT,1,0,0.0,-1357.0,57.7,-1906.0,16.7
2528,MIT,1,0,0.0,-1510.0,37.7,-1489.0,42.9
2529,MIT,1,0,0.0,-1350.0,41.3,-1545.0,28.2
2530,MIT,1,0,0.0,-1559.0,35.3,-1683.0,28.2
2531,MIT,1,0,0.0,-1780.0,16.3,-1468.0,40.5
2532,MIT,1,0,0.0,-1363.0,35.9,-1544.0,23.9
2533,MIT,1,0,0.0,-1341.0,30.3,-1408.0,25.1
2534,MIT,1,0,0.0,-1842.0,9.9,-1375.0,49.7
2535,MIT,1,0,0.0,-1594.0,44.2,-1781.0,32.2
2536,MIT,1,0,0.0,-1660.0,21.0,-1641.0,25.9
2537,MIT,1,0,0.0,-1393.0,53.4,-1827.0,20.6
2538,MIT,1,0,0.0,-1087.0,60.3,-1808.0,5.9
2539,MIT,1,0,0.0,-1526.0,47.3,-1620.0,40.7
2540,MIT,1,0,0.0,-1628.0,9.5,-1450.0,25.2
2541,MIT,1,0,0.0,-1501.0,40.3,-1575.0,34.8
2542,MIT,1,0,0.0,-1079.0,52.9,-1563.0,16.0
2543,MIT,1,0,0.0,-1811.0,27.5,-1512.0,53.2
2544,MIT,1,0,0.0,-1186.0,33.1,-1470.0,12.7
2545,MIT,1,0,0.0,-1269.0,40.1,-1487.0,28.0
2546,MIT,1,0,0.0,-1059.0,32.7,-1308.0,14.2
2547,MIT,1,0,0.0,-1466.0,13.5,-1317.0,26.8
2548,MIT,1,0,0.0,-1408.0,40.8,-1677.0,22.3
2549,MIT,1,0,0.0,-1640.0,2.9,-1112.0,46.3
2550,MIT,1,0,0.0,-1427.0,26.0,-1481.0,24.2
2551,MIT,1,0,0.0,-1357.0,20.7,-1223.0,33.0
2552,MIT,1,0,0.0,-932.0,38.4,-1243.0,16.4
2553,MIT,1,0,0.0,-1255.0,20.6,-1264.0,22.6
2554,MIT,1,0,0.0,-1138.0,25.2,-1265.0,17.5
2555,MIT,1,0,0.0,-1054.0,66.6,-1867.0,6.7
2556,MIT,1,0,0.0,-1100.0,31.6,-1358.0,12.9
2557,MIT,1,0,0.0,-1373.0,0.4,-837.0,42.7
2558,MIT,1,0,0.0,-1449.0,36.4,-1778.0,13.9
2559,MIT,1,0,0.0,-1270.0,34.1,-1394.0,28.1
2560,MIT,1,0,0.0,-1261.0,12.9,-1194.0,21.3
2561,MIT,1,0,0.0,-839.0,40.7,-1225.0,13.2
2562,MIT,1,0,0.0,-1092.0,36.1,-1312.0,20.3
2563,MIT,1,0,0.0,-1400.0,21.5,-1362.0,27.6
2564,MIT,1,0,0.0,-1192.0,21.2,-1294.0,16.6
2565,MIT,1,0,0.0,-1063.0,25.1,-1240.0,13.5
2566,MIT,1,0,0.0,-960.0,51.6,-1392.0,16.6
2567,MIT,1,0,0.0,-1142.0,27.4,-1307.0,18.0
2568,MIT,1,0,0.0,-1068.0,24.3,-1142.0,22.2
2569,MIT,1,0,0.0,-862.0,23.9,-1067.0,9.6
2570,MIT,1,0,0.0,-910.0,36.8,-1233.0,10.7
2571,MIT,1,0,0.0,-1283.0,21.4,-1203.0,29.8
2572,MIT,1,0,0.0,-1013.0,15.5,-1087.0,10.6
2573,MIT,1,0,0.0,-899.0,38.8,-1386.0,2.1
2574,MIT,1,0,0.0,-1121.0,12.6,-1127.0,13.7
2575,MIT,1,0,0.0,-940.0,27.5,-1176.0,9.6
2576,MIT,1,0,0.0,-1280.0,37.9,-1530.0,25.6
2577,MIT,1,0,0.0,-1073.0,20.0,-1079.0,19.4
2578,MIT,1,0,0.0,-1282.0,17.8,-1144.0,32.3
2579,MIT,1,0,0.0,-995.0,33.1,-1294.0,11.2
2580,MIT,1,0,0.0,-1149.0,32.8,-1403.0,16.0
2581,MIT,1,0,0.0,-936.0,43.0,-1473.0,4.1
2582,MIT,1,0,0.0,-1028.0,4.6,-716.0,32.0
2583,MIT,1,0,0.0,-836.0,36.7,-1271.0,5.3
2584,MIT,1,0,0.0,-823.0,25.7,-1082.0,7.1
2585,MIT,1,0,0.0,-1127.0,25.0,-1199.0,23.1
2586,MIT,1,0,0.0,-891.0,27.7,-1083.0,15.3
2587,MIT,1,0,0.0,-989.0,27.9,-1134.0,19.1
2588,MIT,1,0,0.0,-767.0,34.9,-1068.0,12.6
2589,MIT,1,0,0.0,-1012.0,27.3,-1259.0,7.4
