,Map,Shield,Grid,coll_train,acc_0_train,inter_0_train,acc_1_train,inter_1_train
1000,ISR,1,0,0.0,-2011.0,87.1,-2206.0,79.8
1001,ISR,1,0,0.0,-2535.0,100.1,-2592.0,94.4
1002,ISR,1,0,0.0,-2026.0,112.0,-2305.0,90.3
1003,ISR,1,0,0.0,-2091.0,80.5,-2879.0,22.4
1004,ISR,1,0,0.0,-2156.0,141.2,-3165.0,63.5
1005,ISR,1,0,0.0,-2951.0,29.9,-2209.0,90.7
1006,ISR,1,0,0.0,-2099.0,101.5,-2434.0,78.1
1007,ISR,1,0,0.0,-1936.0,39.7,-1694.0,59.0
1008,ISR,1,0,0.0,-1274.0,156.2,-2797.0,40.5
1009,ISR,1,0,0.0,-2780.0,58.0,-2094.0,115.3
1010,ISR,1,0,0.0,-900.0,96.4,-1628.0,42.5
1011,ISR,1,0,0.0,-2708.0,73.3,-2330.0,105.0
1012,ISR,1,0,0.0,-1022.0,70.1,-1406.0,42.9
1013,ISR,1,0,0.0,-1290.0,44.6,-883.0,78.3
1014,ISR,1,0,0.0,-1271.0,84.0,-1363.0,74.9
1015,ISR,1,0,0.0,-989.0,141.3,-2314.0,41.5
1016,ISR,1,0,0.0,-1760.0,79.1,-1948.0,65.1
1017,ISR,1,0,0.0,-2323.0,57.3,-1818.0,97.5
1018,ISR,1,0,0.0,-1942.0,93.4,-2782.0,33.3
1019,ISR,1,0,0.0,-1336.0,55.4,-1722.0,27.2
1020,ISR,1,0,0.0,-2681.0,76.3,-2394.0,100.5
1021,ISR,1,0,0.0,-2748.0,43.8,-1663.0,124.0
1022,ISR,1,0,0.0,-1326.0,82.3,-2098.0,21.8
1023,ISR,1,0,0.0,-1406.0,153.1,-2738.0,50.5
1024,ISR,1,0,0.0,-1493.0,103.0,-2366.0,34.8
1025,ISR,1,0,0.0,-2644.0,61.2,-2015.0,114.0
1026,ISR,1,0,0.0,-1344.0,92.4,-2124.0,33.4
1027,ISR,1,0,0.0,-1893.0,50.0,-1510.0,81.5
