,Map,Shield,Grid,coll_train,acc_0_train,inter_0_train,acc_1_train,inter_1_train
3000,MIT,1,0,0.0,-4614.0,28.0,-4718.0,25.5
3001,MIT,1,0,0.0,-4894.0,7.3,-4630.0,32.3
3002,MIT,1,0,0.0,-4942.0,3.9,-4926.0,7.7
3003,MIT,1,0,0.0,-4601.0,25.9,-4639.0,23.2
3004,MIT,1,0,0.0,-4959.0,0.0,-4443.0,41.5
3005,MIT,1,0,0.0,-4986.0,0.0,-4560.0,37.9
3006,MIT,1,0,0.0,-5000.0,0.1,-5000.0,1.6
3007,MIT,1,0,0.0,-4580.0,33.0,-5000.0,3.8
3008,MIT,1,0,0.0,-4211.0,42.3,-4650.0,13.3
3009,MIT,1,0,0.0,-4860.0,7.7,-4321.0,50.2
3010,MIT,1,0,0.0,-5000.0,0.0,-4758.0,18.7
3011,MIT,1,0,0.0,-4308.0,45.3,-4796.0,10.3
3012,MIT,1,0,0.0,-4881.0,9.4,-5000.0,7.0
3013,MIT,1,0,0.0,-4656.0,19.6,-4687.0,21.2
3014,MIT,1,0,0.0,-4922.0,4.9,-4660.0,27.9
3015,MIT,1,0,0.0,-4625.0,27.7,-4545.0,36.8
3016,MIT,1,0,0.0,-4279.0,32.4,-4682.0,5.7
3017,MIT,1,0,0.0,-4809.0,14.2,-4717.0,26.3
3018,MIT,1,0,0.0,-4647.0,26.4,-4488.0,41.5
3019,MIT,1,0,0.0,-4491.0,38.9,-4627.0,34.5
3020,MIT,1,0,0.0,-4948.0,4.2,-4708.0,24.4
3021,MIT,1,0,0.0,-4704.0,20.8,-5000.0,6.3
3022,MIT,1,0,0.0,-4211.0,49.8,-4512.0,26.1
3023,MIT,1,0,0.0,-3988.0,57.3,-4506.0,21.0
3024,MIT,1,0,0.0,-4615.0,28.6,-4010.0,80.1
3025,MIT,1,0,0.0,-4207.0,44.5,-4139.0,51.3
3026,MIT,1,0,0.0,-4764.0,8.5,-4391.0,44.7
3027,MIT,1,0,0.0,-4052.0,59.2,-4603.0,18.0
3028,MIT,1,0,0.0,-4111.0,68.8,-4931.0,7.2
3029,MIT,1,0,0.0,-4527.0,29.5,-4137.0,67.0
3030,MIT,1,0,0.0,-4237.0,34.9,-4692.0,6.9
3031,MIT,1,0,0.0,-4214.0,56.6,-4802.0,16.1
3032,MIT,1,0,0.0,-4157.0,58.3,-4557.0,38.0
3033,MIT,1,0,0.0,-4324.0,37.8,-4226.0,50.8
3034,MIT,1,0,0.0,-4526.0,29.5,-4233.0,59.8
3035,MIT,1,0,0.0,-4475.0,30.3,-4589.0,24.0
3036,MIT,1,0,0.0,-4230.0,37.0,-3837.0,67.2
3037,MIT,1,0,0.0,-3630.0,61.0,-3748.0,52.2
3038,MIT,1,0,0.0,-4320.0,45.6,-4495.0,38.7
3039,MIT,1,0,0.0,-4250.0,32.3,-3972.0,59.1
3040,MIT,1,0,0.0,-4181.0,49.9,-4860.0,2.1
3041,MIT,1,0,0.0,-4203.0,50.2,-3963.0,70.9
3042,MIT,1,0,0.0,-4090.0,58.5,-4570.0,27.2
3043,MIT,1,0,0.0,-4076.0,23.8,-4092.0,27.9
3044,MIT,1,0,0.0,-4243.0,41.8,-4065.0,62.5
3045,MIT,1,0,0.0,-3885.0,60.6,-4128.0,45.0
3046,MIT,1,0,0.0,-4354.0,19.6,-3343.0,101.4
3047,MIT,1,0,0.0,-3806.0,40.0,-4057.0,23.2
3048,MIT,1,0,0.0,-4205.0,19.1,-3579.0,72.1
3049,MIT,1,0,0.0,-4448.0,26.1,-3860.0,76.1
3050,MIT,1,0,0.0,-4270.0,15.3,-3708.0,62.7
3051,MIT,1,0,0.0,-4005.0,34.9,-3668.0,64.0
3052,MIT,1,0,0.0,-2973.0,74.8,-3878.0,9.5
3053,MIT,1,0,0.0,-3035.0,109.4,-4343.0,11.1
3054,MIT,1,0,0.0,-3712.0,65.3,-3971.0,50.9
3055,MIT,1,0,0.0,-3569.0,45.6,-3757.0,36.1
