,Map,Shield,Grid,coll_train,acc_0_train,inter_0_train,acc_1_train,inter_1_train
2000,Pentagon,1,0,0.0,-2681.0,47.8,-1872.0,112.2
2001,Pentagon,1,0,0.0,-3050.0,75.9,-2678.0,109.8
2002,Pentagon,1,0,0.0,-3784.0,14.4,-1054.0,228.6
2003,Pentagon,1,0,0.0,-3730.0,12.7,-1059.0,224.8
2004,Pentagon,1,0,0.0,-2852.0,69.6,-2039.0,133.4
2005,Pentagon,1,0,0.0,-3433.0,44.7,-2294.0,137.0
2006,Pentagon,1,0,0.0,-3073.0,39.6,-2245.0,102.3
2007,Pentagon,1,0,0.0,-3935.0,1.1,-2148.0,142.5
2008,Pentagon,1,0,0.0,-2078.0,50.9,-1608.0,88.0
2009,Pentagon,1,0,0.0,-3600.0,41.7,-2026.0,169.9
2010,Pentagon,1,0,0.0,-3028.0,42.3,-1407.0,165.3
2011,Pentagon,1,0,0.0,-3536.0,61.0,-2008.0,176.6
2012,Pentagon,1,0,0.0,-2721.0,53.2,-1058.0,185.3
2013,Pentagon,1,0,0.0,-2754.0,24.1,-1001.0,164.1
2014,Pentagon,1,0,0.0,-2241.0,47.0,-1382.0,116.1
2015,Pentagon,1,0,0.0,-3518.0,69.7,-2815.0,127.2
2016,Pentagon,1,0,0.0,-3593.0,56.8,-2403.0,152.8
2017,Pentagon,1,0,0.0,-2484.0,13.4,-963.0,132.1
2018,Pentagon,1,0,0.0,-3138.0,40.8,-2363.0,103.7
2019,Pentagon,1,0,0.0,-2959.0,48.9,-2419.0,97.9
2020,Pentagon,1,0,0.0,-2820.0,68.9,-2945.0,58.0
2021,Pentagon,1,0,0.0,-2745.0,60.1,-1970.0,117.4
2022,Pentagon,1,0,0.0,-2098.0,69.5,-1603.0,109.3
2023,Pentagon,1,0,0.0,-2529.0,50.1,-1772.0,112.3
2024,Pentagon,1,0,0.0,-2374.0,95.3,-2143.0,116.5
2025,Pentagon,1,0,0.0,-2946.0,45.7,-1960.0,127.1
2026,Pentagon,1,0,0.0,-2100.0,129.3,-2619.0,89.6
2027,Pentagon,1,0,0.0,-1323.0,94.4,-1985.0,47.8
2028,Pentagon,1,0,0.0,-4101.0,33.7,-1952.0,194.6
2029,Pentagon,1,0,0.0,-2211.0,37.3,-1361.0,109.5
2030,Pentagon,1,0,0.0,-2853.0,51.1,-1274.0,173.9
2031,Pentagon,1,0,0.0,-2535.0,4.5,-1038.0,123.9
2032,Pentagon,1,0,0.0,-2009.0,44.9,-1112.0,119.2
2033,Pentagon,1,0,0.0,-2020.0,51.9,-1380.0,106.2
2034,Pentagon,1,0,0.0,-2209.0,43.6,-1147.0,133.1
2035,Pentagon,1,0,0.0,-2471.0,42.6,-1021.0,159.7
2036,Pentagon,1,0,0.0,-1411.0,46.6,-1536.0,37.5
2037,Pentagon,1,0,0.0,-2290.0,59.3,-1454.0,123.6
2038,Pentagon,1,0,0.0,-1982.0,29.7,-1367.0,78.8
2039,Pentagon,1,0,0.0,-1522.0,101.6,-1797.0,79.0
2040,Pentagon,1,0,0.0,-2610.0,13.6,-1117.0,129.6
2041,Pentagon,1,0,0.0,-2645.0,31.7,-1518.0,118.5
2042,Pentagon,1,0,0.0,-2547.0,42.6,-1694.0,109.9
2043,Pentagon,1,0,0.0,-1280.0,54.6,-1402.0,43.0
2044,Pentagon,1,0,0.0,-1528.0,40.7,-827.0,96.7
2045,Pentagon,1,0,0.0,-2159.0,12.6,-715.0,124.6
2046,Pentagon,1,0,0.0,-2342.0,67.6,-1590.0,127.1
2047,Pentagon,1,0,0.0,-1305.0,92.2,-1794.0,54.4
2048,Pentagon,1,0,0.0,-2037.0,120.3,-2584.0,74.6
2049,Pentagon,1,0,0.0,-1635.0,71.6,-1750.0,62.5
2050,Pentagon,1,0,0.0,-2097.0,17.9,-1205.0,93.7
2051,Pentagon,1,0,0.0,-2665.0,35.0,-1351.0,137.4
2052,Pentagon,1,0,0.0,-1444.0,29.2,-815.0,76.5
2053,Pentagon,1,0,0.0,-1098.0,41.1,-936.0,54.2
2054,Pentagon,1,0,0.0,-1065.0,85.1,-1919.0,19.4
2055,Pentagon,1,0,0.0,-618.0,83.0,-1298.0,32.5
2056,Pentagon,1,0,0.0,-2166.0,9.9,-861.0,117.0
2057,Pentagon,1,0,0.0,-1667.0,54.2,-1550.0,66.6
2058,Pentagon,1,0,0.0,-2031.0,69.7,-1794.0,90.2
2059,Pentagon,1,0,0.0,-1178.0,43.3,-1193.0,42.3
2060,Pentagon,1,0,0.0,-1588.0,86.1,-1780.0,75.1
2061,Pentagon,1,0,0.0,-2061.0,47.5,-1103.0,124.1
2062,Pentagon,1,0,0.0,-1062.0,30.5,-990.0,37.2
2063,Pentagon,1,0,0.0,-1906.0,41.4,-1214.0,98.9
2064,Pentagon,1,0,0.0,-1394.0,28.2,-1054.0,57.5
2065,Pentagon,1,0,0.0,-1217.0,59.8,-1104.0,70.1
2066,Pentagon,1,0,0.0,-1564.0,28.2,-962.0,74.0
2067,Pentagon,1,0,0.0,-1528.0,45.4,-1384.0,57.0
2068,Pentagon,1,0,0.0,-1673.0,86.8,-1757.0,84.1
2069,Pentagon,1,0,0.0,-2194.0,27.3,-761.0,140.7
2070,Pentagon,1,0,0.0,-650.0,37.5,-737.0,31.3
2071,Pentagon,1,0,0.0,-1326.0,41.5,-1010.0,65.4
2072,Pentagon,1,0,0.0,-1472.0,46.5,-1170.0,69.9
2073,Pentagon,1,0,0.0,-774.0,27.5,-710.0,33.9
2074,Pentagon,1,0,0.0,-825.0,13.2,-502.0,39.5
2075,Pentagon,1,0,0.0,-1606.0,22.5,-844.0,82.6
2076,Pentagon,1,0,0.0,-1407.0,86.3,-1602.0,71.4
2077,Pentagon,1,0,0.0,-739.0,28.9,-678.0,33.1
2078,Pentagon,1,0,0.0,-1014.0,20.7,-678.0,47.0
2079,Pentagon,1,0,0.0,-1516.0,40.9,-1121.0,72.3
2080,Pentagon,1,0,0.0,-790.0,13.0,-385.0,44.1
2081,Pentagon,1,0,0.0,-949.0,58.0,-997.0,50.9
2082,Pentagon,1,0,0.0,-743.0,39.7,-733.0,42.5
2083,Pentagon,1,0,0.0,-1989.0,47.0,-1217.0,109.1
2084,Pentagon,1,0,0.0,-1999.0,5.4,-612.0,117.8
2085,Pentagon,1,0,0.0,-1205.0,25.6,-567.0,75.9
2086,Pentagon,1,0,0.0,-880.0,20.8,-754.0,34.0
2087,Pentagon,1,0,0.0,-1613.0,53.3,-903.0,105.5
2088,Pentagon,1,0,0.0,-1025.0,45.1,-885.0,57.8
2089,Pentagon,1,0,0.0,-483.0,25.1,-438.0,30.8
2090,Pentagon,1,0,0.0,-1415.0,17.6,-522.0,89.4
2091,Pentagon,1,0,0.0,-1210.0,51.3,-909.0,77.1
2092,Pentagon,1,0,0.0,-1113.0,46.1,-992.0,60.1
2093,Pentagon,1,0,0.0,-797.0,30.2,-716.0,39.8
2094,Pentagon,1,0,0.0,-2297.0,3.4,-514.0,146.9
2095,Pentagon,1,0,0.0,-1227.0,89.1,-1491.0,72.1
2096,Pentagon,1,0,0.0,-625.0,34.9,-598.0,33.7
2097,Pentagon,1,0,0.0,-636.0,49.1,-1201.0,6.3
2098,Pentagon,1,0,0.0,-798.0,65.0,-1306.0,24.4
2099,Pentagon,1,0,0.0,-789.0,28.6,-661.0,41.5
2100,Pentagon,1,0,0.0,-812.0,19.1,-822.0,22.3
2101,Pentagon,1,0,0.0,-941.0,62.8,-1342.0,33.2
2102,Pentagon,1,0,0.0,-951.0,33.9,-879.0,42.8
2103,Pentagon,1,0,0.0,-770.0,36.7,-995.0,21.9
2104,Pentagon,1,0,0.0,-869.0,6.9,-615.0,28.9
2105,Pentagon,1,0,0.0,-986.0,43.8,-877.0,54.1
2106,Pentagon,1,0,0.0,-528.0,12.6,-457.0,21.0
2107,Pentagon,1,0,0.0,-827.0,21.3,-610.0,42.4
2108,Pentagon,1,0,0.0,-514.0,15.3,-556.0,13.5
2109,Pentagon,1,0,0.0,-1112.0,18.1,-997.0,31.4
2110,Pentagon,1,0,0.0,-1003.0,60.3,-1225.0,43.8
2111,Pentagon,1,0,0.0,-667.0,33.1,-722.0,32.5
2112,Pentagon,1,0,0.0,-549.0,45.9,-710.0,30.7
2113,Pentagon,1,0,0.0,-664.0,35.3,-830.0,22.0
2114,Pentagon,1,0,0.0,-725.0,35.7,-955.0,19.0
2115,Pentagon,1,0,0.0,-1140.0,21.4,-808.0,48.6
2116,Pentagon,1,0,0.0,-837.0,23.2,-622.0,42.5
2117,Pentagon,1,0,0.0,-1471.0,17.4,-714.0,78.8
2118,Pentagon,1,0,0.0,-517.0,47.4,-751.0,29.2
2119,Pentagon,1,0,0.0,-400.0,36.3,-567.0,23.3
2120,Pentagon,1,0,0.0,-814.0,4.8,-439.0,38.0
2121,Pentagon,1,0,0.0,-1032.0,7.6,-655.0,38.9
2122,Pentagon,1,0,0.0,-336.0,32.0,-521.0,16.8
2123,Pentagon,1,0,0.0,-919.0,5.9,-479.0,42.0
2124,Pentagon,1,0,0.0,-379.0,36.3,-711.0,13.0
2125,Pentagon,1,0,0.0,-640.0,33.6,-713.0,29.7
2126,Pentagon,1,0,0.0,-611.0,37.3,-759.0,26.5
2127,Pentagon,1,0,0.0,-956.0,32.6,-982.0,33.8
2128,Pentagon,1,0,0.0,-450.0,50.3,-987.0,8.4
2129,Pentagon,1,0,0.0,-480.0,27.9,-645.0,16.0
2130,Pentagon,1,0,0.0,-845.0,17.2,-820.0,24.1
2131,Pentagon,1,0,0.0,-411.0,51.7,-997.0,7.2
2132,Pentagon,1,0,0.0,-552.0,21.0,-734.0,10.9
2133,Pentagon,1,0,0.0,-324.0,20.0,-396.0,14.6
2134,Pentagon,1,0,0.0,-385.0,57.2,-981.0,10.8
2135,Pentagon,1,0,0.0,-396.0,34.6,-632.0,16.3
2136,Pentagon,1,0,0.0,-347.0,15.5,-429.0,10.9
2137,Pentagon,1,0,0.0,-1083.0,17.6,-674.0,51.0
2138,Pentagon,1,0,0.0,-280.0,39.0,-684.0,7.9
2139,Pentagon,1,0,0.0,-613.0,7.7,-320.0,31.4
2140,Pentagon,1,0,0.0,-543.0,25.0,-762.0,9.3
2141,Pentagon,1,0,0.0,-344.0,13.4,-384.0,11.7
2142,Pentagon,1,0,0.0,-1005.0,17.8,-697.0,45.0
2143,Pentagon,1,0,0.0,-406.0,20.4,-429.0,20.8
2144,Pentagon,1,0,0.0,-361.0,19.5,-452.0,14.2
2145,Pentagon,1,0,0.0,-788.0,8.3,-357.0,45.6
2146,Pentagon,1,0,0.0,-549.0,22.6,-508.0,27.5
2147,Pentagon,1,0,0.0,-830.0,26.7,-566.0,51.3
2148,Pentagon,1,0,0.0,-417.0,15.1,-327.0,23.7
2149,Pentagon,1,0,0.0,-437.0,28.4,-597.0,16.5
2150,Pentagon,1,0,0.0,-372.0,31.5,-585.0,17.7
2151,Pentagon,1,0,0.0,-290.0,13.8,-357.0,9.8
2152,Pentagon,1,0,0.0,-455.0,14.5,-320.0,24.3
2153,Pentagon,1,0,0.0,-638.0,17.4,-471.0,33.0
2154,Pentagon,1,0,0.0,-463.0,9.8,-359.0,19.9
2155,Pentagon,1,0,0.0,-486.0,15.2,-409.0,23.3
2156,Pentagon,1,0,0.0,-823.0,22.3,-761.0,30.6
2157,Pentagon,1,0,0.0,-453.0,8.0,-333.0,18.5
2158,Pentagon,1,0,0.0,-365.0,7.0,-260.0,18.6
2159,Pentagon,1,0,0.0,-369.0,44.8,-773.0,14.1
2160,Pentagon,1,0,0.0,-290.0,30.3,-609.0,8.5
2161,Pentagon,1,0,0.0,-318.0,26.6,-619.0,7.6
2162,Pentagon,1,0,0.0,-410.0,8.5,-327.0,16.1
2163,Pentagon,1,0,0.0,-398.0,30.2,-551.0,19.1
2164,Pentagon,1,0,0.0,-415.0,25.6,-588.0,15.7
2165,Pentagon,1,0,0.0,-358.0,19.9,-473.0,11.8
2166,Pentagon,1,0,0.0,-501.0,12.1,-455.0,18.4
2167,Pentagon,1,0,0.0,-532.0,23.4,-600.0,18.8
2168,Pentagon,1,0,0.0,-333.0,22.5,-452.0,14.0
2169,Pentagon,1,0,0.0,-335.0,15.7,-431.0,10.5
2170,Pentagon,1,0,0.0,-321.0,10.5,-292.0,13.4
2171,Pentagon,1,0,0.0,-416.0,19.9,-579.0,10.0
2172,Pentagon,1,0,0.0,-426.0,35.5,-533.0,27.0
2173,Pentagon,1,0,0.0,-169.0,18.8,-360.0,6.3
2174,Pentagon,1,0,0.0,-243.0,13.7,-315.0,10.4
2175,Pentagon,1,0,0.0,-426.0,20.2,-570.0,10.9
2176,Pentagon,1,0,0.0,-491.0,4.7,-257.0,23.1
2177,Pentagon,1,0,0.0,-394.0,12.8,-355.0,16.9
2178,Pentagon,1,0,0.0,-436.0,30.3,-505.0,25.3
2179,Pentagon,1,0,0.0,-219.0,23.6,-444.0,8.0
2180,Pentagon,1,0,0.0,-513.0,18.3,-510.0,17.8
2181,Pentagon,1,0,0.0,-255.0,17.6,-375.0,11.5
2182,Pentagon,1,0,0.0,-341.0,10.8,-346.0,12.8
2183,Pentagon,1,0,0.0,-405.0,22.6,-516.0,16.1
2184,Pentagon,1,0,0.0,-493.0,9.9,-316.0,24.8
2185,Pentagon,1,0,0.0,-252.0,18.2,-409.0,7.7
2186,Pentagon,1,0,0.0,-370.0,8.7,-345.0,12.0
2187,Pentagon,1,0,0.0,-321.0,22.2,-557.0,6.6
2188,Pentagon,1,0,0.0,-312.0,17.0,-441.0,10.1
2189,Pentagon,1,0,0.0,-348.0,15.2,-390.0,15.2
2190,Pentagon,1,0,0.0,-229.0,8.1,-283.0,5.9
2191,Pentagon,1,0,0.0,-270.0,15.5,-372.0,9.5
2192,Pentagon,1,0,0.0,-310.0,12.9,-347.0,11.7
2193,Pentagon,1,0,0.0,-234.0,4.2,-202.0,8.9
2194,Pentagon,1,0,0.0,-236.0,15.4,-358.0,7.1
2195,Pentagon,1,0,0.0,-398.0,10.2,-384.0,11.9
2196,Pentagon,1,0,0.0,-314.0,20.3,-436.0,13.7
2197,Pentagon,1,0,0.0,-300.0,17.6,-470.0,6.5
2198,Pentagon,1,0,0.0,-264.0,8.7,-213.0,14.4
2199,Pentagon,1,0,0.0,-240.0,15.3,-335.0,9.7
2200,Pentagon,1,0,0.0,-107.0,20.0,-312.0,5.3
2201,Pentagon,1,0,0.0,-418.0,10.2,-285.0,22.3
2202,Pentagon,1,0,0.0,-228.0,11.0,-285.0,9.0
2203,Pentagon,1,0,0.0,-271.0,7.8,-204.0,15.8
2204,Pentagon,1,0,0.0,-215.0,19.2,-424.0,6.2
2205,Pentagon,1,0,0.0,-217.0,21.9,-459.0,4.4
2206,Pentagon,1,0,0.0,-229.0,11.0,-294.0,7.1
2207,Pentagon,1,0,0.0,-367.0,4.7,-213.0,18.4
2208,Pentagon,1,0,0.0,-262.0,12.8,-364.0,6.7
2209,Pentagon,1,0,0.0,-371.0,16.9,-526.0,8.0
2210,Pentagon,1,0,0.0,-421.0,4.7,-224.0,22.1
2211,Pentagon,1,0,0.0,-566.0,11.1,-558.0,14.5
