,Map,Shield,Grid,coll_train,acc_0_train,inter_0_train,acc_1_train,inter_1_train
4000,SUNY,1,0,0.0,-2835.0,123.7,-3415.0,78.6
4001,SUNY,1,0,0.0,-2955.0,124.9,-3845.0,60.7
4002,SUNY,1,0,0.0,-3600.0,26.8,-2836.0,90.2
4003,SUNY,1,0,0.0,-3707.0,96.4,-4034.0,79.8
4004,SUNY,1,0,0.0,-2996.0,88.0,-3627.0,41.6
4005,SUNY,1,0,0.0,-3386.0,22.5,-2410.0,103.3
4006,SUNY,1,0,0.0,-3899.0,37.0,-3625.0,66.7
4007,SUNY,1,0,0.0,-2569.0,116.4,-2621.0,118.0
4008,SUNY,1,0,0.0,-3241.0,117.9,-3482.0,101.7
4009,SUNY,1,0,0.0,-3564.0,64.0,-3306.0,85.2
4010,SUNY,1,0,0.0,-2816.0,129.5,-3097.0,111.7
4011,SUNY,1,0,0.0,-2877.0,79.8,-2604.0,102.3
4012,SUNY,1,0,0.0,-2320.0,83.7,-2618.0,61.5
4013,SUNY,1,0,0.0,-2583.0,62.6,-2715.0,52.4
4014,SUNY,1,0,0.0,-3115.0,117.7,-4139.0,37.1
4015,SUNY,1,0,0.0,-3080.0,60.4,-3471.0,32.2
4016,SUNY,1,0,0.0,-2664.0,142.5,-4329.0,15.7
4017,SUNY,1,0,0.0,-2410.0,134.6,-3407.0,61.4
4018,SUNY,1,0,0.0,-3954.0,38.8,-3374.0,83.1
4019,SUNY,1,0,0.0,-3394.0,69.1,-2617.0,130.7
4020,SUNY,1,0,0.0,-3337.0,68.1,-3751.0,39.3
4021,SUNY,1,0,0.0,-2099.0,143.7,-3567.0,33.9
4022,SUNY,1,0,0.0,-2118.0,155.2,-3520.0,43.5
4023,SUNY,1,0,0.0,-2447.0,122.3,-2956.0,87.6
4024,SUNY,1,0,0.0,-2071.0,84.2,-2399.0,58.4
4025,SUNY,1,0,0.0,-2586.0,73.3,-2774.0,62.9
4026,SUNY,1,0,0.0,-2398.0,73.2,-2372.0,76.7
4027,SUNY,1,0,0.0,-2853.0,65.3,-3140.0,47.6
4028,SUNY,1,0,0.0,-2632.0,67.4,-2263.0,92.9
4029,SUNY,1,0,0.0,-3437.0,58.2,-3167.0,83.0
4030,SUNY,1,0,0.0,-2478.0,41.8,-2535.0,42.3
4031,SUNY,1,0,0.0,-2857.0,43.9,-2883.0,43.5
4032,SUNY,1,0,0.0,-1494.0,143.9,-2882.0,37.2
4033,SUNY,1,0,0.0,-2637.0,51.2,-1886.0,115.0
4034,SUNY,1,0,0.0,-3133.0,23.2,-2105.0,105.2
