,Map,Shield,Grid,coll_train,acc_0_train,inter_0_train,acc_1_train,inter_1_train
0,example,1,0,0.0,-1108.0,52.1,-1428.0,30.2
1,example,1,0,0.0,-985.0,40.1,-1177.0,27.4
2,example,1,0,0.0,-519.0,48.2,-1011.0,11.9
3,example,1,0,0.0,-531.0,30.0,-813.0,12.1
4,example,1,0,0.0,-714.0,34.9,-965.0,15.6
5,example,1,0,0.0,-734.0,26.4,-892.0,19.6
6,example,1,0,0.0,-939.0,21.4,-1050.0,14.3
7,example,1,0,0.0,-644.0,19.4,-817.0,11.3
8,example,1,0,0.0,-787.0,19.6,-952.0,10.1
9,example,1,0,0.0,-843.0,20.9,-964.0,15.7
10,example,1,0,0.0,-652.0,30.6,-989.0,9.5
11,example,1,0,0.0,-975.0,28.1,-1262.0,13.9
12,example,1,0,0.0,-563.0,34.2,-852.0,15.1
13,example,1,0,0.0,-561.0,23.3,-774.0,9.5
14,example,1,0,0.0,-501.0,36.3,-916.0,6.2
15,example,1,0,0.0,-466.0,35.9,-767.0,14.6
16,example,1,0,0.0,-793.0,23.1,-1033.0,10.6
17,example,1,0,0.0,-491.0,43.5,-874.0,17.0
18,example,1,0,0.0,-909.0,37.6,-1194.0,18.0
19,example,1,0,0.0,-549.0,26.1,-798.0,9.9
20,example,1,0,0.0,-593.0,40.6,-1050.0,7.8
21,example,1,0,0.0,-860.0,36.1,-1017.0,24.1
22,example,1,0,0.0,-920.0,22.9,-996.0,21.1
23,example,1,0,0.0,-363.0,28.8,-679.0,6.9
24,example,1,0,0.0,-765.0,40.1,-1222.0,8.7
25,example,1,0,0.0,-680.0,18.3,-670.0,20.2
26,example,1,0,0.0,-964.0,31.9,-1254.0,18.1
27,example,1,0,0.0,-850.0,27.4,-959.0,22.6
28,example,1,0,0.0,-593.0,24.3,-863.0,7.9
29,example,1,0,0.0,-590.0,19.7,-621.0,20.7
30,example,1,0,0.0,-504.0,23.6,-764.0,5.3
31,example,1,0,0.0,-524.0,25.3,-823.0,6.4
32,example,1,0,0.0,-969.0,31.9,-1293.0,11.4
33,example,1,0,0.0,-681.0,30.1,-1016.0,6.3
34,example,1,0,0.0,-476.0,20.4,-654.0,8.1
