,Map,Shield,Grid,coll_train,acc_0_train,inter_0_train,acc_1_train,inter_1_train
1200,ISR,1,0,0.0,-1003.1,109.7,-1178.5,80.0
1201,ISR,1,0,0.0,-549.7,139.9,-872.5,77.9
1202,ISR,1,0,0.0,-952.4,73.5,-681.4,106.4
1203,ISR,1,0,0.0,-561.8,163.5,-1486.9,17.5
1204,ISR,1,0,0.0,-878.3,154.5,-1484.5,55.2
1205,ISR,1,0,0.0,-977.2,73.8,-1332.2,24.6
1206,ISR,1,0,0.0,-1032.6,147.5,-1495.3,78.5
1207,ISR,1,0,0.0,-975.1,64.1,-572.6,133.3
1208,ISR,1,0,0.0,-1467.1,32.8,-726.7,154.0
1209,ISR,1,0,0.0,-841.9,131.2,-1287.9,46.5
1210,ISR,1,0,0.0,-1033.9,59.2,-786.6,99.3
1211,ISR,1,0,0.0,-823.6,107.8,-1128.1,48.2
1212,ISR,1,0,0.0,-744.6,78.6,-937.8,39.2
1213,ISR,1,0,0.0,-1037.2,65.1,-491.9,150.1
1214,ISR,1,0,0.0,-1129.5,84.8,-811.3,128.9
1215,ISR,1,0,0.0,-975.8,104.0,-950.5,104.5
1216,ISR,1,0,0.0,-1054.3,76.0,-1033.1,91.8
1217,ISR,1,0,0.0,-483.6,203.4,-1280.5,75.1
1218,ISR,1,0,0.0,-884.0,59.2,-678.6,105.6
1219,ISR,1,0,0.0,-507.4,161.7,-1033.5,62.8
1220,ISR,1,0,0.0,-985.9,76.1,-1116.0,51.4
1221,ISR,1,0,0.0,-943.9,62.3,-579.1,127.6
1222,ISR,1,0,0.0,-870.9,93.5,-778.5,115.5
1223,ISR,1,0,0.0,-1019.0,79.2,-990.8,82.7
1224,ISR,1,0,0.0,-334.6,93.0,-593.5,34.6
1225,ISR,1,0,0.0,-355.6,105.8,-872.7,20.6
1226,ISR,1,0,0.0,-371.2,65.3,-406.2,60.8
1227,ISR,1,0,0.0,-462.0,118.8,-1025.3,21.0
1228,ISR,1,0,0.0,-833.4,67.8,-471.8,115.4
1229,ISR,1,0,0.0,-245.8,105.8,-691.2,19.2
1230,ISR,1,0,0.0,-433.1,136.4,-988.5,34.8
1231,ISR,1,0,0.0,-691.0,70.3,-796.9,44.0
1232,ISR,1,0,0.0,-633.0,51.0,-533.2,76.3
1233,ISR,1,0,0.0,-332.0,112.0,-800.9,25.3
1234,ISR,1,0,0.0,-309.2,118.1,-797.0,27.2
1235,ISR,1,0,0.0,-615.1,78.9,-743.5,53.1
1236,ISR,1,0,0.0,-464.5,156.4,-1261.4,15.1
1237,ISR,1,0,0.0,-802.8,40.1,-645.3,64.8
1238,ISR,1,0,0.0,-669.7,64.8,-436.9,92.1
1239,ISR,1,0,0.0,-699.1,42.2,-555.8,64.0
1240,ISR,1,0,0.0,-399.3,92.2,-639.7,39.5
1241,ISR,1,0,0.0,-488.8,115.8,-834.3,40.9
1242,ISR,1,0,0.0,-347.2,184.9,-1166.3,34.7
1243,ISR,1,0,0.0,-404.3,118.6,-1015.9,3.5
1244,ISR,1,0,0.0,-259.5,184.6,-1091.2,36.3
1245,ISR,1,0,0.0,-331.4,125.0,-854.4,31.8
1246,ISR,1,0,0.0,-693.2,60.1,-713.5,62.1
1247,ISR,1,0,0.0,-660.9,6.8,-139.7,102.9
1248,ISR,1,0,0.0,-631.4,63.6,-469.3,85.0
1249,ISR,1,0,0.0,-476.7,97.6,-872.1,28.2
1250,ISR,1,0,0.0,-989.5,109.6,-1095.1,74.1
1251,ISR,1,0,0.0,-239.5,72.1,-551.3,20.3
1252,ISR,1,0,0.0,-404.4,99.0,-642.5,49.4
