,Map,Shield,Grid,coll_train,acc_0_train,inter_0_train,acc_1_train,inter_1_train
3600,MIT,1,0,0.0,-2095.0,10.5,-2180.2,3.3
3601,MIT,1,0,0.0,-1925.7,30.1,-2138.0,9.7
3602,MIT,1,0,0.0,-1945.3,36.2,-2119.4,6.2
3603,MIT,1,0,0.0,-2042.7,7.0,-1959.7,29.8
3604,MIT,1,0,0.0,-1946.5,30.5,-2094.7,15.2
3605,MIT,1,0,0.0,-2120.8,5.3,-2239.9,8.6
3606,MIT,1,0,0.0,-2062.2,26.8,-2145.2,3.3
3607,MIT,1,0,0.0,-2044.1,18.7,-2187.0,5.9
3608,MIT,1,0,0.0,-2064.6,20.3,-2204.4,6.6
3609,MIT,1,0,0.0,-2041.1,23.0,-2111.6,10.1
3610,MIT,1,0,0.0,-2018.9,20.8,-2098.6,26.9
3611,MIT,1,0,0.0,-2162.5,2.8,-2154.2,10.7
3612,MIT,1,0,0.0,-2056.6,24.3,-2215.4,1.9
3613,MIT,1,0,0.0,-1997.0,20.0,-1998.2,24.9
3614,MIT,1,0,0.0,-2080.3,12.6,-2155.1,2.4
3615,MIT,1,0,0.0,-1995.4,2.3,-1936.4,28.7
3616,MIT,1,0,0.0,-2042.1,20.4,-2147.0,5.3
3617,MIT,1,0,0.0,-2151.0,3.4,-2003.0,19.3
3618,MIT,1,0,0.0,-1877.6,47.9,-2143.7,4.4
3619,MIT,1,0,0.0,-2022.0,15.8,-1993.3,21.0
3620,MIT,1,0,0.0,-1935.0,27.3,-1939.4,31.1
3621,MIT,1,0,0.0,-2018.1,15.1,-2165.6,11.8
3622,MIT,1,0,0.0,-1981.1,30.0,-2060.9,10.8
3623,MIT,1,0,0.0,-2047.1,4.8,-1874.4,48.7
3624,MIT,1,0,0.0,-2107.5,1.6,-2117.1,17.3
3625,MIT,1,0,0.0,-2149.7,0.0,-1967.8,38.9
3626,MIT,1,0,0.0,-1972.5,7.9,-2001.9,18.3
3627,MIT,1,0,0.0,-1732.5,49.6,-1972.8,16.3
3628,MIT,1,0,0.0,-1900.4,14.5,-1785.4,40.1
3629,MIT,1,0,0.0,-1686.0,72.9,-2018.4,11.2
3630,MIT,1,0,0.0,-1668.1,60.1,-1947.8,24.0
3631,MIT,1,0,0.0,-2047.1,1.1,-1989.3,30.9
3632,MIT,1,0,0.0,-1661.1,52.6,-1770.3,42.5
3633,MIT,1,0,0.0,-2110.5,2.0,-1943.3,25.8
3634,MIT,1,0,0.0,-1996.8,15.2,-1993.1,15.4
3635,MIT,1,0,0.0,-1924.0,30.6,-2018.3,12.4
3636,MIT,1,0,0.0,-1767.9,61.5,-1963.0,19.2
3637,MIT,1,0,0.0,-1792.0,34.9,-1791.2,35.6
3638,MIT,1,0,0.0,-1953.1,20.6,-1882.3,33.9
3639,MIT,1,0,0.0,-1416.7,104.6,-2002.3,2.7
3640,MIT,1,0,0.0,-1554.6,69.6,-1723.1,44.1
3641,MIT,1,0,0.0,-1957.3,5.3,-1692.5,48.2
3642,MIT,1,0,0.0,-1948.3,8.0,-1639.6,68.0
3643,MIT,1,0,0.0,-1934.4,11.1,-1901.1,25.7
3644,MIT,1,0,0.0,-1466.7,76.6,-1862.6,26.8
3645,MIT,1,0,0.0,-1751.9,34.6,-1794.0,41.4
3646,MIT,1,0,0.0,-1634.4,45.3,-1708.0,37.3
3647,MIT,1,0,0.0,-1654.1,60.6,-1892.2,25.0
3648,MIT,1,0,0.0,-1485.1,69.6,-1576.8,76.2
3649,MIT,1,0,0.0,-1820.5,46.6,-1940.2,25.0
3650,MIT,1,0,0.0,-1779.3,35.2,-1950.9,24.9
3651,MIT,1,0,0.0,-1546.5,68.6,-1902.3,19.1
3652,MIT,1,0,0.0,-1637.9,30.2,-1660.1,34.3
3653,MIT,1,0,0.0,-1578.3,66.0,-1738.1,54.2
3654,MIT,1,0,0.0,-1629.7,38.7,-1453.2,60.3
3655,MIT,1,0,0.0,-1655.9,45.7,-1585.6,64.4
3656,MIT,1,0,0.0,-1885.8,30.3,-1941.1,28.9
3657,MIT,1,0,0.0,-1570.9,57.0,-1768.5,26.6
3658,MIT,1,0,0.0,-1432.8,80.9,-1871.3,14.3
3659,MIT,1,0,0.0,-1613.9,57.4,-1972.2,5.7
3660,MIT,1,0,0.0,-1531.5,76.3,-1814.0,23.6
3661,MIT,1,0,0.0,-1707.2,51.3,-1794.7,43.0
3662,MIT,1,0,0.0,-1482.1,99.2,-1899.2,31.0
3663,MIT,1,0,0.0,-1446.2,76.6,-1819.8,3.8
3664,MIT,1,0,0.0,-1550.0,51.8,-1634.7,43.5
3665,MIT,1,0,0.0,-1382.4,39.6,-1306.7,52.4
3666,MIT,1,0,0.0,-1519.6,51.0,-1667.1,35.5
3667,MIT,1,0,0.0,-1670.6,32.3,-1739.2,28.4
3668,MIT,1,0,0.0,-1720.0,46.4,-1533.5,86.3
3669,MIT,1,0,0.0,-1555.8,61.2,-1702.0,29.3
3670,MIT,1,0,0.0,-1234.3,103.2,-1612.5,31.6
3671,MIT,1,0,0.0,-1817.6,15.2,-1671.0,53.5
3672,MIT,1,0,0.0,-1398.1,87.2,-1842.7,21.2
3673,MIT,1,0,0.0,-1366.1,50.9,-1498.3,31.1
3674,MIT,1,0,0.0,-1508.3,49.1,-1568.5,42.9
3675,MIT,1,0,0.0,-1343.7,64.7,-1685.6,5.5
3676,MIT,1,0,0.0,-1113.7,106.4,-1338.8,55.1
3677,MIT,1,0,0.0,-1533.3,62.2,-1636.0,53.6
3678,MIT,1,0,0.0,-1191.2,74.2,-1177.5,70.7
3679,MIT,1,0,0.0,-1205.5,89.5,-1362.4,54.0
3680,MIT,1,0,0.0,-1507.0,16.4,-1267.8,71.1
3681,MIT,1,0,0.0,-1197.3,68.4,-1480.6,14.9
3682,MIT,1,0,0.0,-1400.9,37.1,-1376.1,43.6
3683,MIT,1,0,0.0,-1126.5,79.7,-1488.4,18.9
3684,MIT,1,0,0.0,-1664.8,19.7,-1337.2,70.4
3685,MIT,1,0,0.0,-1317.5,72.3,-1320.0,73.0
3686,MIT,1,0,0.0,-1389.4,49.6,-1277.8,65.6
3687,MIT,1,0,0.0,-1620.9,31.5,-1458.7,69.5
3688,MIT,1,0,0.0,-1363.8,36.4,-1523.1,24.8
3689,MIT,1,0,0.0,-1010.2,95.5,-1502.9,17.9
3690,MIT,1,0,0.0,-894.8,74.2,-1169.8,26.5
3691,MIT,1,0,0.0,-935.9,90.2,-1078.0,60.3
3692,MIT,1,0,0.0,-1491.4,42.3,-1454.1,57.0
3693,MIT,1,0,0.0,-1134.4,89.5,-1470.9,31.4
3694,MIT,1,0,0.0,-1336.8,26.3,-1275.5,50.6
3695,MIT,1,0,0.0,-1066.3,78.7,-1139.3,75.2
3696,MIT,1,0,0.0,-1260.4,69.9,-1262.1,78.6
3697,MIT,1,0,0.0,-1206.7,51.4,-1359.5,25.9
3698,MIT,1,0,0.0,-1086.1,61.7,-1266.4,44.2
3699,MIT,1,0,0.0,-1237.1,61.6,-1346.3,47.1
3700,MIT,1,0,0.0,-1350.4,78.1,-1699.1,34.9
3701,MIT,1,0,0.0,-1435.8,41.6,-1449.2,29.3
3702,MIT,1,0,0.0,-1084.0,52.8,-1159.6,35.5
3703,MIT,1,0,0.0,-1091.1,50.1,-998.1,63.0
3704,MIT,1,0,0.0,-1164.4,61.3,-1321.3,26.3
3705,MIT,1,0,0.0,-1105.0,111.9,-1487.9,42.6
3706,MIT,1,0,0.0,-1180.6,73.6,-1287.1,53.6
3707,MIT,1,0,0.0,-1194.5,19.7,-1011.9,70.8
3708,MIT,1,0,0.0,-1353.2,21.2,-1123.0,74.5
3709,MIT,1,0,0.0,-1161.8,47.6,-992.6,82.1
3710,MIT,1,0,0.0,-845.5,76.5,-1018.6,25.6
3711,MIT,1,0,0.0,-948.2,92.6,-1091.1,68.3
3712,MIT,1,0,0.0,-770.5,125.9,-1312.4,23.3
3713,MIT,1,0,0.0,-1108.1,79.2,-1484.2,17.6
3714,MIT,1,0,0.0,-1182.3,29.4,-852.7,101.2
3715,MIT,1,0,0.0,-817.7,81.4,-1131.9,22.6
3716,MIT,1,0,0.0,-1052.3,76.2,-1219.1,52.6
3717,MIT,1,0,0.0,-1002.1,38.3,-898.9,57.0
3718,MIT,1,0,0.0,-1242.8,21.2,-898.0,100.7
3719,MIT,1,0,0.0,-827.8,95.5,-1200.8,31.7
3720,MIT,1,0,0.0,-670.0,90.3,-1100.2,24.9
3721,MIT,1,0,0.0,-939.8,64.6,-1004.2,55.2
3722,MIT,1,0,0.0,-803.4,63.7,-874.5,59.5
3723,MIT,1,0,0.0,-922.6,56.4,-948.6,48.2
3724,MIT,1,0,0.0,-747.5,41.7,-796.7,35.9
3725,MIT,1,0,0.0,-1032.4,41.2,-931.7,64.1
3726,MIT,1,0,0.0,-681.1,103.8,-965.1,50.1
3727,MIT,1,0,0.0,-737.1,34.2,-723.2,47.1
3728,MIT,1,0,0.0,-700.9,95.7,-1111.2,24.2
3729,MIT,1,0,0.0,-715.5,92.5,-1149.0,11.6
3730,MIT,1,0,0.0,-1011.5,29.8,-627.0,101.0
3731,MIT,1,0,0.0,-918.1,15.3,-639.7,65.7
3732,MIT,1,0,0.0,-718.5,110.3,-1228.2,19.0
3733,MIT,1,0,0.0,-918.6,52.6,-1158.9,7.3
3734,MIT,1,0,0.0,-1027.1,43.2,-811.0,89.4
3735,MIT,1,0,0.0,-872.3,75.9,-1026.0,38.0
3736,MIT,1,0,0.0,-679.2,98.3,-1091.3,31.7
3737,MIT,1,0,0.0,-711.4,76.3,-1101.5,6.3
3738,MIT,1,0,0.0,-1053.3,35.7,-1016.4,46.6
3739,MIT,1,0,0.0,-815.6,44.7,-875.9,35.2
3740,MIT,1,0,0.0,-871.3,62.0,-838.5,58.0
3741,MIT,1,0,0.0,-690.1,42.7,-686.0,40.9
3742,MIT,1,0,0.0,-647.3,74.4,-983.2,18.1
3743,MIT,1,0,0.0,-850.7,59.5,-1080.8,13.5
