,Map,Shield,Grid,coll_train,acc_0_train,inter_0_train,acc_1_train,inter_1_train
2400,Pentagon,1,0,0.0,-812.5,29.1,-505.1,101.7
2401,Pentagon,1,0,0.0,-1166.1,88.4,-950.2,152.9
2402,Pentagon,1,0,0.0,-1446.8,28.6,-903.9,139.6
2403,Pentagon,1,0,0.0,-1386.0,76.2,-1050.5,136.4
2404,Pentagon,1,0,0.0,-1509.8,2.7,-878.7,122.4
2405,Pentagon,1,0,0.0,-999.6,62.6,-948.7,90.7
2406,Pentagon,1,0,0.0,-1424.8,62.3,-969.1,157.3
2407,Pentagon,1,0,0.0,-1390.3,36.7,-1045.2,123.2
2408,Pentagon,1,0,0.0,-1026.1,50.6,-593.5,135.5
2409,Pentagon,1,0,0.0,-753.7,97.4,-1015.8,70.2
2410,Pentagon,1,0,0.0,-947.9,69.2,-850.3,101.0
2411,Pentagon,1,0,0.0,-1212.4,58.2,-1006.2,113.5
2412,Pentagon,1,0,0.0,-1291.5,58.1,-835.9,157.1
2413,Pentagon,1,0,0.0,-689.6,132.6,-1168.7,62.9
2414,Pentagon,1,0,0.0,-991.8,126.6,-850.7,152.7
2415,Pentagon,1,0,0.0,-807.8,80.9,-736.3,98.4
2416,Pentagon,1,0,0.0,-902.0,63.4,-663.4,118.4
2417,Pentagon,1,0,0.0,-1397.3,20.6,-357.6,216.6
2418,Pentagon,1,0,0.0,-1383.4,39.0,-1027.8,101.9
2419,Pentagon,1,0,0.0,-1047.5,99.7,-1192.8,85.0
2420,Pentagon,1,0,0.0,-1401.1,10.6,-665.5,158.2
2421,Pentagon,1,0,0.0,-948.3,93.6,-1027.9,95.6
2422,Pentagon,1,0,0.0,-1189.9,29.7,-598.8,141.5
2423,Pentagon,1,0,0.0,-1003.3,119.8,-1084.3,123.8
2424,Pentagon,1,0,0.0,-1285.2,32.3,-989.5,102.6
2425,Pentagon,1,0,0.0,-1035.6,80.6,-1184.9,80.0
2426,Pentagon,1,0,0.0,-1160.7,50.1,-987.0,92.7
2427,Pentagon,1,0,0.0,-1232.2,37.5,-909.4,116.4
2428,Pentagon,1,0,0.0,-958.7,62.9,-604.1,142.7
2429,Pentagon,1,0,0.0,-879.9,36.5,-540.8,99.9
2430,Pentagon,1,0,0.0,-836.9,11.6,-294.8,118.8
2431,Pentagon,1,0,0.0,-664.4,68.3,-456.5,109.0
2432,Pentagon,1,0,0.0,-825.2,68.5,-507.4,138.6
2433,Pentagon,1,0,0.0,-793.3,85.1,-990.7,53.1
2434,Pentagon,1,0,0.0,-981.0,110.2,-1016.3,105.0
2435,Pentagon,1,0,0.0,-820.8,66.4,-650.4,112.5
2436,Pentagon,1,0,0.0,-853.4,48.1,-562.3,114.3
2437,Pentagon,1,0,0.0,-862.6,37.7,-709.8,79.4
2438,Pentagon,1,0,0.0,-926.3,62.8,-495.1,146.3
2439,Pentagon,1,0,0.0,-927.5,39.9,-360.3,166.0
2440,Pentagon,1,0,0.0,-819.3,11.4,-508.5,80.8
2441,Pentagon,1,0,0.0,-484.7,77.0,-626.6,57.9
2442,Pentagon,1,0,0.0,-410.2,87.0,-673.8,51.1
2443,Pentagon,1,0,0.0,-727.3,16.8,-347.6,109.7
2444,Pentagon,1,0,0.0,-700.9,36.2,-449.4,90.7
2445,Pentagon,1,0,0.0,-606.7,75.5,-659.6,74.5
2446,Pentagon,1,0,0.0,-732.8,89.1,-874.2,80.0
2447,Pentagon,1,0,0.0,-515.3,77.7,-682.5,66.5
2448,Pentagon,1,0,0.0,-1117.1,5.1,-194.1,191.0
2449,Pentagon,1,0,0.0,-701.0,53.5,-490.6,112.5
2450,Pentagon,1,0,0.0,-298.2,89.3,-565.5,47.7
2451,Pentagon,1,0,0.0,-511.1,36.0,-340.0,71.0
2452,Pentagon,1,0,0.0,-578.9,48.6,-474.6,83.9
2453,Pentagon,1,0,0.0,-657.7,83.8,-640.1,96.1
2454,Pentagon,1,0,0.0,-766.8,52.6,-658.7,82.7
2455,Pentagon,1,0,0.0,-474.1,35.3,-333.3,64.4
2456,Pentagon,1,0,0.0,-532.5,86.3,-610.1,84.8
2457,Pentagon,1,0,0.0,-825.8,12.0,-478.3,90.5
2458,Pentagon,1,0,0.0,-618.2,12.9,-363.4,66.3
2459,Pentagon,1,0,0.0,-1196.8,11.7,-318.6,178.4
2460,Pentagon,1,0,0.0,-370.6,26.8,-216.3,68.1
2461,Pentagon,1,0,0.0,-640.4,48.7,-485.8,87.5
2462,Pentagon,1,0,0.0,-708.7,13.1,-219.6,112.1
2463,Pentagon,1,0,0.0,-663.0,29.5,-521.7,68.4
2464,Pentagon,1,0,0.0,-447.8,6.0,-93.6,78.7
2465,Pentagon,1,0,0.0,-385.3,37.0,-298.7,58.4
2466,Pentagon,1,0,0.0,-468.3,73.6,-438.0,89.9
2467,Pentagon,1,0,0.0,-514.0,15.1,-196.4,88.2
2468,Pentagon,1,0,0.0,-528.5,16.5,-176.0,96.2
2469,Pentagon,1,0,0.0,-472.8,35.7,-495.4,36.3
2470,Pentagon,1,0,0.0,-442.5,56.4,-439.1,81.8
2471,Pentagon,1,0,0.0,-804.9,15.7,-426.2,101.8
2472,Pentagon,1,0,0.0,-421.2,45.5,-267.8,84.4
2473,Pentagon,1,0,0.0,-587.4,42.4,-491.3,71.1
2474,Pentagon,1,0,0.0,-878.5,44.4,-436.0,138.7
2475,Pentagon,1,0,0.0,-459.9,25.8,-241.7,79.2
2476,Pentagon,1,0,0.0,-224.4,64.4,-383.8,35.7
2477,Pentagon,1,0,0.0,-149.1,94.8,-580.5,17.7
2478,Pentagon,1,0,0.0,-541.6,17.7,-170.0,97.2
2479,Pentagon,1,0,0.0,-224.0,53.3,-520.4,15.6
2480,Pentagon,1,0,0.0,-310.0,62.5,-465.9,31.6
2481,Pentagon,1,0,0.0,-321.9,71.8,-364.2,60.8
2482,Pentagon,1,0,0.0,-370.7,20.2,-274.3,45.1
2483,Pentagon,1,0,0.0,-328.1,20.1,-159.7,59.0
2484,Pentagon,1,0,0.0,-241.2,35.3,-214.0,49.6
2485,Pentagon,1,0,0.0,-423.5,14.9,-191.7,71.0
2486,Pentagon,1,0,0.0,-656.9,9.6,-125.8,121.9
2487,Pentagon,1,0,0.0,-302.7,35.3,-307.6,40.6
2488,Pentagon,1,0,0.0,-445.8,13.4,-141.1,79.5
2489,Pentagon,1,0,0.0,-116.8,42.9,-276.8,24.5
2490,Pentagon,1,0,0.0,-669.5,37.0,-463.6,86.8
2491,Pentagon,1,0,0.0,-422.2,21.6,-255.1,71.5
2492,Pentagon,1,0,0.0,-407.6,26.5,-202.7,78.2
2493,Pentagon,1,0,0.0,-296.0,37.9,-311.2,43.9
2494,Pentagon,1,0,0.0,-540.0,43.5,-550.4,57.1
2495,Pentagon,1,0,0.0,-209.8,41.6,-288.3,32.3
2496,Pentagon,1,0,0.0,-167.2,46.8,-245.2,28.5
2497,Pentagon,1,0,0.0,-179.1,17.6,-189.5,26.4
2498,Pentagon,1,0,0.0,-284.4,63.0,-409.7,47.3
2499,Pentagon,1,0,0.0,-388.9,15.8,-261.9,47.1
2500,Pentagon,1,0,0.0,-253.1,29.5,-310.0,22.8
2501,Pentagon,1,0,0.0,-229.6,21.7,-160.9,44.0
2502,Pentagon,1,0,0.0,-26.9,37.3,-200.7,8.7
2503,Pentagon,1,0,0.0,-305.9,83.9,-502.5,51.8
2504,Pentagon,1,0,0.0,-295.3,13.6,-153.2,42.9
2505,Pentagon,1,0,0.0,-380.5,22.5,-182.2,65.6
