,Map,Shield,Grid,coll_train,acc_0_train,inter_0_train,acc_1_train,inter_1_train
0,example,1,0,0.0,-338.5,30.8,-527.3,16.0
1,example,1,0,0.0,-141.4,58.5,-513.7,7.8
2,example,1,0,0.0,-320.6,29.1,-446.8,12.6
3,example,1,0,0.0,-370.2,43.5,-512.5,31.5
4,example,1,0,0.0,-403.3,57.7,-747.9,12.0
5,example,1,0,0.0,-326.4,39.7,-582.4,10.1
6,example,1,0,0.0,-351.9,47.4,-525.4,27.4
7,example,1,0,0.0,-272.4,51.3,-509.3,21.1
8,example,1,0,0.0,-278.3,22.8,-379.6,18.9
9,example,1,0,0.0,-200.5,63.5,-583.1,13.2
10,example,1,0,0.0,-129.8,27.0,-290.8,6.5
11,example,1,0,0.0,-342.2,36.1,-602.2,8.9
12,example,1,0,0.0,-250.5,38.0,-414.5,16.7
13,example,1,0,0.0,-392.6,19.5,-387.2,26.1
14,example,1,0,0.0,-248.3,25.4,-389.8,7.8
15,example,1,0,0.0,-263.1,25.6,-385.8,15.8
16,example,1,0,0.0,-584.5,44.8,-756.0,33.6
17,example,1,0,0.0,-237.1,53.0,-567.6,7.2
18,example,1,0,0.0,-198.3,27.7,-337.5,8.5
19,example,1,0,0.0,-377.9,51.3,-697.2,13.1
20,example,1,0,0.0,-329.1,14.0,-394.9,16.4
21,example,1,0,0.0,-53.1,26.7,-208.5,4.7
22,example,1,0,0.0,-57.1,35.4,-292.8,4.0
23,example,1,0,0.0,-99.5,43.8,-372.4,6.4
24,example,1,0,0.0,-364.8,33.1,-545.9,9.0
25,example,1,0,0.0,-277.1,61.9,-664.5,9.8
26,example,1,0,0.0,-369.4,32.2,-496.2,14.6
27,example,1,0,0.0,-386.6,25.2,-433.2,31.8
28,example,1,0,0.0,-296.3,17.2,-397.4,8.8
29,example,1,0,0.0,-222.7,18.0,-264.5,16.8
30,example,1,0,0.0,-167.9,29.8,-354.0,7.1
31,example,1,0,0.0,-340.6,16.9,-329.3,26.6
32,example,1,0,0.0,-235.1,19.8,-299.3,15.2
33,example,1,0,0.0,-262.3,28.4,-450.4,8.8
