,Map,Shield,Grid,coll_train,acc_0_train,inter_0_train,acc_1_train,inter_1_train
5200,SUNY,1,0,0.0,-1330.5,19.5,-1014.0,91.8
5201,SUNY,1,0,0.0,-1454.1,47.4,-1131.9,111.7
5202,SUNY,1,0,0.0,-1299.9,36.1,-681.4,158.5
5203,SUNY,1,0,0.0,-1229.9,69.2,-1049.0,83.1
5204,SUNY,1,0,0.0,-983.9,68.7,-1346.6,18.9
5205,SUNY,1,0,0.0,-1391.1,92.4,-1645.1,56.5
5206,SUNY,1,0,0.0,-1167.7,78.9,-986.8,134.4
5207,SUNY,1,0,0.0,-1369.5,95.3,-1097.6,139.9
5208,SUNY,1,0,0.0,-1284.0,58.0,-1488.1,37.9
5209,SUNY,1,0,0.0,-1159.2,54.3,-1310.6,33.7
5210,SUNY,1,0,0.0,-1103.9,80.5,-1318.6,48.7
5211,SUNY,1,0,0.0,-1467.8,47.9,-1499.6,55.4
5212,SUNY,1,0,0.0,-1350.6,21.4,-1009.4,91.1
5213,SUNY,1,0,0.0,-1301.2,83.8,-1319.3,94.3
5214,SUNY,1,0,0.0,-918.2,88.1,-1314.0,8.0
5215,SUNY,1,0,0.0,-891.5,120.9,-1302.6,44.8
5216,SUNY,1,0,0.0,-1063.4,26.0,-786.0,79.7
5217,SUNY,1,0,0.0,-1266.6,43.4,-863.5,118.2
5218,SUNY,1,0,0.0,-1188.1,35.0,-929.3,80.8
5219,SUNY,1,0,0.0,-1496.2,24.3,-1023.5,121.7
5220,SUNY,1,0,0.0,-1259.5,68.6,-1339.1,65.9
5221,SUNY,1,0,0.0,-1205.6,86.0,-1284.3,66.5
5222,SUNY,1,0,0.0,-970.2,39.6,-903.3,31.3
5223,SUNY,1,0,0.0,-1384.0,58.3,-1522.3,53.2
5224,SUNY,1,0,0.0,-1441.6,74.5,-1369.8,106.4
5225,SUNY,1,0,0.0,-1153.9,24.9,-787.0,117.4
5226,SUNY,1,0,0.0,-1027.9,83.9,-1159.0,77.0
5227,SUNY,1,0,0.0,-966.8,65.7,-1085.7,52.2
5228,SUNY,1,0,0.0,-1306.6,1.9,-415.3,175.5
5229,SUNY,1,0,0.0,-953.3,80.8,-1081.0,63.4
5230,SUNY,1,0,0.0,-1232.1,5.5,-749.1,96.6
5231,SUNY,1,0,0.0,-679.3,112.6,-1008.1,39.7
5232,SUNY,1,0,0.0,-676.8,160.5,-1284.2,52.3
5233,SUNY,1,0,0.0,-1305.6,44.6,-980.6,98.5
5234,SUNY,1,0,0.0,-851.7,75.0,-911.1,76.1
5235,SUNY,1,0,0.0,-861.8,79.8,-821.8,89.9
5236,SUNY,1,0,0.0,-1241.4,26.8,-806.4,129.7
5237,SUNY,1,0,0.0,-731.3,126.5,-1111.7,62.2
5238,SUNY,1,0,0.0,-806.1,34.3,-692.5,64.8
5239,SUNY,1,0,0.0,-979.7,63.2,-756.1,113.8
5240,SUNY,1,0,0.0,-743.0,108.4,-1038.3,46.0
5241,SUNY,1,0,0.0,-938.1,137.1,-1361.0,36.1
5242,SUNY,1,0,0.0,-633.6,65.6,-693.8,48.6
5243,SUNY,1,0,0.0,-900.4,31.6,-851.1,46.2
5244,SUNY,1,0,0.0,-847.8,36.2,-624.0,84.7
5245,SUNY,1,0,0.0,-511.4,112.4,-919.7,16.6
5246,SUNY,1,0,0.0,-945.0,82.3,-860.7,100.8
5247,SUNY,1,0,0.0,-598.5,99.2,-771.8,62.0
5248,SUNY,1,0,0.0,-550.3,65.1,-834.7,15.7
5249,SUNY,1,0,0.0,-1021.9,53.7,-814.9,93.5
5250,SUNY,1,0,0.0,-712.3,147.5,-1283.0,32.4
5251,SUNY,1,0,0.0,-505.5,91.4,-874.5,29.2
5252,SUNY,1,0,0.0,-414.6,125.1,-938.7,14.4
5253,SUNY,1,0,0.0,-917.2,50.3,-699.6,99.2
5254,SUNY,1,0,0.0,-765.5,76.1,-865.5,62.5
5255,SUNY,1,0,0.0,-704.6,94.2,-1058.2,33.0
5256,SUNY,1,0,0.0,-753.6,40.6,-544.0,67.9
5257,SUNY,1,0,0.0,-681.2,57.0,-667.2,67.0
5258,SUNY,1,0,0.0,-1121.9,19.8,-524.9,135.1
5259,SUNY,1,0,0.0,-922.1,54.6,-984.6,41.4
5260,SUNY,1,0,0.0,-838.2,48.5,-872.2,46.0
5261,SUNY,1,0,0.0,-346.6,102.2,-764.5,5.6
5262,SUNY,1,0,0.0,-803.4,56.8,-917.9,51.5
5263,SUNY,1,0,0.0,-931.2,90.0,-1012.5,56.8
5264,SUNY,1,0,0.0,-964.3,84.5,-823.5,91.3
5265,SUNY,1,0,0.0,-513.4,110.2,-961.8,24.8
