,Map,Shield,Grid,coll_train,acc_0_train,inter_0_train,acc_1_train,inter_1_train
0,example,1,0,0.0,-118.7,51.7,-428.4,7.5
1,example,1,0,0.0,-503.9,36.0,-672.5,21.7
2,example,1,0,0.0,-330.5,51.8,-684.9,8.7
3,example,1,0,0.0,-203.0,37.1,-402.7,14.7
4,example,1,0,0.0,-661.6,28.1,-760.7,14.9
5,example,1,0,0.0,-328.4,18.8,-406.5,14.2
6,example,1,0,0.0,-276.0,57.8,-636.4,11.7
7,example,1,0,0.0,-315.5,34.2,-536.0,9.7
8,example,1,0,0.0,-325.1,41.2,-519.7,17.2
9,example,1,0,0.0,-499.4,32.8,-549.8,28.6
10,example,1,0,0.0,-232.3,31.6,-414.4,7.7
11,example,1,0,0.0,-246.2,47.4,-508.5,6.2
12,example,1,0,0.0,-170.4,33.7,-352.0,11.9
13,example,1,0,0.0,-399.6,40.4,-697.8,11.8
14,example,1,0,0.0,-169.2,41.0,-365.6,16.1
15,example,1,0,0.0,-249.6,36.6,-446.1,9.4
16,example,1,0,0.0,-374.4,39.3,-487.0,26.1
17,example,1,0,0.0,-312.2,37.0,-369.3,32.2
18,example,1,0,0.0,-255.0,49.3,-517.0,18.2
19,example,1,0,0.0,-630.9,38.6,-763.5,28.3
20,example,1,0,0.0,-241.5,39.5,-440.1,7.5
21,example,1,0,0.0,-215.1,48.0,-492.6,8.7
22,example,1,0,0.0,-312.3,84.3,-819.1,16.7
23,example,1,0,0.0,-159.4,35.4,-363.5,6.5
24,example,1,0,0.0,-218.3,40.1,-490.8,7.5
25,example,1,0,0.0,-548.4,25.1,-764.1,14.5
26,example,1,0,0.0,-297.9,28.2,-416.1,16.0
27,example,1,0,0.0,-602.6,40.9,-830.2,19.5
28,example,1,0,0.0,-364.8,22.0,-407.9,14.8
29,example,1,0,0.0,-285.4,32.5,-478.7,9.0
30,example,1,0,0.0,-252.0,30.8,-405.9,15.4
31,example,1,0,0.0,-354.7,42.4,-561.3,11.5
32,example,1,0,0.0,-213.3,34.7,-453.2,10.6
33,example,1,0,0.0,-159.0,57.2,-556.7,5.0
34,example,1,0,0.0,-474.2,38.6,-616.1,21.2
35,example,1,0,0.0,-384.0,38.0,-624.5,13.8
36,example,1,0,0.0,-171.3,39.5,-373.7,11.4
37,example,1,0,0.0,-517.4,30.0,-582.7,29.5
38,example,1,0,0.0,-205.9,28.0,-337.2,13.2
39,example,1,0,0.0,-222.3,23.2,-366.5,12.0
40,example,1,0,0.0,-290.1,46.1,-528.9,12.6
41,example,1,0,0.0,-72.8,21.3,-197.0,3.4
42,example,1,0,0.0,-141.2,26.2,-265.3,13.2
43,example,1,0,0.0,-239.0,17.6,-329.5,7.4
44,example,1,0,0.0,-140.4,37.3,-385.8,5.9
45,example,1,0,0.0,-137.5,40.2,-383.7,6.5
46,example,1,0,0.0,-273.2,36.2,-420.3,21.7
47,example,1,0,0.0,-314.4,32.4,-474.6,21.5
48,example,1,0,0.0,-67.6,25.8,-257.8,5.6
49,example,1,0,0.0,-211.3,49.7,-531.8,7.4
50,example,1,0,0.0,-356.7,19.5,-409.0,19.2
51,example,1,0,0.0,-145.4,35.9,-375.4,7.2
52,example,1,0,0.0,-338.4,34.7,-529.0,14.3
53,example,1,0,0.0,-270.0,35.5,-459.4,7.4
54,example,1,0,0.0,-223.7,7.2,-119.0,27.0
55,example,1,0,0.0,-485.7,43.5,-680.9,20.8
56,example,1,0,0.0,-171.5,49.7,-448.8,10.4
57,example,1,0,0.0,-218.7,25.9,-335.6,10.1
58,example,1,0,0.0,-130.7,31.4,-283.3,14.0
59,example,1,0,0.0,-375.7,40.5,-577.7,12.9
60,example,1,0,0.0,-427.4,29.5,-612.6,26.0
61,example,1,0,0.0,-190.3,24.9,-297.1,9.0
62,example,1,0,0.0,-457.9,17.4,-485.5,21.1
63,example,1,0,0.0,-53.9,30.1,-228.1,6.2
64,example,1,0,0.0,-171.2,44.6,-458.9,7.1
65,example,1,0,0.0,-180.2,33.7,-325.2,17.3
66,example,1,0,0.0,-187.9,22.6,-343.0,7.5
67,example,1,0,0.0,-171.5,20.1,-317.6,5.8
68,example,1,0,0.0,-518.1,25.9,-611.9,22.5
69,example,1,0,0.0,-153.9,33.5,-393.5,6.4
70,example,1,0,0.0,-132.0,19.5,-227.9,9.0
71,example,1,0,0.0,-125.0,19.8,-213.2,8.5
72,example,1,0,0.0,-224.4,13.9,-298.5,9.9
73,example,1,0,0.0,-225.8,28.0,-418.1,11.8
74,example,1,0,0.0,-151.0,20.5,-271.0,4.7
75,example,1,0,0.0,-232.2,25.0,-355.9,11.5
76,example,1,0,0.0,-454.5,15.6,-506.1,20.0
77,example,1,0,0.0,-139.6,21.0,-273.5,6.8
78,example,1,0,0.0,-36.5,27.2,-223.5,2.4
79,example,1,0,0.0,-181.2,40.4,-425.4,7.0
80,example,1,0,0.0,-150.0,39.0,-365.0,8.4
81,example,1,0,0.0,-296.5,36.8,-506.2,17.9
82,example,1,0,0.0,-104.6,16.5,-205.0,5.1
83,example,1,0,0.0,-85.4,27.1,-253.4,5.6
84,example,1,0,0.0,-154.0,32.7,-333.2,12.4
85,example,1,0,0.0,-121.1,28.6,-234.3,11.2
86,example,1,0,0.0,-193.6,33.1,-428.7,8.5
87,example,1,0,0.0,-200.1,36.9,-363.5,11.0
88,example,1,0,0.0,-153.0,46.2,-445.2,8.4
89,example,1,0,0.0,-220.3,33.0,-322.0,24.2
90,example,1,0,0.0,-270.2,34.6,-467.4,15.3
91,example,1,0,0.0,-215.5,40.6,-473.4,6.9
92,example,1,0,0.0,-171.7,40.1,-400.4,11.0
93,example,1,0,0.0,-188.7,23.4,-284.1,13.4
94,example,1,0,0.0,-241.2,29.1,-376.2,8.4
