,Map,Shield,Grid,coll_train,acc_0_train,inter_0_train,acc_1_train,inter_1_train
7200,SUNY,1,0,0.0,-1265.1,42.2,-1333.9,32.4
7201,SUNY,1,0,0.0,-1341.9,42.0,-1048.8,103.1
7202,SUNY,1,0,0.0,-1040.1,131.1,-1429.1,38.9
7203,SUNY,1,0,0.0,-1283.3,88.9,-1554.8,22.1
7204,SUNY,1,0,0.0,-1475.8,79.5,-1163.6,137.7
7205,SUNY,1,0,0.0,-1165.1,82.3,-1371.4,30.4
7206,SUNY,1,0,0.0,-716.7,129.6,-1215.1,50.6
7207,SUNY,1,0,0.0,-1022.4,60.4,-879.6,92.9
7208,SUNY,1,0,0.0,-1241.3,67.5,-1174.8,76.0
7209,SUNY,1,0,0.0,-1500.6,68.5,-1530.7,75.1
7210,SUNY,1,0,0.0,-1116.0,87.0,-868.1,134.1
7211,SUNY,1,0,0.0,-1380.5,58.7,-1116.8,114.7
7212,SUNY,1,0,0.0,-1408.2,74.6,-1304.4,103.0
7213,SUNY,1,0,0.0,-1254.5,36.5,-1115.1,77.9
7214,SUNY,1,0,0.0,-1242.2,37.7,-1095.1,61.0
7215,SUNY,1,0,0.0,-923.8,118.0,-1269.8,62.0
7216,SUNY,1,0,0.0,-1458.0,50.3,-1186.8,95.2
7217,SUNY,1,0,0.0,-1262.3,34.5,-978.2,116.5
7218,SUNY,1,0,0.0,-1255.6,72.5,-1398.2,58.4
7219,SUNY,1,0,0.0,-1398.0,33.5,-979.6,107.9
7220,SUNY,1,0,0.0,-1009.5,150.9,-1340.6,71.5
7221,SUNY,1,0,0.0,-1081.4,34.0,-931.6,62.9
7222,SUNY,1,0,0.0,-928.3,77.8,-1052.1,47.7
7223,SUNY,1,0,0.0,-944.5,23.0,-853.0,53.3
7224,SUNY,1,0,0.0,-1187.8,88.2,-1454.6,47.8
7225,SUNY,1,0,0.0,-1040.0,126.3,-1195.9,87.5
7226,SUNY,1,0,0.0,-1135.9,97.0,-1523.9,29.8
7227,SUNY,1,0,0.0,-1093.6,40.7,-1052.2,62.8
7228,SUNY,1,0,0.0,-1235.7,49.5,-1072.8,83.7
7229,SUNY,1,0,0.0,-1046.6,58.6,-846.7,103.5
7230,SUNY,1,0,0.0,-1159.9,66.7,-1082.3,67.3
7231,SUNY,1,0,0.0,-731.1,160.7,-1455.2,9.1
7232,SUNY,1,0,0.0,-882.5,101.4,-1086.8,62.4
7233,SUNY,1,0,0.0,-996.6,56.6,-932.6,91.0
7234,SUNY,1,0,0.0,-1033.0,68.8,-1249.4,33.1
7235,SUNY,1,0,0.0,-918.5,92.3,-1149.6,66.8
7236,SUNY,1,0,0.0,-1373.2,28.1,-739.3,162.2
7237,SUNY,1,0,0.0,-1398.0,43.2,-1021.0,128.8
7238,SUNY,1,0,0.0,-1056.1,86.7,-993.6,109.0
7239,SUNY,1,0,0.0,-1292.3,89.5,-1183.2,96.5
7240,SUNY,1,0,0.0,-965.5,117.7,-1348.7,42.3
7241,SUNY,1,0,0.0,-1195.8,28.1,-627.3,146.2
7242,SUNY,1,0,0.0,-891.1,101.1,-1081.9,52.4
7243,SUNY,1,0,0.0,-1371.2,1.4,-436.4,193.9
7244,SUNY,1,0,0.0,-930.7,10.3,-587.4,95.8
7245,SUNY,1,0,0.0,-989.1,49.8,-883.3,73.8
7246,SUNY,1,0,0.0,-1241.1,11.5,-515.7,168.5
7247,SUNY,1,0,0.0,-808.3,67.8,-982.6,29.3
7248,SUNY,1,0,0.0,-1110.1,82.8,-1119.1,82.4
7249,SUNY,1,0,0.0,-1149.4,72.2,-1289.4,54.2
7250,SUNY,1,0,0.0,-1113.2,81.1,-904.4,112.1
7251,SUNY,1,0,0.0,-1064.1,120.5,-1298.4,80.7
7252,SUNY,1,0,0.0,-1089.2,87.3,-1231.6,51.4
7253,SUNY,1,0,0.0,-1335.2,63.4,-1136.7,116.1
7254,SUNY,1,0,0.0,-994.6,42.2,-839.0,65.9
7255,SUNY,1,0,0.0,-820.6,118.7,-1178.5,39.3
7256,SUNY,1,0,0.0,-1097.9,66.2,-712.5,154.4
7257,SUNY,1,0,0.0,-1005.1,22.6,-859.0,55.5
7258,SUNY,1,0,0.0,-866.5,35.0,-551.5,92.8
7259,SUNY,1,0,0.0,-451.6,180.3,-1187.8,29.2
7260,SUNY,1,0,0.0,-822.0,50.5,-786.3,68.0
7261,SUNY,1,0,0.0,-881.7,58.1,-730.0,103.9
7262,SUNY,1,0,0.0,-881.7,77.3,-1157.6,22.5
7263,SUNY,1,0,0.0,-1051.5,33.6,-806.6,85.6
7264,SUNY,1,0,0.0,-619.1,78.1,-854.4,37.7
7265,SUNY,1,0,0.0,-1005.2,95.6,-1037.4,100.9
7266,SUNY,1,0,0.0,-770.4,79.4,-697.7,102.4
7267,SUNY,1,0,0.0,-1528.5,18.8,-869.5,151.4
7268,SUNY,1,0,0.0,-682.2,134.6,-1058.4,58.9
7269,SUNY,1,0,0.0,-1117.1,59.5,-824.2,112.9
7270,SUNY,1,0,0.0,-804.0,95.9,-841.5,96.5
7271,SUNY,1,0,0.0,-790.1,61.3,-759.7,67.9
7272,SUNY,1,0,0.0,-613.4,99.0,-840.9,58.8
7273,SUNY,1,0,0.0,-850.0,66.6,-702.3,101.2
7274,SUNY,1,0,0.0,-529.3,102.8,-886.5,34.9
7275,SUNY,1,0,0.0,-588.8,53.8,-716.0,21.1
7276,SUNY,1,0,0.0,-637.4,103.9,-957.1,39.3
7277,SUNY,1,0,0.0,-787.0,51.7,-501.2,113.4
7278,SUNY,1,0,0.0,-810.9,50.0,-628.0,91.2
7279,SUNY,1,0,0.0,-887.1,17.0,-378.8,131.5
7280,SUNY,1,0,0.0,-505.5,44.9,-629.2,23.9
7281,SUNY,1,0,0.0,-680.7,60.3,-674.1,60.2
7282,SUNY,1,0,0.0,-333.5,91.2,-676.9,36.6
7283,SUNY,1,0,0.0,-616.9,65.3,-635.4,62.4
7284,SUNY,1,0,0.0,-419.1,97.3,-805.7,20.7
7285,SUNY,1,0,0.0,-766.3,61.2,-1056.5,22.7
7286,SUNY,1,0,0.0,-803.9,62.1,-974.8,45.1
7287,SUNY,1,0,0.0,-621.5,41.2,-722.6,39.2
7288,SUNY,1,0,0.0,-1061.9,60.6,-560.5,151.7
7289,SUNY,1,0,0.0,-497.1,65.5,-634.3,31.8
7290,SUNY,1,0,0.0,-577.5,121.9,-978.7,35.3
7291,SUNY,1,0,0.0,-469.4,68.9,-581.5,43.2
7292,SUNY,1,0,0.0,-571.7,118.0,-1000.3,46.1
7293,SUNY,1,0,0.0,-730.1,84.8,-781.1,66.9
7294,SUNY,1,0,0.0,-976.8,52.2,-724.2,120.3
7295,SUNY,1,0,0.0,-453.6,41.1,-505.9,30.9
7296,SUNY,1,0,0.0,-463.8,50.8,-595.2,35.0
7297,SUNY,1,0,0.0,-557.4,29.9,-455.9,68.0
7298,SUNY,1,0,0.0,-948.3,29.4,-494.4,124.0
7299,SUNY,1,0,0.0,-315.9,72.6,-540.5,17.6
7300,SUNY,1,0,0.0,-549.9,112.8,-753.7,73.5
7301,SUNY,1,0,0.0,-714.2,31.8,-663.0,47.0
7302,SUNY,1,0,0.0,-641.3,29.1,-368.7,99.3
7303,SUNY,1,0,0.0,-435.5,59.4,-671.0,25.2
7304,SUNY,1,0,0.0,-416.4,44.2,-514.3,26.6
7305,SUNY,1,0,0.0,-895.3,33.2,-581.2,113.2
7306,SUNY,1,0,0.0,-582.5,127.6,-780.3,78.1
7307,SUNY,1,0,0.0,-595.8,59.3,-679.0,43.4
7308,SUNY,1,0,0.0,-423.5,112.4,-733.0,36.9
7309,SUNY,1,0,0.0,-559.2,117.3,-993.6,36.2
7310,SUNY,1,0,0.0,-421.6,48.4,-516.8,34.0
7311,SUNY,1,0,0.0,-871.6,35.0,-679.7,63.7
7312,SUNY,1,0,0.0,-676.5,51.2,-553.3,99.0
7313,SUNY,1,0,0.0,-773.8,98.5,-970.3,73.5
7314,SUNY,1,0,0.0,-670.7,79.1,-899.4,60.4
7315,SUNY,1,0,0.0,-630.1,79.6,-743.1,65.1
7316,SUNY,1,0,0.0,-603.4,31.6,-431.6,68.3
7317,SUNY,1,0,0.0,-550.9,58.9,-534.7,55.3
7318,SUNY,1,0,0.0,-450.3,30.5,-442.0,26.7
7319,SUNY,1,0,0.0,-517.9,52.8,-420.0,66.5
7320,SUNY,1,0,0.0,-706.4,44.3,-618.7,72.1
7321,SUNY,1,0,0.0,-493.3,85.0,-865.7,17.5
7322,SUNY,1,0,0.0,-524.6,60.5,-601.4,50.4
7323,SUNY,1,0,0.0,-724.5,14.1,-419.3,75.2
7324,SUNY,1,0,0.0,-643.9,43.7,-607.3,66.3
