,Map,Shield,Grid,coll_train,acc_0_train,inter_0_train,acc_1_train,inter_1_train
1900,ISR,1,0,0.0,-1292.3,139.3,-1637.8,80.6
1901,ISR,1,0,0.0,-780.5,80.8,-959.6,61.3
1902,ISR,1,0,0.0,-1323.7,98.2,-1195.6,99.0
1903,ISR,1,0,0.0,-782.1,41.5,-673.7,54.1
1904,ISR,1,0,0.0,-939.7,41.3,-417.7,125.2
1905,ISR,1,0,0.0,-673.5,161.2,-1507.6,15.5
1906,ISR,1,0,0.0,-970.1,136.4,-1211.6,102.7
1907,ISR,1,0,0.0,-232.3,160.1,-1058.5,15.4
1908,ISR,1,0,0.0,-468.2,110.0,-816.9,52.7
1909,ISR,1,0,0.0,-492.9,48.0,-572.3,38.3
1910,ISR,1,0,0.0,-1013.2,108.8,-1060.2,91.3
1911,ISR,1,0,0.0,-1508.1,73.9,-1628.2,59.6
1912,ISR,1,0,0.0,-1409.1,120.9,-1363.3,125.8
1913,ISR,1,0,0.0,-398.2,169.8,-1142.8,48.7
1914,ISR,1,0,0.0,-1079.1,56.4,-1236.5,47.1
1915,ISR,1,0,0.0,-562.8,87.9,-730.3,42.8
1916,ISR,1,0,0.0,-607.0,124.6,-930.8,56.5
1917,ISR,1,0,0.0,-595.7,108.1,-996.7,33.2
1918,ISR,1,0,0.0,-1573.4,33.8,-1185.9,106.4
1919,ISR,1,0,0.0,-633.2,111.0,-1149.2,20.7
1920,ISR,1,0,0.0,-736.2,88.5,-596.2,116.2
1921,ISR,1,0,0.0,-559.0,127.0,-1004.8,45.8
1922,ISR,1,0,0.0,-889.4,4.6,-440.7,76.9
1923,ISR,1,0,0.0,-534.9,64.6,-518.8,53.4
1924,ISR,1,0,0.0,-686.8,75.0,-721.8,67.8
1925,ISR,1,0,0.0,-925.0,84.6,-1033.4,64.0
1926,ISR,1,0,0.0,-434.3,89.5,-879.5,11.7
1927,ISR,1,0,0.0,-441.9,108.8,-791.2,32.5
1928,ISR,1,0,0.0,-622.3,143.0,-1008.6,73.0
1929,ISR,1,0,0.0,-867.4,63.7,-803.3,68.2
1930,ISR,1,0,0.0,-201.8,109.2,-693.0,12.8
1931,ISR,1,0,0.0,-848.1,74.0,-962.2,55.4
1932,ISR,1,0,0.0,-1147.7,77.1,-961.3,92.0
1933,ISR,1,0,0.0,-508.2,98.5,-657.9,72.9
1934,ISR,1,0,0.0,-990.3,50.7,-608.9,117.6
1935,ISR,1,0,0.0,-424.7,118.6,-904.1,41.5
1936,ISR,1,0,0.0,-925.6,56.3,-677.3,95.6
1937,ISR,1,0,0.0,-1507.2,45.4,-737.5,173.6
1938,ISR,1,0,0.0,-1099.7,104.2,-1033.6,133.2
1939,ISR,1,0,0.0,-549.4,98.1,-677.6,69.1
1940,ISR,1,0,0.0,-394.2,103.0,-728.6,35.1
1941,ISR,1,0,0.0,-579.5,96.5,-730.5,58.5
1942,ISR,1,0,0.0,-772.4,84.8,-747.9,88.7
1943,ISR,1,0,0.0,-731.3,60.7,-549.7,89.7
1944,ISR,1,0,0.0,-757.6,150.7,-1342.6,42.8
1945,ISR,1,0,0.0,-802.1,61.2,-552.5,99.9
1946,ISR,1,0,0.0,-203.1,72.1,-445.4,23.2
1947,ISR,1,0,0.0,-471.5,47.2,-422.7,56.6
1948,ISR,1,0,0.0,-804.1,118.4,-1001.3,79.3
1949,ISR,1,0,0.0,-980.0,57.1,-322.4,161.2
1950,ISR,1,0,0.0,-552.7,126.8,-870.0,82.3
1951,ISR,1,0,0.0,-421.1,169.5,-1159.7,46.8
1952,ISR,1,0,0.0,-668.8,102.4,-753.8,74.5
1953,ISR,1,0,0.0,-382.3,142.8,-1038.3,23.7
1954,ISR,1,0,0.0,-435.3,153.4,-1163.9,34.5
1955,ISR,1,0,0.0,-540.9,119.3,-866.3,64.5
1956,ISR,1,0,0.0,-651.3,50.0,-645.3,56.0
1957,ISR,1,0,0.0,-563.5,135.3,-1028.8,54.2
1958,ISR,1,0,0.0,-1020.7,36.9,-328.7,137.3
1959,ISR,1,0,0.0,-311.0,101.6,-779.8,15.0
1960,ISR,1,0,0.0,-522.8,107.2,-968.7,25.2
1961,ISR,1,0,0.0,-684.2,63.3,-647.4,60.2
1962,ISR,1,0,0.0,-575.3,40.8,-391.2,70.3
1963,ISR,1,0,0.0,-355.5,132.0,-798.9,62.5
1964,ISR,1,0,0.0,-584.3,46.4,-576.3,51.5
1965,ISR,1,0,0.0,-265.8,110.9,-699.0,31.7
1966,ISR,1,0,0.0,-479.8,69.5,-480.7,63.4
1967,ISR,1,0,0.0,-359.9,113.5,-731.5,47.1
1968,ISR,1,0,0.0,-436.0,96.2,-643.2,66.6
1969,ISR,1,0,0.0,-808.6,39.9,-628.2,80.7
1970,ISR,1,0,0.0,-487.1,85.5,-846.6,24.4
1971,ISR,1,0,0.0,-421.9,45.5,-364.9,53.8
1972,ISR,1,0,0.0,-302.7,103.6,-671.8,36.4
