,Map,Shield,Grid,coll_train,acc_0_train,inter_0_train,acc_1_train,inter_1_train
5700,MIT,1,0,0.0,-1994.3,6.8,-2008.5,9.9
5701,MIT,1,0,0.0,-2041.1,26.9,-2159.6,2.7
5702,MIT,1,0,0.0,-2017.5,19.8,-2140.8,4.7
5703,MIT,1,0,0.0,-2201.9,0.1,-2006.9,29.0
5704,MIT,1,0,0.0,-2107.2,6.8,-2212.5,14.3
5705,MIT,1,0,0.0,-2204.2,0.5,-2182.1,1.2
5706,MIT,1,0,0.0,-2042.0,16.6,-2181.2,3.1
5707,MIT,1,0,0.0,-1945.7,36.4,-2043.1,29.9
5708,MIT,1,0,0.0,-2091.8,17.5,-2257.8,6.9
5709,MIT,1,0,0.0,-2193.8,0.6,-2206.4,3.2
5710,MIT,1,0,0.0,-2228.9,0.1,-1832.4,57.7
5711,MIT,1,0,0.0,-2151.1,8.0,-1993.4,33.6
5712,MIT,1,0,0.0,-2214.5,1.2,-1964.4,44.2
5713,MIT,1,0,0.0,-2231.6,0.5,-2126.9,20.9
5714,MIT,1,0,0.0,-1918.3,35.7,-1917.0,33.4
5715,MIT,1,0,0.0,-2153.3,1.3,-2041.7,25.4
5716,MIT,1,0,0.0,-2194.4,13.9,-2102.5,16.8
5717,MIT,1,0,0.0,-2165.9,0.4,-2107.4,21.1
5718,MIT,1,0,0.0,-2200.8,3.1,-1884.5,43.4
5719,MIT,1,0,0.0,-2176.7,0.1,-2040.8,34.4
5720,MIT,1,0,0.0,-1970.4,37.1,-2026.2,19.3
5721,MIT,1,0,0.0,-2117.1,1.6,-1974.5,32.2
5722,MIT,1,0,0.0,-2077.1,13.0,-2040.0,19.8
5723,MIT,1,0,0.0,-2005.3,14.6,-1938.8,31.2
5724,MIT,1,0,0.0,-1911.4,34.5,-2130.8,2.5
5725,MIT,1,0,0.0,-1884.7,55.3,-2021.7,33.8
5726,MIT,1,0,0.0,-2167.7,0.0,-2122.1,11.1
5727,MIT,1,0,0.0,-2078.3,14.2,-2060.6,13.5
5728,MIT,1,0,0.0,-1970.9,38.3,-2092.2,8.8
5729,MIT,1,0,0.0,-2167.7,0.0,-1928.0,31.4
5730,MIT,1,0,0.0,-2149.7,0.2,-2015.1,24.6
5731,MIT,1,0,0.0,-1888.5,39.3,-2070.8,11.8
5732,MIT,1,0,0.0,-1944.1,29.7,-2148.3,13.4
5733,MIT,1,0,0.0,-2124.9,18.1,-1748.3,58.8
5734,MIT,1,0,0.0,-2078.9,15.1,-2030.7,23.0
5735,MIT,1,0,0.0,-1829.6,46.7,-2117.1,4.5
5736,MIT,1,0,0.0,-2041.6,25.5,-2220.8,4.5
5737,MIT,1,0,0.0,-1721.5,72.6,-2154.1,3.0
5738,MIT,1,0,0.0,-2154.8,5.9,-1894.2,51.3
5739,MIT,1,0,0.0,-1841.0,38.5,-2050.3,8.5
5740,MIT,1,0,0.0,-1655.3,42.8,-1905.1,21.8
5741,MIT,1,0,0.0,-1820.9,17.8,-1668.8,48.0
5742,MIT,1,0,0.0,-1915.8,41.2,-2042.0,10.1
5743,MIT,1,0,0.0,-2006.6,12.7,-2007.3,16.8
5744,MIT,1,0,0.0,-1814.8,28.1,-1961.4,8.5
5745,MIT,1,0,0.0,-1977.6,21.1,-1949.2,28.1
5746,MIT,1,0,0.0,-1873.1,37.5,-2033.8,8.8
5747,MIT,1,0,0.0,-1874.9,29.4,-2116.4,7.9
