,Map,Shield,Grid,coll_train,acc_0_train,inter_0_train,acc_1_train,inter_1_train
4000,Pentagon,1,0,0.0,-1613.6,48.9,-1137.3,149.8
4001,Pentagon,1,0,0.0,-1025.8,59.1,-933.0,86.9
4002,Pentagon,1,0,0.0,-660.2,55.1,-727.2,48.4
4003,Pentagon,1,0,0.0,-1192.0,56.5,-1020.9,101.1
4004,Pentagon,1,0,0.0,-1320.7,63.0,-838.6,154.4
4005,Pentagon,1,0,0.0,-1261.2,29.8,-540.2,169.0
4006,Pentagon,1,0,0.0,-1280.3,59.1,-1111.2,98.5
4007,Pentagon,1,0,0.0,-1359.7,1.3,-845.0,112.6
4008,Pentagon,1,0,0.0,-1664.8,14.3,-772.9,181.5
4009,Pentagon,1,0,0.0,-1246.1,43.9,-733.7,155.3
4010,Pentagon,1,0,0.0,-610.0,90.0,-713.1,81.0
4011,Pentagon,1,0,0.0,-1373.2,46.1,-1144.1,97.2
4012,Pentagon,1,0,0.0,-1474.2,71.4,-1359.0,104.4
4013,Pentagon,1,0,0.0,-1473.0,25.1,-794.1,150.6
4014,Pentagon,1,0,0.0,-1074.3,64.2,-858.5,122.9
4015,Pentagon,1,0,0.0,-1218.0,66.7,-687.5,161.7
4016,Pentagon,1,0,0.0,-1535.2,24.7,-988.1,126.9
4017,Pentagon,1,0,0.0,-887.7,74.2,-946.2,76.3
4018,Pentagon,1,0,0.0,-1196.2,52.4,-975.4,111.3
4019,Pentagon,1,0,0.0,-1180.9,70.9,-752.5,147.0
4020,Pentagon,1,0,0.0,-1668.7,0.7,-620.0,193.8
4021,Pentagon,1,0,0.0,-1465.6,23.5,-560.6,210.5
4022,Pentagon,1,0,0.0,-1439.0,60.8,-977.8,156.9
4023,Pentagon,1,0,0.0,-736.6,55.4,-827.3,63.7
4024,Pentagon,1,0,0.0,-1189.3,63.5,-1010.4,111.1
4025,Pentagon,1,0,0.0,-935.4,38.7,-754.0,91.5
4026,Pentagon,1,0,0.0,-1693.7,1.1,-1036.6,154.7
4027,Pentagon,1,0,0.0,-1011.1,131.1,-1321.7,92.7
4028,Pentagon,1,0,0.0,-1165.3,48.1,-879.7,109.0
4029,Pentagon,1,0,0.0,-1195.3,38.0,-558.0,149.4
4030,Pentagon,1,0,0.0,-1041.5,15.4,-678.2,92.8
4031,Pentagon,1,0,0.0,-1085.4,65.8,-708.9,135.9
4032,Pentagon,1,0,0.0,-1077.9,53.8,-757.4,122.0
4033,Pentagon,1,0,0.0,-891.6,43.0,-947.8,54.4
4034,Pentagon,1,0,0.0,-1343.5,33.4,-956.1,119.3
4035,Pentagon,1,0,0.0,-1165.9,17.1,-541.1,144.4
4036,Pentagon,1,0,0.0,-1321.5,33.7,-872.3,133.6
4037,Pentagon,1,0,0.0,-1112.0,52.9,-824.4,119.1
4038,Pentagon,1,0,0.0,-980.6,35.3,-812.3,85.8
4039,Pentagon,1,0,0.0,-812.8,66.7,-742.3,87.4
