,Map,Shield,Grid,coll_train,acc_0_train,inter_0_train,acc_1_train,inter_1_train
2000,Pentagon,1,0,0.0,-2629.0,55.1,-2173.0,90.5
2001,Pentagon,1,0,0.0,-2617.0,105.1,-2778.0,96.5
2002,Pentagon,1,0,0.0,-3761.0,20.7,-1688.0,180.8
2003,Pentagon,1,0,0.0,-2878.0,87.1,-3122.0,69.2
2004,Pentagon,1,0,0.0,-3775.0,9.5,-1814.0,164.2
2005,Pentagon,1,0,0.0,-3283.0,31.8,-1937.0,140.5
2006,Pentagon,1,0,0.0,-3758.0,21.0,-2230.0,139.8
2007,Pentagon,1,0,0.0,-2938.0,113.8,-2915.0,116.7
2008,Pentagon,1,0,0.0,-2343.0,125.3,-2583.0,103.5
2009,Pentagon,1,0,0.0,-3555.0,69.7,-2383.0,166.0
2010,Pentagon,1,0,0.0,-3611.0,15.6,-1808.0,154.5
2011,Pentagon,1,0,0.0,-3158.0,80.9,-1885.0,179.9
2012,Pentagon,1,0,0.0,-2230.0,14.8,-989.0,114.6
2013,Pentagon,1,0,0.0,-2372.0,24.3,-1029.0,133.0
2014,Pentagon,1,0,0.0,-1997.0,101.6,-1723.0,122.5
2015,Pentagon,1,0,0.0,-2274.0,37.9,-865.0,147.2
2016,Pentagon,1,0,0.0,-2880.0,4.7,-1008.0,154.1
2017,Pentagon,1,0,0.0,-2925.0,65.1,-1806.0,151.0
2018,Pentagon,1,0,0.0,-3269.0,60.7,-1725.0,181.8
2019,Pentagon,1,0,0.0,-1503.0,176.0,-3216.0,46.1
2020,Pentagon,1,0,0.0,-2393.0,56.0,-1563.0,119.6
2021,Pentagon,1,0,0.0,-2707.0,90.0,-2111.0,133.3
2022,Pentagon,1,0,0.0,-2402.0,30.9,-1708.0,86.6
2023,Pentagon,1,0,0.0,-3244.0,11.4,-840.0,200.6
2024,Pentagon,1,0,0.0,-1918.0,42.3,-1868.0,49.9
2025,Pentagon,1,0,0.0,-2893.0,64.4,-2161.0,125.9
2026,Pentagon,1,0,0.0,-3658.0,20.6,-1393.0,197.9
2027,Pentagon,1,0,0.0,-2868.0,70.8,-2526.0,97.9
2028,Pentagon,1,0,0.0,-2680.0,103.8,-2943.0,81.8
2029,Pentagon,1,0,0.0,-2875.0,80.7,-2648.0,102.2
2030,Pentagon,1,0,0.0,-1905.0,90.0,-1738.0,105.6
2031,Pentagon,1,0,0.0,-3547.0,17.9,-1674.0,167.3
2032,Pentagon,1,0,0.0,-1523.0,70.1,-2281.0,14.0
2033,Pentagon,1,0,0.0,-2391.0,51.3,-1422.0,127.5
2034,Pentagon,1,0,0.0,-844.0,25.4,-615.0,42.8
2035,Pentagon,1,0,0.0,-1937.0,4.8,-521.0,114.6
2036,Pentagon,1,0,0.0,-1896.0,52.0,-1575.0,75.8
2037,Pentagon,1,0,0.0,-2424.0,23.9,-1063.0,129.6
2038,Pentagon,1,0,0.0,-1545.0,48.0,-1295.0,70.0
2039,Pentagon,1,0,0.0,-1821.0,39.6,-1572.0,60.2
2040,Pentagon,1,0,0.0,-2118.0,62.5,-1828.0,88.0
2041,Pentagon,1,0,0.0,-2747.0,24.8,-1243.0,138.5
2042,Pentagon,1,0,0.0,-1353.0,73.7,-1647.0,49.9
2043,Pentagon,1,0,0.0,-1605.0,62.4,-1904.0,44.1
2044,Pentagon,1,0,0.0,-1405.0,16.7,-931.0,56.4
2045,Pentagon,1,0,0.0,-2199.0,19.2,-1208.0,99.3
2046,Pentagon,1,0,0.0,-1315.0,49.2,-1397.0,45.7
2047,Pentagon,1,0,0.0,-2258.0,69.1,-2151.0,81.0
2048,Pentagon,1,0,0.0,-1835.0,45.3,-1138.0,103.5
2049,Pentagon,1,0,0.0,-1654.0,10.5,-694.0,89.4
2050,Pentagon,1,0,0.0,-1405.0,72.7,-1317.0,81.5
2051,Pentagon,1,0,0.0,-1943.0,38.8,-922.0,118.2
2052,Pentagon,1,0,0.0,-1934.0,14.2,-693.0,113.6
2053,Pentagon,1,0,0.0,-1528.0,26.0,-1040.0,67.3
2054,Pentagon,1,0,0.0,-2418.0,2.7,-555.0,149.9
2055,Pentagon,1,0,0.0,-2135.0,23.6,-1316.0,90.4
2056,Pentagon,1,0,0.0,-1088.0,82.3,-1616.0,42.1
2057,Pentagon,1,0,0.0,-1864.0,65.0,-1577.0,90.7
2058,Pentagon,1,0,0.0,-1112.0,69.2,-1586.0,29.6
2059,Pentagon,1,0,0.0,-1632.0,36.1,-1109.0,76.1
2060,Pentagon,1,0,0.0,-2366.0,7.2,-1503.0,75.6
2061,Pentagon,1,0,0.0,-1498.0,59.2,-1440.0,65.5
2062,Pentagon,1,0,0.0,-1944.0,58.3,-1971.0,60.6
2063,Pentagon,1,0,0.0,-1003.0,46.2,-898.0,55.9
2064,Pentagon,1,0,0.0,-2228.0,5.2,-531.0,134.5
2065,Pentagon,1,0,0.0,-1441.0,51.4,-1203.0,71.0
2066,Pentagon,1,0,0.0,-1711.0,20.5,-737.0,98.6
2067,Pentagon,1,0,0.0,-1663.0,51.8,-1169.0,95.5
2068,Pentagon,1,0,0.0,-939.0,52.3,-978.0,48.8
2069,Pentagon,1,0,0.0,-611.0,75.4,-1272.0,25.2
2070,Pentagon,1,0,0.0,-1797.0,67.2,-1128.0,122.4
2071,Pentagon,1,0,0.0,-1542.0,73.6,-1371.0,87.7
2072,Pentagon,1,0,0.0,-2472.0,6.9,-894.0,130.4
2073,Pentagon,1,0,0.0,-1140.0,33.7,-926.0,51.9
2074,Pentagon,1,0,0.0,-1431.0,11.7,-969.0,48.4
2075,Pentagon,1,0,0.0,-883.0,40.8,-899.0,44.3
2076,Pentagon,1,0,0.0,-1202.0,23.8,-688.0,63.7
2077,Pentagon,1,0,0.0,-1237.0,13.7,-662.0,59.3
2078,Pentagon,1,0,0.0,-659.0,53.1,-933.0,30.9
2079,Pentagon,1,0,0.0,-1127.0,44.0,-1015.0,54.8
2080,Pentagon,1,0,0.0,-732.0,32.9,-837.0,27.2
2081,Pentagon,1,0,0.0,-1327.0,30.5,-881.0,63.7
2082,Pentagon,1,0,0.0,-1428.0,34.0,-1229.0,51.6
2083,Pentagon,1,0,0.0,-1293.0,54.2,-1374.0,52.4
2084,Pentagon,1,0,0.0,-1147.0,18.5,-610.0,59.8
2085,Pentagon,1,0,0.0,-710.0,39.7,-888.0,26.4
2086,Pentagon,1,0,0.0,-695.0,20.5,-614.0,27.6
2087,Pentagon,1,0,0.0,-951.0,37.5,-1234.0,16.6
2088,Pentagon,1,0,0.0,-1164.0,11.4,-543.0,62.9
2089,Pentagon,1,0,0.0,-1381.0,25.8,-948.0,58.9
2090,Pentagon,1,0,0.0,-581.0,24.2,-682.0,17.3
2091,Pentagon,1,0,0.0,-819.0,7.4,-397.0,42.6
2092,Pentagon,1,0,0.0,-999.0,30.2,-672.0,55.0
2093,Pentagon,1,0,0.0,-945.0,26.5,-666.0,49.3
2094,Pentagon,1,0,0.0,-919.0,11.0,-445.0,49.7
2095,Pentagon,1,0,0.0,-559.0,57.8,-1134.0,12.9
2096,Pentagon,1,0,0.0,-1119.0,70.9,-1271.0,59.1
2097,Pentagon,1,0,0.0,-928.0,36.4,-832.0,44.3
2098,Pentagon,1,0,0.0,-790.0,27.4,-653.0,40.3
2099,Pentagon,1,0,0.0,-916.0,14.5,-481.0,48.5
2100,Pentagon,1,0,0.0,-618.0,13.1,-608.0,16.9
2101,Pentagon,1,0,0.0,-777.0,25.5,-753.0,30.5
2102,Pentagon,1,0,0.0,-569.0,21.6,-513.0,26.6
2103,Pentagon,1,0,0.0,-836.0,40.7,-990.0,29.6
2104,Pentagon,1,0,0.0,-1110.0,31.2,-810.0,56.8
2105,Pentagon,1,0,0.0,-693.0,37.5,-768.0,34.0
2106,Pentagon,1,0,0.0,-695.0,20.5,-590.0,28.9
2107,Pentagon,1,0,0.0,-934.0,12.4,-737.0,31.4
2108,Pentagon,1,0,0.0,-1568.0,8.7,-564.0,89.0
2109,Pentagon,1,0,0.0,-584.0,17.4,-631.0,14.9
2110,Pentagon,1,0,0.0,-791.0,18.2,-437.0,46.2
2111,Pentagon,1,0,0.0,-1158.0,20.7,-877.0,43.9
2112,Pentagon,1,0,0.0,-391.0,40.0,-770.0,12.2
2113,Pentagon,1,0,0.0,-939.0,39.4,-762.0,57.4
2114,Pentagon,1,0,0.0,-965.0,12.2,-537.0,46.5
2115,Pentagon,1,0,0.0,-810.0,3.2,-289.0,45.5
2116,Pentagon,1,0,0.0,-641.0,42.0,-750.0,35.1
2117,Pentagon,1,0,0.0,-826.0,22.5,-606.0,41.7
2118,Pentagon,1,0,0.0,-994.0,4.1,-277.0,59.2
2119,Pentagon,1,0,0.0,-536.0,27.5,-603.0,23.6
2120,Pentagon,1,0,0.0,-394.0,11.9,-381.0,15.8
2121,Pentagon,1,0,0.0,-873.0,4.3,-226.0,59.4
2122,Pentagon,1,0,0.0,-564.0,21.1,-627.0,21.0
2123,Pentagon,1,0,0.0,-388.0,22.8,-543.0,12.7
2124,Pentagon,1,0,0.0,-1271.0,36.4,-1323.0,35.3
2125,Pentagon,1,0,0.0,-755.0,11.4,-398.0,39.1
2126,Pentagon,1,0,0.0,-140.0,45.6,-682.0,2.5
2127,Pentagon,1,0,0.0,-614.0,13.4,-532.0,20.9
2128,Pentagon,1,0,0.0,-513.0,24.1,-631.0,17.9
2129,Pentagon,1,0,0.0,-443.0,13.1,-385.0,19.1
2130,Pentagon,1,0,0.0,-863.0,20.6,-599.0,40.5
2131,Pentagon,1,0,0.0,-692.0,33.3,-877.0,19.0
2132,Pentagon,1,0,0.0,-372.0,25.7,-487.0,18.3
2133,Pentagon,1,0,0.0,-480.0,21.8,-634.0,12.3
2134,Pentagon,1,0,0.0,-490.0,24.3,-433.0,30.0
2135,Pentagon,1,0,0.0,-1000.0,6.8,-456.0,52.3
2136,Pentagon,1,0,0.0,-492.0,22.7,-520.0,21.3
2137,Pentagon,1,0,0.0,-280.0,21.3,-311.0,18.4
2138,Pentagon,1,0,0.0,-379.0,12.5,-295.0,19.8
2139,Pentagon,1,0,0.0,-832.0,7.8,-436.0,41.2
2140,Pentagon,1,0,0.0,-298.0,25.8,-568.0,5.4
2141,Pentagon,1,0,0.0,-396.0,23.0,-508.0,15.4
2142,Pentagon,1,0,0.0,-545.0,13.1,-391.0,25.9
2143,Pentagon,1,0,0.0,-294.0,26.9,-462.0,15.9
2144,Pentagon,1,0,0.0,-685.0,12.1,-513.0,29.3
2145,Pentagon,1,0,0.0,-839.0,8.2,-696.0,23.3
2146,Pentagon,1,0,0.0,-916.0,9.1,-229.0,66.0
2147,Pentagon,1,0,0.0,-634.0,10.5,-445.0,26.7
2148,Pentagon,1,0,0.0,-308.0,22.0,-428.0,13.9
2149,Pentagon,1,0,0.0,-406.0,26.8,-577.0,14.1
2150,Pentagon,1,0,0.0,-458.0,22.8,-501.0,19.9
2151,Pentagon,1,0,0.0,-323.0,40.1,-719.0,9.0
2152,Pentagon,1,0,0.0,-450.0,11.4,-395.0,17.9
2153,Pentagon,1,0,0.0,-464.0,18.6,-590.0,10.8
2154,Pentagon,1,0,0.0,-260.0,30.2,-464.0,13.9
2155,Pentagon,1,0,0.0,-455.0,34.7,-670.0,21.4
2156,Pentagon,1,0,0.0,-498.0,32.3,-594.0,26.9
2157,Pentagon,1,0,0.0,-417.0,20.5,-542.0,12.0
2158,Pentagon,1,0,0.0,-223.0,15.4,-371.0,6.5
