,Map,Shield,Grid,coll_train,acc_0_train,inter_0_train,acc_1_train,inter_1_train
1200,ISR,1,0,0.0,-1599.0,88.4,-2132.0,52.7
1201,ISR,1,0,0.0,-2108.0,126.9,-2540.0,98.8
1202,ISR,1,0,0.0,-1858.0,57.1,-1580.0,78.2
1203,ISR,1,0,0.0,-3222.0,89.3,-2824.0,124.2
1204,ISR,1,0,0.0,-1695.0,165.4,-3224.0,46.4
1205,ISR,1,0,0.0,-2264.0,141.9,-2942.0,93.3
1206,ISR,1,0,0.0,-2547.0,87.5,-2115.0,120.3
1207,ISR,1,0,0.0,-2650.0,11.9,-1308.0,121.0
1208,ISR,1,0,0.0,-3348.0,15.5,-2159.0,110.3
1209,ISR,1,0,0.0,-1844.0,104.1,-2732.0,36.8
1210,ISR,1,0,0.0,-1942.0,66.7,-2535.0,24.7
1211,ISR,1,0,0.0,-1577.0,65.7,-2257.0,15.7
1212,ISR,1,0,0.0,-2282.0,70.3,-2801.0,35.7
1213,ISR,1,0,0.0,-1538.0,179.0,-3717.0,12.9
1214,ISR,1,0,0.0,-2229.0,47.4,-1872.0,80.2
1215,ISR,1,0,0.0,-1467.0,51.1,-1035.0,88.7
1216,ISR,1,0,0.0,-2269.0,113.1,-3211.0,45.8
1217,ISR,1,0,0.0,-2988.0,37.4,-1730.0,137.7
1218,ISR,1,0,0.0,-1508.0,137.0,-2675.0,48.5
1219,ISR,1,0,0.0,-1944.0,68.0,-1940.0,72.6
1220,ISR,1,0,0.0,-2975.0,86.1,-3092.0,79.0
1221,ISR,1,0,0.0,-2275.0,171.0,-4085.0,33.8
1222,ISR,1,0,0.0,-2139.0,109.6,-2301.0,102.9
1223,ISR,1,0,0.0,-2431.0,145.4,-3564.0,62.2
1224,ISR,1,0,0.0,-1302.0,82.8,-1963.0,34.0
1225,ISR,1,0,0.0,-1956.0,112.8,-3232.0,17.4
1226,ISR,1,0,0.0,-2150.0,25.9,-1460.0,77.7
1227,ISR,1,0,0.0,-962.0,113.7,-2254.0,15.3
1228,ISR,1,0,0.0,-2427.0,44.0,-2036.0,77.2
1229,ISR,1,0,0.0,-1369.0,110.0,-2514.0,26.4
1230,ISR,1,0,0.0,-1099.0,137.8,-2566.0,27.6
1231,ISR,1,0,0.0,-1985.0,17.1,-1602.0,52.6
1232,ISR,1,0,0.0,-1265.0,88.2,-1687.0,54.6
1233,ISR,1,0,0.0,-1351.0,87.1,-1944.0,44.5
1234,ISR,1,0,0.0,-2155.0,38.5,-1462.0,96.3
1235,ISR,1,0,0.0,-1425.0,74.5,-1545.0,64.1
1236,ISR,1,0,0.0,-989.0,94.8,-1666.0,44.1
1237,ISR,1,0,0.0,-1655.0,98.9,-2898.0,6.0
1238,ISR,1,0,0.0,-1759.0,112.4,-2652.0,44.8
1239,ISR,1,0,0.0,-2037.0,79.5,-2362.0,56.3
1240,ISR,1,0,0.0,-1929.0,94.7,-2017.0,90.2
1241,ISR,1,0,0.0,-1939.0,54.2,-1779.0,68.9
1242,ISR,1,0,0.0,-1014.0,21.0,-939.0,27.9
1243,ISR,1,0,0.0,-1612.0,21.8,-1301.0,44.3
1244,ISR,1,0,0.0,-1179.0,41.6,-1253.0,35.3
1245,ISR,1,0,0.0,-1888.0,101.9,-2025.0,94.3
1246,ISR,1,0,0.0,-1544.0,129.4,-3074.0,10.7
1247,ISR,1,0,0.0,-504.0,121.5,-2043.0,3.5
1248,ISR,1,0,0.0,-1289.0,96.1,-1546.0,79.2
1249,ISR,1,0,0.0,-1826.0,109.4,-2425.0,60.6
1250,ISR,1,0,0.0,-1635.0,88.1,-1739.0,83.4
1251,ISR,1,0,0.0,-1986.0,50.0,-1555.0,83.7
1252,ISR,1,0,0.0,-1508.0,61.0,-2037.0,22.4
1253,ISR,1,0,0.0,-594.0,105.3,-1630.0,25.4
1254,ISR,1,0,0.0,-1738.0,103.4,-1857.0,99.5
1255,ISR,1,0,0.0,-1102.0,124.7,-2533.0,16.2
1256,ISR,1,0,0.0,-1260.0,87.5,-1709.0,53.3
1257,ISR,1,0,0.0,-1042.0,99.8,-1939.0,36.1
1258,ISR,1,0,0.0,-1800.0,98.3,-1981.0,83.7
1259,ISR,1,0,0.0,-1301.0,95.1,-2210.0,27.8
1260,ISR,1,0,0.0,-1446.0,82.2,-2063.0,35.2
1261,ISR,1,0,0.0,-1903.0,32.5,-1005.0,107.2
1262,ISR,1,0,0.0,-1726.0,63.2,-1948.0,48.0
1263,ISR,1,0,0.0,-856.0,48.7,-957.0,43.7
1264,ISR,1,0,0.0,-1122.0,104.7,-1761.0,57.6
1265,ISR,1,0,0.0,-1242.0,65.6,-1633.0,37.7
1266,ISR,1,0,0.0,-1295.0,37.3,-901.0,73.0
1267,ISR,1,0,0.0,-619.0,129.6,-1984.0,24.6
1268,ISR,1,0,0.0,-1061.0,36.8,-994.0,41.3
1269,ISR,1,0,0.0,-1140.0,47.3,-1364.0,33.9
1270,ISR,1,0,0.0,-393.0,74.6,-1288.0,5.0
1271,ISR,1,0,0.0,-1307.0,113.4,-2165.0,52.2
1272,ISR,1,0,0.0,-621.0,35.4,-977.0,9.2
1273,ISR,1,0,0.0,-1265.0,29.9,-681.0,76.8
1274,ISR,1,0,0.0,-1062.0,62.8,-1297.0,47.7
1275,ISR,1,0,0.0,-1279.0,49.9,-1630.0,27.3
1276,ISR,1,0,0.0,-1460.0,18.5,-1457.0,23.3
1277,ISR,1,0,0.0,-899.0,73.2,-1356.0,40.5
1278,ISR,1,0,0.0,-372.0,92.8,-1482.0,8.8
1279,ISR,1,0,0.0,-716.0,54.2,-1006.0,33.6
1280,ISR,1,0,0.0,-335.0,116.1,-1757.0,3.2
1281,ISR,1,0,0.0,-372.0,38.9,-715.0,14.2
1282,ISR,1,0,0.0,-896.0,30.8,-857.0,36.2
1283,ISR,1,0,0.0,-1266.0,59.0,-1161.0,69.6
1284,ISR,1,0,0.0,-621.0,85.7,-1471.0,27.4
1285,ISR,1,0,0.0,-1202.0,100.2,-1796.0,57.1
1286,ISR,1,0,0.0,-970.0,35.5,-1194.0,19.8
1287,ISR,1,0,0.0,-495.0,94.8,-1454.0,23.1
1288,ISR,1,0,0.0,-654.0,110.8,-1882.0,13.3
1289,ISR,1,0,0.0,-575.0,25.7,-822.0,8.9
1290,ISR,1,0,0.0,-620.0,34.3,-950.0,11.6
1291,ISR,1,0,0.0,-781.0,46.7,-822.0,45.1
1292,ISR,1,0,0.0,-703.0,51.1,-1036.0,26.3
1293,ISR,1,0,0.0,-457.0,116.5,-1907.0,7.1
1294,ISR,1,0,0.0,-1234.0,19.0,-590.0,74.0
1295,ISR,1,0,0.0,-561.0,26.9,-610.0,26.9
1296,ISR,1,0,0.0,-1047.0,71.2,-1303.0,53.6
1297,ISR,1,0,0.0,-426.0,57.4,-1060.0,12.6
1298,ISR,1,0,0.0,-637.0,86.9,-1457.0,25.7
1299,ISR,1,0,0.0,-837.0,55.2,-1142.0,31.5
1300,ISR,1,0,0.0,-983.0,63.2,-1107.0,51.4
1301,ISR,1,0,0.0,-719.0,4.7,-388.0,33.8
1302,ISR,1,0,0.0,-687.0,22.6,-650.0,28.3
1303,ISR,1,0,0.0,-1232.0,43.5,-1272.0,41.7
1304,ISR,1,0,0.0,-680.0,32.7,-956.0,15.0
1305,ISR,1,0,0.0,-385.0,33.6,-646.0,15.4
1306,ISR,1,0,0.0,-870.0,47.1,-1276.0,16.7
1307,ISR,1,0,0.0,-520.0,24.4,-603.0,20.1
1308,ISR,1,0,0.0,-835.0,30.8,-645.0,46.3
1309,ISR,1,0,0.0,-580.0,108.4,-1917.0,5.0
1310,ISR,1,0,0.0,-1677.0,11.6,-644.0,96.3
1311,ISR,1,0,0.0,-706.0,27.0,-723.0,26.2
1312,ISR,1,0,0.0,-880.0,49.6,-1112.0,35.4
1313,ISR,1,0,0.0,-557.0,33.2,-622.0,31.6
1314,ISR,1,0,0.0,-556.0,83.1,-1456.0,12.6
1315,ISR,1,0,0.0,-949.0,61.8,-1239.0,39.6
1316,ISR,1,0,0.0,-591.0,51.7,-1068.0,18.1
1317,ISR,1,0,0.0,-393.0,73.9,-1160.0,15.0
1318,ISR,1,0,0.0,-679.0,59.6,-1235.0,20.7
1319,ISR,1,0,0.0,-1386.0,54.8,-1085.0,81.3
1320,ISR,1,0,0.0,-469.0,47.2,-813.0,20.7
1321,ISR,1,0,0.0,-500.0,84.7,-1537.0,7.0
1322,ISR,1,0,0.0,-578.0,27.3,-732.0,16.3
1323,ISR,1,0,0.0,-318.0,58.0,-953.0,11.2
1324,ISR,1,0,0.0,-518.0,49.7,-1054.0,10.5
1325,ISR,1,0,0.0,-434.0,28.8,-683.0,11.3
1326,ISR,1,0,0.0,-433.0,34.2,-602.0,20.7
1327,ISR,1,0,0.0,-587.0,57.1,-1013.0,25.2
1328,ISR,1,0,0.0,-263.0,42.0,-722.0,8.0
1329,ISR,1,0,0.0,-562.0,68.2,-1003.0,35.4
1330,ISR,1,0,0.0,-806.0,55.1,-965.0,43.3
1331,ISR,1,0,0.0,-542.0,41.2,-936.0,13.0
1332,ISR,1,0,0.0,-494.0,48.2,-1015.0,9.8
1333,ISR,1,0,0.0,-561.0,41.3,-805.0,24.8
1334,ISR,1,0,0.0,-331.0,14.1,-396.0,8.5
