,Map,Shield,Grid,coll_train,acc_0_train,inter_0_train,acc_1_train,inter_1_train
3600,MIT,1,0,0.0,-4809.0,11.2,-4763.0,16.2
3601,MIT,1,0,0.0,-5000.0,0.2,-4607.0,31.9
3602,MIT,1,0,0.0,-5000.0,0.2,-4559.0,35.7
3603,MIT,1,0,0.0,-4571.0,25.4,-4630.0,24.7
3604,MIT,1,0,0.0,-4734.0,17.8,-4915.0,8.6
3605,MIT,1,0,0.0,-4505.0,36.4,-4796.0,20.3
3606,MIT,1,0,0.0,-4750.0,19.6,-4863.0,11.6
3607,MIT,1,0,0.0,-4464.0,24.7,-4741.0,3.2
3608,MIT,1,0,0.0,-4462.0,40.3,-4978.0,1.8
3609,MIT,1,0,0.0,-4666.0,25.7,-4512.0,43.0
3610,MIT,1,0,0.0,-4420.0,34.7,-4609.0,23.6
3611,MIT,1,0,0.0,-4636.0,26.5,-4731.0,22.5
3612,MIT,1,0,0.0,-4671.0,24.9,-4199.0,61.5
3613,MIT,1,0,0.0,-4548.0,34.5,-4879.0,11.6
3614,MIT,1,0,0.0,-4526.0,35.8,-5000.0,3.4
3615,MIT,1,0,0.0,-4793.0,14.5,-4518.0,39.9
3616,MIT,1,0,0.0,-4779.0,17.5,-4887.0,13.4
3617,MIT,1,0,0.0,-4891.0,0.1,-4422.0,40.9
3618,MIT,1,0,0.0,-4545.0,34.0,-4952.0,5.0
3619,MIT,1,0,0.0,-4727.0,20.7,-4566.0,34.4
3620,MIT,1,0,0.0,-3954.0,81.5,-4671.0,27.4
3621,MIT,1,0,0.0,-4315.0,53.2,-4986.0,4.4
3622,MIT,1,0,0.0,-4941.0,4.6,-4663.0,30.5
3623,MIT,1,0,0.0,-4337.0,47.6,-4888.0,6.0
3624,MIT,1,0,0.0,-4985.0,0.9,-4436.0,46.4
3625,MIT,1,0,0.0,-4901.0,1.0,-4666.0,20.9
3626,MIT,1,0,0.0,-4659.0,26.1,-4562.0,35.5
3627,MIT,1,0,0.0,-3900.0,37.2,-3829.0,46.7
3628,MIT,1,0,0.0,-4446.0,30.9,-4254.0,49.4
3629,MIT,1,0,0.0,-4486.0,25.2,-4826.0,2.7
3630,MIT,1,0,0.0,-4739.0,8.7,-4439.0,33.6
3631,MIT,1,0,0.0,-4762.0,4.4,-4737.0,12.2
3632,MIT,1,0,0.0,-4330.0,50.4,-4768.0,21.4
3633,MIT,1,0,0.0,-4946.0,4.1,-4950.0,10.9
3634,MIT,1,0,0.0,-4525.0,35.4,-4847.0,12.8
3635,MIT,1,0,0.0,-4434.0,37.9,-4939.0,3.5
3636,MIT,1,0,0.0,-4861.0,9.6,-4632.0,31.7
3637,MIT,1,0,0.0,-4493.0,13.7,-4535.0,12.7
3638,MIT,1,0,0.0,-3746.0,76.6,-4516.0,20.1
3639,MIT,1,0,0.0,-4400.0,32.8,-4384.0,36.2
3640,MIT,1,0,0.0,-3948.0,83.8,-4831.0,15.8
3641,MIT,1,0,0.0,-4352.0,26.0,-4244.0,38.1
3642,MIT,1,0,0.0,-3889.0,54.9,-4400.0,24.7
3643,MIT,1,0,0.0,-4708.0,15.1,-3979.0,78.5
3644,MIT,1,0,0.0,-4461.0,40.7,-4977.0,7.6
3645,MIT,1,0,0.0,-3800.0,67.2,-4540.0,14.8
3646,MIT,1,0,0.0,-4424.0,29.6,-4362.0,36.8
3647,MIT,1,0,0.0,-4365.0,26.7,-4415.0,24.3
3648,MIT,1,0,0.0,-3916.0,21.4,-3953.0,24.4
3649,MIT,1,0,0.0,-3493.0,82.7,-4189.0,32.5
3650,MIT,1,0,0.0,-3582.0,94.5,-4223.0,51.0
3651,MIT,1,0,0.0,-3379.0,80.4,-3576.0,65.1
3652,MIT,1,0,0.0,-4326.0,46.2,-4264.0,63.1
3653,MIT,1,0,0.0,-4513.0,16.5,-4230.0,44.3
3654,MIT,1,0,0.0,-3938.0,37.1,-3787.0,49.9
3655,MIT,1,0,0.0,-3631.0,76.5,-4577.0,4.7
3656,MIT,1,0,0.0,-3901.0,53.5,-4157.0,36.8
3657,MIT,1,0,0.0,-4056.0,50.5,-4615.0,9.6
3658,MIT,1,0,0.0,-3586.0,86.3,-4445.0,23.2
3659,MIT,1,0,0.0,-3907.0,71.9,-4609.0,24.1
3660,MIT,1,0,0.0,-4249.0,41.0,-4161.0,48.6
3661,MIT,1,0,0.0,-3783.0,47.5,-3352.0,86.0
3662,MIT,1,0,0.0,-3839.0,52.9,-3697.0,69.3
3663,MIT,1,0,0.0,-3871.0,84.6,-4949.0,7.0
3664,MIT,1,0,0.0,-2997.0,103.3,-3799.0,39.5
3665,MIT,1,0,0.0,-3361.0,59.0,-3906.0,22.5
3666,MIT,1,0,0.0,-3722.0,42.2,-3929.0,27.0
3667,MIT,1,0,0.0,-3700.0,43.3,-4206.0,7.7
3668,MIT,1,0,0.0,-3509.0,45.5,-3223.0,70.4
3669,MIT,1,0,0.0,-3252.0,102.4,-4486.0,12.7
3670,MIT,1,0,0.0,-2805.0,110.4,-3718.0,39.7
3671,MIT,1,0,0.0,-3432.0,84.2,-4409.0,9.9
3672,MIT,1,0,0.0,-2617.0,173.9,-4676.0,15.6
3673,MIT,1,0,0.0,-3117.0,85.2,-3401.0,69.6
3674,MIT,1,0,0.0,-4532.0,0.9,-3798.0,58.3
3675,MIT,1,0,0.0,-3626.0,45.3,-3309.0,71.9
3676,MIT,1,0,0.0,-3716.0,51.7,-3751.0,49.6
3677,MIT,1,0,0.0,-4135.0,43.7,-3458.0,100.2
3678,MIT,1,0,0.0,-3320.0,53.0,-3187.0,66.7
3679,MIT,1,0,0.0,-3781.0,75.5,-3852.0,73.3
3680,MIT,1,0,0.0,-2860.0,73.4,-3252.0,47.4
3681,MIT,1,0,0.0,-3945.0,23.3,-3252.0,76.1
3682,MIT,1,0,0.0,-3326.0,101.4,-4215.0,33.0
3683,MIT,1,0,0.0,-3974.0,36.7,-3235.0,100.2
3684,MIT,1,0,0.0,-3103.0,97.0,-3994.0,30.9
3685,MIT,1,0,0.0,-3716.0,37.8,-3730.0,41.3
3686,MIT,1,0,0.0,-3586.0,63.7,-3519.0,70.8
3687,MIT,1,0,0.0,-3370.0,81.3,-3967.0,37.9
3688,MIT,1,0,0.0,-2823.0,86.4,-3395.0,45.4
3689,MIT,1,0,0.0,-3373.0,44.0,-3009.0,77.8
3690,MIT,1,0,0.0,-2822.0,71.9,-3223.0,44.8
3691,MIT,1,0,0.0,-3093.0,88.1,-3802.0,36.2
3692,MIT,1,0,0.0,-3189.0,70.0,-3173.0,71.2
3693,MIT,1,0,0.0,-3493.0,49.9,-3368.0,65.0
3694,MIT,1,0,0.0,-3055.0,47.3,-3538.0,17.0
3695,MIT,1,0,0.0,-3216.0,45.7,-3040.0,64.3
3696,MIT,1,0,0.0,-2574.0,60.6,-2835.0,44.0
3697,MIT,1,0,0.0,-3119.0,99.7,-3640.0,63.5
3698,MIT,1,0,0.0,-2293.0,142.8,-3736.0,40.7
3699,MIT,1,0,0.0,-3491.0,44.4,-3574.0,43.8
3700,MIT,1,0,0.0,-3025.0,56.8,-2954.0,68.2
3701,MIT,1,0,0.0,-2865.0,73.5,-3234.0,45.5
3702,MIT,1,0,0.0,-3295.0,20.1,-2415.0,89.8
3703,MIT,1,0,0.0,-2755.0,99.1,-3549.0,40.3
3704,MIT,1,0,0.0,-3097.0,73.2,-2917.0,88.7
3705,MIT,1,0,0.0,-2965.0,49.7,-2724.0,68.1
3706,MIT,1,0,0.0,-2915.0,44.5,-2871.0,50.8
3707,MIT,1,0,0.0,-2892.0,45.7,-2280.0,93.8
3708,MIT,1,0,0.0,-2760.0,79.1,-3094.0,54.3
3709,MIT,1,0,0.0,-2762.0,47.8,-3007.0,32.6
3710,MIT,1,0,0.0,-1979.0,72.4,-2673.0,19.0
3711,MIT,1,0,0.0,-3002.0,72.4,-3341.0,51.4
3712,MIT,1,0,0.0,-2758.0,60.1,-3223.0,27.5
3713,MIT,1,0,0.0,-2610.0,106.0,-3925.0,5.8
3714,MIT,1,0,0.0,-3001.0,18.1,-1976.0,104.7
3715,MIT,1,0,0.0,-2654.0,51.3,-3006.0,26.4
3716,MIT,1,0,0.0,-2265.0,61.8,-2745.0,26.9
3717,MIT,1,0,0.0,-2667.0,80.0,-3249.0,40.0
3718,MIT,1,0,0.0,-2956.0,24.3,-2552.0,58.3
3719,MIT,1,0,0.0,-3132.0,64.0,-3156.0,72.5
3720,MIT,1,0,0.0,-3167.0,30.4,-2384.0,93.2
3721,MIT,1,0,0.0,-3117.0,55.7,-2706.0,86.8
