,Map,Shield,Grid,coll_train,acc_0_train,inter_0_train,acc_1_train,inter_1_train
5200,SUNY,1,0,0.0,-3267.0,76.3,-3642.0,53.1
5201,SUNY,1,0,0.0,-3470.0,106.6,-4037.0,66.4
5202,SUNY,1,0,0.0,-2427.0,118.8,-3557.0,34.2
5203,SUNY,1,0,0.0,-3194.0,57.0,-3147.0,66.3
5204,SUNY,1,0,0.0,-2666.0,124.6,-4025.0,21.2
5205,SUNY,1,0,0.0,-4250.0,5.9,-1879.0,192.6
5206,SUNY,1,0,0.0,-3415.0,83.3,-3682.0,66.6
5207,SUNY,1,0,0.0,-3843.0,47.8,-3522.0,74.3
5208,SUNY,1,0,0.0,-3750.0,43.2,-4203.0,15.2
5209,SUNY,1,0,0.0,-3436.0,56.7,-3096.0,83.7
5210,SUNY,1,0,0.0,-2535.0,149.1,-3878.0,43.8
5211,SUNY,1,0,0.0,-3551.0,53.4,-3500.0,61.3
5212,SUNY,1,0,0.0,-3808.0,42.7,-3808.0,45.2
5213,SUNY,1,0,0.0,-2416.0,129.8,-3584.0,40.8
5214,SUNY,1,0,0.0,-2431.0,122.5,-3249.0,58.7
5215,SUNY,1,0,0.0,-3211.0,36.0,-2530.0,94.3
5216,SUNY,1,0,0.0,-3415.0,76.6,-3566.0,63.5
5217,SUNY,1,0,0.0,-3124.0,92.6,-3145.0,98.5
5218,SUNY,1,0,0.0,-3192.0,123.4,-4155.0,50.5
5219,SUNY,1,0,0.0,-3316.0,82.8,-3346.0,87.5
5220,SUNY,1,0,0.0,-3139.0,74.1,-2782.0,105.7
5221,SUNY,1,0,0.0,-3641.0,100.2,-3960.0,75.5
5222,SUNY,1,0,0.0,-2738.0,78.8,-2760.0,82.1
5223,SUNY,1,0,0.0,-3060.0,82.5,-2866.0,98.4
5224,SUNY,1,0,0.0,-3185.0,83.7,-3792.0,42.8
5225,SUNY,1,0,0.0,-2578.0,111.5,-3409.0,46.0
5226,SUNY,1,0,0.0,-3113.0,38.6,-2534.0,88.5
5227,SUNY,1,0,0.0,-3145.0,119.9,-3393.0,98.6
5228,SUNY,1,0,0.0,-2266.0,94.3,-2665.0,67.0
5229,SUNY,1,0,0.0,-2575.0,62.8,-3158.0,23.0
5230,SUNY,1,0,0.0,-3096.0,38.4,-2433.0,94.0
5231,SUNY,1,0,0.0,-3906.0,23.4,-2834.0,109.0
5232,SUNY,1,0,0.0,-1504.0,132.4,-3073.0,12.6
5233,SUNY,1,0,0.0,-3027.0,20.5,-1865.0,115.7
5234,SUNY,1,0,0.0,-2969.0,59.6,-2900.0,71.0
5235,SUNY,1,0,0.0,-2848.0,83.3,-3065.0,71.4
5236,SUNY,1,0,0.0,-2998.0,121.3,-2841.0,135.8
5237,SUNY,1,0,0.0,-2357.0,101.3,-2836.0,65.3
5238,SUNY,1,0,0.0,-2438.0,140.7,-4051.0,20.3
5239,SUNY,1,0,0.0,-3859.0,19.8,-1843.0,180.7
5240,SUNY,1,0,0.0,-3039.0,58.4,-1907.0,149.1
5241,SUNY,1,0,0.0,-2837.0,95.9,-2648.0,111.6
5242,SUNY,1,0,0.0,-1853.0,69.8,-2275.0,40.9
5243,SUNY,1,0,0.0,-3543.0,9.8,-1833.0,144.5
5244,SUNY,1,0,0.0,-2445.0,84.6,-2452.0,88.7
5245,SUNY,1,0,0.0,-2279.0,116.0,-2824.0,71.8
5246,SUNY,1,0,0.0,-3063.0,50.7,-2698.0,82.5
5247,SUNY,1,0,0.0,-2509.0,97.8,-3659.0,10.0
5248,SUNY,1,0,0.0,-2137.0,83.5,-2633.0,49.8
5249,SUNY,1,0,0.0,-1896.0,56.2,-2268.0,30.3
5250,SUNY,1,0,0.0,-2858.0,46.8,-2090.0,111.0
5251,SUNY,1,0,0.0,-3055.0,59.7,-2393.0,113.0
5252,SUNY,1,0,0.0,-2131.0,84.8,-2626.0,46.7
5253,SUNY,1,0,0.0,-2148.0,40.8,-1944.0,60.3
5254,SUNY,1,0,0.0,-2415.0,57.7,-2297.0,70.8
5255,SUNY,1,0,0.0,-2093.0,98.5,-2530.0,67.6
5256,SUNY,1,0,0.0,-1851.0,89.0,-2592.0,34.1
5257,SUNY,1,0,0.0,-3266.0,68.5,-2876.0,101.7
5258,SUNY,1,0,0.0,-2696.0,29.0,-1765.0,105.5
5259,SUNY,1,0,0.0,-2660.0,61.6,-2857.0,52.1
5260,SUNY,1,0,0.0,-2134.0,66.5,-2388.0,49.5
5261,SUNY,1,0,0.0,-2046.0,91.2,-2752.0,34.1
5262,SUNY,1,0,0.0,-2132.0,99.8,-2692.0,58.1
5263,SUNY,1,0,0.0,-2140.0,124.4,-3379.0,29.8
5264,SUNY,1,0,0.0,-1606.0,156.8,-3424.0,22.2
5265,SUNY,1,0,0.0,-1283.0,61.7,-1591.0,41.5
5266,SUNY,1,0,0.0,-1735.0,29.1,-1140.0,82.0
5267,SUNY,1,0,0.0,-2427.0,79.1,-2523.0,75.7
5268,SUNY,1,0,0.0,-1586.0,63.3,-1786.0,49.2
5269,SUNY,1,0,0.0,-1280.0,94.2,-2099.0,29.4
5270,SUNY,1,0,0.0,-2012.0,36.4,-1506.0,79.3
5271,SUNY,1,0,0.0,-1594.0,87.3,-2032.0,55.5
5272,SUNY,1,0,0.0,-2301.0,59.4,-2481.0,50.4
5273,SUNY,1,0,0.0,-3133.0,54.7,-2809.0,85.1
5274,SUNY,1,0,0.0,-1749.0,110.0,-2827.0,29.2
5275,SUNY,1,0,0.0,-1850.0,44.9,-1563.0,69.8
5276,SUNY,1,0,0.0,-2218.0,30.2,-1664.0,74.8
5277,SUNY,1,0,0.0,-2873.0,38.1,-1416.0,151.2
5278,SUNY,1,0,0.0,-1348.0,98.5,-2337.0,23.0
5279,SUNY,1,0,0.0,-2308.0,25.0,-1387.0,99.8
5280,SUNY,1,0,0.0,-1645.0,71.7,-2143.0,38.1
5281,SUNY,1,0,0.0,-2130.0,46.8,-1756.0,80.1
5282,SUNY,1,0,0.0,-1861.0,87.8,-2572.0,38.9
5283,SUNY,1,0,0.0,-1938.0,46.1,-1657.0,69.5
5284,SUNY,1,0,0.0,-1837.0,19.7,-1336.0,62.8
5285,SUNY,1,0,0.0,-1777.0,60.9,-1697.0,71.9
5286,SUNY,1,0,0.0,-1978.0,31.1,-1715.0,53.9
5287,SUNY,1,0,0.0,-1836.0,45.5,-1922.0,41.1
5288,SUNY,1,0,0.0,-1677.0,50.9,-1615.0,57.8
5289,SUNY,1,0,0.0,-1570.0,80.4,-2004.0,50.9
5290,SUNY,1,0,0.0,-2484.0,54.8,-1782.0,111.4
5291,SUNY,1,0,0.0,-2431.0,76.7,-2215.0,96.4
5292,SUNY,1,0,0.0,-1367.0,33.9,-1216.0,48.4
5293,SUNY,1,0,0.0,-2183.0,52.3,-1943.0,74.0
5294,SUNY,1,0,0.0,-1322.0,92.3,-2362.0,12.5
5295,SUNY,1,0,0.0,-2024.0,18.0,-1353.0,71.9
5296,SUNY,1,0,0.0,-2305.0,21.5,-1424.0,92.9
5297,SUNY,1,0,0.0,-1436.0,50.8,-1359.0,59.8
5298,SUNY,1,0,0.0,-1816.0,49.3,-1570.0,74.9
5299,SUNY,1,0,0.0,-1011.0,90.2,-1984.0,15.2
5300,SUNY,1,0,0.0,-1481.0,17.6,-1057.0,53.3
5301,SUNY,1,0,0.0,-1924.0,20.1,-960.0,96.6
5302,SUNY,1,0,0.0,-1105.0,65.6,-1488.0,39.1
5303,SUNY,1,0,0.0,-1288.0,12.7,-846.0,50.1
5304,SUNY,1,0,0.0,-1659.0,18.7,-1434.0,41.0
5305,SUNY,1,0,0.0,-1650.0,31.6,-1448.0,48.6
5306,SUNY,1,0,0.0,-1362.0,73.5,-1685.0,49.9
5307,SUNY,1,0,0.0,-1454.0,56.1,-1798.0,31.2
5308,SUNY,1,0,0.0,-700.0,77.7,-1633.0,5.9
5309,SUNY,1,0,0.0,-2357.0,32.3,-1668.0,88.9
5310,SUNY,1,0,0.0,-1476.0,42.9,-1257.0,61.3
5311,SUNY,1,0,0.0,-1284.0,13.6,-1017.0,35.7
5312,SUNY,1,0,0.0,-1641.0,46.3,-1759.0,40.8
5313,SUNY,1,0,0.0,-1042.0,33.4,-1165.0,25.2
5314,SUNY,1,0,0.0,-1161.0,48.0,-1445.0,26.5
5315,SUNY,1,0,0.0,-1156.0,66.0,-1552.0,36.2
5316,SUNY,1,0,0.0,-1589.0,9.1,-960.0,61.7
5317,SUNY,1,0,0.0,-1593.0,23.3,-1252.0,53.1
5318,SUNY,1,0,0.0,-1531.0,30.2,-1084.0,67.7
5319,SUNY,1,0,0.0,-1736.0,29.4,-1476.0,50.4
5320,SUNY,1,0,0.0,-1777.0,69.7,-1589.0,88.0
5321,SUNY,1,0,0.0,-1172.0,62.1,-1612.0,28.9
5322,SUNY,1,0,0.0,-1504.0,36.1,-1497.0,38.9
5323,SUNY,1,0,0.0,-1166.0,22.8,-1017.0,36.0
5324,SUNY,1,0,0.0,-1395.0,47.1,-1196.0,62.5
5325,SUNY,1,0,0.0,-844.0,32.4,-948.0,25.5
5326,SUNY,1,0,0.0,-1136.0,20.3,-1069.0,28.0
5327,SUNY,1,0,0.0,-1069.0,35.4,-1276.0,20.9
5328,SUNY,1,0,0.0,-1460.0,7.5,-744.0,65.7
5329,SUNY,1,0,0.0,-1379.0,50.5,-1615.0,35.1
5330,SUNY,1,0,0.0,-1476.0,32.3,-1287.0,52.9
5331,SUNY,1,0,0.0,-1073.0,54.8,-1192.0,47.4
5332,SUNY,1,0,0.0,-1616.0,19.7,-981.0,70.5
5333,SUNY,1,0,0.0,-1733.0,23.5,-933.0,87.6
5334,SUNY,1,0,0.0,-529.0,89.1,-1626.0,4.9
5335,SUNY,1,0,0.0,-1616.0,13.9,-844.0,75.7
5336,SUNY,1,0,0.0,-1244.0,18.0,-1106.0,31.9
5337,SUNY,1,0,0.0,-1159.0,45.6,-1305.0,35.2
5338,SUNY,1,0,0.0,-658.0,55.6,-1283.0,6.0
5339,SUNY,1,0,0.0,-882.0,73.3,-1555.0,19.7
5340,SUNY,1,0,0.0,-985.0,62.1,-1271.0,42.5
5341,SUNY,1,0,0.0,-1512.0,2.2,-640.0,74.1
5342,SUNY,1,0,0.0,-941.0,10.8,-964.0,10.4
5343,SUNY,1,0,0.0,-672.0,44.3,-1046.0,15.8
5344,SUNY,1,0,0.0,-1398.0,27.7,-826.0,71.7
5345,SUNY,1,0,0.0,-859.0,56.6,-1487.0,11.0
5346,SUNY,1,0,0.0,-1058.0,25.0,-1138.0,20.3
5347,SUNY,1,0,0.0,-1119.0,21.5,-851.0,45.6
5348,SUNY,1,0,0.0,-1054.0,35.7,-1147.0,28.4
5349,SUNY,1,0,0.0,-961.0,39.3,-1068.0,32.4
5350,SUNY,1,0,0.0,-1117.0,55.9,-1364.0,37.8
5351,SUNY,1,0,0.0,-1341.0,18.4,-864.0,57.6
5352,SUNY,1,0,0.0,-871.0,30.8,-1009.0,20.8
5353,SUNY,1,0,0.0,-833.0,42.2,-1221.0,12.7
5354,SUNY,1,0,0.0,-811.0,15.8,-834.0,17.6
5355,SUNY,1,0,0.0,-1879.0,23.7,-1102.0,85.3
5356,SUNY,1,0,0.0,-666.0,45.9,-1187.0,6.6
5357,SUNY,1,0,0.0,-960.0,41.6,-1286.0,19.9
5358,SUNY,1,0,0.0,-638.0,31.8,-864.0,17.0
5359,SUNY,1,0,0.0,-979.0,52.9,-1376.0,24.2
5360,SUNY,1,0,0.0,-1535.0,34.2,-1360.0,49.5
5361,SUNY,1,0,0.0,-870.0,3.7,-504.0,34.1
5362,SUNY,1,0,0.0,-926.0,22.7,-892.0,30.0
5363,SUNY,1,0,0.0,-1236.0,26.6,-777.0,64.0
5364,SUNY,1,0,0.0,-1064.0,56.5,-1340.0,35.6
5365,SUNY,1,0,0.0,-895.0,13.8,-655.0,34.8
5366,SUNY,1,0,0.0,-882.0,25.0,-756.0,36.6
5367,SUNY,1,0,0.0,-756.0,39.7,-976.0,23.5
5368,SUNY,1,0,0.0,-1007.0,34.4,-1147.0,23.7
5369,SUNY,1,0,0.0,-943.0,21.9,-587.0,52.4
5370,SUNY,1,0,0.0,-1117.0,19.0,-932.0,37.2
5371,SUNY,1,0,0.0,-1078.0,22.9,-1012.0,29.8
5372,SUNY,1,0,0.0,-1819.0,44.4,-1333.0,83.0
5373,SUNY,1,0,0.0,-952.0,41.2,-1171.0,25.8
5374,SUNY,1,0,0.0,-924.0,33.0,-972.0,29.9
5375,SUNY,1,0,0.0,-824.0,68.1,-1234.0,36.6
5376,SUNY,1,0,0.0,-692.0,44.3,-1179.0,6.5
5377,SUNY,1,0,0.0,-688.0,42.2,-1082.0,11.4
5378,SUNY,1,0,0.0,-585.0,39.5,-926.0,11.8
5379,SUNY,1,0,0.0,-698.0,29.2,-886.0,16.6
5380,SUNY,1,0,0.0,-766.0,6.9,-530.0,27.3
5381,SUNY,1,0,0.0,-629.0,27.8,-683.0,25.7
5382,SUNY,1,0,0.0,-815.0,26.1,-938.0,18.9
5383,SUNY,1,0,0.0,-712.0,16.4,-643.0,23.0
5384,SUNY,1,0,0.0,-424.0,11.9,-464.0,8.3
5385,SUNY,1,0,0.0,-1455.0,35.3,-1228.0,55.4
5386,SUNY,1,0,0.0,-876.0,25.0,-950.0,19.4
5387,SUNY,1,0,0.0,-798.0,30.2,-992.0,17.7
5388,SUNY,1,0,0.0,-447.0,22.2,-684.0,4.5
5389,SUNY,1,0,0.0,-806.0,30.3,-975.0,16.7
5390,SUNY,1,0,0.0,-760.0,36.9,-941.0,24.8
5391,SUNY,1,0,0.0,-516.0,33.6,-729.0,19.1
5392,SUNY,1,0,0.0,-550.0,31.5,-896.0,6.7
5393,SUNY,1,0,0.0,-785.0,17.0,-786.0,19.3
5394,SUNY,1,0,0.0,-748.0,21.2,-678.0,28.0
