,Map,Shield,Grid,coll_train,acc_0_train,inter_0_train,acc_1_train,inter_1_train
0,example,1,0,0.0,-388.0,58.8,-986.0,14.1
1,example,1,0,0.0,-728.0,36.2,-1129.0,11.0
2,example,1,0,0.0,-661.0,33.1,-989.0,9.5
3,example,1,0,0.0,-472.0,37.9,-678.0,22.1
4,example,1,0,0.0,-408.0,41.9,-907.0,5.3
5,example,1,0,0.0,-1637.0,51.6,-2067.0,25.6
6,example,1,0,0.0,-754.0,11.4,-528.0,30.3
7,example,1,0,0.0,-1555.0,33.3,-1823.0,20.1
8,example,1,0,0.0,-1207.0,30.9,-1447.0,21.3
9,example,1,0,0.0,-1249.0,17.3,-1175.0,28.2
10,example,1,0,0.0,-837.0,33.2,-1060.0,20.2
11,example,1,0,0.0,-515.0,38.8,-898.0,14.8
12,example,1,0,0.0,-768.0,23.4,-896.0,19.5
13,example,1,0,0.0,-1440.0,44.7,-1774.0,26.5
14,example,1,0,0.0,-698.0,38.2,-958.0,22.2
15,example,1,0,0.0,-1031.0,27.2,-1254.0,13.2
16,example,1,0,0.0,-1000.0,34.4,-1376.0,9.2
17,example,1,0,0.0,-1377.0,39.4,-1585.0,30.0
18,example,1,0,0.0,-1034.0,33.5,-1237.0,24.3
19,example,1,0,0.0,-769.0,51.1,-1353.0,11.0
20,example,1,0,0.0,-1134.0,24.5,-1314.0,14.3
21,example,1,0,0.0,-345.0,18.7,-351.0,19.1
22,example,1,0,0.0,-567.0,37.3,-979.0,6.9
23,example,1,0,0.0,-1032.0,43.7,-1412.0,14.6
24,example,1,0,0.0,-1337.0,40.4,-1755.0,16.8
25,example,1,0,0.0,-568.0,23.8,-645.0,18.2
26,example,1,0,0.0,-992.0,39.9,-1063.0,35.1
27,example,1,0,0.0,-962.0,24.6,-1141.0,15.1
28,example,1,0,0.0,-727.0,37.8,-1045.0,16.6
29,example,1,0,0.0,-438.0,24.7,-690.0,7.7
30,example,1,0,0.0,-1160.0,15.5,-1146.0,22.4
31,example,1,0,0.0,-416.0,31.9,-795.0,5.7
32,example,1,0,0.0,-204.0,23.7,-443.0,8.0
33,example,1,0,0.0,-959.0,39.6,-1311.0,18.2
34,example,1,0,0.0,-568.0,30.9,-760.0,17.9
35,example,1,0,0.0,-229.0,51.7,-860.0,7.4
36,example,1,0,0.0,-379.0,24.0,-563.0,10.9
37,example,1,0,0.0,-737.0,14.5,-845.0,10.9
38,example,1,0,0.0,-158.0,36.2,-546.0,5.4
39,example,1,0,0.0,-1293.0,37.7,-1609.0,21.1
40,example,1,0,0.0,-529.0,32.4,-868.0,8.9
41,example,1,0,0.0,-770.0,26.7,-974.0,14.5
42,example,1,0,0.0,-994.0,29.0,-1285.0,14.8
43,example,1,0,0.0,-285.0,33.4,-660.0,8.2
44,example,1,0,0.0,-412.0,75.6,-1327.0,6.9
45,example,1,0,0.0,-736.0,31.9,-1011.0,13.6
46,example,1,0,0.0,-389.0,18.5,-543.0,8.0
47,example,1,0,0.0,-371.0,38.4,-788.0,8.0
48,example,1,0,0.0,-720.0,16.4,-697.0,22.0
49,example,1,0,0.0,-427.0,46.9,-1000.0,6.9
50,example,1,0,0.0,-457.0,45.3,-969.0,7.3
51,example,1,0,0.0,-714.0,25.7,-724.0,26.0
52,example,1,0,0.0,-602.0,24.8,-677.0,22.4
53,example,1,0,0.0,-518.0,15.3,-549.0,16.3
54,example,1,0,0.0,-570.0,24.0,-665.0,19.8
55,example,1,0,0.0,-465.0,32.0,-812.0,6.9
56,example,1,0,0.0,-478.0,23.4,-747.0,6.1
57,example,1,0,0.0,-623.0,27.5,-906.0,9.3
58,example,1,0,0.0,-757.0,33.2,-1133.0,11.2
59,example,1,0,0.0,-507.0,33.1,-782.0,13.0
60,example,1,0,0.0,-424.0,29.2,-746.0,5.9
61,example,1,0,0.0,-763.0,18.9,-904.0,13.3
62,example,1,0,0.0,-349.0,20.8,-515.0,8.9
63,example,1,0,0.0,-340.0,31.1,-648.0,9.9
64,example,1,0,0.0,-545.0,30.1,-866.0,7.4
65,example,1,0,0.0,-538.0,37.5,-878.0,13.6
66,example,1,0,0.0,-601.0,32.3,-947.0,8.6
67,example,1,0,0.0,-549.0,41.4,-1014.0,9.4
68,example,1,0,0.0,-434.0,23.5,-683.0,6.7
69,example,1,0,0.0,-685.0,18.7,-846.0,10.2
70,example,1,0,0.0,-214.0,31.4,-608.0,3.8
71,example,1,0,0.0,-247.0,25.9,-461.0,11.3
72,example,1,0,0.0,-538.0,17.2,-734.0,4.9
73,example,1,0,0.0,-440.0,23.4,-639.0,10.0
74,example,1,0,0.0,-801.0,17.7,-960.0,13.3
75,example,1,0,0.0,-397.0,16.2,-531.0,8.2
76,example,1,0,0.0,-527.0,17.4,-705.0,7.5
77,example,1,0,0.0,-523.0,13.2,-530.0,14.0
78,example,1,0,0.0,-406.0,21.6,-642.0,6.7
79,example,1,0,0.0,-367.0,27.1,-650.0,8.3
80,example,1,0,0.0,-329.0,24.3,-609.0,5.8
81,example,1,0,0.0,-900.0,18.3,-921.0,18.0
82,example,1,0,0.0,-761.0,49.9,-1180.0,22.9
83,example,1,0,0.0,-482.0,25.1,-693.0,10.6
84,example,1,0,0.0,-325.0,20.9,-580.0,3.7
85,example,1,0,0.0,-367.0,18.9,-552.0,7.7
86,example,1,0,0.0,-660.0,8.6,-595.0,15.1
87,example,1,0,0.0,-490.0,13.8,-573.0,10.0
88,example,1,0,0.0,-453.0,19.4,-561.0,15.4
89,example,1,0,0.0,-266.0,23.8,-495.0,8.5
90,example,1,0,0.0,-461.0,19.7,-497.0,19.9
91,example,1,0,0.0,-295.0,37.4,-735.0,5.7
92,example,1,0,0.0,-266.0,14.7,-432.0,3.8
93,example,1,0,0.0,-180.0,26.5,-479.0,5.9
94,example,1,0,0.0,-565.0,31.4,-657.0,24.5
95,example,1,0,0.0,-271.0,22.4,-536.0,6.0
96,example,1,0,0.0,-441.0,22.2,-667.0,8.5
97,example,1,0,0.0,-209.0,12.8,-317.0,3.8
98,example,1,0,0.0,-398.0,22.0,-631.0,6.3
99,example,1,0,0.0,-346.0,18.1,-475.0,10.5
100,example,1,0,0.0,-215.0,13.3,-357.0,4.6
101,example,1,0,0.0,-397.0,17.9,-605.0,4.9
102,example,1,0,0.0,-364.0,39.6,-832.0,6.7
103,example,1,0,0.0,-547.0,27.5,-763.0,15.2
104,example,1,0,0.0,-287.0,24.9,-578.0,7.3
105,example,1,0,0.0,-300.0,27.8,-638.0,5.6
106,example,1,0,0.0,-644.0,27.5,-821.0,18.5
107,example,1,0,0.0,-289.0,27.2,-609.0,4.3
108,example,1,0,0.0,-329.0,34.2,-752.0,5.4
109,example,1,0,0.0,-256.0,28.5,-611.0,3.9
110,example,1,0,0.0,-384.0,22.1,-564.0,12.4
111,example,1,0,0.0,-97.0,22.4,-360.0,2.9
112,example,1,0,0.0,-713.0,11.2,-692.0,16.4
113,example,1,0,0.0,-595.0,20.2,-756.0,11.4
114,example,1,0,0.0,-200.0,24.3,-493.0,3.7
115,example,1,0,0.0,-278.0,17.4,-417.0,8.3
116,example,1,0,0.0,-189.0,15.4,-308.0,6.7
117,example,1,0,0.0,-274.0,15.2,-443.0,3.2
118,example,1,0,0.0,-161.0,18.1,-367.0,3.2
119,example,1,0,0.0,-238.0,14.5,-365.0,5.4
120,example,1,0,0.0,-525.0,19.5,-614.0,17.1
121,example,1,0,0.0,-262.0,16.2,-450.0,5.0
122,example,1,0,0.0,-163.0,12.9,-292.0,4.8
123,example,1,0,0.0,-302.0,21.2,-531.0,4.1
124,example,1,0,0.0,-416.0,22.7,-628.0,10.0
125,example,1,0,0.0,-222.0,12.0,-360.0,3.5
126,example,1,0,0.0,-176.0,27.6,-504.0,4.5
127,example,1,0,0.0,-149.0,24.6,-439.0,3.7
128,example,1,0,0.0,-395.0,12.3,-456.0,9.8
129,example,1,0,0.0,-143.0,23.7,-428.0,3.6
130,example,1,0,0.0,-370.0,23.3,-640.0,4.2
131,example,1,0,0.0,-212.0,17.5,-359.0,6.0
132,example,1,0,0.0,-145.0,13.1,-246.0,5.6
133,example,1,0,0.0,-772.0,12.2,-772.0,16.1
134,example,1,0,0.0,-642.0,13.8,-772.0,9.2
135,example,1,0,0.0,-396.0,18.7,-589.0,6.6
136,example,1,0,0.0,-128.0,23.7,-412.0,3.6
137,example,1,0,0.0,-369.0,25.5,-657.0,6.4
138,example,1,0,0.0,-189.0,24.5,-470.0,4.0
139,example,1,0,0.0,-333.0,19.4,-555.0,5.1
140,example,1,0,0.0,-136.0,16.3,-320.0,2.5
141,example,1,0,0.0,-494.0,7.5,-523.0,9.1
142,example,1,0,0.0,-241.0,26.9,-567.0,5.3
143,example,1,0,0.0,-193.0,18.7,-389.0,5.2
144,example,1,0,0.0,-270.0,28.5,-612.0,3.3
145,example,1,0,0.0,-116.0,17.0,-318.0,2.0
146,example,1,0,0.0,-251.0,15.1,-379.0,8.2
147,example,1,0,0.0,-535.0,14.5,-605.0,13.5
148,example,1,0,0.0,-101.0,17.9,-270.0,5.5
149,example,1,0,0.0,-457.0,21.2,-686.0,6.9
150,example,1,0,0.0,-271.0,11.0,-379.0,4.7
151,example,1,0,0.0,-299.0,20.9,-513.0,6.9
152,example,1,0,0.0,-174.0,5.6,-190.0,4.8
153,example,1,0,0.0,-248.0,18.0,-460.0,3.0
154,example,1,0,0.0,-245.0,16.3,-393.0,6.1
155,example,1,0,0.0,-450.0,20.2,-627.0,9.5
156,example,1,0,0.0,-354.0,15.8,-499.0,7.1
157,example,1,0,0.0,-134.0,23.2,-430.0,3.3
158,example,1,0,0.0,-462.0,41.8,-924.0,8.5
159,example,1,0,0.0,-243.0,18.8,-444.0,5.3
160,example,1,0,0.0,-540.0,10.3,-618.0,8.8
161,example,1,0,0.0,-151.0,15.5,-337.0,2.4
162,example,1,0,0.0,-459.0,28.9,-731.0,9.1
163,example,1,0,0.0,-272.0,20.8,-523.0,3.2
164,example,1,0,0.0,-200.0,16.3,-385.0,5.6
165,example,1,0,0.0,-537.0,21.3,-781.0,7.0
166,example,1,0,0.0,-469.0,16.5,-619.0,9.2
167,example,1,0,0.0,-479.0,15.9,-592.0,10.5
168,example,1,0,0.0,-140.0,14.2,-309.0,2.7
169,example,1,0,0.0,-360.0,10.0,-389.0,9.1
170,example,1,0,0.0,-322.0,13.9,-467.0,5.2
171,example,1,0,0.0,-199.0,14.3,-357.0,2.9
172,example,1,0,0.0,-172.0,12.2,-320.0,2.9
173,example,1,0,0.0,-142.0,8.6,-230.0,4.0
174,example,1,0,0.0,-411.0,17.8,-582.0,7.0
175,example,1,0,0.0,-373.0,21.7,-607.0,8.7
176,example,1,0,0.0,-177.0,21.4,-398.0,5.8
177,example,1,0,0.0,-450.0,17.6,-584.0,9.6
178,example,1,0,0.0,-220.0,11.6,-302.0,6.0
179,example,1,0,0.0,-128.0,16.7,-337.0,2.7
180,example,1,0,0.0,-130.0,14.8,-304.0,3.6
181,example,1,0,0.0,-133.0,12.1,-280.0,3.4
182,example,1,0,0.0,-192.0,16.4,-371.0,5.5
183,example,1,0,0.0,-483.0,21.7,-709.0,7.3
184,example,1,0,0.0,-272.0,10.8,-359.0,6.9
185,example,1,0,0.0,-233.0,10.4,-346.0,4.7
186,example,1,0,0.0,-180.0,10.4,-302.0,3.0
187,example,1,0,0.0,-208.0,23.4,-485.0,4.3
188,example,1,0,0.0,-225.0,16.8,-423.0,3.7
189,example,1,0,0.0,-565.0,10.7,-599.0,12.8
190,example,1,0,0.0,-294.0,23.1,-537.0,5.4
191,example,1,0,0.0,-412.0,12.6,-496.0,9.1
192,example,1,0,0.0,-348.0,11.8,-448.0,7.3
193,example,1,0,0.0,-345.0,10.9,-450.0,3.4
194,example,1,0,0.0,-336.0,11.8,-381.0,10.1
195,example,1,0,0.0,-166.0,19.9,-395.0,3.0
196,example,1,0,0.0,-181.0,7.4,-228.0,5.1
197,example,1,0,0.0,-165.0,9.0,-271.0,4.7
198,example,1,0,0.0,-421.0,11.1,-528.0,7.7
199,example,1,0,0.0,-320.0,19.2,-523.0,6.6
200,example,1,0,0.0,-179.0,16.6,-342.0,6.3
201,example,1,0,0.0,-319.0,8.4,-368.0,8.4
202,example,1,0,0.0,-123.0,17.5,-310.0,4.6
203,example,1,0,0.0,-283.0,10.1,-375.0,5.8
204,example,1,0,0.0,-260.0,17.8,-453.0,5.3
205,example,1,0,0.0,-206.0,11.2,-260.0,7.9
206,example,1,0,0.0,-179.0,13.1,-303.0,5.2
207,example,1,0,0.0,-285.0,16.0,-429.0,6.3
208,example,1,0,0.0,-311.0,28.7,-610.0,9.7
209,example,1,0,0.0,-369.0,16.9,-508.0,8.2
210,example,1,0,0.0,-300.0,16.2,-475.0,6.0
211,example,1,0,0.0,-75.0,24.1,-348.0,3.4
212,example,1,0,0.0,-165.0,13.0,-293.0,3.3
213,example,1,0,0.0,-329.0,13.9,-463.0,7.2
214,example,1,0,0.0,-228.0,14.5,-377.0,4.9
215,example,1,0,0.0,-310.0,10.9,-425.0,4.3
216,example,1,0,0.0,-280.0,10.7,-369.0,5.5
217,example,1,0,0.0,-234.0,16.0,-399.0,5.5
218,example,1,0,0.0,-223.0,15.0,-334.0,8.0
219,example,1,0,0.0,-354.0,8.5,-380.0,11.5
220,example,1,0,0.0,-301.0,12.0,-406.0,5.8
221,example,1,0,0.0,-342.0,14.8,-469.0,6.4
222,example,1,0,0.0,-126.0,14.0,-291.0,3.4
223,example,1,0,0.0,-112.0,17.9,-321.0,3.5
224,example,1,0,0.0,-112.0,9.6,-186.0,4.4
225,example,1,0,0.0,-74.0,17.8,-300.0,1.8
226,example,1,0,0.0,-353.0,16.9,-539.0,5.9
227,example,1,0,0.0,-150.0,9.4,-246.0,3.7
228,example,1,0,0.0,-309.0,11.0,-335.0,9.8
229,example,1,0,0.0,-228.0,9.8,-266.0,8.9
230,example,1,0,0.0,-147.0,14.8,-319.0,3.0
231,example,1,0,0.0,-327.0,8.4,-365.0,8.9
232,example,1,0,0.0,-256.0,22.2,-494.0,6.0
233,example,1,0,0.0,-50.0,10.4,-181.0,1.2
234,example,1,0,0.0,-228.0,15.4,-360.0,8.3
235,example,1,0,0.0,-468.0,10.3,-494.0,10.7
236,example,1,0,0.0,-10.0,9.8,-129.0,1.4
237,example,1,0,0.0,-51.0,11.5,-192.0,2.1
238,example,1,0,0.0,-136.0,15.1,-308.0,4.8
239,example,1,0,0.0,-195.0,10.0,-256.0,8.7
240,example,1,0,0.0,-370.0,11.2,-497.0,5.7
241,example,1,0,0.0,-173.0,16.1,-356.0,4.6
242,example,1,0,0.0,-116.0,10.2,-227.0,3.1
243,example,1,0,0.0,-32.0,11.8,-167.0,1.5
244,example,1,0,0.0,-314.0,11.0,-394.0,7.1
245,example,1,0,0.0,-77.0,15.4,-257.0,2.5
246,example,1,0,0.0,-715.0,17.1,-851.0,12.9
247,example,1,0,0.0,-492.0,13.0,-563.0,10.6
248,example,1,0,0.0,-53.0,7.3,-136.0,1.9
249,example,1,0,0.0,-118.0,8.2,-210.0,3.1
250,example,1,0,0.0,-151.0,16.4,-354.0,4.6
251,example,1,0,0.0,-156.0,11.3,-288.0,3.3
252,example,1,0,0.0,-122.0,13.4,-274.0,3.3
253,example,1,0,0.0,-52.0,11.8,-195.0,1.4
254,example,1,0,0.0,-356.0,13.3,-460.0,7.8
255,example,1,0,0.0,-98.0,7.2,-196.0,2.5
256,example,1,0,0.0,-172.0,14.0,-286.0,6.2
257,example,1,0,0.0,-519.0,17.0,-648.0,11.2
258,example,1,0,0.0,-493.0,12.9,-604.0,7.2
259,example,1,0,0.0,-327.0,9.5,-417.0,5.9
260,example,1,0,0.0,-40.0,9.8,-160.0,2.0
261,example,1,0,0.0,-56.0,7.3,-149.0,2.4
262,example,1,0,0.0,-235.0,11.4,-343.0,5.8
263,example,1,0,0.0,-204.0,10.2,-319.0,3.7
264,example,1,0,0.0,-94.0,13.1,-248.0,1.8
265,example,1,0,0.0,-346.0,9.9,-434.0,6.3
266,example,1,0,0.0,-83.0,5.6,-116.0,4.1
267,example,1,0,0.0,-69.0,9.2,-163.0,3.4
268,example,1,0,0.0,-32.0,6.8,-111.0,1.4
269,example,1,0,0.0,-462.0,6.0,-469.0,9.0
270,example,1,0,0.0,-184.0,10.9,-229.0,9.2
271,example,1,0,0.0,-441.0,9.0,-428.0,12.6
272,example,1,0,0.0,-144.0,9.9,-252.0,2.9
273,example,1,0,0.0,-150.0,11.7,-282.0,3.5
274,example,1,0,0.0,-82.0,13.5,-241.0,2.7
275,example,1,0,0.0,-469.0,21.2,-672.0,7.2
276,example,1,0,0.0,-391.0,8.2,-441.0,9.0
277,example,1,0,0.0,-297.0,14.5,-444.0,6.6
278,example,1,0,0.0,-248.0,12.4,-373.0,5.4
279,example,1,0,0.0,-356.0,8.2,-371.0,9.0
280,example,1,0,0.0,-111.0,7.7,-196.0,2.1
281,example,1,0,0.0,-175.0,17.2,-379.0,3.8
282,example,1,0,0.0,-129.0,13.6,-272.0,2.8
283,example,1,0,0.0,-191.0,13.2,-308.0,4.8
284,example,1,0,0.0,-291.0,11.1,-403.0,5.7
285,example,1,0,0.0,-111.0,13.3,-247.0,3.7
286,example,1,0,0.0,-149.0,8.2,-238.0,3.0
287,example,1,0,0.0,-12.0,4.9,-71.0,0.6
288,example,1,0,0.0,-412.0,12.5,-505.0,7.6
289,example,1,0,0.0,-90.0,11.3,-222.0,2.3
290,example,1,0,0.0,-162.0,11.4,-298.0,3.9
291,example,1,0,0.0,-376.0,11.6,-437.0,9.6
292,example,1,0,0.0,-257.0,7.7,-285.0,8.9
293,example,1,0,0.0,-32.0,6.9,-91.0,3.5
294,example,1,0,0.0,-308.0,11.7,-409.0,6.9
295,example,1,0,0.0,-274.0,12.5,-399.0,5.2
296,example,1,0,0.0,-321.0,10.4,-410.0,5.7
297,example,1,0,0.0,-183.0,12.8,-327.0,3.7
298,example,1,0,0.0,-244.0,6.6,-288.0,6.2
299,example,1,0,0.0,-69.0,7.6,-151.0,2.4
300,example,1,0,0.0,-140.0,9.6,-249.0,2.6
301,example,1,0,0.0,-512.0,12.4,-578.0,11.0
302,example,1,0,0.0,-281.0,14.1,-426.0,7.0
303,example,1,0,0.0,-114.0,10.6,-224.0,3.5
304,example,1,0,0.0,-256.0,11.4,-367.0,4.3
305,example,1,0,0.0,-460.0,13.2,-562.0,9.6
306,example,1,0,0.0,-35.0,13.0,-191.0,1.1
307,example,1,0,0.0,-175.0,8.5,-254.0,4.0
308,example,1,0,0.0,-263.0,8.2,-314.0,6.3
309,example,1,0,0.0,-395.0,13.5,-530.0,5.7
310,example,1,0,0.0,-49.0,10.0,-172.0,1.8
311,example,1,0,0.0,-178.0,11.4,-266.0,5.1
312,example,1,0,0.0,-159.0,12.4,-280.0,3.6
313,example,1,0,0.0,-538.0,9.9,-594.0,8.9
314,example,1,0,0.0,-144.0,8.2,-235.0,3.6
315,example,1,0,0.0,-30.0,12.2,-176.0,1.6
316,example,1,0,0.0,-377.0,12.1,-470.0,7.3
317,example,1,0,0.0,-173.0,11.1,-257.0,6.8
318,example,1,0,0.0,-262.0,13.8,-381.0,7.2
319,example,1,0,0.0,-518.0,14.3,-647.0,6.7
320,example,1,0,0.0,-489.0,10.9,-569.0,8.7
321,example,1,0,0.0,-119.0,6.2,-188.0,3.4
322,example,1,0,0.0,-73.0,6.9,-121.0,5.0
323,example,1,0,0.0,-112.0,5.6,-176.0,2.9
324,example,1,0,0.0,-261.0,5.9,-274.0,6.1
325,example,1,0,0.0,-25.0,9.8,-144.0,0.6
326,example,1,0,0.0,-272.0,9.8,-372.0,5.3
327,example,1,0,0.0,-181.0,13.8,-315.0,5.0
328,example,1,0,0.0,-115.0,11.1,-211.0,4.6
329,example,1,0,0.0,-358.0,6.6,-383.0,6.8
330,example,1,0,0.0,-153.0,6.3,-174.0,5.9
331,example,1,0,0.0,-301.0,9.3,-380.0,5.5
332,example,1,0,0.0,-193.0,11.1,-282.0,5.2
333,example,1,0,0.0,-279.0,13.8,-390.0,6.7
334,example,1,0,0.0,-1040.0,15.4,-1046.0,18.9
335,example,1,0,0.0,-462.0,13.7,-582.0,8.5
336,example,1,0,0.0,-247.0,17.9,-449.0,4.3
337,example,1,0,0.0,-441.0,7.7,-502.0,7.3
338,example,1,0,0.0,-89.0,6.9,-157.0,2.7
339,example,1,0,0.0,-61.0,7.6,-142.0,2.4
340,example,1,0,0.0,-170.0,8.8,-259.0,5.8
341,example,1,0,0.0,-47.0,11.5,-186.0,2.2
342,example,1,0,0.0,-203.0,11.3,-330.0,3.2
343,example,1,0,0.0,-53.0,5.5,-113.0,1.7
344,example,1,0,0.0,-250.0,13.5,-389.0,4.7
345,example,1,0,0.0,-662.0,12.5,-759.0,8.6
346,example,1,0,0.0,-124.0,7.2,-197.0,4.0
347,example,1,0,0.0,-46.0,7.4,-135.0,1.8
348,example,1,0,0.0,-795.0,18.4,-915.0,13.2
349,example,1,0,0.0,-51.0,7.1,-134.0,2.6
350,example,1,0,0.0,-79.0,6.1,-152.0,1.8
351,example,1,0,0.0,-450.0,11.1,-531.0,6.8
352,example,1,0,0.0,-115.0,7.0,-182.0,2.7
353,example,1,0,0.0,-201.0,8.3,-282.0,3.4
354,example,1,0,0.0,-2.0,5.5,-66.0,0.8
355,example,1,0,0.0,-143.0,11.1,-266.0,3.4
356,example,1,0,0.0,-106.0,4.8,-161.0,2.3
