,Map,Shield,Grid,coll_train,acc_0_train,inter_0_train,acc_1_train,inter_1_train
1000,ISR,0,0,8.6,-564.8,0.0,-860.4,0.0
1001,ISR,0,0,17.5,-996.4,0.0,-1238.2,0.0
1002,ISR,0,0,9.8,-566.4,0.0,-854.8,0.0
1003,ISR,0,0,9.3,-633.4,0.0,-752.4,0.0
1004,ISR,0,0,8.3,-541.6,0.0,-805.2,0.0
1005,ISR,0,0,14.7,-1031.3,0.0,-1182.2,0.0
1006,ISR,0,0,7.9,-428.2,0.0,-676.8,0.0
1007,ISR,0,0,17.9,-1048.8,0.0,-1326.8,0.0
1008,ISR,0,0,11.2,-713.4,0.0,-1041.2,0.0
1009,ISR,0,0,11.8,-790.4,0.0,-653.8,0.0
1010,ISR,0,0,13.1,-850.2,0.0,-897.6,0.0
1011,ISR,0,0,8.7,-695.0,0.0,-659.0,0.0
1012,ISR,0,0,7.8,-691.2,0.0,-822.6,0.0
1013,ISR,0,0,7.0,-408.0,0.0,-614.8,0.0
1014,ISR,0,0,3.8,-200.0,0.0,-387.2,0.0
1015,ISR,0,0,9.1,-492.0,0.0,-668.0,0.0
1016,ISR,0,0,5.5,-356.4,0.0,-574.2,0.0
1017,ISR,0,0,12.5,-1013.0,0.0,-1136.6,0.0
1018,ISR,0,0,12.2,-655.2,0.0,-825.0,0.0
1019,ISR,0,0,14.0,-764.8,0.0,-1005.6,0.0
1020,ISR,0,0,8.1,-469.6,0.0,-723.0,0.0
1021,ISR,0,0,10.9,-634.4,0.0,-795.2,0.0
1022,ISR,0,0,7.3,-281.2,0.0,-522.2,0.0
1023,ISR,0,0,14.4,-655.2,0.0,-782.2,0.0
1024,ISR,0,0,7.6,-389.0,0.0,-423.2,0.0
1025,ISR,0,0,11.0,-656.6,0.0,-795.0,0.0
1026,ISR,0,0,9.4,-328.2,0.0,-799.4,0.0
1027,ISR,0,0,6.1,-376.4,0.0,-556.8,0.0
1028,ISR,0,0,5.3,-449.2,0.0,-630.4,0.0
1029,ISR,0,0,9.0,-599.2,0.0,-691.0,0.0
1030,ISR,0,0,12.0,-790.2,0.0,-770.8,0.0
1031,ISR,0,0,7.9,-389.2,0.0,-573.6,0.0
1032,ISR,0,0,6.5,-457.0,0.0,-579.4,0.0
1033,ISR,0,0,10.5,-477.0,0.0,-673.4,0.0
1034,ISR,0,0,12.0,-771.4,0.0,-759.0,0.0
1035,ISR,0,0,8.9,-476.6,0.0,-528.2,0.0
1036,ISR,0,0,8.1,-610.0,0.0,-702.0,0.0
1037,ISR,0,0,6.8,-381.6,0.0,-573.6,0.0
1038,ISR,0,0,9.8,-534.8,0.0,-699.8,0.0
1039,ISR,0,0,12.9,-921.8,0.0,-838.0,0.0
1040,ISR,0,0,5.4,-311.4,0.0,-600.6,0.0
1041,ISR,0,0,12.6,-566.2,0.0,-769.6,0.0
1042,ISR,0,0,6.6,-368.6,0.0,-481.4,0.0
1043,ISR,0,0,6.8,-438.6,0.0,-470.6,0.0
1044,ISR,0,0,4.0,-182.2,0.0,-281.0,0.0
1045,ISR,0,0,11.5,-603.4,0.0,-627.6,0.0
1046,ISR,0,0,7.0,-312.2,0.0,-449.2,0.0
1047,ISR,0,0,6.5,-325.6,0.0,-431.0,0.0
1048,ISR,0,0,7.6,-292.4,0.0,-394.2,0.0
1049,ISR,0,0,12.3,-569.8,0.0,-806.2,0.0
1050,ISR,0,0,9.3,-317.6,0.0,-594.4,0.0
1051,ISR,0,0,4.8,-53.4,0.0,-383.0,0.0
1052,ISR,0,0,7.3,-450.2,0.0,-590.4,0.0
1053,ISR,0,0,6.6,-391.8,0.0,-358.8,0.0
1054,ISR,0,0,14.2,-494.4,0.0,-703.4,0.0
1055,ISR,0,0,7.2,-425.8,0.0,-460.8,0.0
1056,ISR,0,0,4.4,-189.8,0.0,-298.2,0.0
1057,ISR,0,0,13.5,-665.0,0.0,-727.4,0.0
1058,ISR,0,0,3.0,-50.4,0.0,-318.2,0.0
1059,ISR,0,0,9.8,-365.0,0.0,-587.4,0.0
1060,ISR,0,0,10.0,-434.2,0.0,-758.6,0.0
1061,ISR,0,0,10.4,-617.6,0.0,-697.4,0.0
1062,ISR,0,0,10.2,-476.2,0.0,-505.2,0.0
1063,ISR,0,0,8.2,-460.8,0.0,-405.0,0.0
1064,ISR,0,0,7.7,-351.6,0.0,-539.8,0.0
1065,ISR,0,0,11.4,-497.0,0.0,-540.2,0.0
1066,ISR,0,0,7.5,-293.2,0.0,-446.4,0.0
1067,ISR,0,0,7.4,-288.4,0.0,-390.8,0.0
1068,ISR,0,0,9.3,-451.4,0.0,-549.0,0.0
1069,ISR,0,0,11.4,-568.8,0.0,-591.0,0.0
1070,ISR,0,0,6.8,-358.2,0.0,-458.0,0.0
1071,ISR,0,0,7.8,-346.4,0.0,-426.2,0.0
1072,ISR,0,0,10.3,-445.8,0.0,-680.0,0.0
1073,ISR,0,0,9.3,-499.8,0.0,-409.0,0.0
1074,ISR,0,0,4.0,-254.6,0.0,-320.4,0.0
1075,ISR,0,0,4.4,-180.8,0.0,-240.0,0.0
1076,ISR,0,0,7.2,-319.8,0.0,-352.8,0.0
1077,ISR,0,0,7.5,-356.4,0.0,-353.0,0.0
1078,ISR,0,0,17.0,-564.6,0.0,-689.2,0.0
1079,ISR,0,0,5.8,-233.8,0.0,-274.8,0.0
1080,ISR,0,0,8.3,-348.2,0.0,-323.0,0.0
1081,ISR,0,0,5.5,-225.2,0.0,-315.2,0.0
1082,ISR,0,0,9.8,-287.2,0.0,-513.6,0.0
1083,ISR,0,0,10.6,-533.6,0.0,-625.8,0.0
1084,ISR,0,0,7.8,-334.2,0.0,-474.8,0.0
1085,ISR,0,0,4.3,-170.2,0.0,-245.0,0.0
1086,ISR,0,0,9.5,-357.8,0.0,-456.0,0.0
1087,ISR,0,0,14.1,-446.8,0.0,-601.4,0.0
1088,ISR,0,0,5.2,-237.6,0.0,-415.8,0.0
1089,ISR,0,0,9.9,-414.0,0.0,-512.2,0.0
1090,ISR,0,0,6.8,-241.2,0.0,-440.4,0.0
1091,ISR,0,0,3.8,-186.4,0.0,-323.8,0.0
1092,ISR,0,0,6.8,-366.0,0.0,-400.4,0.0
1093,ISR,0,0,11.5,-416.6,0.0,-465.2,0.0
1094,ISR,0,0,5.9,-252.4,0.0,-417.8,0.0
1095,ISR,0,0,13.0,-419.6,0.0,-504.0,0.0
1096,ISR,0,0,12.2,-368.8,0.0,-567.0,0.0
1097,ISR,0,0,9.0,-242.0,0.0,-388.0,0.0
1098,ISR,0,0,9.7,-310.2,0.0,-354.2,0.0
1099,ISR,0,0,7.1,-243.2,0.0,-374.6,0.0
1100,ISR,0,0,4.0,-173.2,0.0,-213.4,0.0
1101,ISR,0,0,10.5,-484.4,0.0,-440.6,0.0
1102,ISR,0,0,3.8,-181.0,0.0,-253.8,0.0
1103,ISR,0,0,2.4,-124.0,0.0,-161.8,0.0
1104,ISR,0,0,5.9,-177.4,0.0,-303.4,0.0
